,W-0,R-0,R-1,R-2,R-3,R-4,
278221749154,1,2,2,2,2,2,
278223249154,1,2,2,2,1,1,
278224249154,1,2,2,2,1,1,
278225249154,1,2,2,2,2,2,
278226249154,1,2,2,2,2,2,
278226749154,1,2,2,2,1,1,
278227249154,1,2,2,1,1,1,
278227749154,1,2,2,2,1,1,
278228249154,1,2,2,1,1,1,
278228749154,1,2,1,1,1,1,
278230249154,1,2,2,1,1,1,
278231249154,1,2,1,1,1,1,
278231749154,1,2,2,1,1,1,
278232249154,1,2,2,1,1,1,
278232749154,1,2,2,1,1,1,
278233249154,1,2,2,1,1,1,
278233749154,1,2,1,1,1,1,
278234249154,1,2,1,1,1,1,
278235249154,1,2,2,2,1,1,
278235749154,1,2,2,1,1,1,
278236249154,1,2,2,1,1,1,
278236749154,1,2,2,1,1,1,
278237749154,1,2,2,1,1,1,
278238749154,1,2,1,1,1,1,
278239249154,1,2,2,1,1,1,
278241249154,1,2,2,1,1,1,
278241749154,1,2,2,1,1,1,
278242249154,1,2,1,1,1,1,
278242749154,1,2,2,1,1,1,
278243249154,1,2,2,1,1,1,
278245749154,1,1,1,1,1,1,
278246749154,1,2,1,1,1,1,
278247249154,1,2,2,1,1,1,
278247749154,1,2,1,1,1,1,
278248249154,1,2,2,2,1,1,
278248749154,1,2,2,2,1,1,
278249749154,1,2,2,1,1,1,
278250249154,1,2,1,1,1,1,
278250749154,1,2,1,1,1,1,
278252749154,1,2,1,1,1,1,
278253249154,1,2,2,2,1,1,
278254749154,1,2,2,1,1,1,
278255249154,1,2,2,1,1,1,
278255749154,1,2,2,2,2,2,
278256249154,1,2,2,1,1,1,
278257249154,1,2,2,2,1,1,
278258749154,1,2,1,1,1,1,
278259249154,1,2,1,1,1,1,
278259749154,1,2,1,1,1,1,
278260749154,1,2,2,2,2,1,
278262249154,1,2,1,1,1,1,
278263249154,1,2,2,1,1,1,
278264749154,1,2,2,1,1,1,
278265249154,1,2,1,1,1,1,
278266249154,1,2,2,1,1,1,
278266749154,1,2,2,1,1,1,
278268249154,1,2,2,2,2,2,
278268749154,1,2,2,2,1,1,
278269249154,1,2,2,1,1,1,
278269749154,1,2,1,1,1,1,
278271749154,1,2,2,1,1,1,
278273749154,1,2,1,1,1,1,
278274249154,1,2,1,1,1,1,
278275749154,1,2,1,1,1,1,
278277249154,1,2,1,1,1,1,
278279749154,1,2,2,1,1,1,
278280249154,1,2,2,1,1,1,
278281249154,1,2,2,2,1,1,
278281749154,1,2,1,1,1,1,
278282249154,1,2,2,2,1,1,
278283249154,1,2,1,1,1,1,
278285749154,1,2,2,1,1,1,
278286249154,1,2,2,2,1,1,
278287249154,1,2,2,1,1,1,
278287749154,1,2,2,1,1,1,
278288249154,1,2,1,1,1,1,
278288749154,1,2,1,1,1,1,
278290749154,1,1,1,1,1,1,
278291749154,1,2,2,1,1,1,
278294249154,1,2,1,1,1,1,
278295249154,1,2,2,1,1,1,
278295749154,1,2,2,2,2,1,
278298249154,1,2,2,1,1,1,
278298749154,1,2,1,1,1,1,
278299749154,1,2,2,1,1,1,
278302249154,1,2,2,1,1,1,
278303749154,1,2,2,1,1,1,
278304249154,1,2,1,1,1,1,
278304749154,1,2,2,1,1,1,
278305249154,1,2,1,1,1,1,
278305749154,1,2,2,1,1,1,
278306249154,1,2,2,2,2,2,
278306749154,1,2,2,2,2,2,
278308249154,1,2,2,1,1,1,
278308749154,1,2,1,1,1,1,
278309249154,1,2,1,1,1,1,
278311749154,1,2,2,1,1,1,
278312249154,1,2,1,1,1,1,
278313249154,1,2,2,1,1,1,
278314249154,1,2,2,2,1,1,
278314749154,1,2,2,1,1,1,
278315249154,1,2,2,1,1,1,
278315749154,1,2,1,1,1,1,
278318249154,1,2,1,1,1,1,
278320249154,1,2,2,1,1,1,
278320749154,1,2,1,1,1,1,
278321249154,1,2,2,1,1,1,
278321749154,1,2,2,1,1,1,
278322249154,1,2,2,2,2,2,
278322749154,1,2,2,1,1,1,
278324249154,1,2,1,1,1,1,
278325249154,1,2,2,1,1,1,
278325749154,1,2,2,1,1,1,
278326249154,1,2,2,1,1,1,
278326749154,1,2,2,1,1,1,
278328249154,1,2,2,1,1,1,
278328749154,1,2,2,1,1,1,
278329749154,1,1,1,1,1,1,
278331749154,1,2,1,1,1,1,
278332749154,1,2,2,1,1,1,
278333749154,1,2,1,1,1,1,
278334749154,1,2,2,1,1,1,
278335249154,1,2,2,2,1,1,
278336749154,1,2,2,1,1,1,
278339249154,1,2,1,1,1,1,
278340249154,1,2,2,1,1,1,
278342749154,1,2,2,1,1,1,
278343249154,1,2,2,1,1,1,
278343749154,1,2,1,1,1,1,
278344249154,1,2,2,2,2,2,
278345749154,1,1,1,1,1,1,
278346249154,1,2,2,1,1,1,
278346749154,1,2,2,2,2,2,
278348749154,1,2,2,2,2,2,
278350249154,1,2,1,1,1,1,
278350749154,1,2,1,1,1,1,
278351249154,1,2,2,1,1,1,
278351749154,1,2,2,2,2,2,
278352249154,1,2,1,1,1,1,
278352749154,1,2,2,1,1,1,
278353249154,1,2,2,1,1,1,
278354749154,1,2,2,1,1,1,
278355749154,1,2,1,1,1,1,
278356249154,1,2,2,1,1,1,
278356749154,1,2,2,1,1,1,
278357249154,1,2,2,1,1,1,
278358249154,1,2,2,2,2,2,
278359249154,1,2,1,1,1,1,
278360249154,1,2,1,1,1,1,
278360749154,1,2,2,1,1,1,
278361249154,1,2,1,1,1,1,
278363749154,1,2,2,1,1,1,
278365749154,1,2,1,1,1,1,
278367249154,1,2,2,1,1,1,
278369249154,1,2,2,1,1,1,
278369749154,1,2,2,1,1,1,
278370749154,1,2,2,1,1,1,
278371749154,1,2,2,2,2,2,
278372249154,1,2,1,1,1,1,
278372749154,1,2,2,1,1,1,
278375249154,1,2,2,2,1,1,
278376249154,1,2,2,2,2,2,
278377749154,1,2,2,1,1,1,
278380249154,1,2,2,1,1,1,
278381749154,1,2,2,2,2,2,
278383249154,1,2,1,1,1,1,
278384749154,1,2,2,2,2,2,
278386249154,1,2,2,2,1,1,
278386749154,1,2,2,2,2,2,
278387249154,1,2,2,1,1,1,
278387749154,1,2,1,1,1,1,
278388249154,1,2,2,1,1,1,
278389249154,1,2,2,2,2,2,
278389749154,1,2,2,1,1,1,
278390249154,1,2,2,1,1,1,
278391249154,1,2,1,1,1,1,
278393249154,1,2,2,1,1,1,
278394249154,1,2,1,1,1,1,
278397249154,1,1,1,1,1,1,
278397749154,1,2,2,2,1,1,
278398749154,1,2,1,1,1,1,
278400249154,1,2,2,1,1,1,
278400749154,1,2,1,1,1,1,
278401249154,1,2,2,1,1,1,
278401749154,1,2,2,2,2,2,
278402749154,1,2,2,1,1,1,
278403749154,1,2,2,2,1,1,
278404249154,1,2,2,2,2,1,
278405249154,1,2,2,1,1,1,
278406749154,1,2,2,1,1,1,
278407249154,1,2,1,1,1,1,
278408249154,1,2,2,1,1,1,
278408749154,1,2,2,2,1,1,
278409249154,1,2,2,2,1,1,
278409749154,1,2,2,1,1,1,
278411749154,1,2,2,2,2,2,
278412249154,1,2,2,1,1,1,
278413749154,1,2,1,1,1,1,
278414249154,1,2,1,1,1,1,
278414749154,1,2,2,2,1,1,
278416749154,1,2,2,2,1,1,
278417749154,1,2,1,1,1,1,
278421749154,1,2,2,2,1,1,
278422249154,1,2,2,1,1,1,
278423249154,1,2,2,1,1,1,
278423749154,1,2,2,2,1,1,
278424749154,1,2,2,1,1,1,
278425249154,1,2,2,1,1,1,
278425749154,1,2,1,1,1,1,
278426749154,1,2,2,1,1,1,
278427249154,1,2,2,2,1,1,
278428749154,1,2,1,1,1,1,
278429249154,1,2,2,2,2,2,
278430749154,1,2,1,1,1,1,
278431249154,1,2,1,1,1,1,
278431749154,1,2,2,2,1,1,
278432749154,1,2,2,2,1,1,
278433749154,1,2,1,1,1,1,
278435249154,1,2,2,1,1,1,
278436249154,1,2,2,2,1,1,
278438249154,1,2,1,1,1,1,
278438749154,1,2,2,1,1,1,
278439249154,1,2,2,2,2,2,
278439749154,1,2,1,1,1,1,
278440749154,1,2,2,1,1,1,
278441249154,1,2,1,1,1,1,
278441749154,1,2,1,1,1,1,
278442249154,1,2,2,1,1,1,
278442749154,1,2,2,2,2,1,
278443249154,1,2,2,1,1,1,
278445249154,1,2,2,1,1,1,
278446249154,1,2,2,1,1,1,
278447749154,1,2,2,1,1,1,
278450249154,1,2,1,1,1,1,
278450749154,1,2,1,1,1,1,
278451249154,1,2,1,1,1,1,
278452749154,1,2,1,1,1,1,
278453249154,1,2,1,1,1,1,
278454249154,1,2,2,2,2,2,
278455249154,1,2,1,1,1,1,
278455749154,1,2,2,1,1,1,
278456249154,1,2,2,2,2,2,
278456749154,1,2,2,2,2,2,
278457249154,1,2,2,1,1,1,
278457749154,1,2,2,1,1,1,
278458249154,1,2,2,1,1,1,
278458749154,1,2,1,1,1,1,
278459249154,1,2,1,1,1,1,
278459749154,1,2,1,1,1,1,
278460749154,1,2,1,1,1,1,
278461249154,1,2,2,2,2,2,
278461749154,1,2,2,1,1,1,
278462749154,1,2,1,1,1,1,
278463249154,1,2,1,1,1,1,
278464249154,1,2,2,1,1,1,
278464749154,1,2,1,1,1,1,
