,W-0,R-0,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,
281945302121,1,2,2,2,1,1,1,1,1,1,1,
281946802121,1,2,1,1,1,1,1,1,1,1,1,
281947802121,1,2,2,1,1,1,1,1,1,1,1,
281948802121,1,2,1,1,1,1,1,1,1,1,1,
281949802121,1,2,1,1,1,1,1,1,1,1,1,
281950302121,1,2,1,1,1,1,1,1,1,1,1,
281950802121,1,2,2,1,1,1,1,1,1,1,1,
281951302121,1,2,2,1,1,1,1,1,1,1,1,
281951802121,1,2,1,1,1,1,1,1,1,1,1,
281952302121,1,2,1,1,1,1,1,1,1,1,1,
281953802121,1,2,1,1,1,1,1,1,1,1,1,
281954802121,1,2,1,1,1,1,1,1,1,1,1,
281955302121,1,2,1,1,1,1,1,1,1,1,1,
281955802121,1,2,1,1,1,1,1,1,1,1,1,
281956302121,1,2,1,1,1,1,1,1,1,1,1,
281956802121,1,2,2,1,1,1,1,1,1,1,1,
281957302121,1,2,1,1,1,1,1,1,1,1,1,
281957802121,1,2,1,1,1,1,1,1,1,1,1,
281958802121,1,2,1,1,1,1,1,1,1,1,1,
281959302121,1,2,2,1,1,1,1,1,1,1,1,
281959802121,1,2,1,1,1,1,1,1,1,1,1,
281960302121,1,2,2,2,2,2,2,2,2,2,2,
281961302121,1,2,1,1,1,1,1,1,1,1,1,
281962302121,1,2,1,1,1,1,1,1,1,1,1,
281962802121,1,2,1,1,1,1,1,1,1,1,1,
281964802121,1,2,1,1,1,1,1,1,1,1,1,
281965302121,1,2,1,1,1,1,1,1,1,1,1,
281965802121,1,2,1,1,1,1,1,1,1,1,1,
281966302121,1,2,1,1,1,1,1,1,1,1,1,
281966802121,1,2,1,1,1,1,1,1,1,1,1,
281969302121,1,2,1,1,1,1,1,1,1,1,1,
281970302121,1,2,1,1,1,1,1,1,1,1,1,
281970802121,1,2,1,1,1,1,1,1,1,1,1,
281971302121,1,2,2,1,1,1,1,1,1,1,1,
281971802121,1,2,2,1,1,1,1,1,1,1,1,
281972302121,1,2,1,1,1,1,1,1,1,1,1,
281973302121,1,2,1,1,1,1,1,1,1,1,1,
281973802121,1,2,1,1,1,1,1,1,1,1,1,
281974302121,1,2,1,1,1,1,1,1,1,1,1,
281976302121,1,2,2,1,1,1,1,1,1,1,1,
281976802121,1,2,1,1,1,1,1,1,1,1,1,
281978302121,1,2,1,1,1,1,1,1,1,1,1,
281978802121,1,2,2,1,1,1,1,1,1,1,1,
281979302121,1,2,1,1,1,1,1,1,1,1,1,
281979802121,1,2,1,1,1,1,1,1,1,1,1,
281980802121,1,2,2,1,1,1,1,1,1,1,1,
281982302121,1,2,1,1,1,1,1,1,1,1,1,
281982802121,1,2,1,1,1,1,1,1,1,1,1,
281983302121,1,2,1,1,1,1,1,1,1,1,1,
281984302121,1,2,2,1,1,1,1,1,1,1,1,
281985802121,1,2,2,2,2,2,2,2,2,2,2,
281986802121,1,2,1,1,1,1,1,1,1,1,1,
281988302121,1,2,2,1,1,1,1,1,1,1,1,
281988802121,1,2,1,1,1,1,1,1,1,1,1,
281989802121,1,2,2,1,1,1,1,1,1,1,1,
281990302121,1,2,1,1,1,1,1,1,1,1,1,
281991802121,1,2,1,1,1,1,1,1,1,1,1,
281992302121,1,2,1,1,1,1,1,1,1,1,1,
281992802121,1,2,2,1,1,1,1,1,1,1,1,
281993302121,1,2,1,1,1,1,1,1,1,1,1,
281995302121,1,2,1,1,1,1,1,1,1,1,1,
281997302121,1,2,2,1,1,1,1,1,1,1,1,
281997802121,1,2,1,1,1,1,1,1,1,1,1,
281999302121,1,2,1,1,1,1,1,1,1,1,1,
282000802121,1,2,1,1,1,1,1,1,1,1,1,
282003302121,1,2,1,1,1,1,1,1,1,1,1,
282003802121,1,2,2,1,1,1,1,1,1,1,1,
282004802121,1,2,2,1,1,1,1,1,1,1,1,
282005302121,1,2,1,1,1,1,1,1,1,1,1,
282005802121,1,2,2,1,1,1,1,1,1,1,1,
282006802121,1,2,2,1,1,1,1,1,1,1,1,
282009302121,1,2,1,1,1,1,1,1,1,1,1,
282009802121,1,2,1,1,1,1,1,1,1,1,1,
282010802121,1,2,1,1,1,1,1,1,1,1,1,
282011302121,1,2,2,1,1,1,1,1,1,1,1,
282011802121,1,2,2,1,1,1,1,1,1,1,1,
282012302121,1,2,1,1,1,1,1,1,1,1,1,
282014302121,1,2,1,1,1,1,1,1,1,1,1,
282015302121,1,2,1,1,1,1,1,1,1,1,1,
282017802121,1,2,1,1,1,1,1,1,1,1,1,
282018802121,1,2,1,1,1,1,1,1,1,1,1,
282019302121,1,2,1,1,1,1,1,1,1,1,1,
282021802121,1,2,2,1,1,1,1,1,1,1,1,
282022302121,1,2,1,1,1,1,1,1,1,1,1,
282023302121,1,2,1,1,1,1,1,1,1,1,1,
282025802121,1,2,2,1,1,1,1,1,1,1,1,
282027302121,1,2,1,1,1,1,1,1,1,1,1,
282027802121,1,2,1,1,1,1,1,1,1,1,1,
282028302121,1,2,1,1,1,1,1,1,1,1,1,
282028802121,1,2,2,1,1,1,1,1,1,1,1,
282029302121,1,2,1,1,1,1,1,1,1,1,1,
282029802121,1,2,1,1,1,1,1,1,1,1,1,
282030302121,1,2,1,1,1,1,1,1,1,1,1,
282031802121,1,2,1,1,1,1,1,1,1,1,1,
282032302121,1,2,2,1,1,1,1,1,1,1,1,
282032802121,1,2,1,1,1,1,1,1,1,1,1,
282035302121,1,2,1,1,1,1,1,1,1,1,1,
282035802121,1,2,1,1,1,1,1,1,1,1,1,
282036802121,1,2,2,2,1,1,1,1,1,1,1,
282037802121,1,2,2,2,1,1,1,1,1,1,1,
282038302121,1,2,1,1,1,1,1,1,1,1,1,
282038802121,1,2,2,1,1,1,1,1,1,1,1,
282039302121,1,2,2,2,2,2,2,1,1,1,1,
282041802121,1,2,1,1,1,1,1,1,1,1,1,
282043802121,1,2,1,1,1,1,1,1,1,1,1,
282044302121,1,2,2,1,1,1,1,1,1,1,1,
282044802121,1,2,2,1,1,1,1,1,1,1,1,
282045302121,1,2,1,1,1,1,1,1,1,1,1,
282045802121,1,2,1,1,1,1,1,1,1,1,1,
282046302121,1,2,2,2,2,2,2,2,2,2,2,
282047802121,1,2,2,2,2,2,2,1,1,1,1,
282048802121,1,2,1,1,1,1,1,1,1,1,1,
282049302121,1,2,1,1,1,1,1,1,1,1,1,
282049802121,1,2,1,1,1,1,1,1,1,1,1,
282050302121,1,2,1,1,1,1,1,1,1,1,1,
282051802121,1,2,2,1,1,1,1,1,1,1,1,
282052302121,1,2,1,1,1,1,1,1,1,1,1,
282053302121,1,2,1,1,1,1,1,1,1,1,1,
282055302121,1,2,1,1,1,1,1,1,1,1,1,
282056302121,1,1,1,1,1,1,1,1,1,1,1,
282057302121,1,2,1,1,1,1,1,1,1,1,1,
282058302121,1,2,1,1,1,1,1,1,1,1,1,
282058802121,1,2,2,2,1,1,1,1,1,1,1,
282060302121,1,2,1,1,1,1,1,1,1,1,1,
282062802121,1,2,1,1,1,1,1,1,1,1,1,
282063802121,1,2,1,1,1,1,1,1,1,1,1,
282066302121,1,2,1,1,1,1,1,1,1,1,1,
282066802121,1,2,2,1,1,1,1,1,1,1,1,
282067302121,1,2,1,1,1,1,1,1,1,1,1,
282067802121,1,2,2,2,2,2,2,2,2,2,2,
282069302121,1,2,2,1,1,1,1,1,1,1,1,
282069802121,1,2,1,1,1,1,1,1,1,1,1,
282070302121,1,1,1,1,1,1,1,1,1,1,1,
282072302121,1,2,1,1,1,1,1,1,1,1,1,
282073802121,1,2,1,1,1,1,1,1,1,1,1,
282074302121,1,2,1,1,1,1,1,1,1,1,1,
282074802121,1,2,1,1,1,1,1,1,1,1,1,
282075302121,1,2,1,1,1,1,1,1,1,1,1,
282075802121,1,2,1,1,1,1,1,1,1,1,1,
282076302121,1,2,1,1,1,1,1,1,1,1,1,
282076802121,1,2,1,1,1,1,1,1,1,1,1,
282078302121,1,2,1,1,1,1,1,1,1,1,1,
282079302121,1,2,1,1,1,1,1,1,1,1,1,
282079802121,1,2,1,1,1,1,1,1,1,1,1,
282080302121,1,2,1,1,1,1,1,1,1,1,1,
282080802121,1,2,1,1,1,1,1,1,1,1,1,
282081802121,1,2,1,1,1,1,1,1,1,1,1,
282082802121,1,2,1,1,1,1,1,1,1,1,1,
282083802121,1,2,2,1,1,1,1,1,1,1,1,
282084302121,1,2,1,1,1,1,1,1,1,1,1,
282084802121,1,2,2,2,1,1,1,1,1,1,1,
282087302121,1,2,1,1,1,1,1,1,1,1,1,
282089302121,1,2,1,1,1,1,1,1,1,1,1,
282090802121,1,2,1,1,1,1,1,1,1,1,1,
282092802121,1,2,2,1,1,1,1,1,1,1,1,
282093302121,1,2,2,1,1,1,1,1,1,1,1,
282094302121,1,2,1,1,1,1,1,1,1,1,1,
282095302121,1,2,1,1,1,1,1,1,1,1,1,
282095802121,1,2,1,1,1,1,1,1,1,1,1,
282096302121,1,2,1,1,1,1,1,1,1,1,1,
282098802121,1,2,2,1,1,1,1,1,1,1,1,
282099802121,1,2,1,1,1,1,1,1,1,1,1,
282101302121,1,2,2,1,1,1,1,1,1,1,1,
282103802121,1,2,2,2,2,2,2,2,2,1,1,
282105302121,1,2,1,1,1,1,1,1,1,1,1,
282106802121,1,2,1,1,1,1,1,1,1,1,1,
282108302121,1,2,1,1,1,1,1,1,1,1,1,
282109802121,1,2,1,1,1,1,1,1,1,1,1,
282110302121,1,2,1,1,1,1,1,1,1,1,1,
282110802121,1,2,1,1,1,1,1,1,1,1,1,
282111302121,1,2,1,1,1,1,1,1,1,1,1,
282111802121,1,2,2,1,1,1,1,1,1,1,1,
282112802121,1,2,2,1,1,1,1,1,1,1,1,
282113302121,1,2,1,1,1,1,1,1,1,1,1,
282113802121,1,2,1,1,1,1,1,1,1,1,1,
282114802121,1,2,1,1,1,1,1,1,1,1,1,
282116802121,1,2,2,1,1,1,1,1,1,1,1,
282117802121,1,2,2,2,2,2,1,1,1,1,1,
282120802121,1,2,1,1,1,1,1,1,1,1,1,
282121302121,1,1,1,1,1,1,1,1,1,1,1,
282122302121,1,2,1,1,1,1,1,1,1,1,1,
282123802121,1,2,1,1,1,1,1,1,1,1,1,
282124302121,1,2,1,1,1,1,1,1,1,1,1,
282124802121,1,2,1,1,1,1,1,1,1,1,1,
282125302121,1,2,1,1,1,1,1,1,1,1,1,
282126302121,1,2,2,1,1,1,1,1,1,1,1,
282127302121,1,2,2,2,1,1,1,1,1,1,1,
282127802121,1,2,1,1,1,1,1,1,1,1,1,
282128802121,1,2,1,1,1,1,1,1,1,1,1,
282130302121,1,2,1,1,1,1,1,1,1,1,1,
282130802121,1,2,1,1,1,1,1,1,1,1,1,
282131802121,1,2,1,1,1,1,1,1,1,1,1,
282132302121,1,2,1,1,1,1,1,1,1,1,1,
282132802121,1,2,1,1,1,1,1,1,1,1,1,
282133302121,1,2,1,1,1,1,1,1,1,1,1,
282135302121,1,2,1,1,1,1,1,1,1,1,1,
282135802121,1,2,2,1,1,1,1,1,1,1,1,
282137302121,1,2,1,1,1,1,1,1,1,1,1,
282137802121,1,2,1,1,1,1,1,1,1,1,1,
282138302121,1,2,1,1,1,1,1,1,1,1,1,
282140302121,1,2,1,1,1,1,1,1,1,1,1,
282141302121,1,2,1,1,1,1,1,1,1,1,1,
282145302121,1,2,1,1,1,1,1,1,1,1,1,
282145802121,1,2,1,1,1,1,1,1,1,1,1,
282146802121,1,1,1,1,1,1,1,1,1,1,1,
282147302121,1,2,1,1,1,1,1,1,1,1,1,
282148302121,1,2,1,1,1,1,1,1,1,1,1,
282148802121,1,2,2,1,1,1,1,1,1,1,1,
282149302121,1,2,1,1,1,1,1,1,1,1,1,
282150302121,1,2,1,1,1,1,1,1,1,1,1,
282150802121,1,2,1,1,1,1,1,1,1,1,1,
282152302121,1,2,1,1,1,1,1,1,1,1,1,
282152802121,1,2,2,1,1,1,1,1,1,1,1,
282154302121,1,2,1,1,1,1,1,1,1,1,1,
282154802121,1,2,2,1,1,1,1,1,1,1,1,
282155302121,1,2,1,1,1,1,1,1,1,1,1,
282156302121,1,2,2,2,2,2,2,2,2,1,1,
282157302121,1,2,2,1,1,1,1,1,1,1,1,
282158802121,1,2,2,1,1,1,1,1,1,1,1,
282159802121,1,2,1,1,1,1,1,1,1,1,1,
282161802121,1,2,2,1,1,1,1,1,1,1,1,
282162302121,1,2,1,1,1,1,1,1,1,1,1,
282162802121,1,2,1,1,1,1,1,1,1,1,1,
