,W-0,R-0,R-1,R-2,R-3,R-4,
277606510978,26905,38910,40742,42783,41581,40329,
277608010978,8247,19538,21410,8443,9103,19074,
277609010978,4620,16313,16760,6056,13399,15516,
277610010978,9516,14818,12723,12980,14632,14439,
277611010978,17494,19704,31547,18432,18846,19190,
277611510978,5620,14397,16245,5784,7126,9228,
277612010978,38772,60101,59786,59480,56911,57904,
277612510978,6307,19653,19725,7173,8793,18093,
277613010978,3546,12334,14414,5919,7172,9152,
277613510978,19084,25700,32649,32998,32662,28776,
277615010978,8136,15599,23207,23268,13803,14482,
277616010978,10344,16922,10747,11433,13419,14101,
277616510978,8020,22117,21806,8646,9319,9729,
277617010978,8724,14573,15725,28239,9262,11074,
277617510978,4124,27672,28720,8485,8906,11078,
277618010978,5003,14943,4928,7012,8646,10099,
277618510978,113750,115418,134848,134965,134857,136187,
277619010978,4729,16468,5185,6309,9814,9804,
277620010978,3503,14374,3726,5896,8721,9908,
277620510978,4740,17347,5411,7822,10217,10400,
277621010978,5953,15550,16303,8159,11274,13559,
277621510978,7147,14832,19201,7194,8450,13003,
277622510978,6695,13374,18749,6882,9157,10504,
277623510978,118476,133228,133574,132317,131863,129288,
277624010978,4315,14417,15148,6717,7628,9530,
277626010978,9458,10267,10679,10505,12721,11797,
277626510978,2992,13698,5165,10930,12319,12539,
277627010978,3650,14675,15121,5324,7147,9070,
277627510978,3962,18986,4601,5118,7271,9506,
277628010978,5411,19942,6632,12975,13307,14760,
277630510978,16002,19613,19304,16328,18692,18562,
277631510978,8213,17365,17630,19759,9069,10199,
277632010978,11502,15516,22271,11304,11481,11694,
277632510978,11650,28230,28293,12375,13538,13391,
277633010978,4841,26825,18493,6992,8817,10685,
277633510978,5272,15351,16716,7392,8869,10843,
277634510978,6789,15825,7486,7692,8272,9761,
277635010978,16615,18382,17447,19301,18122,18247,
277635510978,5150,17091,6721,7078,7410,10244,
277637510978,10758,19425,18331,10377,12779,13159,
277638010978,4965,14331,15083,5308,7203,11383,
277639510978,4922,18556,4897,8163,8775,13736,
277640010978,10401,15603,21755,11922,12171,12621,
277640510978,5888,14662,23438,7580,10217,12348,
277641010978,6366,13800,6545,6790,7764,9128,
277642010978,6954,17224,8798,8108,8756,9891,
277643510978,13768,16353,17441,17589,21187,23794,
277644010978,6800,15337,15966,7809,8050,9678,
277644510978,5545,16732,5904,6938,8765,10712,
277645510978,4383,16815,16654,6607,8284,10148,
277647010978,63895,82641,83262,81902,81645,82817,
277648010978,4385,14856,14886,7303,13740,14378,
277649510978,105173,119116,120653,124109,123261,123097,
277650010978,4651,13729,6138,6748,7859,10661,
277651010978,3598,12657,14324,9422,9618,10055,
277651510978,5115,18293,4879,9374,9451,9934,
277653010978,7021,16943,7326,8691,10358,11144,
277653510978,123240,122464,123332,123770,123679,127780,
277654010978,3651,14494,5797,5950,7559,9703,
277654510978,7487,16635,17751,6780,9763,12223,
277656510978,13265,16627,27170,15465,16016,16384,
277658510978,16765,17278,18827,18596,27861,27328,
277659010978,4730,13910,14811,5755,7451,13208,
277660510978,5683,13684,5791,7202,7416,9735,
277662010978,4529,15224,15442,5119,9074,9496,
277664510978,3898,20709,21373,5664,19333,20412,
277665010978,3745,14544,7002,7239,8891,9294,
277666010978,4218,13225,15330,5269,7105,9833,
277666510978,7230,16225,16486,5336,8722,11209,
