,W-0,R-0,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,
280278335236,12423,117952,15551,25389,35854,43030,53311,63999,75842,84187,94708,
280279835236,7554,107521,28699,29459,34762,46447,54065,65240,76709,82462,95070,
280280835236,68840,166384,166875,168222,171737,67497,68824,72294,75305,87288,101382,
280281835236,14476,150020,14478,21112,31551,42303,51245,63875,146576,147549,148606,
280282835236,8039,110079,15058,22855,31508,41508,52751,60992,72815,95577,95393,
280283335236,10847,12186,13505,22219,31454,57143,56973,64052,70948,82910,92348,
280283835236,3618,115807,12443,22605,40844,44066,59053,62531,71971,81961,92040,
280284335236,26895,119606,120299,34100,35229,41585,56753,69844,72545,83118,91287,
280284835236,11018,103274,11633,22652,32625,44463,52384,61532,79710,82810,91839,
280285335236,186598,206950,220815,221999,221737,222641,192587,192069,191371,191854,192892,
280286835236,5299,106560,11612,22488,31313,44544,51377,69956,71988,83736,92806,
280287835236,3988,107263,12557,23825,32014,41384,52903,61388,71992,85707,93386,
280288335236,3992,104565,21408,21881,32432,44691,51231,63434,76895,81629,91995,
280288835236,12675,107666,19848,21660,31414,41466,58931,62471,72987,81705,91186,
280289335236,6687,106690,16419,26952,36411,43990,52363,64891,80428,83462,100376,
280289835236,9943,103048,11932,25490,34880,52399,53351,61974,72702,82036,91207,
280290335236,5264,104934,13282,22972,50047,48526,59097,66974,72121,85001,95289,
280290835236,4254,107087,12962,30631,34748,42406,52999,67374,72947,84886,103253,
280291835236,4703,104013,11972,21942,34321,42531,51902,61390,71318,81240,92300,
280292335236,5978,103121,16659,27898,33334,41180,51278,64212,72071,87105,93644,
280292835236,6512,107152,12529,26966,32906,45436,55618,62936,81472,84576,92635,
280293335236,4301,113038,23682,24964,32264,42020,53956,62662,71994,83196,91469,
280294335236,7914,108227,13887,21742,32469,49508,52909,62820,71380,82520,94851,
280295335236,8051,116885,12555,32028,33440,47947,55930,63558,72306,83671,91289,
280295835236,7335,110408,19214,25553,35919,44105,52300,68480,77323,82596,93000,
280297835236,6305,103191,11833,24880,32735,42248,51364,62393,72849,81616,91377,
280298335236,4189,109882,15310,22915,33150,43448,51047,60921,71282,81297,91229,
280298835236,5147,106255,11738,23807,32885,41408,64988,64720,76809,84746,93245,
280299335236,4505,116307,13204,31871,32923,41180,54723,61753,73475,82256,91117,
280299835236,7147,105755,28058,29514,33372,41386,53225,63014,77684,83166,91467,
280302335236,4242,103227,22400,22164,41008,42913,56577,65393,71148,81002,92105,
280303335236,5197,103879,14963,23002,41180,55485,56109,62270,71192,81957,91306,
280303835236,12582,117000,14397,26238,33225,44213,52565,62677,74846,83224,111250,
280304335236,21270,113099,22611,23077,33214,49389,54648,63448,80431,83177,95027,
280304835236,7990,109349,12506,21689,35649,43151,52169,61357,71206,91033,92846,
280305335236,5970,108985,18466,21687,33813,42311,51183,61223,73670,85302,93343,
280306335236,4069,105853,12451,39085,39612,46491,55396,63382,71550,81232,102356,
280306835236,10983,103090,15227,21381,31342,42129,51274,63260,76287,82310,92621,
280307335236,4338,108948,12182,22343,33885,50648,51825,69398,72705,81565,94591,
280309335236,9548,104525,11457,21978,33511,45611,52321,66936,71330,85050,94750,
