Time(micros),Thread, Start(micros),Delay (micros),Value
278221749154,W-0,1229,42250,278221749154
278221749154,R-0,373,22567,null
278221749154,R-0,32770,37483,null
278221749154,R-0,47730,49392,278221749154
278221749154,R-1,3052,9903,null
278221749154,R-1,21746,26397,null
278221749154,R-1,36614,42497,278221749154
278221749154,R-2,4216,11961,null
278221749154,R-2,24119,34234,null
278221749154,R-2,45481,47082,278221749154
278221749154,R-3,6216,14831,null
278221749154,R-3,25165,35718,null
278221749154,R-3,45963,48943,278221749154
278221749154,R-4,12660,24472,null
278221749154,R-4,35181,37658,null
278221749154,R-4,47835,50629,278221749154
278223249154,W-0,919,11961,278223249154
278223249154,R-0,391,10664,null
278223249154,R-0,20976,26480,278223249154
278223249154,R-1,2190,9502,null
278223249154,R-1,19835,26296,278223249154
278223249154,R-2,4606,10776,null
278223249154,R-2,21079,26674,278223249154
278223249154,R-3,6189,13032,278223249154
278223249154,R-4,8295,14227,278223249154
278224249154,W-0,314,7351,278224249154
278224249154,R-0,302,2114,null
278224249154,R-0,12354,19686,278224249154
278224249154,R-1,2315,4441,null
278224249154,R-1,14670,20531,278224249154
278224249154,R-2,4196,7840,null
278224249154,R-2,18109,20360,278224249154
278224249154,R-3,6177,8068,278224249154
278224249154,R-4,8316,19204,278224249154
278225249154,W-0,198,14893,278225249154
278225249154,R-0,181,2529,null
278225249154,R-0,12758,15417,278225249154
278225249154,R-1,2191,3654,null
278225249154,R-1,13961,18095,278225249154
278225249154,R-2,4483,14154,null
278225249154,R-2,24545,41143,278225249154
278225249154,R-3,6187,14353,null
278225249154,R-3,24975,41648,278225249154
278225249154,R-4,8199,14982,null
278225249154,R-4,25216,41895,278225249154
278226249154,W-0,245,97122,278226249154
278226249154,R-0,558,3313,null
278226249154,R-0,13552,98175,278226249154
278226249154,R-1,2734,93471,null
278226249154,R-1,103803,122444,278226249154
278226249154,R-2,4127,97917,null
278226249154,R-2,113546,131958,278226249154
278226249154,R-3,6253,97130,null
278226249154,R-3,107451,123043,278226249154
278226249154,R-4,8191,97665,null
278226249154,R-4,107966,124262,278226249154
278226749154,W-0,178,7745,278226749154
278226749154,R-0,391,5403,null
278226749154,R-0,15618,16748,278226749154
278226749154,R-1,2469,6229,null
278226749154,R-1,16441,33397,278226749154
278226749154,R-2,4403,6533,null
278226749154,R-2,16988,34447,278226749154
278226749154,R-3,6951,8802,278226749154
278226749154,R-4,8201,13702,278226749154
278227249154,W-0,261,5021,278227249154
278227249154,R-0,217,2939,null
278227249154,R-0,13178,14413,278227249154
278227249154,R-1,2285,3797,null
278227249154,R-1,14103,15349,278227249154
278227249154,R-2,4198,5781,278227249154
278227249154,R-3,6187,8485,278227249154
278227249154,R-4,8220,9471,278227249154
278227749154,W-0,504,5689,278227749154
278227749154,R-0,298,1690,null
278227749154,R-0,11958,14225,278227749154
278227749154,R-1,2258,3321,null
278227749154,R-1,13579,16709,278227749154
278227749154,R-2,4185,5304,null
278227749154,R-2,15987,20333,278227749154
278227749154,R-3,6166,7202,278227749154
278227749154,R-4,8192,9064,278227749154
278228249154,W-0,551,9756,278228249154
278228249154,R-0,245,1830,null
278228249154,R-0,12212,13969,278228249154
278228249154,R-1,2191,9014,null
278228249154,R-1,19272,21095,278228249154
278228249154,R-2,4249,11357,278228249154
278228249154,R-3,6198,10156,278228249154
278228249154,R-4,8207,11179,278228249154
278228749154,W-0,290,3591,278228749154
278228749154,R-0,409,1575,null
278228749154,R-0,11819,15223,278228749154
278228749154,R-1,2220,12700,278228749154
278228749154,R-2,4222,13453,278228749154
278228749154,R-3,6190,14999,278228749154
278228749154,R-4,8212,15241,278228749154
278230249154,W-0,665,14504,278230249154
278230249154,R-0,307,2710,null
278230249154,R-0,12956,18369,278230249154
278230249154,R-1,2339,14139,null
278230249154,R-1,24581,28889,278230249154
278230249154,R-2,4213,14977,278230249154
278230249154,R-3,6190,15957,278230249154
278230249154,R-4,8218,17462,278230249154
278231249154,W-0,207,5476,278231249154
278231249154,R-0,382,2593,null
278231249154,R-0,13083,14507,278231249154
278231249154,R-1,2255,5917,278231249154
278231249154,R-2,4186,6534,278231249154
278231249154,R-3,6246,7296,278231249154
278231249154,R-4,8206,13458,278231249154
278231749154,W-0,211,6511,278231749154
278231749154,R-0,403,2707,null
278231749154,R-0,12927,24046,278231749154
278231749154,R-1,2274,5562,null
278231749154,R-1,15778,21921,278231749154
278231749154,R-2,4306,9541,278231749154
278231749154,R-3,6172,11899,278231749154
278231749154,R-4,8259,12485,278231749154
278232249154,W-0,599,5131,278232249154
278232249154,R-0,396,3311,null
278232249154,R-0,13715,21392,278232249154
278232249154,R-1,2142,3164,null
278232249154,R-1,13444,21141,278232249154
278232249154,R-2,4170,6494,278232249154
278232249154,R-3,6218,9051,278232249154
278232249154,R-4,8220,10753,278232249154
278232749154,W-0,259,4613,278232749154
278232749154,R-0,465,3680,null
278232749154,R-0,13924,25137,278232749154
278232749154,R-1,2199,4809,null
278232749154,R-1,15085,25474,278232749154
278232749154,R-2,4199,5279,278232749154
278232749154,R-3,6175,8110,278232749154
