,W-0,R-0,R-1,R-2,R-3,R-4,
277607010978,1,2,1,1,1,1,
277607510978,1,2,2,2,2,1,
277608510978,1,2,2,2,2,2,
277609510978,1,2,2,2,2,2,
277610510978,1,2,1,1,1,1,
277614010978,1,2,1,1,1,1,
277614510978,1,2,1,1,1,1,
277615510978,1,2,2,1,1,1,
277619510978,1,2,2,1,1,1,
277622010978,1,2,2,2,2,2,
277623010978,1,2,2,1,1,1,
277624510978,1,2,2,2,1,1,
277625010978,1,2,1,1,1,1,
277625510978,1,2,2,1,1,1,
277628510978,1,2,2,1,1,1,
277629010978,1,2,1,1,1,1,
277629510978,1,2,2,1,1,1,
277630010978,1,2,2,2,2,2,
277631010978,1,2,2,1,1,1,
277634010978,1,2,1,1,1,1,
277636010978,1,2,2,1,1,1,
277636510978,1,2,2,1,1,1,
277637010978,1,2,2,1,1,1,
277638510978,1,2,2,1,1,1,
277639010978,1,2,2,1,1,1,
277641510978,1,2,1,1,1,1,
277642510978,1,2,2,1,1,1,
277643010978,1,2,1,1,1,1,
277645010978,1,2,1,1,1,1,
277646010978,1,2,2,1,1,1,
277646510978,1,2,2,2,1,1,
277647510978,1,2,2,1,1,1,
277648510978,1,2,2,2,2,2,
277649010978,1,2,1,1,1,1,
277650510978,1,2,2,1,1,1,
277652010978,1,2,1,1,1,1,
277652510978,1,2,2,1,1,1,
277655010978,1,2,2,1,1,1,
277655510978,1,2,2,1,1,1,
277656010978,1,2,2,1,1,1,
277657010978,1,2,2,2,1,1,
277657510978,1,2,2,1,1,1,
277658010978,1,2,2,1,1,1,
277659510978,1,2,2,1,1,1,
277660010978,1,2,2,1,1,1,
277661010978,1,2,2,1,1,1,
277661510978,1,2,2,1,1,1,
277662510978,1,2,2,1,1,1,
277663010978,1,2,2,1,1,1,
277663510978,1,2,2,2,2,2,
277664010978,1,2,2,1,1,1,
277665510978,1,2,1,1,1,1,
277667510978,1,2,2,1,1,1,
277668510978,1,2,2,2,2,2,
277669010978,1,2,1,1,1,1,
277669510978,1,2,1,1,1,1,
277670010978,1,2,2,2,1,1,
277671510978,1,2,2,1,1,1,
277674010978,1,2,1,1,1,1,
277674510978,1,2,1,1,1,1,
277675010978,1,2,2,1,1,1,
277676010978,1,1,1,1,1,1,
277677010978,1,2,2,1,1,1,
277677510978,1,2,2,1,1,1,
277678010978,1,2,2,1,1,1,
277678510978,1,2,1,1,1,1,
277679510978,1,2,1,1,1,1,
277681010978,1,2,1,1,1,1,
277681510978,1,2,2,1,1,1,
277682010978,1,2,1,1,1,1,
277682510978,1,2,1,1,1,1,
277684010978,1,2,2,1,1,1,
277685010978,1,2,1,1,1,1,
277685510978,1,2,2,1,1,1,
277686010978,1,2,2,1,1,1,
277686510978,1,2,2,1,1,1,
277687510978,1,2,1,1,1,1,
277688010978,1,2,1,1,1,1,
277692010978,1,2,2,1,1,1,
277692510978,1,2,2,1,1,1,
277694510978,1,2,2,1,1,1,
277695010978,1,2,2,1,1,1,
277695510978,1,2,2,2,2,1,
277696010978,1,2,1,1,1,1,
277697510978,1,2,2,2,1,1,
277698510978,1,2,2,1,1,1,
277701010978,1,2,1,1,1,1,
277701510978,1,2,2,1,1,1,
277702010978,1,2,2,2,1,1,
277702510978,1,2,2,1,1,1,
277703510978,1,2,2,2,2,2,
277704010978,1,2,1,1,1,1,
277704510978,1,2,1,1,1,1,
277708010978,1,2,2,2,1,1,
277708510978,1,2,2,1,1,1,
277709510978,1,2,1,1,1,1,
277712010978,1,2,2,2,2,2,
277712510978,1,2,2,1,1,1,
277714010978,1,2,2,2,1,1,
277715010978,1,2,2,1,1,1,
277715510978,1,2,1,1,1,1,
277716010978,1,2,2,1,1,1,
277717010978,1,2,2,2,1,1,
277718010978,1,2,2,2,2,2,
277719010978,1,2,2,1,1,1,
277720510978,1,2,1,1,1,1,
277721010978,1,2,2,1,1,1,
277722010978,1,2,2,1,1,1,
277722510978,1,1,1,1,1,1,
277723010978,1,2,1,1,1,1,
277723510978,1,2,2,2,1,1,
277724510978,1,2,2,1,1,1,
277725510978,1,2,2,1,1,1,
277726010978,1,2,2,1,1,1,
277726510978,1,2,2,1,1,1,
277727010978,1,2,1,1,1,1,
277729510978,1,2,1,1,1,1,
277730010978,1,2,2,1,1,1,
277732010978,1,2,2,1,1,1,
277732510978,1,2,2,1,1,1,
277733010978,1,2,2,1,1,1,
277734010978,1,2,2,1,1,1,
277734510978,1,2,2,1,1,1,
277738510978,1,2,2,1,1,1,
277739010978,1,2,2,1,1,1,
277740010978,1,2,1,1,1,1,
277742510978,1,2,1,1,1,1,
277743510978,1,2,2,1,1,1,
277744510978,1,2,2,1,1,1,
277746510978,1,2,1,1,1,1,
277747010978,1,2,1,1,1,1,
277747510978,1,2,2,1,1,1,
277748010978,1,2,2,1,1,1,
277749010978,1,2,1,1,1,1,
277749510978,1,2,2,1,1,1,
277750010978,1,2,2,1,1,1,
277751010978,1,2,2,1,1,1,
277751510978,1,2,2,1,1,1,
277752510978,1,2,2,1,1,1,
277753010978,1,2,1,1,1,1,
277753510978,1,2,1,1,1,1,
277755010978,1,1,1,1,1,1,
277756010978,1,2,1,1,1,1,
