,W-0,R-0,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,
281945802121,1,2,2,1,1,1,1,1,1,1,1,
281946302121,1,2,1,1,1,1,1,1,1,1,1,
281947302121,1,2,2,1,1,1,1,1,1,1,1,
281948302121,1,2,2,1,1,1,1,1,1,1,1,
281949302121,1,2,1,1,1,1,1,1,1,1,1,
281952802121,1,2,1,1,1,1,1,1,1,1,1,
281953302121,1,2,1,1,1,1,1,1,1,1,1,
281954302121,1,2,2,1,1,1,1,1,1,1,1,
281958302121,1,2,1,1,1,1,1,1,1,1,1,
281960802121,1,2,1,1,1,1,1,1,1,1,1,
281961802121,1,2,1,1,1,1,1,1,1,1,1,
281963302121,1,2,1,1,1,1,1,1,1,1,1,
281963802121,1,2,1,1,1,1,1,1,1,1,1,
281964302121,1,2,1,1,1,1,1,1,1,1,1,
281967302121,1,2,1,1,1,1,1,1,1,1,1,
281967802121,1,2,1,1,1,1,1,1,1,1,1,
281968302121,1,2,1,1,1,1,1,1,1,1,1,
281968802121,1,2,1,1,1,1,1,1,1,1,1,
281969802121,1,2,1,1,1,1,1,1,1,1,1,
281972802121,1,2,1,1,1,1,1,1,1,1,1,
281974802121,1,2,1,1,1,1,1,1,1,1,1,
281975302121,1,2,2,1,1,1,1,1,1,1,1,
281975802121,1,2,2,1,1,1,1,1,1,1,1,
281977302121,1,2,1,1,1,1,1,1,1,1,1,
281977802121,1,2,1,1,1,1,1,1,1,1,1,
281980302121,1,2,2,1,1,1,1,1,1,1,1,
281981302121,1,2,1,1,1,1,1,1,1,1,1,
281981802121,1,2,2,1,1,1,1,1,1,1,1,
281983802121,1,2,1,1,1,1,1,1,1,1,1,
281984802121,1,2,1,1,1,1,1,1,1,1,1,
281985302121,1,2,1,1,1,1,1,1,1,1,1,
281986302121,1,2,2,1,1,1,1,1,1,1,1,
281987302121,1,2,1,1,1,1,1,1,1,1,1,
281987802121,1,2,2,2,1,1,1,1,1,1,1,
281989302121,1,2,1,1,1,1,1,1,1,1,1,
281990802121,1,2,1,1,1,1,1,1,1,1,1,
281991302121,1,2,1,1,1,1,1,1,1,1,1,
281993802121,1,2,1,1,1,1,1,1,1,1,1,
281994302121,1,2,2,1,1,1,1,1,1,1,1,
281994802121,1,2,1,1,1,1,1,1,1,1,1,
281995802121,1,2,1,1,1,1,1,1,1,1,1,
281996302121,1,2,1,1,1,1,1,1,1,1,1,
281996802121,1,2,1,1,1,1,1,1,1,1,1,
281998302121,1,2,1,1,1,1,1,1,1,1,1,
281998802121,1,2,2,1,1,1,1,1,1,1,1,
281999802121,1,2,1,1,1,1,1,1,1,1,1,
282000302121,1,2,1,1,1,1,1,1,1,1,1,
282001302121,1,2,2,1,1,1,1,1,1,1,1,
282001802121,1,2,2,1,1,1,1,1,1,1,1,
282002302121,1,2,1,1,1,1,1,1,1,1,1,
282002802121,1,2,1,1,1,1,1,1,1,1,1,
282004302121,1,2,1,1,1,1,1,1,1,1,1,
282006302121,1,2,2,1,1,1,1,1,1,1,1,
282007302121,1,2,1,1,1,1,1,1,1,1,1,
282007802121,1,2,1,1,1,1,1,1,1,1,1,
