,W-0,R-0,R-1,R-2,R-3,R-4,
277607010978,4262,17194,4473,8075,8787,9515,
277607510978,19375,22583,25812,24544,30308,20187,
277608510978,174744,189250,188492,189991,191532,191396,
277609510978,92307,112732,112364,112580,113813,117287,
277610510978,4496,15133,4625,5680,7754,9635,
277614010978,3216,13491,4660,5371,7319,9064,
277614510978,7169,19976,7404,10955,11624,12211,
277615510978,5282,13012,16189,7321,8784,11321,
277619510978,7332,29583,29798,7805,27255,29310,
277622010978,16780,23457,23743,25199,23516,25530,
277623010978,6594,19492,19803,6604,17527,18593,
277624510978,10816,18345,22496,22668,10946,14558,
277625010978,5069,15609,5312,7105,9755,9174,
277625510978,6062,13778,17162,6262,7701,10005,
277628510978,4819,22010,22261,6863,7261,9257,
277629010978,7104,18593,7934,7620,9960,10200,
277629510978,9521,16322,22692,10485,10626,10653,
277630010978,15745,25432,27530,27726,27857,28090,
277631010978,4972,14749,20809,7078,7932,10551,
277634010978,5124,20529,8200,8630,9008,11646,
277636010978,4613,13393,17426,5723,12091,12603,
277636510978,5176,19344,19868,5998,16285,16539,
277637010978,7252,17565,17240,7497,7926,9633,
277638510978,7561,18391,19304,7673,10656,10933,
277639010978,6940,16379,22337,13674,13900,14881,
277641510978,5711,32291,6526,6532,28811,31788,
277642510978,14788,20279,28351,19483,19875,20474,
277643010978,9459,14793,9888,10365,12388,12329,
277645010978,4656,16972,5735,6934,7966,9520,
277646010978,8600,14186,16409,8689,8491,9279,
277646510978,7530,19361,26516,19745,7368,13685,
277647510978,6559,14284,34980,5984,9144,9842,
277648510978,22618,29570,29285,30090,22410,24155,
277649010978,11624,14837,12220,13143,13381,14584,
277650510978,4583,15241,17427,6905,7311,10157,
277652010978,3683,12972,7926,10422,10094,10711,
277652510978,7056,14500,17764,7226,7979,9184,
277655010978,10811,17834,24864,11365,14209,14619,
277655510978,5510,14190,17293,5990,7317,11531,
277656010978,5054,15291,17637,10290,12858,12620,
277657010978,7111,15757,17250,18387,7909,9805,
277657510978,5369,16871,17168,5547,10090,10106,
277658010978,4974,21192,20884,6823,7184,9562,
277659510978,5432,14580,15522,5964,7641,11785,
277660010978,6682,30340,31210,7303,8797,10065,
277661010978,7112,22138,23929,8715,11260,12653,
277661510978,3511,22259,23473,6913,7388,10009,
277662510978,4607,15884,20884,9719,10775,11105,
277663010978,4635,19059,21564,6355,7603,9799,
277663510978,24873,27461,27470,28078,26516,42122,
277664010978,4480,13370,15325,5506,9752,10351,
277665510978,7976,39365,7757,9060,11518,13910,
277667510978,5165,18866,18156,6360,7540,17677,
277668510978,124569,123797,124018,124159,123221,123004,
277669010978,8894,21107,11091,10908,11183,11477,
277669510978,5287,19866,5170,12931,13677,14328,
277670010978,5821,21505,21064,21962,8387,17449,
277671510978,9399,12932,36451,10944,10585,10732,
277674010978,3254,22721,4056,5157,7308,11112,
277674510978,6951,14927,6598,8361,13145,13470,
277675010978,4761,16559,18829,6275,9364,10141,
277676010978,3916,4761,7508,7654,12224,12176,
277677010978,10915,24000,21793,11323,14823,15010,
277677510978,11948,19198,20278,12202,12385,13337,
