,W-0,R-0,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,
280278835236,4868,108037,16083,32835,36614,42128,57236,71314,72306,83808,97474,
280279335236,5117,110156,15222,21572,31382,43376,62463,63638,73974,82376,92029,
280280335236,9588,109749,11880,23534,33542,48950,52452,66538,81398,82122,91906,
280281335236,7712,121994,19264,32054,33540,49808,53740,63547,73933,81591,94153,
280282335236,5340,107846,11397,22607,37377,44222,55743,64181,72659,81198,100367,
280285835236,11752,111842,21472,23065,50513,49659,54087,61350,76949,87067,91481,
280286335236,12853,13979,14717,34641,34856,44894,53149,62228,72737,81660,91597,
280287335236,4856,107941,11557,29917,35537,51416,61838,63142,76708,83622,94168,
280291335236,4711,106474,11300,33046,35220,42452,52058,64503,71241,81241,95752,
280293835236,3650,104345,12589,27426,34934,46909,52511,61083,70976,81285,92483,
280294835236,10518,105559,11320,24279,49150,48855,54613,82239,83663,85945,94281,
280296335236,9576,108329,13547,21628,31094,46277,51304,61208,71237,84535,91651,
280296835236,5442,103304,12819,24226,50105,52178,52440,62360,77254,83516,91242,
280297335236,4526,107898,11189,21304,34103,42069,53340,61141,72935,88664,91046,
280300335236,8214,104847,20046,24269,34815,66285,67381,67930,76680,82224,91068,
280300835236,7840,115187,12500,22693,33451,41848,67469,68341,73558,83018,91478,
280301335236,5089,118600,12161,20983,32458,41153,52358,61630,71557,81755,94662,
280301835236,8234,115290,12303,21824,31188,45474,52371,64449,72059,81016,91310,
280302835236,3633,108010,21028,22413,35850,53123,55164,62900,73460,81232,93466,
280305835236,3745,117817,13210,21689,31718,41615,53959,66909,71820,82229,92450,
280307835236,11181,105917,13051,23954,33466,41177,51426,61282,72005,81132,91318,
280308335236,7245,7470,14519,22542,31242,51251,52896,63688,73108,89706,95091,
280308835236,4813,105760,11693,21293,35154,45401,54133,75430,74912,81234,93481,
280310335236,3876,107653,11590,21356,31414,41063,51924,61253,73616,82745,101663,
280310835236,6139,131827,13974,35268,36346,44414,53221,64028,75268,85192,91462,
280313335236,4425,105290,22027,22926,31104,42365,51962,75831,76508,81686,91156,
280314335236,4208,102886,15633,24728,34118,43322,51655,63635,71161,86305,94229,
280314835236,8902,109089,14640,41045,43344,44355,54737,62946,71469,81160,92231,
280316835236,5366,104086,18920,24374,35008,41305,51878,66602,74804,86602,93717,
280317835236,5143,106515,23480,23734,35421,47211,54826,61352,79904,87714,91347,
280318335236,4071,107290,21884,23132,33337,41922,51151,63180,71240,87826,93115,
280319335236,10510,111707,12390,21208,42306,43978,62974,63824,79628,84489,109897,
280320335236,10891,105410,17669,23590,34588,44221,58112,63122,72492,81926,93574,
