Time(micros),Thread, Start(micros),Delay (micros),Value
281945802121,W-0,272,5369,281945802121
281945802121,R-0,808,2061,281945302121
281945802121,R-0,32411,38960,281945802121
281945802121,R-1,3395,4713,281945302121
281945802121,R-1,34985,46154,281945802121
281945802121,R-2,6476,7677,281945802121
281945802121,R-3,9152,10325,281945802121
281945802121,R-4,12178,14195,281945802121
281945802121,R-5,15177,20931,281945802121
281945802121,R-6,18413,22033,281945802121
281945802121,R-7,21260,24811,281945802121
281945802121,R-8,24340,30139,281945802121
281945802121,R-9,27195,30756,281945802121
281946302121,W-0,221,8514,281946302121
281946302121,R-0,690,7409,281945802121
281946302121,R-0,37771,38877,281946302121
281946302121,R-1,3219,8697,281946302121
281946302121,R-2,6262,9826,281946302121
281946302121,R-3,9225,17067,281946302121
281946302121,R-4,12175,18048,281946302121
281946302121,R-5,15234,19051,281946302121
281946302121,R-6,18280,22409,281946302121
281946302121,R-7,21200,24519,281946302121
281946302121,R-8,24158,26925,281946302121
281946302121,R-9,27228,29770,281946302121
281947302121,W-0,209,11176,281947302121
281947302121,R-0,676,4435,281946302121
281947302121,R-0,34789,39606,281947302121
281947302121,R-1,3168,7534,281946302121
281947302121,R-1,37837,43002,281947302121
281947302121,R-2,6361,10919,281947302121
281947302121,R-3,9156,11029,281947302121
281947302121,R-4,12197,14008,281947302121
281947302121,R-5,15180,18502,281947302121
281947302121,R-6,18202,20101,281947302121
281947302121,R-7,21476,22982,281947302121
281947302121,R-8,24182,30207,281947302121
281947302121,R-9,27275,30428,281947302121
281948302121,W-0,220,7613,281948302121
281948302121,R-0,436,2153,281947302121
281948302121,R-0,32445,33393,281948302121
281948302121,R-1,3426,6986,281947302121
281948302121,R-1,37248,38291,281948302121
281948302121,R-2,6472,16550,281948302121
281948302121,R-3,9217,17511,281948302121
281948302121,R-4,12216,18525,281948302121
281948302121,R-5,15189,20229,281948302121
281948302121,R-6,18220,21994,281948302121
281948302121,R-7,21233,25480,281948302121
281948302121,R-8,25033,28281,281948302121
281948302121,R-9,27230,29102,281948302121
281949302121,W-0,201,13228,281949302121
281949302121,R-0,477,4196,281947802121
281949302121,R-0,34447,38177,281949302121
281949302121,R-1,3689,13948,281949302121
281949302121,R-2,6211,14339,281949302121
281949302121,R-3,9163,17317,281949302121
281949302121,R-4,12179,17417,281949302121
281949302121,R-5,15208,17648,281949302121
281949302121,R-6,18198,32839,281949302121
281949302121,R-7,21354,32778,281949302121
281949302121,R-8,24192,32249,281949302121
281949302121,R-9,27164,32553,281949302121
281952802121,W-0,194,5098,281952802121
281952802121,R-0,193,1562,281951802121
281952802121,R-0,31868,35088,281952802121
281952802121,R-1,3281,7388,281952802121
281952802121,R-2,6217,9631,281952802121
281952802121,R-3,9184,11049,281952802121
281952802121,R-4,12383,13676,281952802121
281952802121,R-5,15146,16572,281952802121
281952802121,R-6,18184,19910,281952802121
281952802121,R-7,21184,23637,281952802121
281952802121,R-8,24244,25464,281952802121
281952802121,R-9,27288,34670,281952802121
281953302121,W-0,382,4331,281953302121
281953302121,R-0,218,1457,281950802121
281953302121,R-0,31736,33686,281953302121
281953302121,R-1,3347,4560,281953302121
281953302121,R-2,6232,7418,281953302121
281953302121,R-3,9276,10820,281953302121
281953302121,R-4,12206,15100,281953302121
281953302121,R-5,15282,16296,281953302121
281953302121,R-6,18206,19822,281953302121
281953302121,R-7,21212,23102,281953302121
281953302121,R-8,24180,27033,281953302121
281953302121,R-9,27183,32690,281953302121
281954302121,W-0,177,6134,281954302121
281954302121,R-0,207,2106,281948802121
281954302121,R-0,32418,42106,281954302121
281954302121,R-1,3172,5175,281948802121
281954302121,R-1,35473,42590,281954302121
281954302121,R-2,6194,7754,281954302121
281954302121,R-3,9187,12493,281954302121
281954302121,R-4,12157,13254,281954302121
281954302121,R-5,15180,20152,281954302121
281954302121,R-6,18209,25808,281954302121
281954302121,R-7,21186,26776,281954302121
281954302121,R-8,24193,27615,281954302121
281954302121,R-9,27388,38473,281954302121
281958302121,W-0,1758,8137,281958302121
281958302121,R-0,403,4322,281953302121
281958302121,R-0,34789,39734,281958302121
281958302121,R-1,3378,7171,281958302121
281958302121,R-2,6676,10788,281958302121
281958302121,R-3,9668,14492,281958302121
281958302121,R-4,12269,19251,281958302121
281958302121,R-5,15199,20173,281958302121
281958302121,R-6,18311,21617,281958302121
281958302121,R-7,21249,25349,281958302121
281958302121,R-8,24332,26529,281958302121
281958302121,R-9,27251,39207,281958302121
281960802121,W-0,225,3814,281960802121
281960802121,R-0,376,2278,281959802121
281960802121,R-0,32508,33535,281960802121
281960802121,R-1,3199,4797,281960802121
281960802121,R-2,6199,8335,281960802121
281960802121,R-3,9192,10322,281960802121
281960802121,R-4,12287,14843,281960802121
281960802121,R-5,15218,17470,281960802121
281960802121,R-6,18588,22998,281960802121
281960802121,R-7,21195,23767,281960802121
281960802121,R-8,24327,28413,281960802121
281960802121,R-9,27184,28577,281960802121
281961802121,W-0,263,4597,281961802121
281961802121,R-0,488,2260,281952802121
281961802121,R-0,32541,35320,281961802121
281961802121,R-1,3209,8257,281961802121
281961802121,R-2,6165,16646,281961802121
281961802121,R-3,9370,18177,281961802121
281961802121,R-4,12207,19602,281961802121
281961802121,R-5,15254,19402,281961802121
281961802121,R-6,18273,20615,281961802121
281961802121,R-7,21199,24416,281961802121
281961802121,R-8,24297,26142,281961802121
281961802121,R-9,27218,29166,281961802121
281963302121,W-0,179,4229,281963302121
281963302121,R-0,174,1234,281954802121
281963302121,R-0,31470,41202,281963302121
281963302121,R-1,3204,4683,281963302121
281963302121,R-2,6209,8034,281963302121
281963302121,R-3,9211,10278,281963302121
281963302121,R-4,12203,14472,281963302121
281963302121,R-5,15194,21572,281963302121
281963302121,R-6,18170,21917,281963302121
281963302121,R-7,21169,24388,281963302121
281963302121,R-8,24197,26778,281963302121
281963302121,R-9,27151,40059,281963302121
281963802121,W-0,249,4250,281963802121
281963802121,R-0,397,2442,281946802121
281963802121,R-0,32734,34759,281963802121
281963802121,R-1,3219,6285,281963802121
281963802121,R-2,6189,8703,281963802121
281963802121,R-3,9224,20370,281963802121
281963802121,R-4,12203,20447,281963802121
281963802121,R-5,15193,20980,281963802121
281963802121,R-6,18236,21967,281963802121
281963802121,R-7,21186,22607,281963802121
281963802121,R-8,24219,27920,281963802121
281963802121,R-9,27246,30690,281963802121
281964302121,W-0,735,7505,281964302121
281964302121,R-0,283,2349,281951302121
281964302121,R-0,32596,40615,281964302121
281964302121,R-1,3250,10231,281964302121
281964302121,R-2,6312,10416,281964302121
281964302121,R-3,9245,11134,281964302121
281964302121,R-4,12307,15558,281964302121
281964302121,R-5,15186,18790,281964302121
281964302121,R-6,18183,21843,281964302121
281964302121,R-7,21206,22693,281964302121
281964302121,R-8,24224,25703,281964302121
281964302121,R-9,27194,28520,281964302121
281967302121,W-0,342,11016,281967302121
281967302121,R-0,611,2347,281950302121
281967302121,R-0,32758,40481,281967302121
281967302121,R-1,3187,11741,281967302121
281967302121,R-2,6183,13006,281967302121
281967302121,R-3,9245,13246,281967302121
281967302121,R-4,12212,16712,281967302121
281967302121,R-5,15167,24605,281967302121
281967302121,R-6,18200,25139,281967302121
281967302121,R-7,21184,25534,281967302121
281967302121,R-8,24211,25771,281967302121
281967302121,R-9,27206,39566,281967302121
281967802121,W-0,187,5821,281967802121
281967802121,R-0,379,4489,281966302121
281967802121,R-0,34992,36035,281967802121
281967802121,R-1,3279,6843,281967802121
281967802121,R-2,6289,13119,281967802121
281967802121,R-3,9189,13629,281967802121
281967802121,R-4,12224,14319,281967802121
281967802121,R-5,15279,18805,281967802121
281967802121,R-6,18231,22451,281967802121
281967802121,R-7,21233,24662,281967802121
281967802121,R-8,24233,25107,281967802121
281967802121,R-9,27196,30276,281967802121
281968302121,W-0,449,4679,281968302121
281968302121,R-0,235,1785,281961302121
281968302121,R-0,32082,45931,281968302121
281968302121,R-1,3279,5015,281968302121
281968302121,R-2,6288,10340,281968302121
281968302121,R-3,9180,10723,281968302121
281968302121,R-4,12209,13448,281968302121
281968302121,R-5,15178,16556,281968302121
281968302121,R-6,18316,19422,281968302121
281968302121,R-7,21221,22200,281968302121
281968302121,R-8,24195,27084,281968302121
281968302121,R-9,27276,28365,281968302121
281968802121,W-0,193,5839,281968802121
281968802121,R-0,420,1512,281963302121
281968802121,R-0,31993,35781,281968802121
281968802121,R-1,3412,6794,281968802121
281968802121,R-2,6407,14553,281968802121
281968802121,R-3,9355,16046,281968802121
281968802121,R-4,13093,21023,281968802121
281968802121,R-5,15169,21817,281968802121
281968802121,R-6,18185,24359,281968802121
281968802121,R-7,21290,24609,281968802121
281968802121,R-8,24272,34249,281968802121
281968802121,R-9,27134,35006,281968802121
281969802121,W-0,742,4190,281969802121
281969802121,R-0,309,2470,281965802121
281969802121,R-0,32758,33661,281969802121
281969802121,R-1,3183,6937,281969802121
281969802121,R-2,6406,7874,281969802121
281969802121,R-3,9182,10249,281969802121
281969802121,R-4,12383,13382,281969802121
281969802121,R-5,15138,15944,281969802121
281969802121,R-6,18139,21007,281969802121
281969802121,R-7,21213,22195,281969802121
281969802121,R-8,24282,26407,281969802121
281969802121,R-9,27207,30223,281969802121
281972802121,W-0,165,4869,281972802121
281972802121,R-0,267,3194,281964302121
281972802121,R-0,34124,35845,281972802121
281972802121,R-1,3194,7255,281972802121
281972802121,R-2,6176,8293,281972802121
281972802121,R-3,9210,11761,281972802121
281972802121,R-4,12198,15694,281972802121
281972802121,R-5,15186,16604,281972802121
281972802121,R-6,18209,19617,281972802121
281972802121,R-7,21190,28277,281972802121
281972802121,R-8,24187,29325,281972802121
281972802121,R-9,27202,30122,281972802121
281974802121,W-0,147,3559,281974802121
281974802121,R-0,305,1189,281971802121
281974802121,R-0,31463,35184,281974802121
281974802121,R-1,3183,12689,281974802121
281974802121,R-2,6232,12984,281974802121
281974802121,R-3,9213,13955,281974802121
281974802121,R-4,12240,14505,281974802121
281974802121,R-5,15178,22805,281974802121
281974802121,R-6,18210,23132,281974802121
281974802121,R-7,21166,24995,281974802121
281974802121,R-8,24295,25551,281974802121
281974802121,R-9,27211,33286,281974802121
281975302121,W-0,228,10654,281975302121
281975302121,R-0,210,3546,281949302121
281975302121,R-0,33849,42424,281975302121
281975302121,R-1,3268,5960,281949302121
281975302121,R-1,36202,42548,281975302121
281975302121,R-2,6189,10859,281975302121
281975302121,R-3,9145,11949,281975302121
281975302121,R-4,12251,13590,281975302121
281975302121,R-5,15329,17449,281975302121
281975302121,R-6,18183,28812,281975302121
281975302121,R-7,21129,39293,281975302121
281975302121,R-8,24211,29621,281975302121
281975302121,R-9,27248,39074,281975302121
281975802121,W-0,191,14286,281975802121
281975802121,R-0,370,1333,281956802121
281975802121,R-0,31720,32834,281975802121
281975802121,R-1,3167,14478,281956802121
281975802121,R-1,44727,46505,281975802121
281975802121,R-2,6191,15524,281975802121
281975802121,R-3,9220,15972,281975802121
281975802121,R-4,12212,16666,281975802121
281975802121,R-5,15241,17534,281975802121
281975802121,R-6,18291,21705,281975802121
281975802121,R-7,21300,22377,281975802121
281975802121,R-8,24214,27966,281975802121
281975802121,R-9,27204,28582,281975802121
281977302121,W-0,193,4059,281977302121
281977302121,R-0,335,2397,281954302121
281977302121,R-0,32622,33785,281977302121
281977302121,R-1,3206,6631,281977302121
281977302121,R-2,6176,11379,281977302121
281977302121,R-3,9197,13219,281977302121
281977302121,R-4,12220,19108,281977302121
281977302121,R-5,15486,19213,281977302121
281977302121,R-6,18205,20021,281977302121
281977302121,R-7,21374,23089,281977302121
281977302121,R-8,24214,25659,281977302121
281977302121,R-9,27136,33534,281977302121
281977802121,W-0,254,4352,281977802121
281977802121,R-0,410,2194,281974802121
281977802121,R-0,32397,49999,281977802121
281977802121,R-1,3237,4609,281977802121
281977802121,R-2,6184,9714,281977802121
281977802121,R-3,9221,10855,281977802121
281977802121,R-4,12190,15537,281977802121
281977802121,R-5,15159,18736,281977802121
281977802121,R-6,18197,19185,281977802121
281977802121,R-7,21245,26152,281977802121
281977802121,R-8,24229,26995,281977802121
281977802121,R-9,27187,30994,281977802121
281980302121,W-0,177,5205,281980302121
281980302121,R-0,162,1989,281973802121
281980302121,R-0,32252,36149,281980302121
281980302121,R-1,3114,5038,281973802121
281980302121,R-1,35314,37661,281980302121
281980302121,R-2,6165,7385,281980302121
281980302121,R-3,9207,12782,281980302121
281980302121,R-4,12256,13556,281980302121
281980302121,R-5,15180,17026,281980302121
281980302121,R-6,18161,20580,281980302121
281980302121,R-7,21176,22114,281980302121
281980302121,R-8,24259,25297,281980302121
281980302121,R-9,27200,30396,281980302121
281981302121,W-0,237,3911,281981302121
281981302121,R-0,700,2956,281977802121
281981302121,R-0,33166,35362,281981302121
281981302121,R-1,3223,5331,281981302121
281981302121,R-2,6197,8098,281981302121
281981302121,R-3,9400,10327,281981302121
281981302121,R-4,12197,13460,281981302121
281981302121,R-5,15174,17084,281981302121
281981302121,R-6,18174,19627,281981302121
281981302121,R-7,21192,22401,281981302121
281981302121,R-8,24222,25451,281981302121
281981302121,R-9,27455,28972,281981302121
281981802121,W-0,575,6598,281981802121
281981802121,R-0,1157,5939,281967302121
281981802121,R-0,36200,37302,281981802121
281981802121,R-1,3226,6347,281967302121
281981802121,R-1,36642,40613,281981802121
281981802121,R-2,6171,7356,281981802121
281981802121,R-3,9178,10390,281981802121
281981802121,R-4,12207,13877,281981802121
281981802121,R-5,15207,16275,281981802121
281981802121,R-6,18487,23280,281981802121
281981802121,R-7,21177,27481,281981802121
281981802121,R-8,24164,29597,281981802121
281981802121,R-9,27194,29657,281981802121
281983802121,W-0,246,4312,281983802121
281983802121,R-0,409,1500,281953802121
281983802121,R-0,31716,38372,281983802121
281983802121,R-1,3212,4264,281983802121
281983802121,R-2,6186,8826,281983802121
281983802121,R-3,9166,16124,281983802121
281983802121,R-4,12150,16478,281983802121
281983802121,R-5,15200,17121,281983802121
281983802121,R-6,18155,20461,281983802121
281983802121,R-7,21608,23478,281983802121
281983802121,R-8,24213,25614,281983802121
281983802121,R-9,27170,30986,281983802121
281984802121,W-0,209,13396,281984802121
281984802121,R-0,375,2543,281971302121
281984802121,R-0,32824,34015,281984802121
281984802121,R-1,3197,14112,281984802121
281984802121,R-2,6202,14607,281984802121
281984802121,R-3,9181,14699,281984802121
281984802121,R-4,12224,15491,281984802121
281984802121,R-5,15358,19266,281984802121
281984802121,R-6,18174,20408,281984802121
281984802121,R-7,21238,22263,281984802121
281984802121,R-8,24249,27433,281984802121
281984802121,R-9,27240,31993,281984802121
281985302121,W-0,126,5652,281985302121
281985302121,R-0,302,1309,281983802121
281985302121,R-0,31816,36283,281985302121
281985302121,R-1,3151,6507,281985302121
281985302121,R-2,6242,7333,281985302121
281985302121,R-3,9204,10101,281985302121
281985302121,R-4,12297,16529,281985302121
281985302121,R-5,15174,16828,281985302121
281985302121,R-6,18119,19336,281985302121
281985302121,R-7,21172,23835,281985302121
281985302121,R-8,24209,26098,281985302121
281985302121,R-9,27162,29651,281985302121
281986302121,W-0,261,7742,281986302121
281986302121,R-0,253,4533,281966802121
281986302121,R-0,34754,41380,281986302121
281986302121,R-1,3356,7036,281966802121
281986302121,R-1,37291,41422,281986302121
281986302121,R-2,6202,8945,281986302121
281986302121,R-3,9175,13105,281986302121
281986302121,R-4,12181,16503,281986302121
281986302121,R-5,15200,25093,281986302121
281986302121,R-6,23723,25640,281986302121
281986302121,R-7,23213,25861,281986302121
281986302121,R-8,24270,26510,281986302121
281986302121,R-9,27214,29567,281986302121
281987302121,W-0,192,3604,281987302121
281987302121,R-0,214,1587,281957302121
281987302121,R-0,31832,35995,281987302121
281987302121,R-1,3192,6612,281987302121
281987302121,R-2,6239,7401,281987302121
281987302121,R-3,9146,10219,281987302121
281987302121,R-4,12185,15744,281987302121
281987302121,R-5,15155,16011,281987302121
281987302121,R-6,18172,21379,281987302121
281987302121,R-7,21171,22184,281987302121
281987302121,R-8,24210,25554,281987302121
281987302121,R-9,27149,35491,281987302121
281987802121,W-0,262,16029,281987802121
281987802121,R-0,403,8813,281967802121
281987802121,R-0,38994,40291,281987802121
281987802121,R-1,3163,13293,281967802121
281987802121,R-1,43498,55134,281987802121
281987802121,R-2,6187,13713,281967802121
281987802121,R-2,43922,56058,281987802121
281987802121,R-3,9361,16039,281987802121
281987802121,R-4,12171,21067,281987802121
281987802121,R-5,15351,21367,281987802121
281987802121,R-6,18407,21735,281987802121
281987802121,R-7,21339,22346,281987802121
281987802121,R-8,24200,27630,281987802121
281987802121,R-9,27196,28854,281987802121
281989302121,W-0,456,8624,281989302121
281989302121,R-0,216,1460,281975302121
281989302121,R-0,31650,35052,281989302121
281989302121,R-1,3205,9105,281989302121
281989302121,R-2,6175,9559,281989302121
281989302121,R-3,9328,11336,281989302121
281989302121,R-4,12221,14094,281989302121
281989302121,R-5,15177,21996,281989302121
281989302121,R-6,18208,22319,281989302121
281989302121,R-7,21235,24652,281989302121
281989302121,R-8,24309,25858,281989302121
281989302121,R-9,27187,30416,281989302121
281990802121,W-0,712,4135,281990802121
281990802121,R-0,220,1286,281959302121
281990802121,R-0,31615,32972,281990802121
281990802121,R-1,3166,5820,281990802121
281990802121,R-2,6206,7136,281990802121
281990802121,R-3,9233,10277,281990802121
281990802121,R-4,12323,14321,281990802121
281990802121,R-5,15144,16874,281990802121
281990802121,R-6,18275,19328,281990802121
281990802121,R-7,21215,22176,281990802121
281990802121,R-8,24171,25206,281990802121
281990802121,R-9,27185,28253,281990802121
281991302121,W-0,483,5160,281991302121
281991302121,R-0,736,4219,281968802121
281991302121,R-0,34784,43803,281991302121
281991302121,R-1,3230,5371,281991302121
281991302121,R-2,6164,13430,281991302121
281991302121,R-3,9180,14755,281991302121
281991302121,R-4,12251,14625,281991302121
281991302121,R-5,15222,16478,281991302121
281991302121,R-6,18210,21352,281991302121
281991302121,R-7,21145,22935,281991302121
281991302121,R-8,24166,30644,281991302121
281991302121,R-9,27191,31929,281991302121
281993802121,W-0,178,3736,281993802121
281993802121,R-0,296,3441,281961802121
281993802121,R-0,33659,35762,281993802121
281993802121,R-1,3159,5047,281993802121
281993802121,R-2,6167,8764,281993802121
281993802121,R-3,9137,10292,281993802121
281993802121,R-4,12186,14763,281993802121
281993802121,R-5,15187,17014,281993802121
281993802121,R-6,18171,21107,281993802121
281993802121,R-7,21150,22189,281993802121
281993802121,R-8,24230,34306,281993802121
281993802121,R-9,27145,35446,281993802121
281994302121,W-0,441,7038,281994302121
281994302121,R-0,225,1916,281948302121
281994302121,R-0,32141,34139,281994302121
281994302121,R-1,3190,5244,281948302121
281994302121,R-1,35567,40441,281994302121
281994302121,R-2,6212,7830,281994302121
281994302121,R-3,9176,11382,281994302121
281994302121,R-4,12240,15930,281994302121
281994302121,R-5,15176,17867,281994302121
281994302121,R-6,18175,27815,281994302121
281994302121,R-7,21169,28490,281994302121
281994302121,R-8,24181,28677,281994302121
281994302121,R-9,27241,29088,281994302121
281994802121,W-0,470,3866,281994802121
281994802121,R-0,205,1430,281993302121
281994802121,R-0,31751,37281,281994802121
281994802121,R-1,3218,4822,281994802121
281994802121,R-2,6215,7213,281994802121
281994802121,R-3,9165,12545,281994802121
281994802121,R-4,12246,22125,281994802121
281994802121,R-5,15165,25374,281994802121
281994802121,R-6,18177,26189,281994802121
281994802121,R-7,21291,26101,281994802121
281994802121,R-8,24208,25998,281994802121
281994802121,R-9,27232,33712,281994802121
281995802121,W-0,515,4045,281995802121
281995802121,R-0,265,1443,281982802121
281995802121,R-0,31646,33828,281995802121
281995802121,R-1,3175,4642,281995802121
281995802121,R-2,6182,9974,281995802121
281995802121,R-3,9197,10635,281995802121
281995802121,R-4,12179,13421,281995802121
281995802121,R-5,15535,17712,281995802121
281995802121,R-6,18159,22833,281995802121
281995802121,R-7,21293,23116,281995802121
281995802121,R-8,24194,32353,281995802121
281995802121,R-9,27184,33461,281995802121
281996302121,W-0,181,12995,281996302121
281996302121,R-0,361,2653,281970802121
281996302121,R-0,32851,34211,281996302121
281996302121,R-1,3281,17053,281996302121
281996302121,R-2,6212,18705,281996302121
281996302121,R-3,9181,17753,281996302121
281996302121,R-4,12177,18412,281996302121
281996302121,R-5,15160,19738,281996302121
281996302121,R-6,18172,21700,281996302121
281996302121,R-7,21467,25710,281996302121
281996302121,R-8,24451,27068,281996302121
281996302121,R-9,27209,28421,281996302121
281996802121,W-0,206,9687,281996802121
281996802121,R-0,349,1694,281969802121
281996802121,R-0,32065,34146,281996802121
281996802121,R-1,3200,10862,281996802121
281996802121,R-2,6193,10787,281996802121
281996802121,R-3,9176,11742,281996802121
281996802121,R-4,12174,18019,281996802121
281996802121,R-5,15187,18358,281996802121
281996802121,R-6,18164,24693,281996802121
281996802121,R-7,21174,30021,281996802121
281996802121,R-8,24182,29416,281996802121
281996802121,R-9,27165,30220,281996802121
281998302121,W-0,221,3734,281998302121
281998302121,R-0,421,1661,281957802121
281998302121,R-0,31877,34099,281998302121
281998302121,R-1,3318,6845,281998302121
281998302121,R-2,6222,7703,281998302121
281998302121,R-3,9179,10833,281998302121
281998302121,R-4,12276,22318,281998302121
281998302121,R-5,15241,24922,281998302121
281998302121,R-6,18186,25204,281998302121
281998302121,R-7,21205,25927,281998302121
281998302121,R-8,24307,28826,281998302121
281998302121,R-9,27192,29548,281998302121
281998802121,W-0,179,5663,281998802121
281998802121,R-0,174,1931,281983302121
281998802121,R-0,32234,33564,281998802121
281998802121,R-1,3149,4336,281983302121
281998802121,R-1,34533,36031,281998802121
281998802121,R-2,6195,11876,281998802121
281998802121,R-3,9187,12781,281998802121
281998802121,R-4,12165,15811,281998802121
281998802121,R-5,15205,16609,281998802121
281998802121,R-6,18182,21469,281998802121
281998802121,R-7,21188,22954,281998802121
281998802121,R-8,24192,25698,281998802121
281998802121,R-9,27173,28849,281998802121
281999802121,W-0,177,3724,281999802121
281999802121,R-0,179,1264,281974302121
281999802121,R-0,31616,34476,281999802121
281999802121,R-1,3179,6756,281999802121
281999802121,R-2,6430,11181,281999802121
281999802121,R-3,9195,12243,281999802121
281999802121,R-4,12251,14457,281999802121
281999802121,R-5,15204,16403,281999802121
281999802121,R-6,18162,28354,281999802121
281999802121,R-7,21214,28357,281999802121
281999802121,R-8,24192,29501,281999802121
281999802121,R-9,27250,30038,281999802121
282000302121,W-0,196,4210,282000302121
282000302121,R-0,233,2109,281992302121
282000302121,R-0,32416,45920,282000302121
282000302121,R-1,3401,6710,282000302121
282000302121,R-2,6154,8999,282000302121
282000302121,R-3,9198,10125,282000302121
282000302121,R-4,12352,13513,282000302121
282000302121,R-5,15188,16314,282000302121
282000302121,R-6,18186,19046,282000302121
282000302121,R-7,21188,28604,282000302121
282000302121,R-8,24177,29992,282000302121
282000302121,R-9,27180,30510,282000302121
282001302121,W-0,269,7640,282001302121
282001302121,R-0,237,2297,281995802121
282001302121,R-0,32555,38954,282001302121
282001302121,R-1,3178,6804,281995802121
282001302121,R-1,37011,46506,282001302121
282001302121,R-2,6393,7940,282001302121
282001302121,R-3,9185,10104,282001302121
282001302121,R-4,12185,13965,282001302121
282001302121,R-5,15217,17613,282001302121
282001302121,R-6,18217,21789,282001302121
282001302121,R-7,21193,22119,282001302121
282001302121,R-8,24147,29377,282001302121
282001302121,R-9,27204,30032,282001302121
282001802121,W-0,192,12105,282001802121
282001802121,R-0,217,1355,281990802121
282001802121,R-0,31760,35983,282001802121
282001802121,R-1,3153,12100,281990802121
282001802121,R-1,42258,44428,282001802121
282001802121,R-2,6178,13355,282001802121
282001802121,R-3,9175,17063,282001802121
282001802121,R-4,12303,17372,282001802121
282001802121,R-5,15217,28113,282001802121
282001802121,R-6,18175,30063,282001802121
282001802121,R-7,21230,29506,282001802121
282001802121,R-8,24220,29635,282001802121
282001802121,R-9,27204,29851,282001802121
282002302121,W-0,173,16366,282002302121
282002302121,R-0,150,1099,281982302121
282002302121,R-0,31366,32393,282002302121
282002302121,R-1,3160,16305,282002302121
282002302121,R-2,6192,17556,282002302121
282002302121,R-3,9152,17856,282002302121
282002302121,R-4,12317,18174,282002302121
282002302121,R-5,15282,19198,282002302121
282002302121,R-6,18557,20102,282002302121
282002302121,R-7,21176,22205,282002302121
282002302121,R-8,24196,25114,282002302121
282002302121,R-9,27218,30969,282002302121
282002802121,W-0,186,6745,282002802121
282002802121,R-0,188,1568,281978302121
282002802121,R-0,31735,34824,282002802121
282002802121,R-1,3208,6937,282002802121
282002802121,R-2,6318,7213,282002802121
282002802121,R-3,9172,11687,282002802121
282002802121,R-4,12236,18474,282002802121
282002802121,R-5,15117,19246,282002802121
282002802121,R-6,18206,20732,282002802121
282002802121,R-7,21203,27855,282002802121
282002802121,R-8,24170,28037,282002802121
282002802121,R-9,27397,29792,282002802121
282004302121,W-0,156,5143,282004302121
282004302121,R-0,319,2769,281977302121
282004302121,R-0,33061,34440,282004302121
282004302121,R-1,3192,5114,282004302121
282004302121,R-2,6244,8990,282004302121
282004302121,R-3,9161,16827,282004302121
282004302121,R-4,12181,17197,282004302121
282004302121,R-5,15162,18839,282004302121
282004302121,R-6,18183,22149,282004302121
282004302121,R-7,21174,23054,282004302121
282004302121,R-8,24183,28013,282004302121
282004302121,R-9,27294,29048,282004302121
282006302121,W-0,426,6841,282006302121
282006302121,R-0,199,5505,281955802121
282006302121,R-0,35741,36797,282006302121
282006302121,R-1,3221,7233,281955802121
282006302121,R-1,37617,39124,282006302121
282006302121,R-2,6125,7962,282006302121
282006302121,R-3,9186,18369,282006302121
282006302121,R-4,12185,18863,282006302121
282006302121,R-5,15394,19580,282006302121
282006302121,R-6,18217,22125,282006302121
