YCSB Client 0.1
Command line: -db com.yahoo.ycsb.db.HBaseClient -P /root/ycsb/config/hbase.conf -P /root/ycsb/config/workload-ycsb-thomas -P /root/ycsb/config/workload-ycsb-thomas-continuous -threads 50 -s -target 600 -p eventFile=/root/ycsb/config/hbase/hbase-event-vmhb2.xml -t
 0 sec: 0 operations; 
 10 sec: 5970 operations; 596.94 current ops/sec;     
 20 sec: 11968 operations; 599.5 current ops/sec;     
 30 sec: 17971 operations; 600.18 current ops/sec;     
 40 sec: 23976 operations; 600.44 current ops/sec;     
 50 sec: 29973 operations; 599.58 current ops/sec;     
 60 sec: 35977 operations; 600.28 current ops/sec;     
 70 sec: 41979 operations; 600.08 current ops/sec;     
 80 sec: 47981 operations; 600.14 current ops/sec;     
 90 sec: 53979 operations; 599.68 current ops/sec;     
 100 sec: 59987 operations; 600.62 current ops/sec;     
 110 sec: 65979 operations; 599.14 current ops/sec;     
 120 sec: 71987 operations; 600.68 current ops/sec; [UPDATE AverageLatency(us)=4698]    
 130 sec: 77990 operations; 600.18 current ops/sec; [UPDATE AverageLatency(us)=6277]    
 140 sec: 83990 operations; 599.94 current ops/sec;    [SCAN AverageLatency(us)=9589] 
 150 sec: 89993 operations; 600.18 current ops/sec;     
 160 sec: 95991 operations; 599.14 current ops/sec;     
 170 sec: 101999 operations; 600.62 current ops/sec;     
 180 sec: 107991 operations; 599.08 current ops/sec;  [INSERT AverageLatency(us)=9728]  [SCAN AverageLatency(us)=20975] 
 190 sec: 113998 operations; 600.58 current ops/sec;     
 200 sec: 120000 operations; 600.02 current ops/sec;     
 210 sec: 126005 operations; 600.38 current ops/sec;     
 220 sec: 131999 operations; 599.22 current ops/sec;     
 230 sec: 138007 operations; 600.68 current ops/sec;     
 240 sec: 144009 operations; 600.02 current ops/sec;     
 250 sec: 150012 operations; 600.12 current ops/sec;   [READ AverageLatency(us)=1052]  
 260 sec: 156007 operations; 599.2 current ops/sec;     
 270 sec: 162015 operations; 600.68 current ops/sec;     
 280 sec: 168016 operations; 600.04 current ops/sec;     
 290 sec: 174017 operations; 599.98 current ops/sec;     
 300 sec: 180013 operations; 599.54 current ops/sec;    [SCAN AverageLatency(us)=20301] 
 310 sec: 181587 operations; 157.37 current ops/sec;     
 320 sec: 181587 operations; 0 current ops/sec;     
 330 sec: 181587 operations; 0 current ops/sec;     
 340 sec: 181587 operations; 0 current ops/sec;     
 350 sec: 181587 operations; 0 current ops/sec;     
 360 sec: 181587 operations; 0 current ops/sec;     
 370 sec: 181587 operations; 0 current ops/sec;     
 380 sec: 181587 operations; 0 current ops/sec;     
 390 sec: 181587 operations; 0 current ops/sec;     
 400 sec: 181587 operations; 0 current ops/sec;     
 410 sec: 181587 operations; 0 current ops/sec;     
 420 sec: 181587 operations; 0 current ops/sec;     
 430 sec: 181587 operations; 0 current ops/sec;     
 440 sec: 181587 operations; 0 current ops/sec;     
 450 sec: 181587 operations; 0 current ops/sec;     
 460 sec: 181587 operations; 0 current ops/sec;     
 470 sec: 181587 operations; 0 current ops/sec;     
 480 sec: 181587 operations; 0 current ops/sec;     
 490 sec: 181587 operations; 0 current ops/sec;     
 500 sec: 181587 operations; 0 current ops/sec;     
 510 sec: 181587 operations; 0 current ops/sec;     
 520 sec: 181587 operations; 0 current ops/sec;     
 530 sec: 181587 operations; 0 current ops/sec;     
 540 sec: 181587 operations; 0 current ops/sec;     
 550 sec: 181587 operations; 0 current ops/sec;     
 560 sec: 181587 operations; 0 current ops/sec;     
 570 sec: 181625 operations; 3.8 current ops/sec;     
 580 sec: 181625 operations; 0 current ops/sec;     
 590 sec: 181625 operations; 0 current ops/sec;     
 600 sec: 181625 operations; 0 current ops/sec;     
 610 sec: 198780 operations; 1715.33 current ops/sec; [UPDATE AverageLatency(us)=11035.5] [INSERT AverageLatency(us)=12214.5]   
 620 sec: 237176 operations; 3838.83 current ops/sec; [UPDATE AverageLatency(us)=15315.5] [INSERT AverageLatency(us)=20616] [READ AverageLatency(us)=3183] [SCAN AverageLatency(us)=30650] 
 630 sec: 278651 operations; 4146.67 current ops/sec; [UPDATE AverageLatency(us)=19394]  [READ AverageLatency(us)=10239.6] [SCAN AverageLatency(us)=32955] 
 640 sec: 313718 operations; 3505.65 current ops/sec; [UPDATE AverageLatency(us)=11899] [INSERT AverageLatency(us)=8995.5] [READ AverageLatency(us)=5966] [SCAN AverageLatency(us)=35445] 
 650 sec: 351958 operations; 3822.85 current ops/sec; [UPDATE AverageLatency(us)=10027] [INSERT AverageLatency(us)=7124] [READ AverageLatency(us)=6502.5]  
 660 sec: 383638 operations; 3166.73 current ops/sec; [UPDATE AverageLatency(us)=2555]  [READ AverageLatency(us)=5332]  
 670 sec: 402050 operations; 1840.83 current ops/sec;     
 680 sec: 408050 operations; 599.82 current ops/sec;     
 690 sec: 414048 operations; 599.68 current ops/sec;     
 700 sec: 420051 operations; 600.18 current ops/sec;    [SCAN AverageLatency(us)=5775] 
 710 sec: 426052 operations; 599.98 current ops/sec;     
 720 sec: 432054 operations; 600.08 current ops/sec;     
 730 sec: 438054 operations; 599.82 current ops/sec;     
 740 sec: 444052 operations; 599.68 current ops/sec;  [INSERT AverageLatency(us)=7393]   
 750 sec: 450058 operations; 600.36 current ops/sec;     
 760 sec: 456062 operations; 600.28 current ops/sec;     
 770 sec: 462061 operations; 599.78 current ops/sec;     
 780 sec: 468063 operations; 600.08 current ops/sec; [UPDATE AverageLatency(us)=3336]    
