YCSB Client 0.1
Command line: -db com.yahoo.ycsb.db.HBaseClient -P /root/ycsb/config/hbase.conf -P /root/ycsb/config/workload-ycsb-thomas -P /root/ycsb/config/workload-ycsb-thomas-continuous -s -threads 50 -target 600 -p eventFile=/root/ycsb/config/hbase/hbase-event-vmhb3-drop.xml -t
 0 sec: 0 operations; 
 10 sec: 5964 operations; 596.28 current ops/sec;   [READ AverageLatency(us)=5889.5] [SCAN AverageLatency(us)=10855] 
 20 sec: 11954 operations; 598.52 current ops/sec;     
 30 sec: 17973 operations; 601.78 current ops/sec;     
 40 sec: 23904 operations; 592.98 current ops/sec;     
 50 sec: 28483 operations; 457.81 current ops/sec;     
 60 sec: 35767 operations; 728.33 current ops/sec;     
 70 sec: 41970 operations; 620.18 current ops/sec;     
 80 sec: 47975 operations; 600.44 current ops/sec; [UPDATE AverageLatency(us)=4405]    
 90 sec: 53981 operations; 600.48 current ops/sec;     
 100 sec: 59979 operations; 599.62 current ops/sec;     
 110 sec: 65975 operations; 599.42 current ops/sec;     
 120 sec: 71977 operations; 600.08 current ops/sec;     
 130 sec: 77982 operations; 600.38 current ops/sec;     
 140 sec: 83996 operations; 600.08 current ops/sec; [UPDATE AverageLatency(us)=14108.75] [INSERT AverageLatency(us)=11421]   
 150 sec: 89999 operations; 600.18 current ops/sec;     
 160 sec: 95999 operations; 599.94 current ops/sec;  [INSERT AverageLatency(us)=5472] [READ AverageLatency(us)=2270]  
 170 sec: 102005 operations; 600.36 current ops/sec;     
 180 sec: 108007 operations; 600.14 current ops/sec;     
 190 sec: 114005 operations; 599.68 current ops/sec;     
 200 sec: 120008 operations; 600.18 current ops/sec;     
 210 sec: 126011 operations; 600.24 current ops/sec;   [READ AverageLatency(us)=9756] [SCAN AverageLatency(us)=11983] 
 220 sec: 132015 operations; 599.86 current ops/sec;     
 230 sec: 138018 operations; 600.12 current ops/sec;     
 240 sec: 144018 operations; 599.88 current ops/sec;     
 250 sec: 150018 operations; 599.82 current ops/sec;     
 260 sec: 156015 operations; 599.58 current ops/sec;     
 270 sec: 162018 operations; 600.06 current ops/sec;     
 280 sec: 168020 operations; 600.02 current ops/sec;     
 290 sec: 174023 operations; 600.18 current ops/sec;     
