YCSB Client 0.1
Command line: -db com.yahoo.ycsb.db.HBaseClient -P /root/ycsb/config/hbase.conf -P /root/ycsb/config/workload-ycsb-thomas -P /root/ycsb/config/workload-ycsb-thomas-continuous -s -target 600 -threads 50 -p eventFile=/root/ycsb/config/hbase/hbase-event-vmhb3-kill.xml -t
 0 sec: 0 operations; 
 10 sec: 5943 operations; 594.18 current ops/sec;     
 20 sec: 11976 operations; 603 current ops/sec;     
 30 sec: 17971 operations; 599.38 current ops/sec;     
 40 sec: 23977 operations; 600.48 current ops/sec;  [INSERT AverageLatency(us)=5632]   
 50 sec: 29976 operations; 599.72 current ops/sec;     
 60 sec: 35915 operations; 593.78 current ops/sec;  [INSERT AverageLatency(us)=27939.33] [READ AverageLatency(us)=22911] [SCAN AverageLatency(us)=91148] 
 70 sec: 41982 operations; 606.46 current ops/sec;     
 80 sec: 47977 operations; 599.38 current ops/sec;     
 90 sec: 53926 operations; 594.72 current ops/sec;     
 100 sec: 59992 operations; 605.69 current ops/sec;     
 110 sec: 65374 operations; 538.09 current ops/sec;     
 120 sec: 68324 operations; 294.94 current ops/sec;     
 130 sec: 77334 operations; 900.82 current ops/sec;     
 140 sec: 82770 operations; 543.55 current ops/sec;     
 150 sec: 89998 operations; 722.66 current ops/sec;     
 160 sec: 96003 operations; 600.38 current ops/sec;   [READ AverageLatency(us)=1648]  
 170 sec: 101794 operations; 578.93 current ops/sec;     
 180 sec: 108000 operations; 620.48 current ops/sec; [UPDATE AverageLatency(us)=6051]  [READ AverageLatency(us)=3050] [SCAN AverageLatency(us)=19343] 
 190 sec: 114008 operations; 600.44 current ops/sec;     
 200 sec: 120008 operations; 599.88 current ops/sec;  [INSERT AverageLatency(us)=4005]   
 210 sec: 126006 operations; 599.68 current ops/sec;     
 220 sec: 132010 operations; 600.22 current ops/sec;     
 230 sec: 138009 operations; 599.84 current ops/sec;     
 240 sec: 144007 operations; 599.56 current ops/sec;     
 250 sec: 150013 operations; 600.42 current ops/sec;     
 260 sec: 156016 operations; 600.06 current ops/sec;     
 270 sec: 162014 operations; 599.68 current ops/sec;     
 280 sec: 168025 operations; 600.98 current ops/sec;     
 290 sec: 174028 operations; 600.12 current ops/sec;     
 300 sec: 180028 operations; 599.88 current ops/sec;     
 310 sec: 180331 operations; 30.29 current ops/sec;     
 320 sec: 180331 operations; 0 current ops/sec;     
 330 sec: 180331 operations; 0 current ops/sec;     
 340 sec: 180331 operations; 0 current ops/sec;     
 350 sec: 180331 operations; 0 current ops/sec;     
 360 sec: 180331 operations; 0 current ops/sec;     
 370 sec: 181166 operations; 83.49 current ops/sec;     
 380 sec: 181286 operations; 12 current ops/sec;     
 390 sec: 182481 operations; 119.48 current ops/sec;     
 400 sec: 182721 operations; 23.96 current ops/sec;     
 410 sec: 184241 operations; 151.98 current ops/sec;     
 420 sec: 184636 operations; 39.49 current ops/sec;     
 430 sec: 186552 operations; 191.56 current ops/sec;     
 440 sec: 187033 operations; 47.99 current ops/sec;     
 450 sec: 189308 operations; 227.45 current ops/sec;     
 460 sec: 189909 operations; 60.09 current ops/sec;     
 470 sec: 192377 operations; 246.75 current ops/sec;   [READ AverageLatency(us)=1902]  
 480 sec: 193265 operations; 88.78 current ops/sec;     
 490 sec: 196390 operations; 312.44 current ops/sec;     
 500 sec: 199496 operations; 310.57 current ops/sec;     
 510 sec: 202361 operations; 286.41 current ops/sec;  [INSERT AverageLatency(us)=3929]   
 520 sec: 204054 operations; 169.27 current ops/sec;     
 530 sec: 206837 operations; 278.27 current ops/sec;     
 540 sec: 209089 operations; 225.15 current ops/sec;     
 550 sec: 211943 operations; 285.34 current ops/sec;   [READ AverageLatency(us)=1841]  
 560 sec: 214606 operations; 266.25 current ops/sec;     
 570 sec: 217482 operations; 287.54 current ops/sec;   [READ AverageLatency(us)=2508]  
 580 sec: 220603 operations; 312.04 current ops/sec;     
 590 sec: 223605 operations; 299.9 current ops/sec; [UPDATE AverageLatency(us)=16281]  [READ AverageLatency(us)=1828]  
 600 sec: 226799 operations; 319.08 current ops/sec;     
 610 sec: 230238 operations; 343.83 current ops/sec;     
 620 sec: 253209 operations; 2296.64 current ops/sec;    [SCAN AverageLatency(us)=3218] 
 630 sec: 287520 operations; 3430.07 current ops/sec;     
 640 sec: 320639 operations; 3310.91 current ops/sec; [UPDATE AverageLatency(us)=13264]  [READ AverageLatency(us)=3630] [SCAN AverageLatency(us)=20540] 
 650 sec: 349139 operations; 2848.86 current ops/sec;  [INSERT AverageLatency(us)=27683] [READ AverageLatency(us)=6162] [SCAN AverageLatency(us)=10130] 
 660 sec: 380652 operations; 3150.35 current ops/sec; [UPDATE AverageLatency(us)=11077] [INSERT AverageLatency(us)=6194]  [SCAN AverageLatency(us)=20753] 
 670 sec: 402100 operations; 2143.51 current ops/sec; [UPDATE AverageLatency(us)=8864]    
 680 sec: 408103 operations; 600.18 current ops/sec;     
 690 sec: 414105 operations; 600.08 current ops/sec;     
