,W-0,R-0,R-1,R-2,R-3,R-4,
124936779935,1,2,2,2,2,1,
124938279935,1,2,1,2,2,2,
124939279935,1,2,2,1,2,1,
124940279935,1,2,1,2,2,1,
124941279935,1,2,1,1,1,1,
124941779935,1,2,1,1,1,1,
124942279935,1,1,1,1,1,1,
124942779935,1,2,1,1,1,1,
124943279935,1,1,2,1,1,1,
124943779935,1,2,2,1,1,1,
124945279935,1,2,1,1,1,1,
124946279935,1,2,1,1,1,1,
124946779935,1,2,1,1,1,1,
124947279935,1,1,1,1,1,1,
124947779935,1,2,1,1,1,1,
124948279935,1,2,1,2,1,1,
124948779935,1,2,1,1,1,1,
124949279935,1,2,1,1,1,1,
124950279935,1,2,2,1,1,1,
124950779935,1,2,1,1,1,1,
124951279935,1,2,1,1,1,1,
124951779935,1,1,1,1,1,1,
124952779935,1,2,1,1,1,1,
124953779935,1,2,1,1,1,1,
124954279935,1,2,2,1,1,1,
124956279935,1,2,1,1,1,1,
124956779935,1,2,2,2,1,2,
124957279935,1,2,1,1,1,1,
124957779935,1,2,1,1,1,1,
124958279935,1,1,2,1,1,1,
124960779935,1,2,1,1,1,1,
124961779935,1,2,1,1,1,1,
124962279935,1,1,1,1,1,1,
124962779935,1,2,1,1,1,1,
124963279935,1,2,1,1,1,1,
124963779935,1,2,2,1,1,1,
124964779935,1,1,1,1,1,1,
124965279935,1,1,1,1,1,1,
124965779935,1,2,1,1,1,1,
124967779935,1,2,1,1,1,2,
124968279935,1,2,2,1,1,1,
124969779935,1,1,1,1,1,1,
124970279935,1,1,1,2,1,1,
124970779935,1,2,1,2,2,2,
124971279935,1,2,2,1,1,1,
124972279935,1,1,1,1,1,1,
124973779935,1,2,1,1,1,1,
124974279935,1,1,2,2,1,1,
124974779935,1,1,1,1,1,1,
124975779935,1,1,2,1,1,1,
124977279935,1,1,1,1,1,1,
124978279935,1,2,1,1,1,1,
124979779935,1,2,1,1,1,1,
124980279935,1,2,2,1,1,1,
124981279935,1,2,1,1,1,1,
124981779935,1,1,1,1,1,1,
124983279935,1,2,1,1,1,1,
124983779935,1,1,1,1,1,1,
124984279935,1,2,1,1,1,1,
124984779935,1,1,1,1,1,1,
124986779935,1,2,1,1,1,1,
124988779935,1,2,1,1,1,1,
124989279935,1,2,1,1,1,1,
124990779935,1,1,1,1,1,1,
124992279935,1,2,1,1,1,1,
124994779935,1,2,1,1,1,1,
124995279935,1,2,1,1,1,1,
124996279935,1,2,2,1,1,1,
124996779935,1,2,1,1,1,1,
124997279935,1,2,1,1,1,1,
124998279935,1,2,1,1,1,1,
125000779935,1,2,1,1,1,1,
125001279935,1,1,2,1,1,1,
125002279935,1,2,2,1,2,2,
125002779935,1,2,1,1,1,1,
125003279935,1,2,1,2,1,1,
125003779935,1,2,2,1,1,1,
125005779935,1,1,2,2,1,2,
125006779935,1,1,1,1,1,1,
125009279935,1,2,1,1,1,1,
125010279935,1,1,1,1,1,1,
125010779935,1,2,1,1,1,1,
125013279935,1,2,1,1,1,1,
125013779935,1,1,1,1,1,1,
125014779935,1,1,1,1,1,1,
125017279935,1,2,1,1,1,1,
125018779935,1,2,1,1,1,1,
125019279935,1,2,2,2,1,1,
125019779935,1,2,1,1,1,1,
125020279935,1,1,1,1,1,1,
125020779935,1,2,1,1,1,1,
125021279935,1,2,1,1,1,1,
125021779935,1,1,2,1,1,1,
125023279935,1,1,1,1,1,1,
125023779935,1,2,1,1,1,1,
125024279935,1,2,1,1,1,1,
125026779935,1,2,1,1,1,1,
125027279935,1,2,2,1,1,1,
125028279935,1,1,2,1,2,2,
125029279935,1,1,1,1,1,1,
125029779935,1,2,1,1,1,1,
125030279935,1,2,2,1,1,1,
125030779935,1,2,1,1,1,1,
125033279935,1,1,1,1,1,1,
125035279935,1,2,1,1,1,1,
125035779935,1,2,1,2,1,1,
125036279935,1,2,1,1,1,1,
125036779935,1,2,1,1,1,2,
125037279935,1,2,1,1,1,1,
125037779935,1,2,1,1,1,1,
125039279935,1,2,2,1,1,1,
125040279935,1,2,1,1,1,1,
125040779935,1,2,1,1,1,1,
125041279935,1,2,1,1,1,1,
125041779935,1,2,1,1,1,1,
125043279935,1,1,1,1,1,1,
125043779935,1,2,2,1,1,1,
125044779935,1,2,1,1,1,1,
125046779935,1,2,1,1,1,1,
125047779935,1,1,2,1,1,1,
125048779935,1,2,1,1,1,1,
125049779935,1,2,1,1,1,1,
125050279935,1,2,1,1,1,1,
125051779935,1,2,1,1,1,1,
125054279935,1,1,1,1,1,1,
125055279935,1,2,1,1,1,1,
125057779935,1,2,2,1,1,1,
125058279935,1,2,2,2,1,2,
125058779935,1,2,2,1,1,1,
125059279935,1,2,2,1,2,1,
125060779935,1,2,1,1,1,1,
125061279935,1,2,1,1,1,1,
125061779935,1,2,2,1,1,1,
125063779935,1,2,1,1,1,1,
125065279935,1,2,1,1,1,1,
125065779935,1,1,2,1,1,1,
125066279935,1,2,1,1,1,2,
125066779935,1,2,1,1,1,1,
125067279935,1,2,1,1,1,1,
125067779935,1,2,1,1,1,1,
125068279935,1,1,2,2,2,1,
125069779935,1,2,1,1,1,1,
125070779935,1,2,2,2,2,2,
125071279935,1,2,2,2,1,2,
125071779935,1,2,1,1,1,1,
125072279935,1,2,1,1,1,2,
125073279935,1,1,1,2,1,1,
125074279935,1,2,1,1,1,1,
125075279935,1,2,1,1,1,1,
125075779935,1,1,1,1,1,1,
125076279935,1,2,1,1,1,1,
125078779935,1,2,2,1,1,1,
125080779935,1,1,2,2,1,1,
125082279935,1,2,1,2,1,1,
125084279935,1,2,2,1,1,1,
125084779935,1,2,1,2,1,2,
125085779935,1,2,1,1,1,1,
125086779935,1,2,1,1,1,1,
125087279935,1,2,1,1,1,1,
125087779935,1,2,1,1,1,2,
125090279935,1,1,1,1,2,2,
125091279935,1,1,1,1,1,1,
125092779935,1,2,1,1,1,1,
125095279935,1,1,1,1,1,1,
125096779935,1,2,1,1,1,1,
125098279935,1,2,1,1,1,1,
125099779935,1,2,1,1,1,1,
125101279935,1,2,1,1,1,1,
125101779935,1,1,1,1,1,1,
125102279935,1,2,1,1,1,1,
125102779935,1,1,1,1,1,1,
125103279935,1,2,1,1,1,1,
125104279935,1,1,1,1,1,1,
125104779935,1,2,1,1,1,1,
125105279935,1,1,1,1,1,1,
125106279935,1,2,2,2,1,2,
125108279935,1,2,1,1,1,1,
125109279935,1,2,2,1,2,2,
125112279935,1,2,1,1,1,1,
125112779935,1,2,1,1,1,1,
