,W-0,R-0,R-1,R-2,R-3,R-4,
126126196843,1,2,1,1,1,1,
126127696843,1,2,1,1,1,1,
126128696843,1,2,1,1,1,1,
126129696843,1,2,1,1,1,1,
126130696843,1,1,1,1,1,1,
126131196843,1,2,1,1,1,1,
126131696843,1,1,1,1,1,1,
126132196843,1,1,1,1,1,1,
126132696843,1,2,1,1,1,1,
126133196843,1,2,1,1,1,1,
126134696843,1,2,1,1,1,1,
126135696843,1,1,1,1,1,1,
126136196843,1,1,1,1,1,1,
126136696843,1,1,1,1,1,1,
126137196843,1,1,1,1,1,1,
126137696843,1,2,1,1,1,1,
126138196843,1,2,1,1,1,1,
126138696843,1,1,1,1,1,1,
126139696843,1,1,1,1,1,1,
126140196843,1,1,1,1,1,1,
126140696843,1,1,1,1,1,1,
126141196843,1,1,1,1,1,1,
126142196843,1,2,1,1,1,1,
126143196843,1,1,1,1,1,1,
126143696843,1,1,1,1,1,1,
126145696843,1,1,1,1,1,1,
126146196843,1,1,1,1,1,1,
126146696843,1,1,1,1,1,1,
126147196843,1,1,1,1,1,1,
126147696843,1,1,1,1,1,1,
126150196843,1,2,1,1,1,1,
126151196843,1,1,1,1,1,1,
126151696843,1,2,1,1,1,1,
126152196843,1,2,1,1,1,1,
126152696843,1,2,1,1,1,1,
126153196843,1,2,1,1,1,1,
126154196843,1,2,1,1,1,1,
126154696843,1,1,1,1,1,1,
126155196843,1,1,2,1,1,1,
126157196843,1,1,1,1,1,1,
126157696843,1,2,1,1,1,1,
126159196843,1,1,1,1,1,1,
126159696843,1,1,1,1,1,1,
126160196843,1,1,1,1,1,1,
126160696843,1,1,1,1,1,1,
126161696843,1,2,2,2,2,2,
126163196843,1,1,1,1,1,1,
126163696843,1,1,1,1,1,1,
126164196843,1,1,1,1,1,1,
126165196843,1,1,1,1,1,1,
126166696843,1,1,1,1,1,1,
126167696843,1,2,1,1,1,1,
126169196843,1,1,1,1,1,1,
126169696843,1,1,1,1,1,1,
126170696843,1,1,1,1,1,1,
126171196843,1,2,1,1,1,1,
126172696843,1,1,1,1,1,1,
126173196843,1,1,1,1,1,1,
126173696843,1,1,1,1,1,1,
126174196843,1,1,1,1,1,1,
126176196843,1,1,1,1,1,1,
126178196843,1,1,1,1,1,1,
126178696843,1,2,1,1,1,1,
126180196843,1,2,1,1,1,1,
126181696843,1,2,1,1,1,1,
126184196843,1,1,1,1,1,1,
126184696843,1,1,1,1,1,1,
126185696843,1,1,1,1,1,1,
126186196843,1,1,1,1,1,1,
126186696843,1,1,1,1,1,1,
126187696843,1,1,1,1,1,1,
126190196843,1,2,1,1,1,1,
126190696843,1,1,1,1,1,1,
126191696843,1,2,1,1,1,1,
126192196843,1,2,1,1,1,1,
126192696843,1,2,1,1,1,1,
126193196843,1,1,1,1,1,1,
126195196843,1,1,1,1,1,1,
126196196843,1,2,1,1,1,1,
126198696843,1,1,1,1,1,1,
126199696843,1,2,1,1,1,1,
126200196843,1,1,1,1,1,1,
126202696843,1,2,1,1,1,1,
126203196843,1,1,1,1,1,1,
126204196843,1,2,1,1,1,1,
126206696843,1,2,1,1,1,1,
126208196843,1,1,1,1,1,1,
126208696843,1,2,1,1,1,1,
126209196843,1,2,1,1,1,1,
126209696843,1,1,1,1,1,1,
126210196843,1,2,1,1,1,1,
126210696843,1,1,1,1,1,1,
126211196843,1,1,1,1,1,1,
126212696843,1,1,1,1,1,1,
126213196843,1,1,1,1,1,1,
126213696843,1,1,1,1,1,1,
126216196843,1,1,1,1,1,1,
126216696843,1,2,1,1,1,1,
126217696843,1,2,1,1,1,1,
126218696843,1,1,1,1,1,1,
126219196843,1,1,1,1,1,1,
126219696843,1,2,1,1,1,1,
126220196843,1,1,1,1,1,1,
126222696843,1,2,1,1,1,1,
126224696843,1,1,1,1,1,1,
126225196843,1,1,1,1,1,1,
126225696843,1,1,1,1,1,1,
126226196843,1,2,1,1,1,1,
126226696843,1,2,1,1,1,1,
126227196843,1,2,1,1,1,1,
126228696843,1,2,1,1,1,1,
126229696843,1,1,1,1,1,1,
126230196843,1,1,1,1,1,1,
126230696843,1,2,1,1,1,1,
126231196843,1,1,1,1,1,1,
126232696843,1,2,1,1,1,1,
126233196843,1,2,1,1,1,1,
126234196843,1,1,1,1,1,1,
126236196843,1,2,1,1,1,1,
126237196843,1,2,1,1,1,1,
126238196843,1,1,1,1,1,1,
126239196843,1,1,1,1,1,1,
126239696843,1,1,1,1,1,1,
126241196843,1,2,1,1,1,1,
126243696843,1,2,1,1,1,1,
126244696843,1,2,1,1,1,1,
126247196843,1,1,1,1,1,1,
126247696843,1,1,1,1,1,1,
126248196843,1,1,1,1,1,1,
126248696843,1,1,1,1,1,1,
126250196843,1,1,1,1,1,1,
126250696843,1,1,1,1,1,1,
126251196843,1,1,1,1,1,1,
126253196843,1,1,1,1,1,1,
126254696843,1,1,1,1,1,1,
126255196843,1,1,1,1,1,1,
126255696843,1,1,1,1,1,1,
126256196843,1,1,1,1,1,1,
126256696843,1,2,1,1,1,1,
126257196843,1,1,1,1,1,1,
126257696843,1,1,1,1,1,1,
126259196843,1,2,1,1,1,1,
126260196843,1,1,1,1,1,1,
126260696843,1,1,1,1,1,1,
126261196843,1,1,1,1,1,1,
126261696843,1,1,1,1,1,1,
126262696843,1,1,1,1,1,1,
126263696843,1,1,1,1,1,1,
126264696843,1,2,1,1,1,1,
126265196843,1,1,1,1,1,1,
126265696843,1,2,1,1,1,1,
126268196843,1,1,1,1,1,1,
126270196843,1,1,1,1,1,1,
126271696843,1,1,1,1,1,1,
126273696843,1,1,1,1,1,1,
126274196843,1,2,1,1,1,1,
126275196843,1,1,1,1,1,1,
126276196843,1,2,1,1,1,1,
126276696843,1,1,1,1,1,1,
126277196843,1,2,1,1,1,1,
126279696843,1,1,1,1,1,1,
126280696843,1,2,1,1,1,1,
126282196843,1,1,1,1,1,1,
126284696843,1,1,1,1,1,1,
126286196843,1,2,1,1,1,1,
126287696843,1,1,1,1,1,1,
126289196843,1,1,1,1,1,1,
126290696843,1,1,1,1,1,1,
126291196843,1,1,1,1,1,1,
126291696843,1,1,1,1,1,1,
126292196843,1,2,1,1,1,1,
126292696843,1,1,1,1,1,1,
126293696843,1,1,1,1,1,1,
126294196843,1,1,1,1,1,1,
126294696843,1,1,1,1,1,1,
126295696843,1,2,1,1,1,1,
126297696843,1,1,1,1,1,1,
126298696843,1,1,1,1,1,1,
126301696843,1,2,1,1,1,1,
126302196843,1,1,1,1,1,1,
126303196843,1,2,1,1,1,1,
126304696843,1,2,1,1,1,1,
126305196843,1,1,1,1,1,1,
126305696843,1,1,1,1,1,1,
126306196843,1,2,1,1,1,1,
126307196843,1,2,1,1,1,1,
126308196843,1,2,1,1,1,1,
126308696843,1,2,1,1,1,1,
126309696843,1,1,1,1,1,1,
126311196843,1,1,1,1,1,1,
126311696843,1,2,1,1,1,1,
126312696843,1,1,1,1,1,1,
126313196843,1,1,1,1,1,1,
126313696843,1,1,1,1,1,1,
126314196843,1,2,1,1,1,1,
126316196843,1,2,1,1,1,1,
126316696843,1,2,1,1,1,1,
126318196843,1,1,1,1,1,1,
126318696843,1,1,1,1,1,1,
126319196843,1,1,1,1,1,1,
126321196843,1,1,1,1,1,1,
126322196843,1,1,1,1,1,1,
126326196843,1,2,1,1,1,1,
126326696843,1,1,1,1,1,1,
126327696843,1,1,1,1,1,1,
126328196843,1,2,1,1,1,1,
126329196843,1,1,1,1,1,1,
126329696843,1,2,1,1,1,1,
126330196843,1,2,1,1,1,1,
126331196843,1,1,1,1,1,1,
126331696843,1,1,1,1,1,1,
126333196843,1,1,1,1,1,1,
126333696843,1,1,1,1,1,1,
126335196843,1,1,1,1,1,1,
126335696843,1,1,1,1,1,1,
126336196843,1,1,1,1,1,1,
126337196843,1,2,1,1,1,1,
126338196843,1,1,1,1,1,1,
126339696843,1,2,1,2,2,1,
126340696843,1,1,1,1,1,1,
126342696843,1,1,1,1,1,1,
126343196843,1,1,1,1,1,1,
126343696843,1,2,1,1,1,1,
126344196843,1,1,1,1,1,1,
126345196843,1,1,1,1,1,1,
126345696843,1,1,1,1,1,1,
126346196843,1,2,1,1,1,1,
126346696843,1,1,1,1,1,1,
126347196843,1,1,1,1,1,1,
126347696843,1,2,1,1,1,1,
126349696843,1,2,1,1,1,1,
126350696843,1,1,1,1,1,1,
126352196843,1,2,1,1,1,1,
126354696843,1,1,1,1,1,1,
126355196843,1,2,1,1,1,1,
126355696843,1,1,1,1,1,1,
126357196843,1,1,1,1,1,1,
126357696843,1,1,1,1,1,1,
126358696843,1,2,1,1,1,1,
126359696843,1,1,1,1,1,1,
126360196843,1,1,1,1,1,1,
126360696843,1,2,1,1,1,1,
126361196843,1,1,1,1,1,1,
126361696843,1,1,1,1,1,1,
126362196843,1,1,1,1,1,1,
126362696843,1,1,1,1,1,1,
126363196843,1,2,1,1,1,1,
126363696843,1,1,1,1,1,1,
126364196843,1,2,1,1,1,1,
126365196843,1,2,1,1,1,1,
126365696843,1,1,1,1,1,1,
126366196843,1,1,1,1,1,1,
126367196843,1,1,1,1,1,1,
126367696843,1,1,1,1,1,1,
126368696843,1,1,1,1,1,1,
126369196843,1,1,1,1,1,1,
126369696843,1,1,1,1,1,1,
126370196843,1,2,1,1,1,1,
126371196843,1,1,1,1,1,1,
126371696843,1,2,1,1,1,1,
126372196843,1,1,1,1,1,1,
126372696843,1,1,1,1,1,1,
126375196843,1,1,1,1,1,1,
126375696843,1,2,1,1,1,1,
126377696843,1,1,1,1,1,1,
126380196843,1,2,1,1,1,1,
126383696843,1,2,1,1,1,1,
126384196843,1,2,1,1,1,1,
126385696843,1,1,1,1,1,1,
126386196843,1,1,1,1,1,1,
126386696843,1,1,1,1,1,1,
126388196843,1,1,1,1,1,1,
126388696843,1,2,1,1,1,1,
126389696843,1,1,1,1,1,1,
126390696843,1,2,1,1,1,1,
126391196843,1,1,1,1,1,1,
126391696843,1,1,1,1,1,1,
126392196843,1,1,1,1,1,1,
126393696843,1,1,1,1,1,1,
126394696843,1,1,1,1,1,1,
126395196843,1,1,1,1,1,1,
126396196843,1,2,1,1,1,1,
126397196843,1,2,1,1,1,1,
