,W-0,R-0,R-1,R-2,R-3,R-4,
127317500212,1,1,1,1,1,1,
127319000212,1,2,1,1,1,1,
127320000212,1,1,1,1,1,1,
127321000212,1,1,1,1,1,1,
127322000212,1,1,1,1,1,1,
127322500212,1,1,1,1,1,1,
127323000212,1,1,1,1,1,1,
127323500212,1,1,1,1,1,1,
127324000212,1,1,1,1,1,1,
127324500212,1,1,1,1,1,1,
127326000212,1,2,1,1,1,1,
127327000212,1,1,1,1,1,1,
127327500212,1,2,1,1,1,1,
127328000212,1,1,1,1,1,1,
127328500212,1,1,1,1,1,1,
127329000212,1,1,1,1,1,1,
127329500212,1,1,1,1,1,1,
127330000212,1,1,1,1,1,1,
127331000212,1,2,1,1,1,1,
127331500212,1,1,1,1,1,1,
127332000212,1,1,1,1,1,1,
127332500212,1,1,1,1,1,1,
127333500212,1,2,1,1,1,1,
127334500212,1,1,1,1,1,1,
127335000212,1,2,1,1,1,1,
127337000212,1,1,1,1,1,1,
127337500212,1,2,1,1,1,1,
127338000212,1,1,1,1,1,1,
127338500212,1,1,1,1,1,1,
127339000212,1,1,1,1,1,1,
127341500212,1,1,1,1,1,1,
127342500212,1,1,1,1,1,1,
127343000212,1,1,1,1,1,1,
127343500212,1,2,1,1,1,1,
127344000212,1,1,1,1,1,1,
127344500212,1,2,1,1,1,1,
127345500212,1,2,1,1,1,1,
127346000212,1,2,1,1,1,1,
127346500212,1,1,1,1,1,1,
127348500212,1,2,1,1,1,1,
127349000212,1,2,1,1,1,1,
127350500212,1,1,1,1,1,1,
127351000212,1,2,1,1,1,1,
127351500212,1,2,1,1,1,1,
127352000212,1,1,1,1,1,1,
127353000212,1,2,1,1,1,1,
127354500212,1,1,1,1,1,1,
127355000212,1,1,1,1,1,1,
127355500212,1,1,1,1,1,1,
127356500212,1,1,1,1,1,1,
127358000212,1,1,1,1,1,1,
127359000212,1,1,1,1,1,1,
127360500212,1,1,1,1,1,1,
127361000212,1,1,1,1,1,1,
127362000212,1,2,1,1,1,1,
127362500212,1,1,1,1,1,1,
127364000212,1,1,1,1,1,1,
127364500212,1,1,1,1,1,1,
127365000212,1,1,1,1,1,1,
127365500212,1,1,1,1,1,1,
127367500212,1,1,1,1,1,1,
127369500212,1,1,1,1,1,1,
127370000212,1,1,1,1,1,1,
127371500212,1,1,1,1,1,1,
127373000212,1,2,1,1,1,1,
127375500212,1,1,1,1,1,1,
127376000212,1,1,1,1,1,1,
127377000212,1,1,1,1,1,1,
127377500212,1,1,1,1,1,1,
127378000212,1,1,1,1,1,1,
127379000212,1,2,1,1,1,1,
127381500212,1,1,1,1,1,1,
127382000212,1,2,1,1,1,1,
127383000212,1,1,1,1,1,1,
127383500212,1,1,1,1,1,1,
127384000212,1,1,1,1,1,1,
127384500212,1,1,1,1,1,1,
127386500212,1,2,1,1,1,1,
127387500212,1,1,1,1,1,1,
127390000212,1,1,1,1,1,1,
127391000212,1,1,1,1,1,1,
127391500212,1,1,1,1,1,1,
127394000212,1,1,1,1,1,1,
127394500212,1,2,1,1,1,1,
127395500212,1,2,1,1,1,1,
127398000212,1,2,1,1,1,1,
127399500212,1,2,1,1,1,1,
127400000212,1,2,1,1,1,1,
127400500212,1,2,1,1,1,1,
127401000212,1,1,1,1,1,1,
127401500212,1,1,1,1,1,1,
127402000212,1,1,1,1,1,1,
127402500212,1,1,1,1,1,1,
127404000212,1,1,1,1,1,1,
127404500212,1,2,1,1,1,1,
127405000212,1,1,1,1,1,1,
127407500212,1,1,1,1,1,1,
127408000212,1,2,1,1,1,1,
127409000212,1,2,1,1,1,1,
127410000212,1,2,1,1,1,1,
127410500212,1,1,1,1,1,1,
127411000212,1,1,1,1,1,1,
127411500212,1,2,1,1,1,1,
127414000212,1,1,1,1,1,1,
127416000212,1,2,1,1,1,1,
127416500212,1,1,1,1,1,1,
127417000212,1,2,1,1,1,1,
127417500212,1,2,1,1,1,1,
127418000212,1,1,1,1,1,1,
127418500212,1,2,1,1,1,1,
127420000212,1,1,1,1,1,1,
127421000212,1,2,1,1,1,1,
127421500212,1,1,1,1,1,1,
127422000212,1,2,1,1,1,1,
127422500212,1,1,1,1,1,1,
127424000212,1,1,1,1,1,1,
127424500212,1,1,1,1,1,1,
127425500212,1,1,1,1,1,1,
127427500212,1,1,1,1,1,1,
127428500212,1,1,1,1,1,1,
127429500212,1,2,1,1,1,1,
127430500212,1,1,1,1,1,1,
127431000212,1,1,1,1,1,1,
127432500212,1,1,1,1,1,1,
127435000212,1,1,1,1,1,1,
127436000212,1,1,1,1,1,1,
127438500212,1,2,1,1,1,1,
127439000212,1,1,1,1,1,1,
127439500212,1,1,1,1,1,1,
127440000212,1,1,1,1,1,1,
127441500212,1,1,1,1,1,1,
127442000212,1,2,1,1,1,1,
127442500212,1,1,1,1,1,1,
127444500212,1,1,1,1,1,1,
127446000212,1,1,1,1,1,1,
127446500212,1,1,1,1,1,1,
127447000212,1,1,1,1,1,1,
127447500212,1,1,1,1,1,1,
