,W-0,R-0,R-1,R-2,R-3,R-4,
129104557067,1,2,2,1,2,1,
129106057067,1,2,1,1,1,1,
129107057067,1,2,2,1,2,2,
129108057067,1,2,2,2,1,1,
129109057067,1,2,1,2,2,1,
129109557067,1,2,1,1,1,1,
129110057067,1,2,2,1,1,1,
129110557067,1,2,1,1,1,1,
129111057067,1,2,2,1,1,1,
129111557067,1,2,1,1,1,1,
129113057067,1,2,1,1,1,1,
129114057067,1,2,1,1,1,1,
129114557067,1,2,1,1,1,1,
129115057067,1,2,1,1,1,1,
129115557067,1,2,2,1,2,1,
129116057067,1,2,1,1,1,1,
129116557067,1,2,1,1,1,1,
129117057067,1,2,1,1,1,1,
129118057067,1,2,1,1,1,1,
129118557067,1,2,1,1,1,1,
129119057067,1,2,2,1,1,1,
129119557067,1,2,1,1,1,1,
129120557067,1,2,1,1,1,1,
129121557067,1,2,2,1,1,1,
129122057067,1,2,1,1,1,1,
129124057067,1,2,1,2,2,1,
129124557067,1,2,2,2,1,1,
129125057067,1,2,1,1,1,1,
129125557067,1,2,1,1,1,1,
129126057067,1,2,1,1,1,1,
129128557067,1,2,1,1,1,1,
129129557067,1,2,1,1,1,1,
129130057067,1,2,2,2,2,1,
129130557067,1,2,1,1,1,1,
129131057067,1,2,2,1,1,1,
129131557067,1,2,2,1,1,1,
129132557067,1,2,2,2,1,1,
129133057067,1,2,2,1,2,1,
129133557067,1,2,1,1,1,1,
129135557067,1,2,1,1,1,1,
129136057067,1,2,1,1,1,1,
129137557067,1,2,2,2,2,2,
129138057067,1,2,2,1,2,1,
129138557067,1,2,1,1,1,1,
129139057067,1,2,1,1,1,1,
129140057067,1,2,2,1,2,2,
129141557067,1,2,2,2,2,2,
129142057067,1,2,1,1,1,1,
129142557067,1,2,1,2,2,2,
129143557067,1,2,1,2,2,1,
129145057067,1,2,1,1,1,1,
129146057067,1,2,1,1,1,1,
129147557067,1,2,1,1,1,1,
129148057067,1,2,1,2,1,2,
129149057067,1,2,1,1,1,1,
129149557067,1,2,2,1,1,1,
129151057067,1,2,1,1,1,1,
129151557067,1,2,2,2,2,1,
129152057067,1,2,1,1,1,1,
129152557067,1,2,2,2,2,1,
129154557067,1,2,2,1,1,1,
129156557067,1,2,1,1,1,1,
129157057067,1,2,1,1,1,1,
129158557067,1,2,1,1,1,1,
129160057067,1,2,1,1,1,1,
129162557067,1,2,1,1,1,1,
129163057067,1,2,2,1,1,1,
129164057067,1,2,2,1,1,1,
129164557067,1,2,2,1,1,1,
129165057067,1,2,1,1,1,1,
129166057067,1,2,1,1,1,1,
129168557067,1,2,1,1,2,1,
129169057067,1,2,1,1,1,1,
129170057067,1,2,1,1,1,1,
129170557067,1,2,1,1,1,1,
129171057067,1,2,1,1,1,1,
129171557067,1,2,2,1,1,1,
129173557067,1,2,1,1,1,1,
129174557067,1,2,1,1,1,1,
129177057067,1,2,1,1,1,1,
129178057067,1,2,1,2,1,1,
129178557067,1,2,1,1,1,1,
129181057067,1,2,1,1,1,1,
129181557067,1,2,2,1,1,1,
129182557067,1,2,1,1,1,1,
129185057067,1,2,1,1,1,1,
129186557067,1,2,1,1,1,1,
129187057067,1,2,2,2,1,1,
129187557067,1,2,1,1,1,1,
129188057067,1,2,1,1,1,1,
129188557067,1,2,2,1,1,1,
129189057067,1,2,1,1,1,1,
129189557067,1,2,1,1,1,1,
129191057067,1,2,2,1,1,1,
129191557067,1,2,2,1,1,1,
129192057067,1,2,1,1,1,1,
129194557067,1,2,2,2,2,2,
129195057067,1,2,1,1,1,1,
129196057067,1,2,1,1,1,1,
129197057067,1,2,1,1,1,1,
129197557067,1,2,2,2,2,2,
129198057067,1,2,1,1,1,1,
129198557067,1,2,1,1,1,1,
129201057067,1,2,2,2,1,1,
129203057067,1,2,1,1,1,1,
129203557067,1,2,1,2,1,1,
129204057067,1,2,1,1,1,1,
129204557067,1,2,1,2,2,2,
129205057067,1,2,2,2,2,1,
129205557067,1,2,2,2,2,2,
129207057067,1,2,1,1,1,1,
129208057067,1,2,1,1,1,1,
129208557067,1,2,1,1,1,1,
129209057067,1,2,1,1,1,1,
129209557067,1,2,1,1,1,1,
129211057067,1,2,1,1,1,1,
129211557067,1,2,2,1,1,1,
129212557067,1,2,1,1,1,1,
129214557067,1,2,1,1,1,1,
129215557067,1,2,2,1,1,1,
129216557067,1,2,1,1,1,1,
129217557067,1,2,1,1,1,1,
129218057067,1,2,2,1,1,1,
129219557067,1,2,1,1,1,1,
129222057067,1,2,1,1,1,1,
129223057067,1,2,1,1,1,1,
129225557067,1,2,1,1,1,1,
129226057067,1,2,1,1,1,1,
129226557067,1,2,2,2,1,2,
129227057067,1,2,1,1,1,1,
129228557067,1,2,1,1,1,1,
129229057067,1,2,1,1,1,1,
129229557067,1,2,1,1,1,1,
129231557067,1,2,1,1,1,1,
129233057067,1,2,1,1,1,1,
129233557067,1,2,2,2,1,2,
129234057067,1,2,1,1,1,1,
129234557067,1,2,1,1,1,1,
129235057067,1,2,2,1,1,1,
129235557067,1,2,2,2,1,1,
129236057067,1,2,1,1,1,1,
129237557067,1,2,1,1,1,1,
129238557067,1,2,2,1,1,1,
129239057067,1,2,1,1,1,1,
129239557067,1,2,1,1,1,1,
129240057067,1,2,1,1,1,1,
129241057067,1,2,1,1,1,1,
129242057067,1,2,1,1,1,1,
129243057067,1,2,1,1,1,1,
129243557067,1,2,1,1,1,1,
129244057067,1,2,1,1,1,1,
129246557067,1,2,1,1,1,1,
129248557067,1,2,1,1,1,1,
129250057067,1,2,1,1,1,1,
129252057067,1,2,1,1,1,1,
129252557067,1,2,1,1,1,1,
129253557067,1,2,1,1,1,1,
129254557067,1,2,1,1,1,1,
129255057067,1,2,1,1,1,1,
129255557067,1,2,1,1,1,1,
129258057067,1,2,1,1,1,1,
129259057067,1,2,1,1,1,1,
129260557067,1,2,2,2,1,1,
129263057067,1,2,1,1,1,1,
129264557067,1,2,2,2,1,1,
129266057067,1,2,1,1,1,1,
129267557067,1,2,2,1,1,1,
129269057067,1,2,2,2,2,1,
129269557067,1,2,2,2,2,2,
129270057067,1,2,2,2,2,2,
129270557067,1,2,1,2,2,1,
129271057067,1,2,1,1,1,1,
129272057067,1,2,2,2,2,1,
129272557067,1,2,1,1,1,1,
129273057067,1,2,1,1,1,1,
129274057067,1,2,1,1,1,1,
129276057067,1,1,1,1,1,1,
129277057067,1,2,1,2,1,1,
129280057067,1,2,2,2,2,2,
129280557067,1,2,1,1,1,1,
129281557067,1,2,2,2,2,2,
129283057067,1,2,1,1,1,1,
129283557067,1,2,1,1,1,1,
129284057067,1,2,2,1,1,1,
129284557067,1,2,1,1,1,1,
129285557067,1,2,1,1,1,1,
129286557067,1,2,1,1,1,1,
129287057067,1,2,2,1,1,1,
129288057067,1,2,2,1,1,1,
129289557067,1,2,1,1,1,1,
129290057067,1,2,1,1,1,1,
129291057067,1,2,2,1,1,1,
129291557067,1,2,1,1,1,1,
129292057067,1,2,1,1,1,1,
129292557067,1,2,1,2,1,1,
129294557067,1,2,2,1,1,1,
129295057067,1,2,1,1,1,1,
129296557067,1,2,1,1,1,1,
129297057067,1,2,2,1,1,1,
129297557067,1,2,2,1,2,2,
129299557067,1,2,1,1,1,1,
129300557067,1,2,1,1,1,1,
129304557067,1,2,1,1,1,1,
129305057067,1,2,1,2,2,1,
129306057067,1,2,1,1,1,1,
129306557067,1,2,1,1,1,1,
129307557067,1,2,1,1,1,1,
129308057067,1,2,1,2,1,1,
129308557067,1,2,1,1,1,1,
129309557067,1,2,1,1,1,1,
129310057067,1,2,1,1,1,1,
129311557067,1,2,2,1,2,1,
129312057067,1,2,2,2,1,2,
129313557067,1,2,2,2,2,2,
129314057067,1,2,2,2,2,2,
129314557067,1,2,1,1,1,1,
129315557067,1,2,2,2,1,1,
129316557067,1,2,2,1,1,1,
129318057067,1,2,1,1,1,1,
129319057067,1,2,1,1,1,1,
129321057067,1,2,1,1,1,1,
129321557067,1,2,1,1,1,1,
129322057067,1,2,1,1,1,1,
129322557067,1,2,2,2,1,1,
129323557067,1,2,1,1,1,1,
129324057067,1,2,1,1,1,1,
129324557067,1,2,2,1,1,1,
129325057067,1,2,1,1,1,1,
129325557067,1,2,1,1,1,1,
129326057067,1,2,1,1,1,1,
129328057067,1,2,1,1,1,1,
129329057067,1,2,1,1,1,1,
129330557067,1,2,2,1,1,1,
129333057067,1,2,1,1,1,1,
129333557067,1,2,1,1,1,1,
129334057067,1,2,2,1,1,1,
129335557067,1,2,1,1,1,1,
129336057067,1,2,1,1,1,1,
129337057067,1,2,2,1,2,1,
129338057067,1,2,1,1,1,1,
129338557067,1,2,2,1,1,1,
129339057067,1,2,1,1,1,1,
129339557067,1,2,1,1,1,1,
129340057067,1,2,1,1,1,1,
129340557067,1,2,2,1,2,2,
129341057067,1,2,1,1,1,1,
129341557067,1,2,1,1,1,1,
129342057067,1,2,1,1,1,1,
129342557067,1,2,1,1,1,1,
129343557067,1,2,1,1,1,1,
129344057067,1,2,2,1,1,1,
129344557067,1,2,1,2,1,1,
129345557067,1,2,1,1,1,1,
129346057067,1,2,2,2,2,2,
