,W-0,R-0,R-1,R-2,R-3,R-4,
130294232350,1,2,1,1,1,1,
130295732350,1,2,2,2,2,2,
130296732350,1,2,2,1,1,1,
130297732350,1,2,2,1,2,1,
130298732350,1,2,2,2,2,2,
130299232350,1,2,2,2,1,2,
130299732350,1,2,1,1,1,1,
130300232350,1,2,1,1,1,1,
130300732350,1,2,2,1,1,1,
130301232350,1,2,2,2,1,1,
130302732350,1,2,1,1,1,1,
130303732350,1,2,1,1,1,1,
130304232350,1,2,2,2,2,1,
130304732350,1,2,2,1,1,1,
130305232350,1,2,1,1,1,1,
130305732350,1,2,1,1,1,1,
130306232350,1,2,2,1,1,1,
130306732350,1,2,1,1,1,1,
130307732350,1,2,1,1,1,1,
130308232350,1,2,1,1,1,1,
130308732350,1,2,1,1,1,1,
130309232350,1,2,2,1,1,1,
130310232350,1,2,1,1,1,1,
130311232350,1,2,1,1,1,1,
130311732350,1,2,2,2,1,1,
130313732350,1,2,1,1,1,1,
130314232350,1,2,2,1,1,1,
130314732350,1,2,2,1,2,1,
130315232350,1,2,1,1,1,1,
130315732350,1,2,2,2,1,1,
130318232350,1,2,1,1,1,1,
130319232350,1,2,1,1,1,1,
130319732350,1,2,2,1,1,2,
130320232350,1,2,1,2,1,1,
130320732350,1,2,1,1,1,1,
130321232350,1,2,1,1,1,1,
130322232350,1,2,1,1,1,1,
130322732350,1,2,2,1,1,1,
130323232350,1,2,1,1,1,1,
130325232350,1,2,1,1,1,1,
130325732350,1,2,1,1,1,1,
130327232350,1,2,1,1,1,1,
130327732350,1,2,1,1,1,1,
130328232350,1,2,2,2,1,2,
130328732350,1,2,1,1,1,1,
130329732350,1,2,1,1,1,1,
130331232350,1,2,1,1,1,1,
130331732350,1,2,2,1,1,1,
130332232350,1,2,1,1,1,1,
130333232350,1,2,1,1,1,1,
130334732350,1,2,2,2,2,2,
130335732350,1,2,1,1,1,1,
130337232350,1,2,1,1,1,1,
130337732350,1,2,1,1,1,1,
130338732350,1,2,1,1,1,1,
130339232350,1,2,1,1,2,1,
130340732350,1,2,1,1,1,1,
130341232350,1,2,1,1,1,1,
130341732350,1,2,1,1,2,1,
130342232350,1,2,2,1,1,1,
130344232350,1,2,1,1,1,1,
130346232350,1,2,1,1,1,1,
130346732350,1,2,2,1,1,1,
130348232350,1,2,1,1,1,1,
130349732350,1,2,1,1,1,1,
130352232350,1,2,1,1,1,1,
130352732350,1,2,1,1,1,1,
130353732350,1,2,2,2,2,2,
130354232350,1,2,2,1,1,2,
130354732350,1,2,1,1,1,1,
130355732350,1,2,1,1,1,1,
130358232350,1,2,1,1,1,1,
130358732350,1,2,1,1,1,1,
130359732350,1,2,1,1,1,1,
130360232350,1,2,2,2,2,1,
130360732350,1,2,1,1,1,1,
130361232350,1,2,1,1,1,1,
130363232350,1,2,1,1,1,1,
130364232350,1,2,2,1,2,2,
130366732350,1,2,1,1,1,1,
130367732350,1,2,1,1,1,1,
130368232350,1,2,1,1,1,1,
130370732350,1,2,1,1,1,1,
130371232350,1,2,1,1,2,2,
130372232350,1,2,2,1,1,1,
130374732350,1,2,1,1,1,1,
130376232350,1,2,2,2,2,2,
130376732350,1,2,1,1,1,1,
130377232350,1,2,2,1,1,1,
