,W-0,R-0,R-1,R-2,R-3,R-4,
136853594986,1,2,1,1,1,1,
136855094986,1,2,2,1,1,1,
136856094986,1,2,2,1,1,1,
136857094986,1,2,1,1,1,1,
136858094986,1,2,1,1,1,1,
136858594986,1,2,2,1,1,1,
136859094986,1,2,1,2,1,1,
136859594986,1,2,1,1,1,1,
136860094986,1,2,1,1,1,1,
136860594986,1,2,1,1,2,2,
136862094986,1,2,1,1,1,1,
136863094986,1,2,2,2,2,1,
136863594986,1,2,1,2,2,1,
136864094986,1,2,1,1,1,1,
136864594986,1,2,1,1,1,1,
136865094986,1,2,1,1,1,1,
136865594986,1,2,1,1,1,1,
136866094986,1,2,1,1,1,1,
136867094986,1,1,2,1,1,2,
136867594986,1,2,1,1,1,1,
136868094986,1,2,1,1,1,1,
136868594986,1,2,1,1,1,1,
136869594986,1,2,2,1,2,1,
136870594986,1,1,2,1,1,1,
136871094986,1,2,1,1,1,1,
136873094986,1,2,2,1,2,1,
136873594986,1,2,2,2,1,2,
136874094986,1,1,1,1,1,1,
136874594986,1,1,2,1,1,1,
136875094986,1,2,1,1,1,1,
136877594986,1,1,1,2,1,1,
136878594986,1,1,1,1,2,1,
136879094986,1,1,1,1,1,1,
136879594986,1,2,1,1,1,1,
136880094986,1,2,1,1,1,1,
136880594986,1,2,1,1,1,1,
136881594986,1,1,1,1,1,1,
136882094986,1,1,1,1,1,1,
136882594986,1,1,2,1,2,1,
136884594986,1,2,1,1,1,1,
136885094986,1,2,2,1,1,1,
136886594986,1,1,2,1,1,1,
136887094986,1,2,1,1,1,1,
136887594986,1,1,1,1,1,1,
136888094986,1,2,1,1,1,1,
136889094986,1,2,1,1,1,1,
136890594986,1,2,1,1,1,1,
136891094986,1,2,1,1,1,1,
136891594986,1,2,1,1,1,1,
136892594986,1,2,1,1,1,1,
136894094986,1,2,1,1,1,1,
136895094986,1,2,1,1,1,1,
136896594986,1,2,1,1,1,1,
136897094986,1,1,2,1,1,2,
136898094986,1,1,1,1,1,1,
136898594986,1,1,1,1,1,1,
136900094986,1,2,2,1,1,1,
136900594986,1,2,1,1,2,1,
136901094986,1,2,1,1,1,1,
136901594986,1,2,1,1,1,1,
136903594986,1,2,1,1,1,1,
136905594986,1,2,1,1,1,1,
136906094986,1,2,2,1,1,1,
136907594986,1,2,1,1,1,1,
136909094986,1,1,2,1,1,1,
136911594986,1,2,2,1,2,1,
136912094986,1,2,2,1,1,1,
136913094986,1,2,1,1,2,1,
136913594986,1,2,1,1,1,1,
136914094986,1,2,1,1,1,1,
136915094986,1,2,1,1,1,1,
136917594986,1,2,1,1,1,1,
136918094986,1,2,1,1,1,1,
136919094986,1,1,1,1,1,1,
136919594986,1,1,2,2,2,2,
136920094986,1,2,1,1,1,1,
136920594986,1,2,1,2,1,1,
136922594986,1,2,2,1,1,1,
136923594986,1,1,1,1,1,1,
136926094986,1,2,1,1,1,1,
136927094986,1,1,1,1,1,1,
136927594986,1,2,1,1,1,1,
136930094986,1,2,1,1,1,1,
136930594986,1,2,2,1,1,1,
136931594986,1,2,2,1,1,1,
136934094986,1,1,2,1,1,1,
136935594986,1,2,1,1,1,1,
136936094986,1,2,1,1,1,1,
136936594986,1,2,1,1,1,1,
136937094986,1,2,2,1,1,1,
136937594986,1,2,1,1,1,1,
136938094986,1,2,1,1,1,1,
136938594986,1,2,1,1,1,1,
136940094986,1,2,1,1,1,1,
136940594986,1,1,1,1,1,1,
136941094986,1,2,1,1,1,1,
136943594986,1,1,1,1,1,1,
136944094986,1,1,2,1,1,1,
136945094986,1,2,1,2,1,1,
136946094986,1,2,1,1,1,1,
136946594986,1,2,1,1,1,1,
