,W-0,R-0,R-1,R-2,R-3,R-4,
138640401167,1,1,1,1,1,1,
138641901167,1,1,1,1,1,1,
138642901167,1,1,1,1,1,1,
138643901167,1,2,1,1,1,1,
138644901167,1,1,1,1,1,1,
138645401167,1,2,1,1,1,1,
138645901167,1,1,1,1,1,1,
138646401167,1,1,1,1,1,1,
138646901167,1,1,1,1,1,1,
138647401167,1,1,1,1,1,1,
138648901167,1,1,1,1,1,1,
138649901167,1,1,1,1,1,1,
138650401167,1,1,1,1,1,1,
138650901167,1,1,1,1,1,1,
138651401167,1,1,1,1,1,1,
138651901167,1,1,1,1,1,1,
138652401167,1,1,1,1,1,1,
138652901167,1,1,1,1,1,1,
138653901167,1,1,1,1,1,1,
138654401167,1,1,1,1,1,1,
138654901167,1,1,1,1,1,1,
138655401167,1,1,1,1,1,1,
138656401167,1,1,1,1,1,1,
138657401167,1,1,1,1,1,1,
138657901167,1,1,1,1,1,1,
138659901167,1,1,1,1,1,1,
138660401167,1,1,1,1,1,1,
138660901167,1,1,1,1,1,1,
138661401167,1,1,1,1,1,1,
138661901167,1,1,1,1,1,1,
138664401167,1,1,1,1,1,1,
138665401167,1,2,1,1,1,1,
138665901167,1,1,1,1,1,1,
138666401167,1,1,1,1,1,1,
138666901167,1,1,1,1,1,1,
138667401167,1,1,1,1,1,1,
138668401167,1,1,1,1,1,1,
138668901167,1,1,1,1,1,1,
138669401167,1,1,1,1,1,1,
138671401167,1,1,1,1,1,1,
138671901167,1,1,1,1,1,1,
138673401167,1,2,1,1,1,1,
138673901167,1,1,1,1,1,1,
138674401167,1,1,1,1,1,1,
138674901167,1,1,1,1,1,1,
138675901167,1,1,1,1,1,1,
138677401167,1,2,1,1,1,1,
138677901167,1,1,1,1,1,1,
138678401167,1,1,1,1,1,1,
138679401167,1,2,1,1,1,1,
138680901167,1,1,1,1,1,1,
138681901167,1,1,1,1,1,1,
138683401167,1,1,1,1,1,1,
138683901167,1,1,1,1,1,1,
138684901167,1,1,1,1,1,1,
138685401167,1,1,1,1,1,1,
138686901167,1,2,1,1,1,1,
138687401167,1,1,1,1,1,1,
138687901167,1,1,1,1,1,1,
138688401167,1,2,1,1,1,1,
138690401167,1,1,1,1,1,1,
138692401167,1,1,1,1,1,1,
138692901167,1,1,1,1,1,1,
138694401167,1,1,1,1,1,1,
138695901167,1,2,1,1,1,1,
138698401167,1,1,1,1,1,1,
138698901167,1,1,1,1,1,1,
138699901167,1,1,1,1,1,1,
138700401167,1,1,1,1,1,1,
138700901167,1,1,1,1,1,1,
138701901167,1,1,1,1,1,1,
138704401167,1,1,1,1,1,1,
138704901167,1,1,1,1,1,1,
138705901167,1,2,1,1,1,1,
138706401167,1,1,1,1,1,1,
138706901167,1,1,1,1,1,1,
138707401167,1,1,1,1,1,1,
138709401167,1,1,1,1,1,1,
138710401167,1,1,1,1,1,1,
138712901167,1,1,1,1,1,1,
138713901167,1,1,1,1,1,1,
138714401167,1,1,1,1,1,1,
138716901167,1,1,1,1,1,1,
138717401167,1,1,1,1,1,1,
138718401167,1,1,1,1,1,1,
138720901167,1,1,1,1,1,1,
138722401167,1,1,1,1,1,1,
138722901167,1,1,1,1,1,1,
138723401167,1,1,1,1,1,1,
138723901167,1,1,1,1,1,1,
138724401167,1,1,1,1,1,1,
138724901167,1,1,1,1,1,1,
138725401167,1,1,1,1,1,1,
138726901167,1,1,1,1,1,1,
138727401167,1,1,1,1,1,1,
138727901167,1,1,1,1,1,1,
138730401167,1,1,1,1,1,1,
138730901167,1,1,1,1,1,1,
138731901167,1,1,1,1,1,1,
138732901167,1,1,1,1,1,1,
138733401167,1,2,1,1,1,1,
138733901167,1,1,1,1,1,1,
138734401167,1,1,1,1,1,1,
138736901167,1,1,1,1,1,1,
138738901167,1,2,1,1,1,1,
138739401167,1,1,1,1,1,1,
138739901167,1,2,1,1,1,1,
138740401167,1,2,1,1,1,1,
138740901167,1,1,1,1,1,1,
138741401167,1,1,1,1,1,1,
138742901167,1,2,1,1,1,1,
138743901167,1,1,1,1,1,1,
138744401167,1,1,1,1,1,1,
138744901167,1,1,1,1,1,1,
138745401167,1,1,1,1,1,1,
138746901167,1,2,1,1,1,1,
138747401167,1,1,1,1,1,1,
138748401167,1,1,1,1,1,1,
138750401167,1,1,1,1,1,1,
138751401167,1,1,1,1,1,1,
138752401167,1,2,1,1,1,1,
138753401167,1,1,1,1,1,1,
138753901167,1,1,1,1,1,1,
138755401167,1,2,1,1,1,1,
138757901167,1,1,1,1,1,1,
138758901167,1,1,1,1,1,1,
138761401167,1,1,1,1,1,1,
138761901167,1,1,1,1,1,1,
138762401167,1,1,1,1,1,1,
138762901167,1,1,1,1,1,1,
138764401167,1,2,1,1,1,1,
138764901167,1,2,1,1,1,1,
138765401167,1,1,1,1,1,1,
138767401167,1,2,1,1,1,1,
138768901167,1,2,1,1,1,1,
138769401167,1,1,1,1,1,1,
138769901167,1,1,1,1,1,1,
138770401167,1,1,1,1,1,1,
138770901167,1,1,1,1,1,1,
138771401167,1,2,1,1,1,1,
138771901167,1,2,1,1,1,1,
138773401167,1,1,1,1,1,1,
138774401167,1,1,1,1,1,1,
138774901167,1,1,1,1,1,1,
138775401167,1,2,1,1,1,1,
138775901167,1,2,1,1,1,1,
138776901167,1,1,1,1,1,1,
138777901167,1,1,1,1,1,1,
138778901167,1,1,1,1,1,1,
138779401167,1,2,1,1,1,1,
138779901167,1,1,1,1,1,1,
138782401167,1,1,1,1,1,1,
138784401167,1,1,1,1,1,1,
138785901167,1,1,1,1,1,1,
138787901167,1,1,1,1,1,1,
138788401167,1,1,1,1,1,1,
138789401167,1,1,1,1,1,1,
138790401167,1,2,1,1,1,1,
138790901167,1,1,1,1,1,1,
138791401167,1,2,1,1,1,1,
138793901167,1,1,1,1,1,1,
138794901167,1,1,1,1,1,1,
138796401167,1,2,1,1,1,1,
138798901167,1,2,1,1,1,1,
138800401167,1,2,1,1,1,1,
138801901167,1,2,1,1,1,1,
138803401167,1,2,1,1,1,1,
138804901167,1,2,1,1,1,1,
138805401167,1,2,1,1,1,1,
138805901167,1,1,1,1,1,1,
138806401167,1,1,1,1,1,1,
138806901167,1,2,1,1,1,1,
138807901167,1,1,1,1,1,1,
138808401167,1,1,1,1,1,1,
138808901167,1,1,1,1,1,1,
138809901167,1,1,1,1,1,1,
138811901167,1,1,1,1,1,1,
138812901167,1,1,1,1,1,1,
138815901167,1,2,1,1,1,1,
138816401167,1,1,1,1,1,1,
138817401167,1,1,1,1,1,1,
138818901167,1,2,1,1,1,1,
138819401167,1,1,1,1,1,1,
138819901167,1,1,1,1,1,1,
138820401167,1,1,1,1,1,1,
138821401167,1,1,1,1,1,1,
138822401167,1,1,1,1,1,1,
138822901167,1,1,1,1,1,1,
138823901167,1,1,1,1,1,1,
138825401167,1,1,1,1,1,1,
138825901167,1,1,1,1,1,1,
138826901167,1,2,1,1,1,1,
138827401167,1,1,1,1,1,1,
138827901167,1,1,1,1,1,1,
138828401167,1,1,1,1,1,1,
138830401167,1,1,1,1,1,1,
138830901167,1,1,1,1,1,1,
138832401167,1,1,1,1,1,1,
138832901167,1,1,1,1,1,1,
138833401167,1,1,1,1,1,1,
138835401167,1,1,1,1,1,1,
138836401167,1,1,1,1,1,1,
138840401167,1,1,1,1,1,1,
138840901167,1,1,1,1,1,1,
138841901167,1,2,1,1,1,1,
138842401167,1,1,1,1,1,1,
138843401167,1,1,1,1,1,1,
138843901167,1,2,1,1,1,1,
138844401167,1,1,1,1,1,1,
138845401167,1,1,1,1,1,1,
138845901167,1,1,1,1,1,1,
138847401167,1,1,1,1,1,1,
138847901167,1,1,1,1,1,1,
138849401167,1,1,1,1,1,1,
138849901167,1,1,1,1,1,1,
138850401167,1,1,1,1,1,1,
138851401167,1,1,1,1,1,1,
138852401167,1,1,1,1,1,1,
138853901167,1,1,1,1,1,1,
138854901167,1,1,1,1,1,1,
138856901167,1,1,1,1,1,1,
138857401167,1,1,1,1,1,1,
138857901167,1,2,1,1,1,1,
138858401167,1,1,1,1,1,1,
138859401167,1,2,1,1,1,1,
138859901167,1,1,1,1,1,1,
138860401167,1,2,1,1,1,1,
138860901167,1,2,1,1,1,1,
138861401167,1,2,1,1,1,1,
138861901167,1,1,1,1,1,1,
138863901167,1,2,1,1,1,1,
138864901167,1,1,1,1,1,1,
138866401167,1,1,1,1,1,1,
138868901167,1,1,1,1,1,1,
138869401167,1,2,1,1,1,1,
138869901167,1,1,1,1,1,1,
138871401167,1,1,1,1,1,1,
138871901167,1,1,1,1,1,1,
138872901167,1,1,1,1,1,1,
138873901167,1,2,1,1,1,1,
138874401167,1,1,1,1,1,1,
138874901167,1,2,1,1,1,1,
138875401167,1,1,1,1,1,1,
138875901167,1,1,1,1,1,1,
138876401167,1,1,1,1,1,1,
138876901167,1,1,1,1,1,1,
138877401167,1,1,1,1,1,1,
138877901167,1,1,1,1,1,1,
138878401167,1,1,1,1,1,1,
138879401167,1,1,1,1,1,1,
138879901167,1,1,1,1,1,1,
138880401167,1,1,1,1,1,1,
138881401167,1,1,1,1,1,1,
138881901167,1,2,1,1,1,1,
138882901167,1,1,1,1,1,1,
138883401167,1,2,1,1,1,1,
138883901167,1,2,1,1,1,1,
138884401167,1,1,1,1,1,1,
138885401167,1,1,1,1,1,1,
138885901167,1,1,1,1,1,1,
138886401167,1,2,1,1,1,1,
138886901167,1,1,1,1,1,1,
138889401167,1,2,1,1,1,1,
138889901167,1,1,1,1,1,1,
138891901167,1,2,1,1,1,1,
138894401167,1,2,1,1,1,1,
138897901167,1,1,1,1,1,1,
138898401167,1,1,1,1,1,1,
138899901167,1,2,1,1,1,1,
138900401167,1,1,1,1,1,1,
138900901167,1,1,1,1,1,1,
138902401167,1,1,1,1,1,1,
138902901167,1,1,1,1,1,1,
138903901167,1,1,1,1,1,1,
138904901167,1,1,1,1,1,1,
138905401167,1,1,1,1,1,1,
138905901167,1,1,1,1,1,1,
138906401167,1,2,1,1,1,1,
138907901167,1,1,1,1,1,1,
138908901167,1,1,1,1,1,1,
138909401167,1,2,1,1,1,1,
138910401167,1,1,1,1,1,1,
138911401167,1,1,1,1,1,1,
138911901167,1,1,1,1,1,1,
138912401167,1,1,1,1,1,1,
138915401167,1,1,1,1,1,1,
138916401167,1,1,1,1,1,1,
138917901167,1,1,1,1,1,1,
138918901167,1,2,1,1,1,1,
138919901167,1,1,1,1,1,1,
138921401167,1,1,1,1,1,1,
138921901167,1,1,1,1,1,1,
138922401167,1,1,1,1,1,1,
138924901167,1,1,1,1,1,1,
138925401167,1,1,1,1,1,1,
138926901167,1,1,1,1,1,1,
138927401167,1,2,1,1,1,1,
138927901167,1,1,1,1,1,1,
138929401167,1,1,1,1,1,1,
138929901167,1,2,1,1,1,1,
138930401167,1,1,1,1,1,1,
138931401167,1,1,1,1,1,1,
138934401167,1,1,1,1,1,1,
138934901167,1,1,1,1,1,1,
138935901167,1,1,1,1,1,1,
138936401167,1,1,1,1,1,1,
138937901167,1,1,1,1,1,1,
138938901167,1,1,1,1,1,1,
138940401167,1,2,1,1,1,1,
138940901167,1,1,1,1,1,1,
138941401167,1,1,1,1,1,1,
138943901167,1,1,1,1,1,1,
138944901167,1,1,1,1,1,1,
138945401167,1,1,1,1,1,1,
138946401167,1,1,1,1,1,1,
138949401167,1,1,1,1,1,1,
138949901167,1,2,1,1,1,1,
138950901167,1,1,1,1,1,1,
138952401167,1,1,1,1,1,1,
138954401167,1,1,1,1,1,1,
138954901167,1,1,1,1,1,1,
138956401167,1,1,1,1,1,1,
138957401167,1,2,1,1,1,1,
138957901167,1,1,1,1,1,1,
138958901167,1,1,1,1,1,1,
138960901167,1,1,1,1,1,1,
138961401167,1,1,1,1,1,1,
138962901167,1,1,1,1,1,1,
138963401167,1,1,1,1,1,1,
138964401167,1,1,1,1,1,1,
138965901167,1,1,1,1,1,1,
138966901167,1,1,1,1,1,1,
