,W-0,R-0,R-1,R-2,R-3,R-4,
139236198589,1,2,1,1,1,1,
139237698589,1,1,1,1,1,1,
139238698589,1,1,1,1,1,1,
139239698589,1,2,1,1,1,1,
139240698589,1,2,1,1,1,1,
139241198589,1,1,1,1,1,1,
139241698589,1,2,1,1,1,1,
139242198589,1,2,1,1,1,1,
139242698589,1,1,1,1,1,1,
139243198589,1,1,1,1,1,1,
139244698589,1,1,1,1,1,1,
139245698589,1,1,1,1,1,1,
139246198589,1,1,1,1,1,1,
139246698589,1,1,1,1,1,1,
139247198589,1,1,1,1,1,1,
139247698589,1,1,1,1,1,1,
139248198589,1,1,1,1,1,1,
139248698589,1,1,1,1,1,1,
139249698589,1,1,1,1,1,1,
139250198589,1,1,1,1,1,1,
139250698589,1,1,1,1,1,1,
139251198589,1,1,1,1,1,1,
139252198589,1,1,1,1,1,1,
139253198589,1,1,1,1,1,1,
139253698589,1,1,1,1,1,1,
139255698589,1,1,1,1,1,1,
139256198589,1,1,1,1,1,1,
139256698589,1,1,1,1,1,1,
139257198589,1,1,1,1,1,1,
139257698589,1,1,1,1,1,1,
139260198589,1,1,1,1,1,1,
139261198589,1,2,1,1,1,1,
139261698589,1,2,1,1,1,1,
139262198589,1,1,1,1,1,1,
139262698589,1,1,1,1,1,1,
139263198589,1,1,1,1,1,1,
139264198589,1,1,1,1,1,1,
139264698589,1,2,2,2,2,2,
139265198589,1,1,1,1,1,1,
139267198589,1,1,1,1,1,1,
139267698589,1,1,1,1,1,1,
139269198589,1,2,1,1,1,1,
139269698589,1,2,1,1,1,1,
139270198589,1,2,1,1,1,1,
139270698589,1,1,1,1,1,1,
139271698589,1,1,1,1,1,1,
139273198589,1,1,1,1,1,1,
139273698589,1,1,1,1,1,1,
139274198589,1,1,1,1,1,1,
139275198589,1,1,1,1,1,1,
139276698589,1,1,1,1,1,1,
139277698589,1,2,1,1,1,1,
139279198589,1,1,1,1,1,1,
139279698589,1,1,1,1,1,1,
139280698589,1,1,1,1,1,1,
139281198589,1,1,1,1,1,1,
139282698589,1,1,1,1,1,1,
139283198589,1,1,1,1,1,1,
139283698589,1,2,1,1,1,1,
139284198589,1,1,1,1,1,1,
139286198589,1,1,1,1,1,1,
139288198589,1,1,1,1,1,1,
139288698589,1,1,1,1,1,1,
139290198589,1,1,1,1,1,1,
139291698589,1,1,1,1,1,1,
139294198589,1,1,1,1,1,1,
139294698589,1,1,1,1,1,1,
139295698589,1,2,2,1,2,2,
139296198589,1,2,1,1,1,1,
139296698589,1,2,1,1,1,1,
139297698589,1,1,1,1,1,1,
139300198589,1,1,1,1,1,1,
139300698589,1,1,1,1,1,1,
139301698589,1,1,1,1,1,1,
139302198589,1,2,1,1,1,1,
139302698589,1,1,1,1,1,1,
139303198589,1,1,1,1,1,1,
139305198589,1,2,1,1,1,1,
139306198589,1,2,1,1,1,1,
139308698589,1,1,1,1,1,1,
139309698589,1,1,1,1,1,1,
139310198589,1,1,1,1,1,1,
139312698589,1,2,1,1,1,1,
139313198589,1,2,1,1,1,1,
139314198589,1,1,1,1,1,1,
139316698589,1,2,1,1,1,1,
139318198589,1,1,1,1,1,1,
139318698589,1,2,1,1,1,1,
139319198589,1,2,1,1,1,1,
139319698589,1,2,1,1,1,1,
139320198589,1,1,1,1,1,1,
139320698589,1,1,1,1,1,1,
139321198589,1,2,1,1,1,1,
139322698589,1,2,1,1,1,1,
139323198589,1,1,1,1,1,1,
139323698589,1,1,1,1,1,1,
139326198589,1,1,1,1,1,1,
139326698589,1,1,1,1,1,1,
139327698589,1,1,1,1,1,1,
139328698589,1,1,1,1,1,1,
139329198589,1,2,1,1,1,1,
139329698589,1,1,1,1,1,1,
139330198589,1,1,1,1,1,1,
139332698589,1,1,1,1,1,1,
139334698589,1,1,1,1,1,1,
139335198589,1,2,1,1,1,1,
139335698589,1,1,1,1,1,1,
139336198589,1,2,1,1,1,1,
139336698589,1,2,1,1,1,1,
139337198589,1,1,1,1,1,1,
139338698589,1,2,1,1,1,1,
139339698589,1,1,1,1,1,1,
139340198589,1,1,1,1,1,1,
139340698589,1,1,1,1,1,1,
139341198589,1,1,1,1,1,1,
139342698589,1,1,1,1,1,1,
139343198589,1,2,1,1,1,1,
139344198589,1,1,1,1,1,1,
139346198589,1,1,1,1,1,1,
139347198589,1,1,1,1,1,1,
139348198589,1,1,1,1,1,1,
139349198589,1,1,1,1,1,1,
139349698589,1,2,1,1,1,1,
139351198589,1,1,1,1,1,1,
139353698589,1,1,1,1,1,1,
139354698589,1,2,1,1,1,1,
139357198589,1,1,1,1,1,1,
139357698589,1,1,1,1,1,1,
139358198589,1,1,1,1,1,1,
139358698589,1,1,1,1,1,1,
