,W-0,R-0,R-1,R-2,R-3,R-4,
141020619107,1,1,1,1,1,1,
141022119107,1,2,1,1,1,1,
141023119107,1,2,2,2,2,2,
141024119107,1,2,1,1,1,1,
141025119107,1,2,1,1,1,1,
141025619107,1,2,1,1,1,1,
141026119107,1,2,1,1,1,2,
141026619107,1,2,1,1,1,1,
141027119107,1,2,2,1,1,1,
141027619107,1,2,1,1,1,1,
141029119107,1,2,1,1,1,1,
141030119107,1,2,1,1,1,1,
141030619107,1,2,2,1,1,1,
141031119107,1,2,1,1,1,1,
141031619107,1,2,1,1,1,1,
141032119107,1,2,1,1,1,1,
141032619107,1,2,2,1,1,1,
141033119107,1,2,1,1,1,1,
141034119107,1,2,1,1,1,1,
141034619107,1,2,2,2,2,2,
141035119107,1,2,2,2,2,1,
141035619107,1,2,1,1,1,1,
141036619107,1,2,1,1,1,1,
141037619107,1,2,1,1,1,1,
141038119107,1,2,1,1,1,1,
141040119107,1,2,1,1,1,1,
141040619107,1,2,2,1,1,1,
141041119107,1,2,1,1,1,1,
141041619107,1,2,1,1,1,1,
141042119107,1,2,1,1,1,1,
141044619107,1,2,1,1,1,1,
141045619107,1,2,1,1,1,1,
141046119107,1,2,2,1,1,1,
141046619107,1,2,1,1,1,1,
141047119107,1,2,1,1,1,1,
141047619107,1,2,1,1,1,1,
141048619107,1,2,1,1,1,1,
141049119107,1,2,2,1,1,1,
141049619107,1,2,1,2,2,2,
141051619107,1,2,2,1,1,1,
141052119107,1,2,1,1,1,1,
141053619107,1,2,2,1,1,1,
141054119107,1,2,2,2,2,1,
141054619107,1,2,1,1,1,1,
141055119107,1,2,1,1,1,1,
141056119107,1,2,2,2,2,2,
141057619107,1,2,1,1,1,1,
141058119107,1,2,1,1,1,1,
141058619107,1,2,2,2,1,2,
141059619107,1,2,1,1,1,1,
141061119107,1,2,2,1,1,1,
141062119107,1,2,1,1,1,1,
141063619107,1,2,1,1,1,1,
141064119107,1,2,2,1,1,2,
141065119107,1,2,1,1,1,1,
141065619107,1,2,1,1,1,1,
141067119107,1,2,2,1,1,2,
141067619107,1,2,1,1,1,1,
141068119107,1,2,1,1,1,1,
141068619107,1,2,2,1,1,1,
141070619107,1,2,1,1,1,1,
141072619107,1,2,1,1,1,1,
141073119107,1,2,1,1,1,1,
141074619107,1,2,1,1,1,1,
141076119107,1,2,1,1,1,1,
141078619107,1,2,2,1,1,1,
141079119107,1,2,2,1,1,1,
141080119107,1,2,2,1,1,1,
141080619107,1,2,1,1,1,1,
141081119107,1,2,1,1,1,1,
141082119107,1,2,2,1,1,1,
141084619107,1,2,2,1,1,1,
141085119107,1,2,1,1,1,1,
141086119107,1,2,1,1,1,1,
141086619107,1,2,1,1,1,1,
141087119107,1,2,1,1,1,1,
141087619107,1,2,1,1,1,1,
141089619107,1,2,1,1,1,1,
141090619107,1,2,1,1,1,1,
141093119107,1,2,1,1,1,1,
141094119107,1,2,1,1,1,1,
141094619107,1,2,2,1,1,1,
141097119107,1,2,1,2,1,1,
141097619107,1,2,2,2,2,1,
141098619107,1,2,2,2,1,1,
141101119107,1,2,2,2,2,1,
141102619107,1,2,1,1,1,1,
141103119107,1,2,1,1,1,1,
141103619107,1,2,2,1,1,1,
141104119107,1,2,1,1,1,1,
141104619107,1,2,2,1,1,1,
141105119107,1,2,1,1,1,1,
141105619107,1,2,1,1,1,1,
141107119107,1,2,1,1,1,1,
141107619107,1,2,1,1,1,1,
141108119107,1,2,1,1,1,1,
141110619107,1,2,1,1,1,1,
141111119107,1,2,1,1,1,1,
141112119107,1,2,1,1,1,1,
141113119107,1,2,1,1,1,1,
141113619107,1,2,1,1,1,1,
141114119107,1,2,1,1,1,1,
141114619107,1,2,1,1,1,1,
141117119107,1,2,1,1,1,1,
141119119107,1,2,1,1,1,1,
141119619107,1,2,1,1,1,1,
141120119107,1,2,2,1,2,1,
141120619107,1,2,2,2,2,2,
141121119107,1,2,1,1,1,1,
141121619107,1,2,1,1,1,1,
141123119107,1,2,1,1,1,1,
141124119107,1,2,1,1,1,1,
141124619107,1,2,1,1,1,1,
141125119107,1,2,1,1,1,1,
141125619107,1,2,2,1,1,1,
141127119107,1,2,2,1,1,1,
141127619107,1,2,1,1,1,1,
141128619107,1,2,1,1,1,1,
141130619107,1,2,1,1,1,1,
141131619107,1,2,2,1,1,1,
141132619107,1,2,1,1,1,1,
141133619107,1,2,2,2,2,2,
141134119107,1,2,1,1,1,1,
141135619107,1,2,1,1,1,1,
141138119107,1,2,1,1,1,1,
141139119107,1,2,1,1,1,1,
141141619107,1,2,2,1,1,1,
141142119107,1,2,1,2,1,2,
141142619107,1,2,1,1,1,1,
141143119107,1,2,1,1,1,1,
141144619107,1,2,2,2,2,2,
141145119107,1,2,2,2,1,2,
141145619107,1,2,1,1,1,1,
141147619107,1,2,1,1,1,1,
141149119107,1,2,1,1,1,1,
141149619107,1,2,1,1,1,1,
141150119107,1,2,1,1,1,1,
141150619107,1,2,1,1,1,1,
141151119107,1,2,2,1,1,1,
141151619107,1,2,1,1,1,1,
141152119107,1,2,2,1,1,1,
141153619107,1,2,1,1,1,1,
141154619107,1,2,1,1,1,1,
141155119107,1,2,1,1,1,1,
141155619107,1,2,1,1,1,1,
141156119107,1,2,1,1,1,1,
141157119107,1,2,1,2,1,1,
141158119107,1,2,1,1,1,1,
141159119107,1,2,1,1,1,1,
141159619107,1,2,2,2,1,1,
141160119107,1,2,2,1,2,2,
141162619107,1,2,1,1,1,1,
141164619107,1,2,1,1,1,1,
141166119107,1,2,1,1,1,1,
141168119107,1,2,1,1,1,1,
141168619107,1,2,2,2,1,1,
141169619107,1,2,1,1,1,1,
141170619107,1,2,1,1,1,1,
141171119107,1,2,2,2,1,1,
141171619107,1,2,1,1,1,1,
141174119107,1,2,1,1,1,1,
141175119107,1,2,1,2,2,2,
141176619107,1,2,1,2,2,1,
141179119107,1,2,1,2,1,2,
141180619107,1,2,1,1,1,1,
141182119107,1,2,1,1,1,1,
141183619107,1,2,2,1,1,1,
141185119107,1,2,1,1,1,1,
141185619107,1,2,1,1,1,1,
141186119107,1,2,1,1,1,1,
141186619107,1,2,2,1,1,1,
141187119107,1,2,1,1,1,1,
141188119107,1,2,1,1,1,1,
141188619107,1,2,1,1,1,1,
141189119107,1,2,1,1,1,1,
141190119107,1,2,2,2,1,1,
141192119107,1,2,1,1,1,1,
141193119107,1,2,1,2,2,1,
141196119107,1,2,1,1,1,1,
141196619107,1,2,2,1,2,2,
141197619107,1,2,1,1,1,1,
141199119107,1,2,2,1,1,1,
141199619107,1,2,1,1,1,1,
141200119107,1,2,2,1,2,1,
141200619107,1,2,1,1,1,1,
141201619107,1,2,1,1,1,1,
141202619107,1,2,1,2,1,1,
141203119107,1,2,1,1,1,1,
141204119107,1,2,2,1,1,1,
141205619107,1,2,2,2,2,2,
141206119107,1,2,1,1,1,1,
141207119107,1,2,1,1,1,1,
141207619107,1,2,1,1,1,1,
