,W-0,R-0,R-1,R-2,R-3,R-4,
141616224412,1,1,1,1,1,1,
141617724412,1,2,1,1,1,1,
141618724412,1,2,2,1,2,2,
141619724412,1,2,1,1,1,1,
141620724412,1,2,1,1,1,1,
141621224412,1,2,2,2,2,2,
141621724412,1,2,2,1,2,1,
141622224412,1,2,2,2,2,2,
141622724412,1,2,1,1,1,1,
141623224412,1,2,1,1,1,1,
141624724412,1,2,1,1,1,1,
141625724412,1,2,1,1,1,1,
141626224412,1,2,2,1,1,1,
141626724412,1,2,1,1,1,1,
141627224412,1,2,2,1,1,2,
141627724412,1,2,1,1,1,1,
141628224412,1,2,1,1,1,1,
141628724412,1,2,2,2,2,1,
141629724412,1,2,1,1,1,1,
141630224412,1,2,2,2,2,2,
141630724412,1,2,2,1,1,1,
141631224412,1,2,1,1,1,1,
141632224412,1,2,2,1,1,1,
141633224412,1,2,1,1,1,1,
141633724412,1,2,1,1,1,1,
141635724412,1,2,1,2,2,1,
141636224412,1,2,1,1,1,1,
141636724412,1,2,1,1,1,1,
141637224412,1,2,1,1,1,1,
141637724412,1,2,1,1,1,1,
141640224412,1,2,1,1,1,1,
141641224412,1,2,1,1,1,1,
141641724412,1,2,2,1,1,1,
141642224412,1,2,2,1,1,1,
141642724412,1,2,1,1,1,1,
141643224412,1,2,1,1,1,1,
141644224412,1,2,1,1,1,1,
141644724412,1,2,1,1,1,1,
141645224412,1,2,2,1,1,1,
141647224412,1,2,1,1,2,2,
141647724412,1,2,1,1,1,1,
141649224412,1,2,1,1,1,1,
141649724412,1,2,1,1,1,1,
141650224412,1,2,1,1,1,1,
141650724412,1,2,1,1,1,1,
141651724412,1,2,1,1,1,1,
141653224412,1,2,1,1,1,1,
141653724412,1,2,1,1,1,1,
141654224412,1,2,1,1,1,1,
141655224412,1,2,1,1,1,1,
141656724412,1,2,1,1,1,1,
141657724412,1,2,1,1,2,1,
141659224412,1,2,1,1,1,1,
141659724412,1,2,1,1,1,1,
141660724412,1,2,1,1,1,1,
141661224412,1,2,2,1,1,1,
141662724412,1,2,1,1,1,1,
141663224412,1,2,1,2,2,2,
141663724412,1,2,1,1,1,1,
141664224412,1,2,1,1,1,1,
141666224412,1,2,1,1,1,1,
141668224412,1,2,1,1,1,1,
141668724412,1,2,1,1,1,1,
141670224412,1,2,1,1,1,1,
141671724412,1,2,1,1,1,1,
141674224412,1,2,2,2,2,1,
141674724412,1,2,1,1,1,1,
141675724412,1,2,2,1,1,1,
141676224412,1,2,1,1,1,1,
141676724412,1,2,1,1,1,1,
141677724412,1,2,1,1,1,1,
141680224412,1,2,2,1,2,2,
141680724412,1,2,1,1,1,1,
141681724412,1,2,1,1,1,1,
141682224412,1,2,2,1,2,1,
141682724412,1,2,1,1,1,1,
141683224412,1,2,1,1,1,1,
141685224412,1,2,1,1,1,1,
141686224412,1,2,2,1,1,1,
141688724412,1,2,1,1,1,1,
141689724412,1,2,2,2,2,1,
141690224412,1,2,1,1,1,1,
141692724412,1,2,1,1,1,1,
141693224412,1,2,1,1,1,1,
141694224412,1,2,1,1,2,2,
141696724412,1,2,1,1,1,1,
141698224412,1,2,1,1,1,1,
141698724412,1,2,2,1,1,1,
141699224412,1,2,1,1,1,1,
141699724412,1,2,2,2,2,2,
141700224412,1,2,1,1,1,1,
141700724412,1,2,1,1,1,1,
141701224412,1,2,1,1,1,1,
141702724412,1,2,1,1,1,1,
141703224412,1,2,2,1,1,1,
141703724412,1,2,1,1,1,1,
141706224412,1,2,1,1,1,1,
141706724412,1,2,1,1,1,1,
141707724412,1,2,1,1,1,1,
141708724412,1,2,1,1,1,1,
141709224412,1,2,2,1,1,1,
141709724412,1,2,2,1,1,1,
141710224412,1,2,1,1,1,1,
141712724412,1,2,1,1,1,1,
141714724412,1,2,1,1,1,1,
141715224412,1,2,2,1,2,1,
141715724412,1,2,2,1,2,1,
141716224412,1,2,1,1,1,1,
141716724412,1,2,1,1,1,1,
141717224412,1,2,1,1,1,1,
141718724412,1,2,1,1,1,1,
141719724412,1,2,1,1,1,1,
141720224412,1,2,1,1,1,1,
141720724412,1,2,1,1,1,1,
