,W-0,R-0,R-1,R-2,R-3,R-4,
118984472490,1,2,2,2,2,2,
118985972490,1,2,1,2,1,2,
118986972490,1,2,2,1,1,1,
118987972490,1,2,1,1,1,1,
118988972490,1,2,2,1,1,1,
118989472490,1,2,1,1,1,1,
118989972490,1,1,2,1,2,1,
118990472490,1,2,1,1,1,1,
118990972490,1,2,1,1,1,1,
118991472490,1,2,1,2,1,1,
118992972490,1,2,1,1,1,1,
118993972490,1,2,2,1,1,1,
118994472490,1,2,1,1,1,1,
118994972490,1,2,1,2,1,1,
118995472490,1,2,2,2,1,1,
118995972490,1,2,1,1,1,1,
118996472490,1,2,1,1,1,1,
118996972490,1,2,1,1,1,1,
118997972490,1,1,1,1,1,1,
118998472490,1,1,2,2,2,1,
118998972490,1,1,1,1,1,1,
118999472490,1,2,1,1,1,1,
119000472490,1,2,1,1,1,1,
119001472490,1,2,1,1,2,1,
119001972490,1,1,1,1,1,1,
119003972490,1,2,2,1,1,1,
119004472490,1,1,2,1,1,1,
119004972490,1,2,1,1,1,2,
119005472490,1,2,1,2,1,1,
119005972490,1,2,2,2,2,2,
119008472490,1,2,1,2,1,1,
119009472490,1,2,1,1,1,1,
119009972490,1,1,2,1,1,1,
119010472490,1,2,1,1,1,1,
119010972490,1,1,1,1,1,1,
119011472490,1,2,1,1,1,1,
119012472490,1,1,1,1,1,1,
119012972490,1,1,1,1,1,1,
119013472490,1,1,2,1,1,1,
119015472490,1,2,1,1,1,1,
119015972490,1,2,1,1,1,1,
119017472490,1,2,1,1,1,1,
119017972490,1,2,1,2,1,1,
119018472490,1,2,1,1,2,1,
119018972490,1,2,1,1,1,1,
119019972490,1,2,2,1,1,1,
119021472490,1,2,1,1,1,1,
119021972490,1,2,2,2,1,1,
119022472490,1,2,1,1,1,1,
119023472490,1,2,1,1,1,1,
119024972490,1,2,2,2,1,1,
119025972490,1,1,1,1,1,1,
119027472490,1,2,1,1,1,1,
119027972490,1,1,1,2,1,1,
119028972490,1,1,2,1,1,1,
119029472490,1,2,1,1,1,1,
119030972490,1,2,1,1,1,1,
119031472490,1,1,2,1,1,1,
119031972490,1,2,1,1,1,1,
119032472490,1,2,2,2,1,1,
119034472490,1,1,1,2,2,1,
119036472490,1,2,1,1,1,1,
119036972490,1,2,1,1,2,2,
119038472490,1,2,2,1,1,1,
119039972490,1,2,1,1,2,1,
119042472490,1,2,1,2,2,1,
119042972490,1,2,1,1,1,1,
119043972490,1,2,2,2,1,1,
119044472490,1,1,1,1,1,1,
119044972490,1,2,1,1,1,1,
119045972490,1,2,1,1,1,1,
119048472490,1,2,1,1,1,1,
119048972490,1,2,2,1,1,1,
119049972490,1,2,1,1,1,1,
119050472490,1,1,1,1,1,1,
119050972490,1,2,1,1,1,1,
119051472490,1,2,1,1,1,1,
119053472490,1,2,1,1,1,1,
119054472490,1,1,2,1,1,1,
119056972490,1,2,1,1,1,1,
119057972490,1,2,1,2,1,1,
119058472490,1,2,2,1,2,1,
119060972490,1,2,1,1,1,1,
119061472490,1,2,2,1,1,1,
119062472490,1,1,1,1,1,1,
119064972490,1,2,1,1,1,1,
119066472490,1,1,1,1,1,1,
119066972490,1,2,1,1,1,1,
119067472490,1,1,1,1,1,1,
119067972490,1,2,2,1,1,1,
119068472490,1,1,2,1,2,1,
119068972490,1,2,1,1,1,1,
119069472490,1,2,1,1,1,1,
119070972490,1,2,1,1,1,1,
119071472490,1,2,1,1,1,1,
119071972490,1,1,2,1,2,1,
119074472490,1,2,2,1,2,1,
119074972490,1,2,1,1,1,1,
119075972490,1,2,1,2,2,2,
119076972490,1,1,1,1,1,1,
119077472490,1,2,1,2,2,1,
119077972490,1,2,1,1,1,1,
119078472490,1,2,1,1,1,1,
119080972490,1,2,1,2,1,1,
119082972490,1,2,1,2,2,1,
119083472490,1,2,2,1,1,1,
119083972490,1,2,2,2,2,1,
119084472490,1,1,1,1,1,1,
119084972490,1,2,1,1,1,1,
119085472490,1,1,1,1,1,1,
119086972490,1,2,2,1,1,1,
119087972490,1,2,2,1,2,1,
119088472490,1,2,1,1,1,1,
119088972490,1,2,1,2,1,2,
119089472490,1,2,1,1,1,1,
119090972490,1,2,1,1,1,1,
119091472490,1,2,1,2,2,1,
119092472490,1,2,1,2,1,1,
119094472490,1,2,1,1,1,1,
119095472490,1,2,1,1,1,1,
119096472490,1,1,2,1,1,1,
119097472490,1,2,2,1,1,1,
119097972490,1,1,1,1,1,1,
119099472490,1,2,2,1,1,1,
119101972490,1,1,1,1,1,1,
119102972490,1,2,2,1,1,1,
119105472490,1,1,1,1,1,1,
119105972490,1,2,2,1,1,1,
119106472490,1,1,1,1,1,1,
119106972490,1,2,1,1,1,1,
119108472490,1,1,1,1,1,1,
119108972490,1,2,1,1,1,1,
119109472490,1,2,2,1,1,2,
119111472490,1,1,1,1,1,1,
119112972490,1,2,1,1,1,1,
119113472490,1,2,1,1,1,1,
119113972490,1,2,2,1,1,1,
119114472490,1,1,1,1,1,1,
119114972490,1,2,2,1,1,1,
119115472490,1,2,1,1,2,1,
119115972490,1,2,1,1,1,1,
119117472490,1,2,1,1,1,1,
119118472490,1,2,2,1,1,1,
119118972490,1,2,1,1,1,1,
119119472490,1,2,1,1,1,1,
119119972490,1,2,2,1,1,1,
119120972490,1,2,1,1,1,1,
119121972490,1,2,1,1,1,1,
119122972490,1,2,2,2,1,2,
119123472490,1,1,1,1,1,1,
119123972490,1,2,1,1,1,1,
119126472490,1,2,2,1,1,1,
119128472490,1,2,1,1,1,1,
119129972490,1,1,1,1,2,1,
119131972490,1,2,1,1,1,1,
119132472490,1,2,1,1,1,1,
119133472490,1,2,1,1,1,1,
119134472490,1,2,2,1,1,1,
119134972490,1,2,1,1,2,2,
119135472490,1,2,1,1,1,1,
119137972490,1,2,1,1,1,1,
119138972490,1,2,1,1,1,1,
119140472490,1,2,1,1,1,1,
119142972490,1,2,1,1,1,1,
119144472490,1,2,1,1,1,1,
119145972490,1,2,1,1,2,1,
119147472490,1,2,2,1,1,1,
119148972490,1,1,1,1,1,1,
119149472490,1,1,1,1,1,1,
119149972490,1,2,1,1,1,2,
119150472490,1,1,1,1,1,1,
119150972490,1,2,1,1,1,1,
119151972490,1,2,1,1,1,1,
119152472490,1,2,1,1,1,1,
119152972490,1,2,1,1,1,1,
119153972490,1,1,1,1,1,1,
119155972490,1,2,1,2,1,2,
119156972490,1,2,1,1,1,1,
119159972490,1,2,1,1,1,1,
119160472490,1,2,1,1,1,1,
119161472490,1,2,1,1,1,1,
119162972490,1,2,2,1,1,1,
119163472490,1,1,1,1,1,1,
119163972490,1,2,1,1,1,1,
119164472490,1,2,1,2,1,1,
119165472490,1,2,1,1,1,1,
119166472490,1,2,1,1,1,1,
119166972490,1,2,1,1,1,1,
119167972490,1,2,2,1,1,1,
119169472490,1,2,1,1,1,1,
119169972490,1,2,1,1,1,1,
119170972490,1,2,2,1,1,1,
119171472490,1,1,1,1,1,1,
119171972490,1,2,1,1,1,1,
119172472490,1,2,1,1,2,2,
119174472490,1,2,1,1,1,1,
119174972490,1,2,1,1,1,1,
119176472490,1,1,1,1,1,1,
119176972490,1,2,1,1,1,1,
119177472490,1,2,1,1,1,1,
119179472490,1,2,1,1,1,1,
119180472490,1,1,1,1,1,1,
119184472490,1,2,2,1,1,1,
119184972490,1,2,1,1,1,1,
119185972490,1,1,1,2,2,2,
119186472490,1,2,1,1,1,1,
119187472490,1,2,1,2,2,2,
119187972490,1,2,1,1,1,1,
119188472490,1,2,1,1,1,1,
119189472490,1,1,1,1,1,1,
119189972490,1,2,2,1,1,1,
119191472490,1,1,2,1,1,1,
119191972490,1,1,1,2,1,1,
119193472490,1,1,1,1,1,1,
119193972490,1,2,1,1,1,1,
119194472490,1,1,1,1,1,1,
119195472490,1,2,1,1,1,1,
119196472490,1,2,1,1,1,1,
119197972490,1,1,1,1,1,1,
119198972490,1,2,1,2,2,2,
119200972490,1,1,2,2,1,1,
119201472490,1,1,1,1,1,1,
119201972490,1,2,1,1,1,1,
119202472490,1,1,1,1,1,1,
119203472490,1,2,1,1,1,1,
119203972490,1,2,1,1,1,1,
119204472490,1,2,1,1,1,1,
119204972490,1,2,1,2,1,2,
119205472490,1,1,1,1,1,1,
119205972490,1,1,2,1,2,1,
119207972490,1,2,1,1,1,1,
119208972490,1,1,1,1,1,1,
119210472490,1,2,2,1,1,1,
119212972490,1,2,1,1,1,1,
119213472490,1,1,1,1,1,1,
119213972490,1,1,2,1,1,1,
119215472490,1,2,1,1,1,1,
119215972490,1,2,1,1,1,1,
119216972490,1,1,1,1,1,1,
119217972490,1,2,1,1,1,1,
119218472490,1,2,1,1,1,1,
119218972490,1,2,1,1,1,1,
119219472490,1,2,2,1,1,1,
119219972490,1,2,1,1,1,1,
119220472490,1,1,1,1,1,1,
119220972490,1,2,1,1,1,1,
119221472490,1,2,1,1,1,1,
119221972490,1,1,1,1,1,1,
119222472490,1,2,1,1,1,1,
119223472490,1,2,1,1,1,1,
119223972490,1,1,1,1,1,1,
119224472490,1,2,1,1,1,1,
119225472490,1,2,1,1,1,1,
119225972490,1,2,1,1,1,1,
119226972490,1,2,1,1,1,1,
119227472490,1,1,2,1,1,1,
119227972490,1,2,1,1,1,1,
119228472490,1,1,1,1,1,1,
119229472490,1,2,1,1,1,1,
119229972490,1,2,1,1,1,1,
119230472490,1,2,1,1,1,1,
119230972490,1,2,1,1,1,1,
119233472490,1,2,1,1,1,2,
119233972490,1,2,1,1,1,1,
119235972490,1,2,1,1,1,1,
119238472490,1,2,1,1,1,1,
119241972490,1,2,1,1,1,1,
119242472490,1,2,1,1,1,1,
119243972490,1,1,1,1,1,1,
119244472490,1,1,1,1,1,1,
119244972490,1,2,1,1,1,1,
119246472490,1,2,1,1,1,1,
119246972490,1,2,1,1,1,1,
119247972490,1,2,1,1,2,2,
119248972490,1,2,1,1,1,1,
