,W-0,R-0,R-1,R-2,R-3,R-4,
120769784084,1,1,1,1,1,1,
120771284084,1,1,1,1,1,1,
120772284084,1,1,1,1,1,1,
120773284084,1,1,1,1,1,1,
120774284084,1,1,1,1,1,1,
120774784084,1,1,1,1,1,1,
120775284084,1,2,1,1,1,1,
120775784084,1,1,1,1,1,1,
120776284084,1,1,1,1,1,1,
120776784084,1,1,1,1,1,1,
120778284084,1,2,1,1,1,1,
120779284084,1,1,1,1,1,1,
120779784084,1,1,1,1,1,1,
120780284084,1,1,1,1,1,1,
120780784084,1,1,1,1,1,1,
120781284084,1,1,1,1,1,1,
120781784084,1,2,1,1,1,1,
120782284084,1,1,1,1,1,1,
120783284084,1,1,1,1,1,1,
120783784084,1,1,1,1,1,1,
120784284084,1,2,1,1,1,1,
120784784084,1,1,1,1,1,1,
120785784084,1,2,1,1,1,1,
120786784084,1,2,1,1,1,1,
120787284084,1,1,1,1,1,1,
120789284084,1,1,1,1,1,1,
120789784084,1,2,1,1,1,1,
120790284084,1,1,1,1,1,1,
120790784084,1,1,1,1,1,1,
120791284084,1,1,1,1,1,1,
120793784084,1,2,1,1,1,1,
120794784084,1,2,1,1,1,1,
120795284084,1,2,1,1,1,1,
120795784084,1,1,1,1,1,1,
120796284084,1,1,1,1,1,1,
120796784084,1,1,1,1,1,1,
120797784084,1,2,1,1,1,1,
120798284084,1,2,2,2,2,2,
120798784084,1,2,1,1,1,1,
120800784084,1,1,1,1,1,1,
120801284084,1,1,1,1,1,1,
120802784084,1,2,1,1,1,1,
120803284084,1,2,1,1,1,1,
120803784084,1,2,1,1,1,1,
120804284084,1,2,1,1,1,1,
120805284084,1,1,1,1,1,1,
120806784084,1,1,1,1,1,1,
120807284084,1,2,1,1,1,1,
120807784084,1,1,1,1,1,1,
120808784084,1,1,1,1,1,1,
120810284084,1,1,1,1,1,1,
120811284084,1,2,1,1,1,1,
120812784084,1,1,1,1,1,1,
120813284084,1,1,1,1,1,1,
120814284084,1,1,1,1,1,1,
120814784084,1,1,1,1,1,1,
120816284084,1,2,1,1,1,1,
120816784084,1,1,1,1,1,1,
120817284084,1,1,1,1,1,1,
120817784084,1,2,2,1,1,1,
120819784084,1,1,1,1,1,1,
120821784084,1,2,1,1,1,1,
120822284084,1,2,1,1,1,1,
120823784084,1,1,1,1,1,1,
120825284084,1,1,1,1,1,1,
120827784084,1,1,1,1,1,1,
120828284084,1,2,1,1,1,1,
120829284084,1,1,1,1,1,1,
120829784084,1,2,1,1,1,1,
120830284084,1,1,1,1,1,1,
120831284084,1,2,1,1,1,1,
120833784084,1,1,1,1,1,1,
120834284084,1,1,1,1,1,1,
120835284084,1,1,1,1,1,1,
120835784084,1,1,1,1,1,1,
120836284084,1,1,1,1,1,1,
120836784084,1,2,1,1,1,1,
120838784084,1,1,1,1,1,1,
120839784084,1,1,1,1,1,1,
120842284084,1,2,1,1,1,1,
120843284084,1,1,1,1,1,1,
120843784084,1,1,1,1,1,1,
120846284084,1,1,1,1,1,1,
120846784084,1,1,1,1,1,1,
120847784084,1,2,1,1,1,1,
120850284084,1,1,1,1,1,1,
120851784084,1,1,1,1,1,1,
120852284084,1,1,1,1,1,1,
120852784084,1,1,1,1,1,1,
120853284084,1,2,1,1,1,1,
120853784084,1,2,1,1,1,1,
120854284084,1,1,1,1,1,1,
120854784084,1,2,1,1,1,1,
120856284084,1,1,1,1,1,1,
120856784084,1,2,1,1,1,1,
120857284084,1,1,1,1,1,1,
120859784084,1,1,1,1,1,1,
120860284084,1,2,1,1,1,1,
120861284084,1,2,1,1,1,1,
