,W-0,R-0,R-1,R-2,R-3,R-4,
121959173533,1,2,1,1,1,1,
121960673533,1,1,1,1,1,1,
121961673533,1,1,1,1,1,1,
121962673533,1,1,1,1,1,1,
121963673533,1,1,1,1,1,1,
121964173533,1,1,1,1,1,1,
121964673533,1,1,1,1,1,1,
121965173533,1,1,1,1,1,1,
121965673533,1,1,1,1,1,1,
121966173533,1,1,1,1,1,1,
121967673533,1,2,1,1,1,1,
121968673533,1,2,1,1,1,1,
121969173533,1,1,1,1,1,1,
121969673533,1,1,1,1,1,1,
121970173533,1,2,1,1,1,1,
121970673533,1,1,1,1,1,1,
121971173533,1,1,1,1,1,1,
121971673533,1,1,1,1,1,1,
121972673533,1,2,1,1,1,1,
121973173533,1,2,1,1,1,1,
121973673533,1,2,1,1,1,1,
121974173533,1,2,1,1,1,1,
121975173533,1,2,1,1,1,1,
121976173533,1,1,1,1,1,1,
121976673533,1,2,1,1,1,1,
121978673533,1,1,1,1,1,1,
121979173533,1,1,1,1,1,1,
121979673533,1,1,1,1,1,1,
121980173533,1,1,1,1,1,1,
121980673533,1,2,1,1,1,1,
121983173533,1,1,1,1,1,1,
121984173533,1,1,1,1,1,1,
121984673533,1,1,1,1,1,1,
121985173533,1,1,1,1,1,1,
121985673533,1,2,1,1,1,1,
121986173533,1,2,2,2,1,1,
121987173533,1,2,1,1,1,1,
121987673533,1,1,1,1,1,1,
121988173533,1,1,1,1,1,1,
121990173533,1,1,1,1,1,1,
121990673533,1,1,1,1,1,1,
121992173533,1,1,1,1,1,1,
121992673533,1,1,1,1,1,1,
121993173533,1,1,1,1,1,1,
121993673533,1,1,1,1,1,1,
121994673533,1,1,1,1,1,1,
121996173533,1,1,1,1,1,1,
121996673533,1,1,1,1,1,1,
121997173533,1,1,1,1,1,1,
121998173533,1,1,1,1,1,1,
121999673533,1,1,1,1,1,1,
122000673533,1,1,1,1,1,1,
122002173533,1,2,1,1,1,1,
122002673533,1,1,1,1,1,1,
122003673533,1,1,1,1,1,1,
122004173533,1,1,1,1,1,1,
122005673533,1,1,1,1,1,1,
122006173533,1,1,1,1,1,1,
122006673533,1,2,1,1,1,1,
122007173533,1,1,1,1,1,1,
122009173533,1,2,1,1,1,1,
122011173533,1,2,1,1,1,1,
122011673533,1,2,1,1,1,1,
122013173533,1,2,1,1,1,1,
122014673533,1,1,1,1,1,1,
122017173533,1,1,1,1,1,1,
122017673533,1,2,1,1,1,1,
122018673533,1,1,1,1,1,1,
122019173533,1,1,1,1,1,1,
122019673533,1,1,1,1,1,1,
122020673533,1,1,1,1,1,1,
122023173533,1,2,1,1,1,1,
122023673533,1,1,1,1,1,1,
122024673533,1,2,1,1,1,1,
122025173533,1,2,1,1,1,1,
122025673533,1,1,1,1,1,1,
122026173533,1,1,1,1,1,1,
122028173533,1,1,1,1,1,1,
122029173533,1,1,1,1,1,1,
122031673533,1,1,1,1,1,1,
122032673533,1,1,1,1,1,1,
122033173533,1,2,2,1,1,1,
122035673533,1,1,1,1,1,1,
122036173533,1,1,1,1,1,1,
122037173533,1,1,1,1,1,1,
122039673533,1,1,1,1,1,1,
122041173533,1,2,1,1,1,1,
122041673533,1,1,1,1,1,1,
122042173533,1,1,1,1,1,1,
122042673533,1,1,1,1,1,1,
122043173533,1,1,1,1,1,1,
122043673533,1,1,1,1,1,1,
122044173533,1,1,1,1,1,1,
122045673533,1,1,1,1,1,1,
122046173533,1,1,1,1,1,1,
122046673533,1,1,1,1,1,1,
122049173533,1,2,1,1,1,1,
122049673533,1,2,1,1,1,1,
122050673533,1,1,1,1,1,1,
122051673533,1,1,1,1,1,1,
122052173533,1,1,1,1,1,1,
122052673533,1,2,1,1,1,1,
122053173533,1,1,1,1,1,1,
122055673533,1,1,1,1,1,1,
122057673533,1,1,1,1,1,1,
122058173533,1,2,2,2,2,1,
122058673533,1,1,1,1,1,1,
122059173533,1,2,1,1,1,1,
122059673533,1,2,1,1,1,1,
122060173533,1,1,1,1,1,1,
122061673533,1,1,1,1,1,1,
122062673533,1,1,1,1,1,1,
122063173533,1,1,1,1,1,1,
122063673533,1,1,1,1,1,1,
122064173533,1,1,1,1,1,1,
122065673533,1,1,1,1,1,1,
122066173533,1,1,1,1,1,1,
122067173533,1,1,1,1,1,1,
122069173533,1,1,1,1,1,1,
122070173533,1,2,1,1,1,1,
122071173533,1,1,1,1,1,1,
122072173533,1,1,1,1,1,1,
122072673533,1,1,2,2,2,2,
122074173533,1,1,1,1,1,1,
122076673533,1,1,1,1,1,1,
122077673533,1,1,1,1,1,1,
122080173533,1,1,1,1,1,1,
122080673533,1,1,1,1,1,1,
122081173533,1,1,1,1,1,1,
122081673533,1,1,1,1,1,1,
122083173533,1,2,1,1,1,1,
122083673533,1,2,1,1,1,1,
122084173533,1,1,1,1,1,1,
122086173533,1,2,1,1,1,1,
122087673533,1,2,1,1,1,1,
122088173533,1,2,2,2,1,2,
122088673533,1,2,1,1,1,1,
122089173533,1,1,1,1,1,1,
122089673533,1,2,1,1,1,1,
122090173533,1,1,1,1,1,1,
122090673533,1,1,1,1,1,1,
122092173533,1,2,2,2,2,1,
122093173533,1,1,1,1,1,1,
122093673533,1,1,1,1,1,1,
122094173533,1,1,1,1,1,1,
122094673533,1,1,1,1,1,1,
122095673533,1,1,1,1,1,1,
122096673533,1,1,1,1,1,1,
122097673533,1,1,1,1,1,1,
122098173533,1,2,1,1,1,1,
122098673533,1,1,1,1,1,1,
122101173533,1,1,1,1,1,1,
122103173533,1,2,1,1,1,1,
122104673533,1,2,1,1,1,1,
122106673533,1,1,1,1,1,1,
122107173533,1,1,1,1,1,1,
122108173533,1,1,1,1,1,1,
122109173533,1,1,1,1,1,1,
122109673533,1,1,1,1,1,1,
122110173533,1,1,1,1,1,1,
122112673533,1,2,1,1,1,1,
122113673533,1,1,1,1,1,1,
122115173533,1,1,1,1,1,1,
122117673533,1,1,1,1,1,1,
122119173533,1,2,1,1,1,1,
122120673533,1,1,1,1,1,1,
122122173533,1,2,1,1,1,1,
122123673533,1,1,1,1,1,1,
122124173533,1,1,1,1,1,1,
122124673533,1,2,1,1,1,1,
122125173533,1,1,1,1,1,1,
122125673533,1,1,1,1,1,1,
122126673533,1,1,1,1,1,1,
122127173533,1,1,1,1,1,1,
122127673533,1,2,1,1,1,1,
122128673533,1,2,1,1,1,1,
122130673533,1,1,1,1,1,1,
122131673533,1,2,1,1,1,1,
122134673533,1,2,1,1,1,1,
122135173533,1,1,1,1,1,1,
122136173533,1,1,1,1,1,1,
122137673533,1,2,1,1,1,1,
122138173533,1,1,1,1,1,1,
122138673533,1,1,1,1,1,1,
122139173533,1,2,1,1,1,1,
122140173533,1,1,1,1,1,1,
122141173533,1,1,1,1,1,1,
122141673533,1,1,1,1,1,1,
122142673533,1,2,1,1,1,1,
122144173533,1,2,1,1,1,1,
122144673533,1,1,1,1,1,1,
122145673533,1,1,1,1,1,1,
122146173533,1,1,1,1,1,1,
122146673533,1,1,1,1,1,1,
122147173533,1,1,1,1,1,1,
122149173533,1,1,1,1,1,1,
122149673533,1,1,1,1,1,1,
122151173533,1,1,1,1,1,1,
122151673533,1,1,1,1,1,1,
122152173533,1,1,1,1,1,1,
122154173533,1,1,1,1,1,1,
122155173533,1,1,1,1,1,1,
122159173533,1,1,1,1,1,1,
122159673533,1,1,1,1,1,1,
122160673533,1,1,1,1,1,1,
122161173533,1,2,1,1,1,1,
122162173533,1,1,1,1,1,1,
122162673533,1,2,1,1,1,1,
122163173533,1,1,1,1,1,1,
122164173533,1,2,1,1,1,1,
122164673533,1,1,1,1,1,1,
122166173533,1,1,1,1,1,1,
122166673533,1,1,1,1,1,1,
122168173533,1,1,1,1,1,1,
122168673533,1,1,1,1,1,1,
122169173533,1,2,1,1,1,1,
122170173533,1,1,1,1,1,1,
122171173533,1,1,1,1,1,1,
122172673533,1,2,2,1,1,1,
122173673533,1,1,1,1,1,1,
122175673533,1,1,1,1,1,1,
122176173533,1,1,1,1,1,1,
122176673533,1,2,1,1,1,1,
122177173533,1,1,1,1,1,1,
122178173533,1,1,1,1,1,1,
122178673533,1,1,1,1,1,1,
122179173533,1,1,1,1,1,1,
122179673533,1,1,1,1,1,1,
122180173533,1,1,1,1,1,1,
122180673533,1,1,1,1,1,1,
122182673533,1,1,1,1,1,1,
122183673533,1,1,1,1,1,1,
122185173533,1,2,1,1,1,1,
122187673533,1,1,1,1,1,1,
122188173533,1,2,1,1,1,1,
122188673533,1,2,1,1,1,1,
122190173533,1,1,1,1,1,1,
122190673533,1,1,1,1,1,1,
122191673533,1,1,1,1,1,1,
122192673533,1,1,1,1,1,1,
122193173533,1,2,1,1,1,1,
122193673533,1,1,1,1,1,1,
122194173533,1,1,1,1,1,1,
122194673533,1,1,1,1,1,1,
122195173533,1,1,1,1,1,1,
122195673533,1,1,1,1,1,1,
122196173533,1,1,1,1,1,1,
122196673533,1,1,1,1,1,1,
122197173533,1,1,1,1,1,1,
122198173533,1,1,1,1,1,1,
122198673533,1,1,1,1,1,1,
122199173533,1,1,1,1,1,1,
122200173533,1,1,1,1,1,1,
122200673533,1,1,1,1,1,1,
122201673533,1,1,1,1,1,1,
122202173533,1,2,1,1,1,1,
122202673533,1,1,1,1,1,1,
122203173533,1,2,1,1,1,1,
122204173533,1,1,1,1,1,1,
122204673533,1,1,1,1,1,1,
122205173533,1,1,1,1,1,1,
122205673533,1,1,1,1,1,1,
122208173533,1,1,1,1,1,1,
122208673533,1,1,1,1,1,1,
122210673533,1,2,1,1,1,1,
122213173533,1,1,1,1,1,1,
122216673533,1,2,1,1,1,1,
122217173533,1,2,1,1,1,1,
122218673533,1,1,1,1,1,1,
122219173533,1,2,1,1,1,1,
122219673533,1,2,1,1,1,1,
122221173533,1,1,1,1,1,1,
122221673533,1,2,1,1,1,1,
122222673533,1,1,1,1,1,1,
122223673533,1,1,1,1,1,1,
122224173533,1,2,1,1,1,1,
122224673533,1,1,1,1,1,1,
122225173533,1,1,1,1,1,1,
122226673533,1,2,1,1,1,1,
122227673533,1,1,1,1,1,1,
122228173533,1,1,1,1,1,1,
122229173533,1,2,1,1,1,1,
122230173533,1,1,1,1,1,1,
122230673533,1,1,1,1,1,1,
122231173533,1,1,1,1,1,1,
122234173533,1,1,1,1,1,1,
122235173533,1,2,1,1,1,1,
122236673533,1,2,1,1,1,1,
122237673533,1,2,1,1,1,1,
122238673533,1,2,1,1,1,1,
122240173533,1,2,1,1,1,1,
122240673533,1,1,1,1,1,1,
122241173533,1,1,1,1,1,1,
122243673533,1,2,1,1,1,1,
122244173533,1,2,1,1,1,1,
122245673533,1,1,1,1,1,1,
122246173533,1,1,1,1,1,1,
122246673533,1,1,1,1,1,1,
122248173533,1,1,1,1,1,1,
122248673533,1,2,1,1,1,1,
122249173533,1,1,1,1,1,1,
122250173533,1,1,1,1,1,1,
122253173533,1,2,1,1,1,1,
122253673533,1,1,1,1,1,1,
122254673533,1,1,1,1,1,1,
122255173533,1,1,1,1,1,1,
122256673533,1,1,1,1,1,1,
122257673533,1,1,1,1,1,1,
122259173533,1,1,1,1,1,1,
122259673533,1,1,1,1,1,1,
122260173533,1,1,1,1,1,1,
122262673533,1,1,1,1,1,1,
122263673533,1,1,1,1,1,1,
122264173533,1,1,1,1,1,1,
122265173533,1,2,1,1,1,1,
122268173533,1,1,1,1,1,1,
122268673533,1,2,1,1,1,1,
122269673533,1,2,1,1,1,1,
122271173533,1,1,1,1,1,1,
122273173533,1,1,1,1,1,1,
122273673533,1,2,1,1,1,1,
122275173533,1,1,1,1,1,1,
122276173533,1,1,1,1,1,1,
122276673533,1,1,1,1,1,1,
122277673533,1,1,1,1,1,1,
122279673533,1,1,1,1,1,1,
122280173533,1,2,2,2,2,2,
122281673533,1,1,1,1,1,1,
122282173533,1,1,1,1,1,1,
122283173533,1,2,1,1,1,1,
122284673533,1,1,1,1,1,1,
122285673533,1,1,1,1,1,1,
122287673533,1,1,1,1,1,1,
122288173533,1,2,1,1,1,1,
122288673533,1,1,1,1,1,1,
122289673533,1,1,1,1,1,1,
122292173533,1,1,1,1,1,1,
122298173533,1,1,1,1,1,1,
122298673533,1,1,1,1,1,1,
122299673533,1,2,1,1,1,1,
122300173533,1,1,1,1,1,1,
122303173533,1,1,1,1,1,1,
122304673533,1,2,1,1,1,1,
122305173533,1,1,1,1,1,1,
122305673533,1,2,1,1,1,1,
122306173533,1,1,1,1,1,1,
122306673533,1,2,1,1,1,1,
122307173533,1,1,1,1,1,1,
122309673533,1,1,1,1,1,1,
122311673533,1,1,1,1,1,1,
122312173533,1,2,1,1,1,1,
122313173533,1,2,1,1,1,1,
122313673533,1,1,1,1,1,1,
122314173533,1,1,1,1,1,1,
122314673533,1,1,1,1,1,1,
122315173533,1,2,1,1,1,1,
122316173533,1,2,1,1,1,1,
122316673533,1,1,1,1,1,1,
122317173533,1,1,1,1,1,1,
122318173533,1,1,1,1,1,1,
122318673533,1,2,1,1,1,1,
122319173533,1,1,1,1,1,1,
122321173533,1,1,1,1,1,1,
122322673533,1,2,1,1,1,1,
122323173533,1,1,1,1,1,1,
122324173533,1,2,1,1,1,1,
122324673533,1,1,1,1,1,1,
122326173533,1,1,1,1,1,1,
122327173533,1,1,1,1,1,1,
122328673533,1,2,1,1,1,1,
122329673533,1,1,1,1,1,1,
122330173533,1,1,1,1,1,1,
122330673533,1,2,1,1,1,1,
122333173533,1,1,1,1,1,1,
122333673533,1,1,1,1,1,1,
