,W-0,R-0,R-1,R-2,R-3,R-4,
123150280648,1,2,1,1,1,1,
123151780648,1,2,2,2,2,2,
123152780648,1,2,2,2,2,2,
123153780648,1,2,1,1,1,1,
123154780648,1,2,1,1,1,1,
123155280648,1,2,2,1,1,1,
123155780648,1,2,2,2,2,2,
123156280648,1,2,1,1,1,1,
123156780648,1,2,1,2,1,1,
123157280648,1,2,2,2,2,2,
123158780648,1,2,1,1,1,1,
123159780648,1,2,1,1,1,1,
123160280648,1,2,1,1,1,1,
123160780648,1,2,1,2,1,1,
123161280648,1,2,1,1,1,1,
123161780648,1,2,2,1,1,1,
123162280648,1,2,2,1,2,1,
123162780648,1,2,2,2,2,1,
123163780648,1,2,1,1,1,1,
123164280648,1,2,1,2,2,2,
123164780648,1,2,1,1,1,1,
123165280648,1,2,1,1,1,1,
123166280648,1,2,1,1,1,1,
123167280648,1,2,1,1,1,1,
123167780648,1,2,1,1,1,1,
123169780648,1,2,1,1,2,1,
123170280648,1,2,1,1,1,1,
123170780648,1,2,1,1,1,1,
123171280648,1,2,1,1,1,1,
123171780648,1,2,1,1,1,1,
123174280648,1,2,2,1,1,1,
123175280648,1,2,2,2,2,1,
123175780648,1,2,1,1,2,2,
123176280648,1,2,1,1,1,1,
123176780648,1,2,1,1,1,1,
123177280648,1,2,1,1,1,1,
123178280648,1,2,2,1,1,1,
123178780648,1,2,2,2,2,2,
123179280648,1,2,1,1,1,1,
123181280648,1,2,1,1,1,1,
123181780648,1,2,1,1,1,1,
123183280648,1,2,1,1,1,1,
123183780648,1,2,1,1,1,1,
123184280648,1,2,2,1,2,2,
123184780648,1,2,1,1,1,1,
123185780648,1,2,2,2,2,2,
123187280648,1,2,2,1,1,1,
123187780648,1,2,1,1,1,1,
123188280648,1,2,2,2,2,1,
123189280648,1,2,2,1,2,1,
123190780648,1,2,1,1,1,1,
123191780648,1,2,2,1,1,2,
123193280648,1,2,1,1,1,1,
123193780648,1,2,2,1,2,2,
123194780648,1,2,2,1,2,1,
123195280648,1,2,1,1,1,1,
123196780648,1,2,1,1,1,1,
123197280648,1,2,1,1,1,1,
123197780648,1,2,1,1,1,1,
123198280648,1,2,2,2,2,2,
123200280648,1,2,1,1,1,1,
123202280648,1,2,1,1,1,1,
123202780648,1,2,1,1,1,1,
123204280648,1,2,2,1,1,1,
123205780648,1,2,1,1,1,1,
123208280648,1,2,1,1,1,1,
123208780648,1,2,1,2,2,2,
123209780648,1,2,2,2,1,2,
123210280648,1,2,1,1,1,1,
123210780648,1,2,1,1,1,1,
123211780648,1,2,2,2,2,2,
123214280648,1,2,1,1,1,1,
123214780648,1,2,1,1,1,1,
123215780648,1,2,1,1,1,1,
123216280648,1,2,1,1,1,1,
123216780648,1,2,2,1,1,1,
123217280648,1,2,1,1,1,1,
123219280648,1,2,1,1,2,2,
