,W-0,R-0,R-1,R-2,R-3,R-4,
123745497445,1,2,2,2,2,2,
123746997445,1,2,1,1,1,1,
123747997445,1,2,1,1,2,1,
123748997445,1,2,2,1,2,2,
123749997445,1,2,1,2,1,1,
123750497445,1,2,1,1,1,1,
123750997445,1,2,2,1,1,1,
123751497445,1,2,1,1,1,1,
123751997445,1,2,2,1,1,1,
123752497445,1,2,1,1,1,1,
123753997445,1,2,2,1,1,1,
123754997445,1,2,1,1,1,1,
123755497445,1,2,2,1,1,1,
123755997445,1,2,1,1,1,1,
123756497445,1,2,1,1,1,1,
123756997445,1,2,1,1,1,1,
123757497445,1,2,1,1,1,1,
123757997445,1,2,1,1,1,1,
123758997445,1,2,2,2,2,2,
123759497445,1,2,2,2,2,2,
123759997445,1,2,2,1,1,1,
123760497445,1,2,1,1,1,1,
123761497445,1,2,2,1,2,1,
123762497445,1,2,2,2,1,1,
123762997445,1,2,1,1,1,1,
123764997445,1,2,1,1,1,1,
123765497445,1,2,1,1,1,1,
123765997445,1,2,1,1,1,1,
123766497445,1,2,1,1,1,1,
123766997445,1,2,1,1,1,1,
123769497445,1,2,1,1,1,1,
123770497445,1,2,1,1,1,1,
123770997445,1,2,1,1,1,1,
123771497445,1,2,2,1,1,1,
123771997445,1,2,1,1,1,1,
123772497445,1,2,1,1,1,1,
123773497445,1,2,1,1,1,1,
123773997445,1,2,1,1,1,1,
123774497445,1,2,1,1,1,1,
123776497445,1,2,1,1,1,1,
123776997445,1,2,1,1,1,1,
123778497445,1,2,1,1,1,1,
123778997445,1,2,1,1,2,2,
123779497445,1,2,1,1,1,1,
123779997445,1,2,1,1,1,1,
123780997445,1,2,2,2,2,2,
123782497445,1,2,1,1,1,1,
123782997445,1,2,1,1,1,1,
123783497445,1,2,1,1,1,1,
123784497445,1,2,1,1,1,1,
123785997445,1,2,1,1,1,1,
123786997445,1,2,1,1,1,1,
123788497445,1,2,1,1,1,1,
123788997445,1,2,1,1,1,1,
123789997445,1,2,2,2,1,2,
123790497445,1,2,1,1,1,1,
123791997445,1,2,1,1,1,1,
123792497445,1,2,1,1,1,1,
123792997445,1,2,2,1,1,1,
123793497445,1,2,1,1,1,1,
123795497445,1,2,1,1,1,1,
123797497445,1,2,1,1,1,1,
123797997445,1,2,1,1,1,1,
123799497445,1,2,1,1,1,1,
123800997445,1,2,1,1,1,1,
123803497445,1,2,1,1,1,1,
123803997445,1,2,1,2,1,1,
123804997445,1,2,2,2,2,2,
123805497445,1,2,1,1,1,1,
123805997445,1,2,1,1,1,1,
123806997445,1,2,2,1,2,1,
123809497445,1,2,1,1,1,1,
123809997445,1,2,1,1,1,1,
123810997445,1,2,2,2,1,2,
123811497445,1,2,1,1,1,1,
123811997445,1,2,2,2,1,1,
123812497445,1,2,2,1,1,1,
123814497445,1,2,2,2,1,1,
123815497445,1,2,2,1,1,1,
123817997445,1,2,1,1,1,1,
123818997445,1,2,1,1,1,1,
123819497445,1,2,1,1,1,1,
123821997445,1,2,2,1,1,1,
123822497445,1,2,1,1,1,1,
123823497445,1,2,1,2,1,2,
123825997445,1,2,1,1,1,1,
123827497445,1,2,1,1,1,1,
123827997445,1,2,1,1,1,1,
123828497445,1,2,1,1,1,1,
123828997445,1,2,1,2,2,1,
123829497445,1,2,1,2,2,1,
123829997445,1,2,2,1,1,1,
123830497445,1,2,1,1,1,1,
123831997445,1,2,2,1,1,1,
123832497445,1,2,1,1,1,1,
123832997445,1,2,1,1,1,1,
123835497445,1,2,1,1,1,1,
123835997445,1,2,2,1,1,1,
123836997445,1,2,1,1,1,1,
123837997445,1,2,1,1,1,1,
123838497445,1,2,1,1,1,1,
123838997445,1,2,1,1,1,1,
123839497445,1,2,1,2,2,1,
123841997445,1,2,1,1,1,1,
123843997445,1,2,2,1,1,1,
123844497445,1,2,1,1,1,1,
123844997445,1,2,2,2,1,2,
123845497445,1,2,1,1,1,1,
123845997445,1,2,1,1,2,1,
123846497445,1,2,1,1,1,1,
123847997445,1,2,1,1,1,1,
123848997445,1,2,1,1,1,1,
123849497445,1,2,2,1,2,1,
123849997445,1,2,1,1,1,1,
123850497445,1,2,1,1,1,1,
123851997445,1,2,1,1,1,1,
123852497445,1,2,2,2,2,2,
123853497445,1,2,2,1,1,1,
123855497445,1,2,1,1,1,1,
123856497445,1,2,1,1,1,1,
123857497445,1,2,1,1,1,1,
123858497445,1,2,1,1,1,1,
123858997445,1,2,2,1,1,1,
123860497445,1,2,1,1,1,1,
123862997445,1,2,1,1,2,2,
123863997445,1,2,1,1,1,1,
123866497445,1,2,1,1,1,1,
123866997445,1,2,1,1,1,1,
123867497445,1,2,1,1,1,1,
123867997445,1,2,2,2,2,1,
123869497445,1,2,1,1,1,1,
123869997445,1,2,1,1,1,1,
123870497445,1,2,1,1,1,1,
123872497445,1,2,2,2,2,2,
123873997445,1,2,2,2,2,2,
123874497445,1,2,1,1,1,1,
123874997445,1,2,1,1,1,1,
123875497445,1,2,2,2,1,1,
123875997445,1,2,2,2,2,2,
123876497445,1,1,1,1,1,1,
123876997445,1,2,2,2,2,2,
123878497445,1,2,2,1,2,1,
123879497445,1,2,2,1,1,1,
123879997445,1,2,1,1,1,1,
123880497445,1,2,2,1,1,1,
123880997445,1,2,2,1,1,1,
123881997445,1,2,1,1,1,1,
123882997445,1,2,1,1,1,1,
123883997445,1,2,1,1,1,1,
123884497445,1,2,1,1,1,1,
123884997445,1,2,2,2,2,2,
123887497445,1,2,1,1,1,1,
123889497445,1,2,1,1,1,1,
123890997445,1,2,1,1,2,1,
123892997445,1,2,1,1,1,1,
123893497445,1,2,1,1,1,1,
123894497445,1,2,2,1,1,1,
123895497445,1,2,1,2,1,1,
123895997445,1,2,1,1,1,1,
123896497445,1,2,1,1,1,1,
123898997445,1,2,2,1,1,1,
123899997445,1,2,1,1,1,1,
123901497445,1,2,2,1,2,1,
123903997445,1,2,1,1,1,1,
123905497445,1,2,1,2,2,2,
123906997445,1,2,1,1,1,1,
123908497445,1,2,2,2,2,2,
123909997445,1,2,2,1,1,1,
123910497445,1,2,1,1,1,1,
123910997445,1,2,1,1,1,1,
123911497445,1,2,1,2,2,1,
123911997445,1,2,1,1,1,1,
123912997445,1,2,1,1,1,1,
123913497445,1,2,1,1,1,2,
123913997445,1,2,1,1,1,1,
123914997445,1,2,2,2,2,2,
123916997445,1,2,1,1,1,1,
123917997445,1,2,1,1,1,1,
123920997445,1,2,1,1,1,1,
123921497445,1,2,1,1,1,1,
123922497445,1,2,1,1,1,1,
123923997445,1,2,1,1,1,1,
123924497445,1,2,2,1,1,1,
123924997445,1,2,2,1,2,1,
123925497445,1,2,1,1,1,1,
123926497445,1,2,1,1,1,1,
123927497445,1,2,2,1,1,1,
123927997445,1,2,2,1,1,1,
123928997445,1,2,1,1,1,1,
123930497445,1,2,2,1,1,1,
123930997445,1,2,2,1,1,1,
123931997445,1,2,2,1,1,1,
123932497445,1,2,1,1,2,2,
123932997445,1,2,1,1,1,1,
123933497445,1,2,2,1,2,2,
123935497445,1,2,2,2,2,2,
123935997445,1,2,1,1,1,1,
123937497445,1,2,1,1,1,1,
123937997445,1,2,1,1,1,1,
123938497445,1,2,2,2,1,1,
123940497445,1,2,1,1,1,1,
123941497445,1,2,1,1,1,1,
123945497445,1,2,1,1,1,1,
123945997445,1,2,1,1,1,1,
