,W-0,R-0,R-1,R-2,R-3,R-4,
131484803064,1,1,1,1,1,1,
131486303064,1,2,1,1,1,1,
131487303064,1,2,2,1,1,1,
131488303064,1,1,1,1,1,1,
131489303064,1,2,1,1,1,1,
131489803064,1,1,1,1,1,1,
131490303064,1,1,1,1,1,1,
131490803064,1,2,1,1,1,1,
131491303064,1,2,1,1,1,1,
131491803064,1,2,1,1,1,1,
131493303064,1,2,1,1,1,1,
131494303064,1,1,1,1,1,1,
131494803064,1,2,1,1,1,1,
131495303064,1,2,2,2,2,1,
131495803064,1,2,2,1,1,1,
131496303064,1,1,1,1,1,1,
131496803064,1,2,1,1,1,1,
131497303064,1,2,1,1,1,1,
131498303064,1,2,2,1,1,1,
131498803064,1,2,1,1,1,1,
131499303064,1,1,1,1,1,1,
131499803064,1,1,1,1,1,1,
131500803064,1,2,1,1,1,1,
131501803064,1,2,1,1,1,1,
131502303064,1,2,1,1,1,1,
131504303064,1,2,2,2,1,2,
131504803064,1,2,1,1,1,1,
131505303064,1,2,1,1,1,1,
131505803064,1,2,1,1,1,1,
131506303064,1,2,1,1,1,1,
131508803064,1,2,1,1,1,1,
131509803064,1,1,2,2,2,1,
131510303064,1,2,1,1,1,1,
131510803064,1,2,1,1,1,1,
131511303064,1,2,1,1,1,1,
131511803064,1,2,2,1,1,1,
131512803064,1,2,1,1,1,1,
131513303064,1,1,1,1,1,1,
131513803064,1,2,1,1,1,1,
131515803064,1,2,2,2,1,1,
131516303064,1,1,1,2,1,1,
131517803064,1,2,1,1,1,1,
131518303064,1,2,1,1,1,1,
131518803064,1,1,2,1,1,1,
131519303064,1,2,2,2,2,2,
131520303064,1,1,1,1,1,1,
131521803064,1,2,2,2,1,1,
131522303064,1,2,1,1,1,1,
131522803064,1,2,2,1,1,1,
131523803064,1,1,1,1,1,1,
131525303064,1,2,1,1,1,1,
131526303064,1,2,1,2,2,1,
131527803064,1,2,1,1,1,1,
131528303064,1,2,1,1,1,1,
131529303064,1,2,1,1,1,1,
131529803064,1,2,1,1,1,1,
131531303064,1,2,1,1,1,1,
131531803064,1,1,1,1,1,1,
131532303064,1,1,1,1,1,1,
131532803064,1,2,1,1,1,1,
131534803064,1,2,1,1,1,1,
131536803064,1,2,1,1,1,1,
131537303064,1,2,1,1,1,1,
131538803064,1,2,1,1,1,1,
131540303064,1,2,1,1,1,1,
131542803064,1,1,1,1,1,1,
131543303064,1,2,2,1,1,1,
131544303064,1,1,2,1,1,1,
131544803064,1,2,1,1,1,1,
131545303064,1,2,1,1,1,1,
131546303064,1,2,1,1,1,1,
131548803064,1,2,1,1,1,1,
131549303064,1,2,1,1,1,1,
131550303064,1,2,1,1,1,1,
131550803064,1,2,1,1,1,1,
131551303064,1,2,2,2,2,2,
131551803064,1,1,2,1,1,1,
131553803064,1,1,1,1,1,1,
131554803064,1,2,1,1,1,1,
131557303064,1,1,2,2,1,1,
131558303064,1,2,1,1,1,1,
131558803064,1,2,1,1,1,1,
131561303064,1,2,1,1,1,1,
131561803064,1,2,1,1,1,1,
131562803064,1,2,1,1,1,1,
131565303064,1,2,1,2,1,1,
131566803064,1,2,1,1,1,1,
131567303064,1,2,1,1,1,1,
131567803064,1,2,1,1,1,1,
131568303064,1,1,1,1,1,1,
131568803064,1,1,1,1,1,1,
131569303064,1,2,2,1,1,1,
131569803064,1,2,1,1,1,1,
131571303064,1,1,1,1,1,1,
131571803064,1,1,1,1,2,1,
131572303064,1,2,1,1,1,1,
131574803064,1,1,1,1,1,1,
131575303064,1,1,1,1,1,1,
131576303064,1,2,1,1,1,1,
131577303064,1,2,1,1,1,1,
131577803064,1,2,2,1,1,2,
131578303064,1,2,1,1,1,1,
131578803064,1,2,1,1,1,1,
131581303064,1,2,1,1,1,1,
131583303064,1,2,1,1,2,1,
131583803064,1,2,1,2,1,2,
131584303064,1,1,1,1,1,1,
131584803064,1,2,1,1,1,1,
131585303064,1,2,1,2,1,2,
131585803064,1,2,1,1,1,1,
131587303064,1,2,1,1,1,1,
131588303064,1,2,1,1,1,1,
131588803064,1,2,1,2,1,2,
131589303064,1,2,2,1,2,2,
131589803064,1,2,1,1,1,1,
131591303064,1,1,1,1,1,1,
131591803064,1,2,1,1,1,1,
131592803064,1,2,1,1,1,1,
131594803064,1,2,1,2,1,1,
131595803064,1,2,1,1,1,1,
131596803064,1,2,1,1,1,1,
131597803064,1,2,1,1,1,1,
131598303064,1,2,1,1,1,1,
131599803064,1,2,2,1,1,1,
131602303064,1,2,1,1,1,2,
131603303064,1,2,1,1,1,1,
131605803064,1,1,1,1,1,1,
131606303064,1,1,1,1,1,1,
131606803064,1,2,1,1,1,1,
131607303064,1,2,2,1,1,1,
131608803064,1,2,1,1,1,1,
131609303064,1,2,1,1,1,1,
131609803064,1,1,1,1,1,1,
131611803064,1,2,1,1,1,1,
131613303064,1,2,1,1,1,1,
131613803064,1,1,1,1,1,1,
131614303064,1,2,2,2,1,1,
131614803064,1,1,2,2,1,1,
131615303064,1,1,1,1,1,1,
131615803064,1,2,1,1,1,1,
131616303064,1,2,2,2,1,1,
131617803064,1,1,1,1,1,1,
131618803064,1,2,1,1,1,1,
131619303064,1,2,1,1,1,1,
131619803064,1,2,1,1,1,1,
131620303064,1,1,2,2,1,1,
131621303064,1,2,1,1,1,1,
131622303064,1,2,2,1,1,1,
131623303064,1,1,1,1,1,1,
131623803064,1,1,1,1,1,2,
131624303064,1,2,1,1,2,1,
131626803064,1,2,1,1,1,1,
131628803064,1,2,1,1,1,1,
131630303064,1,2,1,1,1,1,
131632303064,1,1,1,1,2,1,
131632803064,1,2,1,1,1,1,
131633803064,1,2,2,1,1,1,
131634803064,1,2,1,1,1,1,
131635303064,1,2,1,1,1,1,
131635803064,1,2,1,1,1,1,
131638303064,1,2,1,1,1,1,
131639303064,1,2,1,1,1,1,
131640803064,1,2,2,1,1,1,
131643303064,1,2,1,1,1,1,
131644803064,1,2,1,1,1,1,
131646303064,1,2,2,1,1,1,
131647803064,1,2,1,1,1,1,
131649303064,1,2,1,1,1,1,
131649803064,1,2,1,1,1,1,
