,W-0,R-0,R-1,R-2,R-3,R-4,
132680166275,1,1,1,1,1,1,
132681666275,1,2,1,1,1,1,
132682666275,1,1,1,1,1,1,
132683666275,1,1,1,1,1,1,
132684666275,1,2,1,1,1,1,
132685166275,1,1,1,1,1,1,
132685666275,1,2,1,1,1,1,
132686166275,1,1,1,1,1,1,
132686666275,1,1,1,1,1,1,
132687166275,1,1,1,1,1,1,
132688666275,1,2,1,1,1,1,
132689666275,1,1,1,1,1,1,
132690166275,1,1,1,1,1,1,
132690666275,1,1,1,1,1,1,
132691166275,1,1,1,1,1,1,
132691666275,1,1,1,1,1,1,
132692166275,1,1,1,1,1,1,
132692666275,1,1,1,1,1,1,
132693666275,1,1,1,1,1,1,
132694166275,1,1,1,1,1,1,
132694666275,1,1,1,1,1,1,
132695166275,1,1,1,1,1,1,
132696166275,1,2,1,1,1,1,
132697166275,1,1,1,1,1,1,
132697666275,1,2,1,1,1,1,
132699666275,1,1,1,1,1,1,
132700166275,1,1,1,1,1,1,
132700666275,1,2,1,1,1,1,
132701166275,1,2,1,1,1,1,
132701666275,1,2,1,1,1,1,
132704166275,1,1,1,1,1,1,
132705166275,1,1,1,1,1,1,
132705666275,1,1,1,1,1,1,
132706166275,1,1,1,1,1,1,
132706666275,1,2,1,1,1,1,
132707166275,1,1,1,1,1,1,
132708166275,1,1,1,1,1,1,
132708666275,1,1,1,1,1,1,
132709166275,1,1,1,1,1,1,
132711166275,1,2,1,1,1,1,
132711666275,1,1,1,1,1,1,
132713166275,1,1,1,1,1,1,
132713666275,1,2,1,1,1,1,
132714166275,1,1,1,1,1,1,
132714666275,1,1,1,1,1,1,
132715666275,1,1,1,1,1,1,
132717166275,1,2,1,1,1,1,
132717666275,1,2,1,1,1,1,
132718166275,1,1,1,1,1,1,
132719166275,1,1,1,1,1,1,
132720666275,1,1,1,1,1,1,
132721666275,1,2,1,1,1,1,
132723166275,1,1,1,1,1,1,
132723666275,1,2,1,1,1,1,
132724666275,1,1,1,1,1,1,
132725166275,1,1,1,1,1,1,
132726666275,1,2,1,1,1,1,
132727166275,1,1,1,1,1,1,
132727666275,1,2,1,1,1,1,
132728166275,1,1,1,1,1,1,
132730166275,1,1,1,1,1,1,
132732166275,1,1,1,1,1,1,
132732666275,1,1,1,1,1,1,
132734166275,1,1,1,1,1,1,
132735666275,1,1,1,1,1,1,
132738166275,1,2,1,1,1,1,
132738666275,1,1,1,1,1,1,
132739666275,1,2,2,2,2,2,
132740166275,1,1,1,1,1,1,
132740666275,1,2,1,1,1,1,
132741666275,1,1,1,1,1,1,
132744166275,1,2,1,1,1,1,
132744666275,1,1,1,1,1,1,
132745666275,1,2,1,1,1,1,
132746166275,1,1,1,1,1,1,
132746666275,1,1,1,1,1,1,
132747166275,1,1,1,1,1,1,
132749166275,1,2,2,2,2,2,
132750166275,1,1,1,1,1,1,
132752666275,1,2,1,1,1,1,
132753666275,1,1,1,1,1,1,
132754166275,1,1,1,1,1,1,
132756666275,1,1,1,1,1,1,
132757166275,1,1,1,1,1,1,
132758166275,1,1,1,1,1,1,
132760666275,1,1,1,1,1,1,
132762166275,1,1,1,1,1,1,
132762666275,1,1,1,1,1,1,
132763166275,1,2,1,1,1,1,
132763666275,1,1,1,1,1,1,
132764166275,1,1,1,1,1,1,
132764666275,1,2,1,1,1,1,
132765166275,1,1,1,1,1,1,
132766666275,1,1,1,1,1,1,
132767166275,1,2,1,1,1,1,
132767666275,1,2,1,1,1,1,
132770166275,1,1,1,1,1,1,
132770666275,1,1,1,1,1,1,
132771666275,1,1,1,1,1,1,
132772666275,1,1,1,1,1,1,
132773166275,1,1,1,1,1,1,
132773666275,1,1,1,1,1,1,
132774166275,1,1,1,1,1,1,
132776666275,1,1,1,1,1,1,
132778666275,1,2,1,1,1,1,
132779166275,1,2,1,1,1,1,
132779666275,1,1,1,1,1,1,
132780166275,1,1,1,1,1,1,
132780666275,1,1,1,1,1,1,
132781166275,1,1,1,1,1,1,
132782666275,1,1,1,1,1,1,
