,W-0,R-0,R-1,R-2,R-3,R-4,
133871809984,1,1,1,1,1,1,
133873309984,1,1,1,1,1,1,
133874309984,1,1,1,1,1,1,
133875309984,1,1,1,1,1,1,
133876309984,1,2,2,2,2,2,
133876809984,1,1,1,1,1,1,
133877309984,1,2,1,1,1,1,
133877809984,1,1,1,1,1,1,
133878309984,1,1,1,1,1,1,
133878809984,1,2,2,2,2,2,
133880309984,1,1,1,1,1,1,
133881309984,1,1,1,1,1,1,
133881809984,1,1,1,1,1,1,
133882309984,1,1,1,1,1,1,
133882809984,1,1,1,1,1,1,
133883309984,1,1,1,1,1,1,
133883809984,1,1,1,1,1,1,
133884309984,1,1,1,1,1,1,
133885309984,1,2,1,1,1,1,
133885809984,1,2,1,1,1,1,
133886309984,1,1,1,1,1,1,
133886809984,1,1,1,1,1,1,
133887809984,1,1,1,1,1,1,
133888809984,1,1,1,1,1,1,
133889309984,1,1,1,1,1,1,
133891309984,1,1,1,1,1,1,
133891809984,1,1,1,1,1,1,
133892309984,1,1,1,1,1,1,
133892809984,1,1,1,1,1,1,
133893309984,1,1,1,1,1,1,
133895809984,1,1,1,1,1,1,
133896809984,1,1,1,1,1,1,
133897309984,1,1,1,1,1,1,
133897809984,1,1,1,1,1,1,
133898309984,1,1,1,1,1,1,
133898809984,1,1,1,1,1,1,
133899809984,1,1,1,1,1,1,
133900309984,1,1,1,1,1,1,
133900809984,1,1,1,1,1,1,
133902809984,1,1,1,1,1,1,
133903309984,1,1,1,1,1,1,
133904809984,1,1,1,1,1,1,
133905309984,1,2,1,1,1,1,
133905809984,1,1,1,1,1,1,
133906309984,1,1,1,1,1,1,
133907309984,1,1,1,1,1,1,
133908809984,1,2,1,1,1,1,
133909309984,1,1,1,1,1,1,
133909809984,1,2,1,1,1,1,
133910809984,1,1,1,1,1,1,
133912309984,1,1,1,1,1,1,
133913309984,1,1,1,1,1,1,
133914809984,1,1,1,1,1,1,
133915309984,1,1,1,1,1,1,
133916309984,1,1,1,1,1,1,
133916809984,1,1,1,1,1,1,
133918309984,1,1,1,1,1,1,
133918809984,1,1,1,1,1,1,
133919309984,1,2,1,1,1,1,
133919809984,1,1,1,1,1,1,
133921809984,1,1,1,1,1,1,
133923809984,1,1,1,1,1,1,
133924309984,1,1,1,1,1,1,
133925809984,1,2,1,1,1,1,
133927309984,1,1,1,1,1,1,
133929809984,1,1,1,1,1,1,
133930309984,1,2,1,1,1,1,
133931309984,1,1,1,1,1,1,
133931809984,1,1,1,1,1,1,
133932309984,1,1,1,1,1,1,
133933309984,1,1,1,1,1,1,
133935809984,1,1,1,1,1,1,
133936309984,1,1,1,1,1,1,
133937309984,1,2,1,1,1,1,
133937809984,1,1,1,1,1,1,
133938309984,1,1,1,1,1,1,
133938809984,1,1,1,1,1,1,
133940809984,1,1,1,1,1,1,
133941809984,1,1,1,1,1,1,
133944309984,1,1,1,1,1,1,
133945309984,1,1,1,1,1,1,
133945809984,1,1,1,1,1,1,
133948309984,1,2,1,1,1,1,
133948809984,1,1,1,1,1,1,
133949809984,1,1,1,1,1,1,
133952309984,1,1,1,1,1,1,
133953809984,1,2,1,1,1,1,
133954309984,1,1,1,1,1,1,
133954809984,1,1,1,1,1,1,
133955309984,1,2,1,1,1,1,
133955809984,1,2,1,1,1,1,
133956309984,1,1,1,1,1,1,
133956809984,1,1,1,1,1,1,
133958309984,1,2,1,1,1,1,
133958809984,1,1,1,1,1,1,
133959309984,1,1,1,1,1,1,
133961809984,1,1,1,1,1,1,
133962309984,1,1,1,1,1,1,
133963309984,1,1,1,1,1,1,
133964309984,1,1,1,1,1,1,
133964809984,1,1,1,1,1,1,
133965309984,1,1,1,1,1,1,
133965809984,1,1,1,1,1,1,
133968309984,1,1,1,1,1,1,
133970309984,1,1,1,1,1,1,
133970809984,1,2,1,1,1,1,
133971309984,1,2,1,1,1,1,
133971809984,1,1,1,1,1,1,
133972309984,1,1,1,1,1,1,
133972809984,1,1,1,1,1,1,
133974309984,1,1,1,1,1,1,
133975309984,1,1,1,1,1,1,
133975809984,1,1,1,1,1,1,
133976309984,1,1,1,1,1,1,
133976809984,1,1,1,1,1,1,
133978309984,1,1,1,1,1,1,
133978809984,1,2,1,1,1,1,
133979809984,1,1,1,1,1,1,
133981809984,1,1,1,1,1,1,
133982809984,1,1,1,1,1,1,
133983809984,1,1,1,1,1,1,
133984809984,1,1,1,1,1,1,
133985309984,1,1,1,1,1,1,
133986809984,1,2,1,1,1,1,
133989309984,1,2,1,1,1,1,
133990309984,1,2,1,1,1,1,
133992809984,1,1,1,1,1,1,
133993309984,1,1,1,1,1,1,
133993809984,1,1,1,1,1,1,
133994309984,1,1,1,1,1,1,
133995809984,1,1,1,1,1,1,
133996309984,1,1,1,1,1,1,
133996809984,1,1,1,1,1,1,
133998809984,1,1,1,1,1,1,
134000309984,1,1,1,1,1,1,
134000809984,1,1,1,1,1,1,
134001309984,1,2,1,1,1,1,
134001809984,1,1,1,1,1,1,
134002309984,1,1,1,1,1,1,
134002809984,1,1,1,1,1,1,
134003309984,1,1,1,1,1,1,
134004809984,1,1,1,1,1,1,
134005809984,1,1,1,1,1,1,
134006309984,1,1,1,1,1,1,
134006809984,1,1,1,1,1,1,
134007309984,1,2,1,1,1,1,
134008309984,1,1,1,1,1,1,
134009309984,1,1,1,1,1,1,
134010309984,1,2,1,1,1,1,
134010809984,1,1,1,1,1,1,
134011309984,1,1,1,1,1,1,
134013809984,1,2,1,1,1,1,
134015809984,1,1,1,1,1,1,
134017309984,1,1,1,1,1,1,
134019309984,1,2,1,1,1,1,
134019809984,1,1,1,1,1,1,
134020809984,1,2,1,1,1,1,
134021809984,1,2,1,1,1,1,
134022309984,1,2,1,1,1,1,
134022809984,1,1,1,1,1,1,
134025309984,1,1,1,1,1,1,
134026309984,1,1,1,1,1,1,
134027809984,1,1,1,1,1,1,
134030309984,1,1,1,1,1,1,
134031809984,1,1,1,1,1,1,
134033309984,1,1,1,1,1,1,
134034809984,1,1,1,1,1,1,
134036309984,1,1,1,1,1,1,
134036809984,1,1,1,1,1,1,
134037309984,1,1,1,1,1,1,
134037809984,1,1,1,1,1,1,
134038309984,1,1,1,1,1,1,
134039309984,1,2,1,1,1,1,
134039809984,1,1,1,1,1,1,
134040309984,1,1,1,1,1,1,
134041309984,1,1,1,1,1,1,
134043309984,1,1,1,1,1,1,
134044309984,1,1,1,1,1,1,
134047309984,1,1,1,1,1,1,
134047809984,1,1,1,1,1,1,
134048809984,1,1,1,1,1,1,
134050309984,1,1,1,1,1,1,
