,W-0,R-0,R-1,R-2,R-3,R-4,
135064125231,1,2,2,1,1,1,
135065625231,1,2,1,1,1,1,
135066625231,1,2,1,1,1,1,
135067625231,1,2,1,1,1,1,
135068625231,1,2,1,1,1,1,
135069125231,1,2,1,1,1,1,
135069625231,1,2,2,2,2,2,
135070125231,1,2,2,2,2,2,
135070625231,1,2,2,1,1,1,
135071125231,1,2,1,1,1,1,
135072625231,1,2,1,1,1,1,
135073625231,1,2,2,2,2,2,
135074125231,1,2,2,1,2,1,
135074625231,1,2,2,2,1,2,
135075125231,1,2,2,1,1,1,
135075625231,1,2,1,1,1,1,
135076125231,1,2,1,1,1,1,
135076625231,1,2,1,1,1,1,
135077625231,1,2,1,2,2,1,
135078125231,1,2,1,1,2,1,
135078625231,1,2,1,1,1,1,
135079125231,1,2,1,1,1,1,
135080125231,1,2,1,1,1,1,
135081125231,1,2,2,1,1,1,
135081625231,1,2,1,1,1,1,
135083625231,1,2,1,1,1,1,
135084125231,1,2,2,2,2,2,
135084625231,1,2,1,1,1,1,
135085125231,1,2,1,1,1,1,
135085625231,1,2,2,1,1,1,
135088125231,1,2,1,1,1,1,
135089125231,1,2,1,1,1,1,
135089625231,1,2,1,1,1,1,
135090125231,1,2,1,1,1,1,
135090625231,1,2,2,1,1,1,
135091125231,1,2,1,1,2,1,
135092125231,1,2,1,1,1,1,
135092625231,1,2,1,1,1,1,
135093125231,1,2,1,1,1,1,
135095125231,1,2,1,1,1,1,
135095625231,1,2,1,1,1,1,
135097125231,1,2,1,1,1,2,
135097625231,1,2,1,1,1,1,
135098125231,1,2,2,2,2,2,
135098625231,1,2,1,1,1,1,
135099625231,1,2,2,1,1,1,
135101125231,1,2,1,1,1,1,
135101625231,1,2,1,1,1,1,
135102125231,1,2,1,1,1,1,
135103125231,1,2,1,1,1,1,
135104625231,1,2,2,1,2,1,
135105625231,1,2,1,2,2,2,
135107125231,1,2,1,1,1,1,
135107625231,1,2,1,1,1,1,
135108625231,1,2,1,1,1,1,
135109125231,1,2,2,2,2,2,
135110625231,1,2,1,1,1,1,
135111125231,1,2,2,1,1,1,
135111625231,1,2,1,1,1,1,
135112125231,1,2,1,1,1,1,
135114125231,1,2,1,1,1,1,
135116125231,1,2,1,1,2,1,
135116625231,1,2,1,1,1,1,
135118125231,1,2,1,1,1,1,
135119625231,1,2,1,1,1,1,
135122125231,1,2,1,1,1,1,
135122625231,1,2,2,1,1,1,
135123625231,1,2,2,1,1,1,
135124125231,1,2,2,2,1,1,
135124625231,1,2,1,1,1,2,
135125625231,1,2,1,1,1,1,
135128125231,1,2,1,1,1,1,
135128625231,1,2,1,1,1,1,
135129625231,1,2,2,1,1,2,
135130125231,1,2,1,1,1,1,
135130625231,1,2,1,1,1,1,
135131125231,1,2,2,2,1,1,
135133125231,1,2,2,2,2,1,
135134125231,1,2,1,1,1,1,
135136625231,1,2,1,1,1,1,
135137625231,1,2,1,1,1,1,
135138125231,1,2,1,1,1,1,
135140625231,1,2,1,1,1,1,
135141125231,1,2,1,1,1,1,
135142125231,1,2,1,1,1,1,
135144625231,1,2,1,1,1,1,
135146125231,1,2,2,1,1,1,
135146625231,1,2,1,1,1,1,
135147125231,1,2,1,1,1,1,
135147625231,1,2,1,2,1,1,
135148125231,1,2,1,1,1,1,
135148625231,1,2,1,1,1,1,
135149125231,1,2,2,1,1,1,
135150625231,1,2,1,1,1,1,
135151125231,1,2,1,1,1,1,
135151625231,1,2,1,1,1,1,
135154125231,1,2,1,1,1,1,
135154625231,1,2,1,1,1,1,
135155625231,1,2,1,1,1,1,
135156625231,1,2,2,2,2,2,
135157125231,1,2,1,2,1,1,
135157625231,1,2,2,1,1,1,
135158125231,1,2,2,2,1,1,
135160625231,1,2,1,1,1,1,
135162625231,1,2,1,1,1,1,
135163125231,1,2,1,1,1,1,
135163625231,1,2,2,1,2,1,
135164125231,1,2,2,2,2,2,
135164625231,1,2,2,1,2,2,
135165125231,1,2,1,1,2,2,
135166625231,1,2,2,1,1,1,
135167625231,1,2,1,1,1,1,
135168125231,1,2,1,1,1,1,
135168625231,1,2,1,1,1,1,
135169125231,1,2,1,1,1,1,
135170625231,1,2,2,1,1,1,
135171125231,1,2,2,1,1,1,
135172125231,1,2,1,1,1,1,
135174125231,1,2,1,1,1,1,
135175125231,1,2,1,1,1,1,
135176125231,1,2,2,2,1,1,
135177125231,1,2,1,1,1,1,
135177625231,1,2,2,1,1,1,
135179125231,1,2,2,1,1,1,
135181625231,1,2,1,1,1,1,
135182625231,1,2,1,1,1,1,
135185125231,1,2,1,1,1,1,
135185625231,1,2,2,1,2,2,
135186125231,1,2,1,1,1,1,
135186625231,1,2,1,1,1,1,
135188125231,1,2,1,1,1,1,
135188625231,1,2,1,1,1,1,
135189125231,1,2,2,1,1,2,
135191125231,1,2,1,1,1,1,
135192625231,1,2,1,1,1,1,
135193125231,1,2,1,1,1,1,
135193625231,1,2,1,1,1,2,
135194125231,1,2,2,2,2,1,
135194625231,1,2,1,2,1,1,
135195125231,1,2,1,1,1,1,
135195625231,1,2,1,1,1,1,
135197125231,1,2,1,1,1,1,
135198125231,1,2,1,1,1,1,
135198625231,1,2,1,1,1,2,
135199125231,1,2,1,1,1,1,
135199625231,1,1,1,1,1,1,
135200625231,1,2,2,2,2,2,
135201625231,1,2,1,1,1,1,
135202625231,1,2,1,1,1,1,
135203125231,1,2,1,1,1,1,
135203625231,1,2,2,2,2,2,
135206125231,1,2,1,1,1,1,
135208125231,1,2,2,1,2,2,
135209625231,1,2,1,1,1,1,
135211625231,1,2,2,2,2,1,
135212125231,1,2,1,1,1,1,
135213125231,1,2,1,1,1,1,
135214125231,1,2,1,1,1,1,
135214625231,1,2,2,2,1,1,
135215125231,1,2,1,1,1,1,
135217625231,1,2,1,1,1,1,
135218625231,1,2,1,1,2,2,
135220125231,1,2,2,2,2,2,
135222625231,1,2,2,2,2,1,
135224125231,1,2,2,1,1,2,
135225625231,1,2,1,1,1,1,
135227125231,1,2,2,1,1,1,
135228625231,1,2,1,1,1,1,
135229125231,1,2,1,1,1,1,
135229625231,1,2,1,1,1,1,
135230125231,1,2,1,1,1,1,
135230625231,1,2,1,1,1,1,
135231625231,1,2,1,1,1,1,
135232125231,1,2,1,1,1,1,
135232625231,1,2,1,1,1,1,
135233625231,1,2,1,2,1,1,
135235625231,1,2,1,2,1,1,
135236625231,1,2,1,1,1,1,
135239625231,1,2,1,1,1,1,
135240125231,1,2,1,1,1,1,
135241125231,1,2,1,1,1,1,
135242625231,1,2,1,1,1,1,
135243125231,1,2,1,1,1,1,
135243625231,1,2,2,1,1,1,
135244125231,1,2,2,2,2,1,
135245125231,1,2,1,1,1,1,
135246125231,1,2,1,1,1,1,
135246625231,1,2,1,1,2,1,
135247625231,1,2,1,1,1,1,
135249125231,1,2,2,1,1,2,
135249625231,1,2,1,1,1,1,
135250625231,1,2,2,1,1,2,
135251125231,1,2,2,2,2,2,
135251625231,1,2,1,1,1,1,
135252125231,1,2,2,1,1,1,
135254125231,1,2,1,1,1,1,
135254625231,1,2,1,2,2,2,
135256125231,1,2,2,1,1,1,
135256625231,1,2,1,1,1,1,
135257125231,1,1,1,1,1,1,
135259125231,1,2,2,1,2,2,
135260125231,1,2,1,1,1,1,
135264125231,1,2,1,1,1,1,
135264625231,1,2,2,1,1,1,
135265625231,1,2,1,1,1,1,
135266125231,1,2,1,1,1,1,
135267125231,1,2,1,1,1,1,
135267625231,1,2,2,1,1,1,
135268125231,1,2,2,2,2,1,
135269125231,1,2,1,1,1,1,
135269625231,1,2,1,1,1,1,
135271125231,1,2,2,1,1,1,
135271625231,1,2,1,1,1,1,
135273125231,1,2,1,1,1,1,
135273625231,1,2,1,1,1,1,
135274125231,1,2,2,2,2,2,
135275125231,1,2,2,1,1,1,
135276125231,1,2,2,2,2,2,
135277625231,1,2,1,1,1,1,
135278625231,1,2,1,1,1,1,
135280625231,1,2,1,1,1,1,
135281125231,1,2,2,1,1,1,
135281625231,1,2,1,2,1,2,
135282125231,1,2,2,2,2,1,
135283125231,1,2,1,2,1,2,
135283625231,1,2,2,1,1,2,
135284125231,1,2,2,2,2,2,
135284625231,1,2,2,2,1,1,
135285125231,1,2,2,1,2,1,
135285625231,1,2,1,1,1,1,
135287625231,1,2,1,1,1,1,
135288625231,1,2,1,1,1,1,
135290125231,1,2,2,1,1,1,
135292625231,1,2,1,1,1,1,
135293125231,1,2,1,1,1,1,
135293625231,1,2,2,1,1,1,
135295125231,1,2,1,2,2,1,
135295625231,1,2,1,1,1,1,
135296625231,1,2,1,1,1,1,
135297625231,1,2,1,1,1,1,
135298125231,1,2,1,1,1,1,
135298625231,1,2,1,1,1,1,
135299125231,1,2,1,1,1,1,
