,W-0,R-0,R-1,R-2,R-3,R-4,
135661124463,1,2,1,1,1,1,
135662624463,1,2,2,1,1,1,
135663624463,1,2,1,1,1,1,
135664624463,1,2,1,1,1,1,
135665624463,1,2,1,1,1,1,
135666124463,1,2,2,1,1,1,
135666624463,1,2,1,1,1,1,
135667124463,1,2,1,1,1,1,
135667624463,1,2,2,1,1,1,
135668124463,1,2,1,1,1,1,
135669624463,1,2,1,1,1,1,
135670624463,1,2,2,1,1,1,
135671124463,1,2,1,1,1,1,
135671624463,1,2,2,1,1,1,
135672124463,1,2,1,1,1,1,
135672624463,1,2,1,1,1,1,
135673124463,1,2,2,2,1,1,
135673624463,1,2,1,1,1,1,
135674624463,1,2,1,1,1,1,
135675124463,1,2,2,1,1,1,
135675624463,1,2,1,1,1,1,
135676124463,1,2,2,2,2,2,
135677124463,1,2,1,1,1,1,
135678124463,1,2,1,2,1,1,
135678624463,1,2,1,1,1,1,
135680624463,1,2,1,1,1,1,
135681124463,1,2,1,1,1,1,
135681624463,1,2,1,1,1,1,
135682124463,1,2,2,1,1,1,
135682624463,1,2,2,1,1,1,
135685124463,1,2,1,1,1,1,
135686124463,1,2,1,1,1,1,
135686624463,1,2,1,1,1,1,
135687124463,1,2,2,2,2,1,
135687624463,1,2,2,2,1,1,
135688124463,1,2,1,1,1,2,
135689124463,1,2,1,1,1,1,
135689624463,1,2,2,1,2,2,
135690124463,1,2,1,1,1,1,
135692124463,1,2,1,1,1,1,
135692624463,1,2,1,1,1,1,
135694124463,1,2,2,1,1,1,
135694624463,1,2,1,1,1,1,
135695124463,1,2,2,2,2,2,
135695624463,1,2,2,1,1,1,
135696624463,1,2,1,2,2,1,
135698124463,1,2,1,1,1,1,
135698624463,1,2,2,1,1,1,
135699124463,1,2,1,1,1,1,
135700124463,1,2,2,2,2,1,
135701624463,1,2,2,1,2,1,
135702624463,1,2,2,2,1,2,
135704124463,1,2,1,1,1,1,
135704624463,1,2,2,1,1,1,
135705624463,1,2,1,1,1,1,
135706124463,1,2,2,2,2,2,
135707624463,1,2,1,1,1,1,
135708124463,1,2,2,1,1,1,
135708624463,1,2,1,1,1,1,
135709124463,1,2,2,1,1,1,
135711124463,1,2,2,1,1,1,
135713124463,1,2,1,1,1,1,
135713624463,1,2,1,1,1,1,
135715124463,1,2,1,1,1,1,
135716624463,1,2,1,1,1,1,
135719124463,1,2,1,1,1,1,
135719624463,1,2,1,1,1,1,
135720624463,1,2,1,1,1,1,
135721124463,1,2,1,1,1,1,
135721624463,1,2,2,2,2,2,
135722624463,1,2,1,1,1,1,
135725124463,1,2,1,1,1,1,
135725624463,1,2,1,1,1,1,
135726624463,1,2,2,2,2,1,
135727124463,1,2,1,1,1,1,
135727624463,1,2,1,1,1,1,
135728124463,1,2,1,1,1,1,
135730124463,1,2,1,1,1,1,
135731124463,1,2,1,1,1,1,
135733624463,1,2,1,1,1,1,
135734624463,1,2,2,2,1,1,
135735124463,1,2,1,1,1,1,
135737624463,1,2,1,1,1,1,
135738124463,1,2,1,1,1,1,
135739124463,1,2,1,1,1,1,
135741624463,1,2,1,1,2,1,
135743124463,1,2,1,1,1,1,
135743624463,1,2,1,1,1,1,
135744124463,1,2,1,1,1,1,
135744624463,1,2,1,1,1,1,
135745124463,1,2,1,1,1,1,
135745624463,1,2,1,1,1,1,
135746124463,1,2,1,1,1,1,
135747624463,1,2,1,2,2,1,
135748124463,1,2,1,1,1,1,
135748624463,1,2,2,2,2,2,
135751124463,1,2,1,1,1,1,
135751624463,1,2,1,1,1,1,
135752624463,1,2,1,1,1,1,
135753624463,1,2,2,1,2,2,
135754124463,1,2,2,1,1,1,
135754624463,1,2,1,1,1,1,
135755124463,1,2,1,1,1,1,
135757624463,1,2,1,1,1,1,
135759624463,1,2,1,1,1,1,
135760124463,1,2,1,1,1,1,
135760624463,1,2,2,2,2,1,
135761124463,1,2,1,1,1,1,
135761624463,1,2,1,1,1,1,
135762124463,1,2,1,1,1,1,
135763624463,1,2,1,1,1,1,
135764624463,1,2,2,2,2,2,
135765124463,1,2,1,1,1,1,
135765624463,1,2,1,1,1,1,
135766124463,1,2,1,1,1,1,
135767624463,1,2,2,1,1,1,
135768124463,1,2,1,1,1,1,
135769124463,1,2,1,1,1,1,
135771124463,1,2,2,2,1,1,
135772124463,1,2,2,1,1,1,
135773124463,1,2,1,1,1,1,
135774124463,1,2,2,2,2,1,
135774624463,1,2,1,1,1,1,
135776124463,1,2,1,1,1,1,
135778624463,1,2,1,1,1,1,
135779624463,1,2,1,1,1,1,
135782124463,1,2,1,1,1,1,
135782624463,1,2,1,1,1,1,
135783124463,1,2,2,1,1,1,
135783624463,1,2,1,1,1,1,
135785124463,1,2,2,2,2,2,
135785624463,1,2,1,1,2,1,
135786124463,1,2,1,2,2,1,
135788124463,1,2,2,2,1,1,
135789624463,1,2,2,1,2,1,
135790124463,1,2,1,1,1,1,
135790624463,1,2,1,1,1,1,
135791124463,1,2,1,1,1,1,
135791624463,1,2,1,1,1,1,
135792124463,1,2,2,1,1,1,
135792624463,1,2,1,1,1,1,
135794124463,1,2,1,1,1,1,
135795124463,1,2,1,1,1,1,
135795624463,1,2,1,1,1,1,
135796124463,1,2,1,1,1,1,
135796624463,1,2,1,1,1,1,
135797624463,1,2,2,1,1,1,
135798624463,1,2,1,1,1,1,
135799624463,1,2,1,1,1,1,
135800124463,1,2,1,1,1,1,
135800624463,1,2,1,1,1,1,
135803124463,1,2,2,1,1,1,
135805124463,1,2,2,2,2,2,
135806624463,1,2,1,1,1,1,
135808624463,1,2,1,1,1,1,
135809124463,1,2,2,2,1,1,
135810124463,1,2,2,1,1,1,
135811124463,1,2,1,1,1,1,
135811624463,1,2,1,1,1,1,
135812124463,1,2,1,1,1,1,
135814624463,1,2,2,1,1,1,
135815624463,1,2,2,1,1,1,
135817124463,1,2,2,2,2,1,
135819624463,1,2,2,2,2,2,
135821124463,1,2,1,1,1,1,
135822624463,1,2,1,1,1,1,
135824124463,1,2,1,1,2,2,
135825624463,1,2,1,1,1,1,
135826124463,1,2,1,1,1,1,
135826624463,1,2,1,1,1,1,
135827124463,1,2,2,2,1,1,
135827624463,1,2,2,2,2,1,
135828624463,1,2,1,1,1,1,
135829124463,1,2,1,1,1,1,
135829624463,1,2,1,1,1,1,
135830624463,1,2,1,1,1,1,
135832624463,1,2,2,1,1,2,
135833624463,1,2,1,1,1,1,
135836624463,1,2,2,2,1,1,
135837124463,1,2,2,1,1,1,
135838124463,1,2,2,2,2,2,
135839624463,1,2,1,1,1,1,
135840124463,1,2,1,1,1,1,
135840624463,1,2,1,1,1,1,
135841124463,1,2,1,1,1,1,
135842124463,1,2,2,2,1,2,
135843124463,1,2,1,1,1,1,
135843624463,1,2,2,2,1,1,
135844624463,1,2,2,2,1,2,
135846124463,1,2,1,1,1,1,
135846624463,1,2,2,2,2,1,
135847624463,1,2,2,1,1,2,
135848124463,1,2,1,2,1,1,
135848624463,1,2,1,1,1,1,
135849124463,1,2,1,1,1,1,
135851124463,1,2,1,1,1,1,
135851624463,1,2,2,1,1,2,
135853124463,1,2,2,1,1,1,
135853624463,1,2,1,1,1,1,
135854124463,1,2,1,1,1,1,
135856124463,1,2,2,1,1,1,
135857124463,1,2,1,1,1,1,
135861124463,1,2,1,1,1,1,
135861624463,1,2,1,1,1,1,
135862624463,1,2,1,2,1,2,
135863124463,1,2,1,1,1,1,
135864124463,1,2,2,1,1,1,
135864624463,1,2,1,1,1,1,
135865124463,1,2,1,1,1,1,
135866124463,1,2,2,2,1,1,
135866624463,1,2,2,1,1,1,
135868124463,1,2,2,2,2,2,
135868624463,1,2,1,1,1,1,
135870124463,1,2,1,1,1,1,
135870624463,1,2,2,1,1,2,
135871124463,1,2,2,1,1,1,
135872124463,1,2,2,1,1,1,
135873124463,1,2,2,1,2,2,
135874624463,1,2,2,2,2,2,
135875624463,1,2,2,1,1,1,
135877624463,1,2,2,2,2,2,
135878124463,1,2,1,1,1,1,
135878624463,1,2,1,1,1,1,
135879124463,1,2,2,2,2,2,
135880124463,1,2,2,2,2,2,
135880624463,1,2,1,1,1,1,
135881124463,1,2,2,2,1,2,
135881624463,1,2,1,1,1,1,
135882124463,1,2,2,1,1,1,
135882624463,1,2,1,2,1,1,
135884624463,1,2,1,2,1,1,
135885624463,1,2,1,1,1,1,
135887124463,1,2,1,1,1,1,
135889624463,1,1,1,1,1,1,
135890124463,1,1,1,1,1,1,
135890624463,1,2,2,2,2,2,
135892124463,1,2,2,2,1,2,
