,W-0,R-0,R-1,R-2,R-3,R-4,
113627760184,1,1,1,1,1,1,
113629260184,1,1,1,1,1,1,
113630260184,1,2,1,1,1,1,
113631260184,1,1,1,1,1,1,
113632260184,1,1,1,1,1,1,
113632760184,1,2,2,2,1,1,
113633260184,1,2,1,1,1,1,
113633760184,1,2,1,1,1,1,
113634260184,1,2,1,1,1,1,
113634760184,1,2,1,1,1,1,
113636260184,1,2,2,1,1,1,
113637260184,1,2,1,1,1,1,
113637760184,1,2,1,1,1,1,
113638260184,1,2,1,1,1,1,
113638760184,1,2,1,1,1,1,
113639260184,1,2,2,1,1,1,
113639760184,1,2,2,1,1,1,
113640260184,1,2,1,1,1,1,
113641260184,1,1,1,1,1,1,
113641760184,1,2,1,2,1,1,
113642260184,1,2,1,1,1,1,
113642760184,1,2,2,1,1,1,
113643760184,1,2,1,1,1,1,
113644760184,1,1,2,1,1,1,
113645260184,1,2,1,1,1,1,
113647260184,1,2,1,1,1,1,
113647760184,1,2,1,1,1,1,
113648260184,1,2,1,1,1,1,
113648760184,1,1,1,1,1,1,
113649260184,1,2,2,1,1,1,
113651760184,1,2,1,1,1,1,
113652760184,1,2,1,1,1,2,
113653260184,1,2,1,1,1,1,
113653760184,1,2,1,1,1,1,
113654260184,1,1,2,1,1,1,
113654760184,1,2,1,1,1,1,
113655760184,1,2,1,1,2,1,
113656260184,1,2,1,1,1,1,
113656760184,1,2,1,2,2,2,
113658760184,1,2,1,2,1,1,
113659260184,1,2,1,1,1,1,
113660760184,1,2,1,1,1,1,
113661260184,1,2,1,2,1,1,
113661760184,1,2,2,2,2,2,
113662260184,1,2,2,2,1,1,
113663260184,1,1,1,1,1,1,
113664760184,1,2,1,1,1,1,
113665260184,1,2,2,1,2,1,
113665760184,1,2,1,1,1,1,
113666760184,1,1,1,1,1,1,
113668260184,1,2,1,1,1,1,
113669260184,1,1,2,1,1,1,
113670760184,1,1,1,1,1,1,
113671260184,1,2,1,1,1,1,
113672260184,1,2,2,1,2,1,
113672760184,1,2,1,1,1,1,
113674260184,1,2,1,1,1,1,
113674760184,1,2,1,1,1,1,
113675260184,1,2,1,1,1,1,
113675760184,1,2,2,1,1,1,
113677760184,1,2,1,1,1,1,
113679760184,1,2,1,1,1,1,
113680260184,1,2,1,1,1,1,
113681760184,1,1,1,1,1,1,
113683260184,1,2,1,1,1,1,
113685760184,1,2,1,1,1,1,
113686260184,1,1,1,1,1,1,
113687260184,1,2,1,1,1,2,
113687760184,1,2,1,1,1,1,
