,W-0,R-0,R-1,R-2,R-3,R-4,
114818059309,1,2,1,1,1,1,
114819559309,1,1,1,1,1,1,
114820559309,1,1,1,1,1,1,
114821559309,1,1,1,1,1,1,
114822559309,1,1,1,1,1,1,
114823059309,1,1,1,1,1,1,
114823559309,1,1,1,1,1,1,
114824059309,1,1,1,1,1,1,
114824559309,1,2,1,1,1,1,
114825059309,1,1,1,1,1,1,
114826559309,1,1,1,1,1,1,
114827559309,1,1,1,1,1,1,
114828059309,1,2,1,1,1,1,
114828559309,1,1,1,1,1,1,
114829059309,1,1,1,1,1,1,
114829559309,1,1,1,1,1,1,
114830059309,1,1,1,1,1,1,
114830559309,1,1,1,1,1,1,
114831559309,1,2,1,1,1,1,
114832059309,1,1,1,1,1,1,
114832559309,1,1,1,1,1,1,
114833059309,1,1,1,1,1,1,
114834059309,1,1,1,1,1,1,
114835059309,1,1,1,1,1,1,
114835559309,1,1,1,1,1,1,
114837559309,1,1,1,1,1,1,
114838059309,1,1,1,1,1,1,
114838559309,1,2,1,1,1,1,
114839059309,1,2,1,1,1,1,
114839559309,1,1,1,1,1,1,
114842059309,1,1,1,1,1,1,
114843059309,1,2,1,1,1,1,
114843559309,1,2,1,1,1,1,
114844059309,1,2,1,1,1,1,
114844559309,1,1,1,1,1,1,
114845059309,1,2,1,1,1,1,
114846059309,1,1,1,1,1,1,
114846559309,1,1,1,1,1,1,
114847059309,1,2,1,1,1,1,
114849059309,1,1,1,1,1,1,
114849559309,1,1,1,1,1,1,
114851059309,1,1,1,1,1,1,
114851559309,1,2,1,1,1,1,
114852059309,1,1,1,1,1,1,
114852559309,1,1,1,1,1,1,
114853559309,1,1,1,1,1,1,
114855059309,1,2,1,1,1,1,
114855559309,1,1,1,1,1,1,
114856059309,1,1,1,1,1,1,
114857059309,1,1,1,1,1,1,
114858559309,1,1,1,1,1,1,
114859559309,1,1,1,1,1,1,
114861059309,1,1,1,1,1,1,
114861559309,1,2,1,1,1,1,
114862559309,1,2,1,1,1,1,
114863059309,1,1,1,1,1,1,
114864559309,1,1,1,1,1,1,
114865059309,1,1,1,1,1,1,
114865559309,1,1,1,1,1,1,
114866059309,1,1,1,1,1,1,
114868059309,1,2,1,1,1,1,
114870059309,1,1,1,1,1,1,
114870559309,1,1,1,1,1,1,
114872059309,1,1,1,1,1,1,
114873559309,1,2,1,1,1,1,
114876059309,1,1,1,1,1,1,
