,W-0,R-0,R-1,R-2,R-3,R-4,
115412333907,1,2,2,2,2,2,
115413833907,1,2,1,1,1,1,
115414833907,1,1,1,1,1,1,
115415833907,1,1,1,1,1,1,
115416833907,1,2,1,1,1,1,
115417333907,1,1,1,1,1,1,
115417833907,1,1,1,1,1,1,
115418333907,1,2,1,1,1,1,
115418833907,1,1,1,1,1,1,
115419333907,1,1,1,1,1,1,
115420833907,1,2,1,1,1,1,
115421833907,1,1,1,1,1,1,
115422333907,1,1,1,1,1,1,
115422833907,1,2,1,1,1,1,
115423333907,1,1,1,1,1,1,
115423833907,1,2,1,1,1,1,
115424333907,1,2,1,1,1,1,
115424833907,1,2,1,1,1,1,
115425833907,1,2,1,1,1,1,
115426333907,1,2,2,2,2,2,
115426833907,1,2,1,1,1,1,
115427333907,1,1,1,1,1,1,
115428333907,1,2,1,1,1,1,
115429333907,1,1,1,1,1,1,
115429833907,1,1,1,1,1,1,
115431833907,1,2,1,1,1,1,
115432333907,1,1,1,1,1,1,
115432833907,1,2,1,1,1,1,
115433333907,1,1,1,1,1,1,
115433833907,1,2,1,1,1,1,
115436333907,1,1,1,1,1,1,
115437333907,1,2,1,1,1,1,
115437833907,1,2,1,1,1,1,
115438333907,1,1,1,1,1,1,
115438833907,1,1,1,1,1,1,
115439333907,1,1,1,1,1,1,
115440333907,1,1,1,1,1,1,
115440833907,1,1,1,1,1,1,
115441333907,1,2,1,1,1,1,
115443333907,1,2,1,1,1,1,
115443833907,1,1,1,1,1,1,
115445333907,1,1,1,1,1,1,
115445833907,1,1,1,1,1,1,
115446333907,1,1,1,1,1,1,
115446833907,1,1,1,1,1,1,
115447833907,1,1,1,1,1,1,
115449333907,1,1,1,1,1,1,
115449833907,1,2,1,1,1,1,
115450333907,1,1,1,1,1,1,
115451333907,1,2,1,1,1,1,
115452833907,1,1,1,1,1,1,
115453833907,1,2,1,1,1,1,
115455333907,1,2,1,1,1,1,
115455833907,1,1,1,1,1,1,
115456833907,1,2,1,1,1,1,
115457333907,1,1,1,1,1,1,
115458833907,1,2,1,1,1,1,
115459333907,1,1,1,1,1,1,
115459833907,1,2,1,1,1,1,
115460333907,1,2,1,1,1,1,
115462333907,1,2,1,1,1,1,
115464333907,1,1,1,1,1,1,
115464833907,1,1,1,1,1,1,
115466333907,1,1,1,1,1,1,
115467833907,1,1,1,1,1,1,
115470333907,1,2,1,1,1,1,
115470833907,1,1,1,1,1,1,
115471833907,1,1,1,1,1,1,
115472333907,1,1,1,1,1,1,
115472833907,1,1,1,1,1,1,
115473833907,1,1,1,1,1,1,
115476333907,1,2,2,2,2,2,
115476833907,1,1,1,1,1,1,
115477833907,1,1,1,1,1,1,
115478333907,1,1,1,1,1,1,
115478833907,1,1,1,1,1,1,
115479333907,1,2,1,1,1,1,
115481333907,1,1,1,1,1,1,
115482333907,1,2,1,1,1,1,
115484833907,1,2,1,1,1,1,
115485833907,1,1,1,1,1,1,
115486333907,1,1,1,1,1,1,
115488833907,1,2,1,1,1,1,
115489333907,1,1,1,1,1,1,
115490333907,1,2,1,1,1,1,
115492833907,1,1,1,1,1,1,
115494333907,1,1,1,1,1,1,
115494833907,1,1,1,1,1,1,
115495333907,1,1,1,1,1,1,
