,W-0,R-0,R-1,R-2,R-3,R-4,
116602154829,1,1,2,1,1,1,
116603654829,1,2,1,1,1,1,
116604654829,1,2,2,1,2,1,
116605654829,1,2,2,2,2,2,
116606654829,1,2,1,1,1,1,
116607154829,1,2,1,1,1,1,
116607654829,1,2,1,1,1,1,
116608154829,1,2,1,1,1,1,
116608654829,1,2,1,2,1,2,
116609154829,1,2,1,1,1,1,
116610654829,1,2,1,1,1,1,
116611654829,1,2,1,1,1,1,
116612154829,1,2,1,1,1,1,
116612654829,1,2,1,2,1,1,
116613154829,1,2,2,2,2,1,
116613654829,1,2,1,1,1,1,
116614154829,1,2,1,1,1,1,
116614654829,1,2,2,1,1,1,
116615654829,1,2,2,1,1,1,
116616154829,1,2,1,1,1,1,
116616654829,1,2,1,1,1,1,
116617154829,1,2,1,1,1,1,
116618154829,1,2,1,1,1,1,
116619154829,1,2,2,1,1,1,
116619654829,1,2,1,1,1,1,
116621654829,1,2,2,2,1,1,
116622154829,1,2,1,1,1,1,
116622654829,1,2,1,1,1,1,
116623154829,1,2,1,1,1,1,
116623654829,1,2,2,1,1,1,
116626154829,1,2,1,1,1,1,
116627154829,1,2,1,1,1,1,
116627654829,1,2,2,1,1,1,
116628154829,1,2,1,1,1,1,
116628654829,1,2,2,2,1,1,
116629154829,1,2,2,1,1,1,
116630154829,1,2,1,2,2,1,
116630654829,1,2,1,1,1,1,
116631154829,1,2,1,1,1,1,
116633154829,1,2,2,2,2,1,
116633654829,1,2,1,1,1,1,
116635154829,1,2,1,1,1,1,
116635654829,1,2,2,2,2,1,
116636154829,1,2,1,1,1,1,
116636654829,1,2,2,1,1,1,
116637654829,1,2,1,1,1,1,
116639154829,1,2,1,1,1,1,
116639654829,1,2,2,2,1,1,
116640154829,1,2,1,1,1,1,
116641154829,1,2,2,1,1,1,
116642654829,1,2,1,1,1,1,
116643654829,1,2,1,1,1,1,
116645154829,1,2,1,1,1,1,
116645654829,1,2,2,1,1,1,
116646654829,1,2,2,1,1,1,
116647154829,1,2,1,1,1,1,
116648654829,1,2,1,1,1,1,
116649154829,1,2,1,1,1,1,
116649654829,1,2,2,1,1,1,
116650154829,1,2,2,2,1,1,
116652154829,1,2,2,2,2,1,
116654154829,1,2,1,1,1,1,
116654654829,1,2,1,1,1,1,
116656154829,1,2,1,1,1,1,
116657654829,1,2,1,1,1,1,
116660154829,1,2,1,1,1,1,
116660654829,1,2,2,1,1,1,
116661654829,1,2,2,1,1,1,
116662154829,1,2,1,1,1,1,
116662654829,1,2,1,1,1,1,
116663654829,1,2,2,1,1,1,
116666154829,1,2,1,2,2,2,
116666654829,1,2,1,1,1,1,
116667654829,1,2,1,1,1,1,
116668154829,1,2,2,2,2,1,
116668654829,1,2,1,2,1,2,
116669154829,1,2,2,2,2,2,
116671154829,1,2,1,1,1,1,
116672154829,1,2,2,1,1,1,
116674654829,1,2,1,1,1,1,
116675654829,1,2,1,2,2,2,
116676154829,1,2,1,1,1,1,
116678654829,1,2,2,2,1,1,
116679154829,1,2,1,2,1,1,
116680154829,1,2,1,1,1,1,
116682654829,1,2,2,1,1,1,
116684154829,1,2,2,2,2,2,
116684654829,1,2,2,2,2,2,
116685154829,1,2,2,2,2,2,
116685654829,1,2,2,2,2,2,
116686154829,1,2,2,2,2,2,
116686654829,1,2,1,1,1,1,
116687154829,1,2,1,1,1,1,
116688654829,1,2,2,1,1,2,
116689154829,1,2,1,1,1,1,
116689654829,1,2,1,1,1,1,
116692154829,1,2,1,1,1,1,
116692654829,1,2,1,1,1,1,
116693654829,1,2,2,1,1,1,
116694654829,1,2,1,2,2,2,
116695154829,1,2,1,1,2,1,
116695654829,1,2,1,1,1,1,
116696154829,1,2,2,1,2,1,
116698654829,1,2,1,1,1,1,
116700654829,1,2,2,1,1,1,
116701154829,1,2,2,1,1,1,
116701654829,1,2,2,2,2,2,
116702154829,1,2,1,1,1,1,
116702654829,1,2,1,1,1,1,
116703154829,1,2,2,2,2,1,
116704654829,1,2,1,1,1,1,
116705654829,1,2,1,1,1,1,
116706154829,1,2,1,1,1,1,
116706654829,1,2,1,1,1,1,
116707154829,1,2,1,1,1,1,
116708654829,1,2,2,1,1,1,
116709154829,1,2,1,1,1,1,
116710154829,1,2,1,1,1,1,
116712154829,1,2,1,2,1,1,
116713154829,1,2,2,1,1,1,
116714154829,1,2,1,1,1,1,
116715154829,1,2,1,1,1,1,
116715654829,1,2,2,1,1,1,
116717154829,1,2,1,1,1,1,
116719654829,1,2,1,1,1,1,
116720654829,1,2,1,1,1,1,
116723154829,1,2,1,1,1,1,
116723654829,1,2,1,1,1,1,
116724154829,1,2,1,1,1,1,
116724654829,1,2,1,1,1,1,
116726154829,1,2,1,1,1,1,
116726654829,1,2,2,1,1,1,
116727154829,1,2,2,1,2,2,
116729154829,1,2,1,1,1,1,
116730654829,1,2,1,1,1,1,
116731154829,1,2,2,2,1,1,
116731654829,1,2,1,1,1,1,
116732154829,1,2,1,1,1,1,
116732654829,1,2,1,1,1,1,
116733154829,1,2,1,1,1,1,
116733654829,1,2,1,1,1,1,
116735154829,1,2,1,1,1,1,
116736154829,1,2,1,1,1,1,
116736654829,1,2,1,1,1,1,
116737154829,1,2,2,1,1,1,
116737654829,1,2,1,1,1,1,
116738654829,1,2,1,1,1,1,
116739654829,1,2,2,1,1,1,
116740654829,1,2,2,2,2,2,
116741154829,1,2,1,1,1,1,
116741654829,1,2,1,1,1,1,
116744154829,1,2,1,2,2,2,
116746154829,1,2,2,1,1,1,
116747654829,1,2,1,1,1,1,
116749654829,1,2,1,2,2,2,
116750154829,1,2,1,1,1,1,
116751154829,1,2,1,1,1,2,
116752154829,1,2,1,1,1,1,
116752654829,1,2,1,1,1,1,
116753154829,1,2,1,2,1,2,
116755654829,1,2,1,1,1,1,
116756654829,1,2,2,2,1,1,
116758154829,1,2,1,1,1,1,
116760654829,1,2,1,1,1,1,
116762154829,1,2,2,2,2,2,
116763654829,1,2,2,2,2,2,
116765154829,1,2,2,1,1,2,
116766654829,1,2,1,1,1,1,
116767154829,1,2,1,1,1,1,
116767654829,1,2,1,1,1,1,
116768154829,1,2,1,1,1,1,
116768654829,1,2,2,1,1,1,
116769654829,1,2,1,1,1,1,
116770154829,1,2,2,1,2,1,
116770654829,1,2,1,2,2,1,
116771654829,1,2,2,1,1,1,
116773654829,1,2,1,1,1,1,
116774654829,1,2,1,1,1,1,
116777654829,1,2,1,1,1,1,
116778154829,1,2,1,1,1,1,
116779154829,1,2,1,1,1,1,
116780654829,1,2,2,1,1,1,
116781154829,1,2,2,1,1,1,
116781654829,1,2,2,1,2,1,
116782154829,1,2,1,1,1,1,
116783154829,1,2,1,1,1,1,
116784154829,1,2,2,1,1,1,
116784654829,1,2,2,2,2,2,
116785654829,1,2,1,1,1,1,
116787154829,1,2,1,1,1,1,
116787654829,1,2,1,1,1,1,
116788654829,1,2,1,2,2,1,
116789154829,1,2,1,1,1,1,
116789654829,1,2,2,2,2,2,
116790154829,1,2,1,1,1,1,
116792154829,1,2,1,2,1,1,
116792654829,1,2,2,2,2,2,
116794154829,1,2,2,1,1,1,
116794654829,1,2,2,2,2,2,
116795154829,1,2,1,1,2,2,
116797154829,1,2,1,1,1,1,
116798154829,1,2,1,1,1,2,
116802154829,1,2,1,1,1,1,
116802654829,1,2,2,1,1,1,
116803654829,1,2,1,1,1,1,
116804154829,1,2,1,1,1,1,
116805154829,1,2,1,1,1,1,
116805654829,1,2,2,1,1,1,
116806154829,1,2,2,1,1,1,
116807154829,1,2,2,1,1,1,
116807654829,1,2,1,1,1,1,
116809154829,1,2,2,1,1,1,
116809654829,1,2,1,1,1,2,
116811154829,1,2,1,1,1,1,
116811654829,1,2,2,1,1,1,
116812154829,1,2,1,1,2,2,
116813154829,1,2,1,1,1,1,
116814154829,1,2,1,1,1,1,
116815654829,1,2,2,1,1,1,
116816654829,1,2,1,1,1,1,
116818654829,1,2,1,1,1,1,
116819154829,1,2,1,2,2,2,
116819654829,1,2,1,1,1,1,
116820154829,1,2,2,1,1,1,
116821154829,1,2,2,1,1,1,
116821654829,1,2,2,2,2,1,
116822154829,1,2,1,1,1,1,
116822654829,1,2,1,1,1,1,
116823154829,1,2,1,1,1,1,
116823654829,1,2,1,1,1,1,
116825654829,1,2,2,1,2,2,
116826654829,1,2,1,1,1,1,
116828154829,1,2,1,1,1,1,
116830654829,1,2,1,1,1,2,
116831154829,1,2,1,1,1,2,
116831654829,1,2,1,1,1,1,
116833154829,1,2,1,1,1,1,
116833654829,1,2,1,1,1,1,
116834654829,1,2,1,1,1,1,
116835654829,1,2,1,1,1,1,
116836154829,1,2,1,1,1,1,
116836654829,1,2,2,1,1,1,
116837154829,1,2,2,1,1,1,
116837654829,1,2,2,1,1,1,
116838154829,1,2,1,1,1,1,
116838654829,1,2,2,1,1,1,
116839154829,1,2,1,1,1,1,
116839654829,1,2,2,1,1,1,
116840154829,1,2,1,1,1,1,
116841154829,1,2,1,1,1,1,
116841654829,1,2,1,1,1,1,
116842154829,1,2,1,1,1,1,
116843154829,1,2,1,1,1,1,
116843654829,1,2,2,1,1,1,
116844654829,1,2,1,1,1,1,
116845154829,1,2,1,1,1,1,
116845654829,1,2,1,1,1,1,
116846154829,1,2,2,2,1,1,
116847154829,1,2,1,1,1,1,
116847654829,1,2,1,1,1,1,
116848154829,1,2,2,2,1,1,
116848654829,1,2,2,1,1,1,
116851154829,1,1,1,1,1,1,
116851654829,1,2,1,2,1,1,
116853654829,1,2,2,1,1,1,
116856154829,1,2,1,1,1,1,
116859654829,1,2,1,1,1,1,
116860154829,1,2,1,1,1,1,
116861654829,1,2,2,1,1,2,
116862154829,1,2,1,1,1,1,
116862654829,1,2,2,1,1,1,
116864154829,1,2,1,1,1,1,
116864654829,1,2,1,1,1,1,
116865654829,1,2,1,1,1,1,
116866654829,1,2,2,2,1,2,
116867154829,1,2,1,1,1,1,
116867654829,1,2,1,1,1,1,
116868154829,1,2,2,1,2,1,
116869654829,1,2,1,1,1,1,
116870654829,1,2,1,1,1,1,
116871154829,1,2,1,1,1,1,
116872154829,1,2,1,1,1,1,
116873154829,1,2,1,1,1,1,
116873654829,1,2,1,1,1,1,
116874154829,1,2,1,1,1,1,
116877154829,1,2,1,1,1,1,
116878154829,1,2,1,1,1,1,
116879654829,1,2,2,1,1,1,
116880654829,1,2,1,1,1,1,
116881654829,1,2,1,1,1,1,
116883154829,1,2,1,1,1,1,
116883654829,1,2,1,1,1,1,
116884154829,1,2,1,1,1,1,
116886654829,1,2,2,1,2,2,
116887154829,1,2,1,1,1,1,
116888654829,1,2,2,2,2,1,
116889154829,1,2,1,1,1,1,
116889654829,1,2,2,1,1,1,
