,W-0,R-0,R-1,R-2,R-3,R-4,
117793167170,1,1,1,1,1,1,
117794667170,1,2,2,2,2,2,
117795667170,1,2,2,1,2,1,
117796667170,1,2,1,1,1,1,
117797667170,1,2,1,1,1,1,
117798167170,1,2,1,2,2,2,
117798667170,1,2,1,1,1,1,
117799167170,1,2,2,1,1,1,
117799667170,1,2,1,1,1,1,
117800167170,1,2,1,1,1,1,
117801667170,1,2,1,1,1,1,
117802667170,1,2,1,1,1,1,
117803167170,1,2,2,2,2,2,
117803667170,1,2,1,1,1,1,
117804167170,1,2,1,1,1,1,
117804667170,1,2,1,1,1,1,
117805167170,1,2,1,1,1,1,
117805667170,1,2,2,1,1,1,
117806667170,1,2,2,1,1,1,
117807167170,1,2,1,1,1,1,
117807667170,1,2,2,1,1,1,
117808167170,1,2,1,1,1,1,
117809167170,1,2,1,1,1,1,
117810167170,1,2,1,1,1,1,
117810667170,1,2,2,2,1,1,
117812667170,1,2,1,1,2,1,
117813167170,1,2,1,1,1,1,
117813667170,1,2,1,1,1,1,
117814167170,1,2,1,1,1,1,
117814667170,1,2,2,1,2,2,
117817167170,1,2,1,1,1,1,
117818167170,1,2,1,1,1,1,
117818667170,1,2,1,1,1,1,
117819167170,1,2,2,1,1,1,
117819667170,1,2,2,1,1,1,
117820167170,1,2,1,1,1,1,
117821167170,1,2,1,1,1,1,
117821667170,1,2,1,1,1,1,
117822167170,1,2,2,1,1,1,
117824167170,1,2,2,1,1,1,
117824667170,1,2,2,1,1,1,
117826167170,1,2,1,1,1,1,
117826667170,1,2,1,1,1,1,
117827167170,1,2,1,1,1,1,
117827667170,1,2,1,1,1,1,
117828667170,1,2,2,2,2,1,
117830167170,1,2,1,1,1,1,
117830667170,1,2,1,1,1,1,
117831167170,1,2,1,1,1,1,
117832167170,1,2,2,1,1,1,
117833667170,1,2,2,1,1,1,
117834667170,1,2,1,1,1,1,
117836167170,1,2,1,1,1,1,
117836667170,1,2,2,1,1,1,
117837667170,1,2,2,1,1,2,
117838167170,1,2,1,1,1,1,
117839667170,1,2,2,2,2,2,
117840167170,1,2,1,2,1,1,
117840667170,1,2,1,1,1,1,
117841167170,1,2,1,1,1,1,
117843167170,1,2,1,1,1,1,
117845167170,1,2,2,1,2,1,
117845667170,1,2,1,1,1,1,
117847167170,1,2,2,1,1,1,
117848667170,1,2,2,1,1,1,
117851167170,1,2,2,1,1,1,
117851667170,1,2,2,2,1,1,
117852667170,1,2,1,1,1,1,
117853167170,1,2,1,1,1,1,
117853667170,1,2,1,1,1,1,
117854667170,1,2,2,2,1,1,
117857167170,1,2,1,1,1,1,
117857667170,1,2,2,2,2,2,
117858667170,1,2,1,1,1,1,
117859167170,1,2,2,2,2,2,
117859667170,1,2,2,1,1,2,
117860167170,1,2,1,1,1,1,
117862167170,1,2,1,1,1,1,
117863167170,1,2,1,1,1,1,
117865667170,1,2,1,1,1,1,
117866667170,1,2,1,1,1,1,
117867167170,1,2,2,1,1,1,
117869667170,1,2,2,1,1,1,
117870167170,1,2,1,1,1,1,
117871167170,1,2,1,1,1,1,
117873667170,1,2,2,1,1,1,
117875167170,1,2,1,1,1,1,
117875667170,1,2,2,2,2,2,
117876167170,1,2,2,2,1,2,
117876667170,1,2,1,1,1,1,
117877167170,1,2,2,1,1,1,
117877667170,1,2,2,2,2,1,
117878167170,1,2,2,1,1,2,
117879667170,1,2,1,1,1,1,
117880167170,1,2,2,1,1,1,
117880667170,1,2,1,1,1,1,
117883167170,1,2,1,1,1,1,
117883667170,1,2,2,1,1,1,
117884667170,1,2,2,2,2,2,
117885667170,1,2,1,1,1,1,
117886167170,1,2,2,2,1,1,
117886667170,1,2,1,1,1,1,
117887167170,1,2,1,1,1,1,
117889667170,1,2,1,1,2,2,
117891667170,1,2,2,1,1,1,
117892167170,1,2,1,1,1,1,
117892667170,1,2,1,2,1,2,
117893167170,1,2,1,1,1,1,
117893667170,1,2,2,2,1,1,
117894167170,1,2,2,1,1,1,
117895667170,1,2,1,1,1,1,
117896667170,1,2,2,1,1,1,
117897167170,1,2,1,1,1,1,
117897667170,1,2,1,1,1,1,
117898167170,1,2,1,2,2,1,
117899667170,1,2,1,1,1,1,
117900167170,1,2,1,1,1,1,
117901167170,1,2,1,1,1,1,
117903167170,1,2,1,1,1,1,
117904167170,1,2,2,1,1,2,
117905167170,1,2,2,1,1,1,
117906167170,1,2,1,1,1,1,
117906667170,1,2,1,1,1,1,
117908167170,1,2,2,2,2,2,
117910667170,1,2,1,1,1,1,
117911667170,1,2,1,1,1,1,
117914167170,1,2,2,1,1,1,
117914667170,1,2,2,2,2,2,
117915167170,1,2,1,1,1,1,
117915667170,1,2,1,1,1,1,
117917167170,1,2,1,1,1,1,
117917667170,1,2,2,1,1,1,
117918167170,1,2,1,1,1,1,
117920167170,1,2,1,1,1,1,
117921667170,1,2,1,1,1,1,
117922167170,1,2,2,1,1,1,
117922667170,1,2,1,1,1,1,
117923167170,1,2,1,2,1,1,
117923667170,1,2,1,1,1,1,
117924167170,1,2,1,1,1,1,
117924667170,1,2,1,1,1,1,
117926167170,1,2,1,1,1,1,
117927167170,1,2,1,1,1,1,
117927667170,1,2,2,1,1,1,
117928167170,1,2,1,1,1,1,
117928667170,1,2,1,1,1,1,
117929667170,1,2,1,1,1,1,
117930667170,1,2,1,1,1,1,
117931667170,1,2,2,1,1,1,
117932167170,1,2,2,1,1,1,
117932667170,1,2,2,2,1,1,
117935167170,1,2,1,1,1,1,
117937167170,1,2,2,1,1,1,
117938667170,1,2,1,1,1,1,
117940667170,1,2,2,2,2,1,
117941167170,1,2,2,1,1,1,
117942167170,1,2,1,1,1,1,
117943167170,1,2,1,1,1,1,
117943667170,1,2,1,1,1,1,
117944167170,1,2,1,1,1,1,
117946667170,1,2,1,1,1,1,
117947667170,1,2,1,2,1,1,
117949167170,1,2,2,1,1,1,
117951667170,1,2,2,2,2,2,
117953167170,1,2,1,1,1,1,
117954667170,1,2,2,1,1,1,
117956167170,1,2,2,2,2,1,
117957667170,1,2,1,1,1,1,
117958167170,1,2,1,1,1,1,
117958667170,1,2,2,1,1,1,
117959167170,1,2,2,2,2,1,
117959667170,1,2,1,1,1,1,
117960667170,1,2,1,1,1,1,
117961167170,1,2,1,1,1,1,
117961667170,1,2,1,1,1,1,
117962667170,1,2,1,1,1,1,
117964667170,1,2,1,1,1,1,
117965667170,1,2,1,1,1,1,
117968667170,1,2,2,2,2,2,
117969167170,1,2,1,2,1,1,
117970167170,1,2,2,1,1,2,
117971667170,1,2,2,1,1,1,
117972167170,1,2,2,2,2,1,
117972667170,1,2,2,1,1,1,
117973167170,1,2,2,1,1,1,
117974167170,1,2,2,1,1,1,
117975167170,1,2,2,1,1,2,
117975667170,1,2,1,1,1,1,
117976667170,1,2,2,1,1,1,
117978167170,1,2,1,1,1,1,
117978667170,1,2,1,1,1,1,
117979667170,1,2,1,1,1,1,
117980167170,1,2,1,1,1,1,
117980667170,1,2,2,2,2,1,
117981167170,1,2,1,1,1,1,
117983167170,1,2,1,1,1,1,
117983667170,1,2,1,1,2,2,
117985167170,1,2,1,2,1,1,
117985667170,1,2,2,1,1,1,
117986167170,1,2,2,1,1,1,
