,W-0,R-0,R-1,R-2,R-3,R-4,
125531813315,35667,21426,21807,12037,13273,13791,
125533313315,300000,14470,5852,5641,6947,8993,
125534313315,178556,13540,36151,5045,20523,20231,
125535313315,300000,23840,3218,4915,18152,9251,
125536313315,NULL,NULL,NULL,NULL,NULL,NULL,
125536813315,99037,61396,70153,60341,59968,60386,
125537313315,300000,12398,3247,4899,7076,8845,
125537813315,NULL,NULL,NULL,NULL,NULL,NULL,
125538313315,32535,12973,11965,11059,15452,14055,
125538813315,47800,12389,12882,11597,13303,11013,
125540313315,53006,1357,2916,48931,18596,42874,
125541313315,21124,12068,2951,4842,6835,8976,
125541813315,40519,11908,14232,4933,7035,8939,
125542313315,15934,11960,2996,16255,7209,8838,
125542813315,22758,11868,2898,4856,6831,8830,
125543313315,46554,12385,3359,5044,6970,9187,
125543813315,52936,12918,3009,4965,6917,9001,
125544313315,16901,12164,3016,4896,6941,8898,
125545313315,31924,12796,2893,4903,6984,8883,
125545813315,46927,12197,3092,4861,6858,9010,
125546313315,15550,11741,3104,4928,6838,9137,
125546813315,25062,11779,2904,4942,6955,8955,
125547813315,23765,11836,2948,4818,6999,8897,
125548813315,35057,1331,2889,4949,6825,8922,
125549313315,24717,11955,14622,5096,6907,9000,
125551313315,30825,11537,3147,5318,6827,8924,
125551813315,29044,7075,7843,7566,7230,9443,
125552313315,21300,1126,3072,4775,6861,10760,
125552813315,19293,12337,2894,4772,6876,9101,
125553313315,16517,11722,13582,4914,6956,8912,
125555813315,184434,110608,112088,125174,115820,129336,
125556813315,49003,11841,2996,4984,7055,9142,
125557313315,36230,12141,3164,4835,6791,8911,
125557813315,11057,12244,2870,4869,6919,8846,
125558313315,25842,1932,2825,4910,6831,8764,
125558813315,110366,11942,14228,4833,6851,8948,
125559813315,36735,12253,2811,4790,6621,8852,
125560313315,78872,3157,2931,4767,6717,8808,
125560813315,35459,12643,2845,4854,6862,9277,
125562813315,62343,11879,2813,4775,6959,8781,
125563313315,21221,1465,3012,4676,6805,8801,
125564813315,14607,1678,2993,4835,6960,8942,
125565313315,29344,12126,2952,4748,6855,8812,
125565813315,21381,12087,13787,4818,6756,8806,
125566313315,30448,11770,13500,4848,6783,8798,
125567313315,45774,12164,13636,4743,6735,41429,
125568813315,122422,87811,90103,91219,82356,94818,
125569313315,78114,11974,13797,4867,6933,8946,
125569813315,116582,22475,2862,15953,7555,8852,
125570813315,27243,11855,13735,4911,6751,8912,
125572313315,27178,11875,13863,4896,6856,8805,
125573313315,39398,11887,13547,15575,6896,8948,
125574813315,45516,1395,2673,4794,6786,8928,
125575313315,21313,11938,2904,4683,6803,8864,
125576313315,33401,12415,2908,5060,6861,8799,
125576813315,48335,12096,3618,5055,7018,8925,
125578313315,36364,12180,2862,4822,6815,8835,
125578813315,34772,11806,2853,4790,6612,8662,
125579313315,26360,11934,3035,4883,6790,8919,
125579813315,24316,1144,2870,4662,6850,9649,
125581813315,39897,11838,24893,15997,17542,19488,
125583813315,43045,11826,2838,4843,6876,8828,
125584313315,40915,1594,3440,4806,6792,8970,
125585813315,45488,12011,3011,5135,6808,8824,
125587313315,83085,12022,13669,4850,6763,8887,
125589813315,22284,1321,2862,15466,17570,8929,
125590313315,15207,12001,3028,5329,6785,8871,
125591313315,46471,11957,3078,4900,6958,8982,
125591813315,48364,11848,2855,4978,6865,8827,
125592313315,29067,1313,3038,4863,6842,8803,
125593313315,29464,11721,2752,4743,6818,8818,
125595813315,35354,11626,2873,4806,6761,8731,
125596313315,10453,12681,15392,5116,7024,8959,
125597313315,42504,11865,2953,4895,17650,19664,
125597813315,29515,11789,2831,28883,6755,8798,
125598313315,55219,1135,2725,4945,6848,8898,
125598813315,36061,1190,13670,15845,17388,19534,
125600813315,36647,11778,3385,4989,6670,8854,
125601813315,28002,11362,2810,4888,6767,19606,
125604313315,17570,11817,2879,4824,6822,8875,
125605313315,103184,11973,3010,4810,6850,8842,
125605813315,72980,20872,21094,20954,20534,30977,
125608313315,29169,11943,2762,5128,6818,8876,
125608813315,43407,11805,13268,4733,6588,8581,
125609813315,55888,2025,2865,4868,6732,8656,
125612313315,17300,1210,2893,4811,6764,8803,
125613813315,23948,11820,2907,4744,6764,8954,
125614313315,39922,11843,2859,4858,6848,8810,
125614813315,57875,11901,3061,4830,7091,8851,
125615313315,300000,11991,13812,4822,17881,8812,
125615813315,67333,12009,2960,4846,6888,8964,
125616313315,11287,12287,2833,4918,6948,8918,
125616813315,31337,12098,2898,4772,6961,8986,
125618313315,24642,11557,2962,4794,6794,8853,
125618813315,35202,11873,2897,4860,6821,8847,
