,W-0,R-0,R-1,R-2,R-3,R-4,
126126196843,49946,16806,5671,6540,8627,14124,
126127696843,23375,12383,3112,5697,7116,9086,
126128696843,22374,11964,3041,4948,6931,8972,
126129696843,91960,12235,2917,5042,7054,9318,
126130696843,78680,34520,34325,34970,34817,35531,
126131196843,13443,12141,3437,5119,6928,9050,
126131696843,28482,1374,2938,5017,6945,8896,
126132196843,38417,1512,3728,5278,7198,8971,
126132696843,54400,12064,3445,4962,6999,8920,
126133196843,39792,12017,3008,5145,7121,8987,
126134696843,10150,11921,2979,5140,7033,8900,
126135696843,39549,1603,3074,4920,6870,8807,
126136196843,55008,1363,3006,5021,6890,8863,
126136696843,13491,1403,2865,4881,6935,9302,
126137196843,22074,1407,2993,5014,6910,8951,
126137696843,44677,12144,3091,6776,7222,8977,
126138196843,128100,12219,3000,4896,6798,8867,
126138696843,64821,1453,2952,5081,7341,9362,
126139696843,14125,1781,2908,5078,6898,8874,
126140196843,17482,1557,2998,5083,7062,9086,
126140696843,49590,1586,2988,5324,6984,9107,
126141196843,64805,1470,3059,4932,6962,8939,
126142196843,19857,11842,2916,5737,6981,8844,
126143196843,16334,1320,3105,5077,6858,8895,
126143696843,37468,1502,2927,4934,6953,9041,
126145696843,22418,1409,3043,4954,7249,9089,
126146196843,25988,1614,3025,5527,6935,9257,
126146696843,12573,1467,2854,4853,6870,8868,
126147196843,38875,2156,3503,5129,7082,9371,
126147696843,25578,1592,3103,4862,6833,8835,
126150196843,15504,12548,2923,4959,6844,8849,
126151196843,23613,1436,2883,4826,6827,8949,
126151696843,34875,12137,3052,4913,6864,8893,
126152196843,300000,11904,3092,4877,6812,8816,
126152696843,13533,12113,2986,5080,7024,9116,
126153196843,16347,11831,3088,4814,7425,9804,
126154196843,39903,12385,2946,5063,6838,8805,
126154696843,19810,1473,3020,4948,6944,9671,
126155196843,31337,3659,13985,5016,6929,8949,
126157196843,41719,1561,2998,5098,7067,9141,
126157696843,300000,12474,3116,4981,7082,8974,
126159196843,99070,1805,2997,4860,6820,8757,
126159696843,138951,1416,2857,4907,6764,8826,
126160196843,29687,1960,2771,4829,6874,8878,
126160696843,245834,1575,3102,4884,7915,8936,
126161696843,62820,30715,30959,32130,32030,32378,
126163196843,43760,1381,3008,4875,6938,8799,
126163696843,29638,1273,2915,4890,6753,8866,
126164196843,35355,1365,3020,5828,6980,9062,
126165196843,24727,1552,3119,4860,6738,8921,
126166696843,46754,1534,3012,4923,6763,8868,
126167696843,39713,11983,2968,4870,7437,8938,
126169196843,23434,1638,3070,5230,6893,8830,
126169696843,17680,1539,3096,5017,7056,9125,
126170696843,40500,1451,2925,4764,6864,9031,
126171196843,18050,11667,3006,4881,6713,8885,
126172696843,155996,1511,2840,4974,6930,8943,
126173196843,43298,1358,3021,5094,6913,8781,
126173696843,139707,1526,3064,5151,6850,8983,
126174196843,263728,104498,104854,103722,104740,105199,
126176196843,92659,1133,2790,4876,7423,8854,
126178196843,70892,2715,3338,5154,6976,9066,
126178696843,22837,11750,2976,4893,6825,8818,
126180196843,172302,12268,3133,5090,6974,8941,
126181696843,300000,12449,3092,5068,6927,9100,
126184196843,15463,1355,2929,4841,6855,8753,
126184696843,45734,1530,2897,5075,6778,8865,
126185696843,13139,1411,3061,4877,6900,8911,
126186196843,50746,6946,6505,6828,7254,9752,
126186696843,27684,1356,3274,4912,6811,8768,
126187696843,58395,1998,2913,4815,7555,9375,
126190196843,75303,12432,3017,4923,6975,9063,
126190696843,46680,1319,2943,5025,6887,8910,
126191696843,25904,11777,2951,5087,6874,8858,
126192196843,40504,11858,2908,4887,6799,8890,
126192696843,16711,11844,2937,4812,6718,8755,
126193196843,77525,1361,3008,4858,6818,8841,
126195196843,14919,1379,2875,5003,6836,9151,
126196196843,68079,11872,3059,4953,6892,8838,
126198696843,28924,1424,2851,4761,6793,8848,
126199696843,35678,11884,2931,4962,6810,8923,
126200196843,27583,1367,2893,4950,6879,8893,
126202696843,46523,12076,2794,5033,6961,8919,
126203196843,174824,1463,3206,5142,6944,8950,
126204196843,33482,12153,2977,4841,6801,8942,
126206696843,42853,11766,3053,4873,6819,8802,
126208196843,44521,1462,2972,4885,6911,8774,
126208696843,82637,11786,2919,4800,6856,8889,
126209196843,17471,11913,2799,4763,6735,8745,
126209696843,26440,1484,2972,4750,6724,8915,
126210196843,19108,12515,3237,4935,6872,8793,
126210696843,63195,1356,2805,4764,6751,8905,
126211196843,19876,1423,2880,4766,6787,8778,
126212696843,13806,1553,3219,7002,8068,9011,
126213196843,40416,1419,2903,4865,6791,8793,
126213696843,25046,1516,2999,5096,7021,9020,
126216196843,10326,1347,2782,4852,6836,8883,
126216696843,98578,12303,2886,4726,6782,9044,
126217696843,49112,12048,3106,5028,6893,9465,
126218696843,27873,1633,3152,4908,6924,8856,
126219196843,54764,1271,2943,4852,6813,9422,
126219696843,23601,11916,2988,5038,7145,9063,
126220196843,26782,1248,2706,4845,6716,8835,
126222696843,33062,11740,2976,4831,6753,8828,
126224696843,53509,1764,2884,5058,6819,9309,
126225196843,28038,1341,2870,4782,6823,8789,
126225696843,27117,1280,2816,4848,6855,8764,
126226196843,37394,11739,3816,4983,6803,8927,
126226696843,43966,11753,3286,4892,6707,8766,
126227196843,21086,13354,3007,4795,6770,8746,
126228696843,29828,12021,2921,4937,6899,8943,
126229696843,25621,1436,3074,4743,6965,8959,
126230196843,19978,1349,2905,4929,6850,8849,
126230696843,12987,12042,2948,5353,6970,8942,
126231196843,32872,1448,2868,5019,6932,10148,
126232696843,16115,11995,2836,5249,7037,8850,
126233196843,30633,11669,2753,5345,6747,8801,
126234196843,43657,1211,3010,5042,6800,8787,
126236196843,46545,12652,2978,4855,7125,9040,
126237196843,70814,11810,2968,4896,6779,8806,
126238196843,32411,1305,2790,4886,7365,8709,
126239196843,13236,1594,2917,4820,6647,8778,
126239696843,59783,1336,2928,4811,6789,9250,
126241196843,35874,11831,2857,4825,6883,8918,
126243696843,48031,11728,2874,4862,6700,8731,
126244696843,49548,11766,2812,4974,6841,8822,
126247196843,22640,1631,2982,4936,6754,8801,
126247696843,43787,1550,2944,4736,6759,8832,
126248196843,29495,1297,2872,4903,6771,8825,
126248696843,43979,1274,2939,5114,6959,9066,
126250196843,21832,1329,2822,4926,6792,8813,
126250696843,42374,1258,2948,4991,6686,8740,
126251196843,23267,1130,3059,4908,6824,8843,
126253196843,54991,1408,3021,6394,7148,9044,
126254696843,126005,1370,2992,4945,6958,8843,
126255196843,34915,1553,3046,4892,6955,9027,
126255696843,43486,1693,2922,4864,6795,8893,
126256196843,26371,1606,3033,5225,6880,9051,
126256696843,45131,11584,3327,5024,9991,9664,
126257196843,14682,1616,3227,4819,6847,8849,
126257696843,85441,1554,3034,5255,7106,9054,
126259196843,11597,12032,2819,5031,6917,8975,
126260196843,81569,1397,2894,4829,6901,8898,
126260696843,76627,1452,2835,5117,6858,8901,
126261196843,33851,1239,3084,4918,6878,8746,
126261696843,41791,1494,2966,4803,6740,8975,
126262696843,10632,1432,2924,4887,6904,8855,
126263696843,112454,1384,2936,4818,6925,8849,
126264696843,35959,11730,2864,4863,6784,8826,
126265196843,51335,1480,2883,5026,6936,9045,
126265696843,25946,11810,2929,4913,6748,8860,
126268196843,31556,1444,3249,5394,6929,9146,
126270196843,11515,1504,2899,4776,7041,9198,
126271696843,127460,1658,2905,5038,6839,8779,
126273696843,18803,1307,2999,4899,6771,8826,
126274196843,34040,11919,2774,4825,6823,9424,
126275196843,242288,1596,3056,4932,6902,9018,
126276196843,141416,11864,2930,4857,6814,9071,
126276696843,300000,1639,3257,5030,6950,9020,
126277196843,158451,11943,3213,5135,6973,9083,
126279696843,26951,1374,2986,4896,6838,8921,
126280696843,24507,12083,3052,5058,6960,9030,
126282196843,300000,1543,2811,5308,6813,9025,
126284696843,46460,1261,2808,7889,8506,8839,
126286196843,44835,12531,5320,6940,7129,9241,
126287696843,26041,1425,2986,4919,6851,8989,
126289196843,23272,1328,3140,4901,6799,8982,
126290696843,24435,1504,2744,5105,6951,8945,
126291196843,27540,1427,2803,4859,7060,9010,
126291696843,31549,1440,3040,5063,7043,8832,
126292196843,44785,12460,3476,4894,7436,8905,
126292696843,39578,1357,2751,4766,6864,9048,
126293696843,41777,1491,2858,5310,6898,8945,
126294196843,46010,1394,2809,4985,6910,8852,
126294696843,61643,1303,2761,4776,6740,8805,
126295696843,20048,12090,2835,4815,6810,8782,
126297696843,122042,1292,2900,4989,6863,8749,
126298696843,53505,1651,3408,5415,6890,9069,
126301696843,9905,11891,2907,4904,6879,9549,
126302196843,35532,1320,6610,7507,7411,8999,
126303196843,15362,11995,2975,4786,6950,8753,
126304696843,41687,12315,3055,4815,6756,8780,
126305196843,42340,1373,2979,4875,6931,8752,
126305696843,64397,1757,3069,5102,7225,9022,
126306196843,107403,11805,2931,4829,6873,8907,
126307196843,12715,11886,2871,5320,7008,8953,
126308196843,59944,11894,3205,4797,6755,9042,
126308696843,19080,11988,2944,5082,6744,8850,
126309696843,50147,1616,2996,5088,7006,8909,
126311196843,12483,1473,2737,4817,6874,8942,
126311696843,125700,11853,2968,4929,7556,8848,
126312696843,46151,1347,2820,5038,6739,8748,
126313196843,44156,1391,3142,5106,6792,8737,
126313696843,36629,1290,2944,5244,6869,8848,
126314196843,29766,11924,3089,5016,6995,8816,
126316196843,300000,11547,2988,5686,6999,8779,
126316696843,46402,11884,3079,4819,6710,8759,
126318196843,NULL,NULL,NULL,NULL,NULL,NULL,
126318696843,NULL,NULL,NULL,NULL,NULL,NULL,
126319196843,300000,3003,3825,5441,6787,9000,
126321196843,29662,1526,3031,4817,6940,9391,
126322196843,20962,1473,2792,4772,6814,8802,
126326196843,37872,11853,2889,4792,6767,8818,
126326696843,51786,1133,2777,4767,6833,8884,
126327696843,33068,1380,2795,4747,6690,8711,
126328196843,34271,11636,2758,4955,6822,8821,
126329196843,82836,1288,2797,4787,6826,8887,
126329696843,34534,11673,2841,4874,6688,8846,
126330196843,15304,14030,3849,4709,6784,8866,
126331196843,17519,1425,2890,4880,6853,8899,
126331696843,26239,1578,2984,4804,6767,8842,
126333196843,25475,1741,2859,5065,6833,8826,
126333696843,52085,11896,12483,12086,12615,12387,
126335196843,11371,1374,3011,4954,6817,8717,
126335696843,201663,1286,2759,4959,6855,8849,
126336196843,31117,1568,3302,4843,6976,8820,
126337196843,15335,11704,2909,4968,6889,9009,
126338196843,39734,1509,3032,5063,6866,8966,
126339696843,73830,19862,9507,19770,18475,9378,
126340696843,23377,1265,3316,4967,6771,8756,
126342696843,14612,1473,2874,4797,6729,8972,
126343196843,35596,1462,2840,4919,6798,8831,
126343696843,27614,11556,2847,4820,6730,8825,
126344196843,11408,1606,2991,5197,6865,8917,
126345196843,79866,1688,2975,4970,6980,9277,
126345696843,11529,1456,2958,4844,6753,8734,
126346196843,10377,11561,2986,4890,6800,8715,
