,W-0,R-0,R-1,R-2,R-3,R-4,
127317500212,30337,11342,11576,7736,9325,11036,
127319000212,13371,12618,3119,5133,7036,9160,
127320000212,21754,1438,3452,6721,7149,9395,
127321000212,12277,1355,3161,5079,7089,9100,
127322000212,66750,1963,2959,4943,7047,9043,
127322500212,15538,1563,3087,5090,7065,9059,
127323000212,46444,1598,3019,5047,6920,8912,
127323500212,73094,1612,3542,7305,17485,17728,
127324000212,182298,2498,3014,5112,7021,9030,
127324500212,11252,1842,3041,4902,7923,9628,
127326000212,40413,12276,3096,4908,6926,8943,
127327000212,34432,1456,2923,5037,7053,9066,
127327500212,21605,11952,2919,4971,6959,9077,
127328000212,48143,1620,2970,5004,6943,9022,
127328500212,56701,1457,3151,4990,6981,8987,
127329000212,8296,1292,2976,4999,6988,8907,
127329500212,29349,1353,3108,4905,6941,8967,
127330000212,21948,1495,3055,5001,6952,9006,
127331000212,68397,12784,2875,4964,6913,8886,
127331500212,21701,1328,2938,5144,6986,8958,
127332000212,41728,2592,3183,6030,7135,9088,
127332500212,51347,1316,2977,5088,7416,9204,
127333500212,41079,12113,2997,5578,7212,8957,
127334500212,8718,1766,2970,5075,7076,10024,
127335000212,34203,12363,3098,4863,6914,9041,
127337000212,31525,1533,2984,4884,6883,8870,
127337500212,30026,11865,3589,4975,6979,8880,
127338000212,33322,1224,2994,4913,6870,8783,
127338500212,37859,1623,3166,5329,6950,10556,
127339000212,23581,1379,2957,4856,6982,9389,
127341500212,24279,1417,2749,4869,6849,8826,
127342500212,30991,1391,3045,4777,6925,8949,
127343000212,18101,1343,3114,5139,6996,8922,
127343500212,44278,12245,3176,5097,7044,8958,
127344000212,8576,1322,3046,5002,7172,8999,
127344500212,64030,12297,3116,4927,7484,8997,
127345500212,13969,11971,2980,5029,6875,8845,
127346000212,28300,12076,2944,4982,6946,9009,
127346500212,20840,1833,3023,5599,6857,8881,
127348500212,23372,12206,3037,5072,6979,8910,
127349000212,67559,69680,3002,4962,6942,9124,
127350500212,127950,1636,3194,5155,6960,8933,
127351000212,137188,13848,3416,5060,7139,8969,
127351500212,161932,12336,2977,4878,7169,9049,
127352000212,48884,1665,3090,4914,7160,8948,
127353000212,13166,11865,2856,4785,6936,8880,
127354500212,75930,1297,2870,4770,6726,8784,
127355000212,165949,1658,3088,4923,7111,9059,
127355500212,18995,1310,2881,5082,6924,9105,
127356500212,20953,1543,4040,4965,6972,8965,
127358000212,19714,1388,3043,4891,6764,8772,
127359000212,44053,1320,3087,4886,7242,8977,
127360500212,48440,1298,3139,4966,7018,8967,
127361000212,23655,1337,2936,4916,6841,8835,
127362000212,36222,12442,3393,4954,7182,9569,
127362500212,29015,1424,3039,4922,6760,8764,
127364000212,43068,1355,3034,4777,6715,8934,
127364500212,14051,1447,3129,4922,6925,8939,
127365000212,147557,1338,2998,4954,6907,9043,
127365500212,36455,1364,3097,4942,6960,8920,
127367500212,27589,1513,3071,5024,7324,9012,
127369500212,19386,1492,3142,4919,6979,8867,
127370000212,45331,1607,3191,4856,6779,9095,
127371500212,50272,1518,3058,4984,7033,9017,
127373000212,21129,12296,2984,4878,6765,8787,
127375500212,39283,1386,2872,4922,6940,8785,
127376000212,37082,1397,3057,4831,6709,8914,
127377000212,20322,1296,2770,4847,6859,8772,
127377500212,14220,1264,3016,4980,7001,8938,
127378000212,29951,1274,2994,4994,6974,9042,
127379000212,23891,11945,3124,4876,6934,9282,
127381500212,53044,1860,2966,4906,7144,8972,
127382000212,39742,11901,2917,4893,6749,8767,
127383000212,23292,1401,3053,5073,6986,8860,
127383500212,52592,1331,3031,5142,7038,8979,
127384000212,41615,1304,2864,5647,6936,9055,
127384500212,31722,1481,2940,4887,6739,8875,
127386500212,36076,12025,3010,4983,6839,8829,
127387500212,96060,1306,2999,5330,6944,9202,
127390000212,38056,1527,3042,5104,6972,8778,
127391000212,6676,1257,2952,4881,6966,8883,
127391500212,33435,1108,2936,4874,6917,8751,
127394000212,17332,1514,2722,4662,7171,8759,
127394500212,34026,11830,2947,5082,7061,8730,
127395500212,44691,11723,2889,4907,6869,8720,
127398000212,33516,12625,2940,4958,6893,9010,
127399500212,27060,11941,3311,5268,8376,8916,
127400000212,42913,11833,2842,4900,7022,9093,
127400500212,13161,12356,3297,4999,7043,8978,
127401000212,16553,1586,3075,4968,7060,8948,
127401500212,30552,1244,2880,4772,6863,8874,
127402000212,51633,1314,2900,4933,6738,9033,
127402500212,15446,1276,2914,4879,7023,8971,
127404000212,20930,1206,2945,4877,6857,8934,
127404500212,53456,11924,3051,4918,6726,8840,
127405000212,68736,1332,3078,4928,6918,8959,
127407500212,17332,2023,3246,5161,7051,8931,
127408000212,8033,11700,2919,4821,6788,8898,
127409000212,18680,13003,3020,4983,6977,8759,
127410000212,59937,11942,3041,4872,6912,8919,
127410500212,46344,1468,2986,5121,6897,8930,
127411000212,15352,1100,2893,4849,7046,8932,
127411500212,42013,11861,3036,5056,6867,9019,
127414000212,24767,1304,2837,4907,6930,8743,
127416000212,46499,12088,3019,4916,6925,8776,
127416500212,52260,1310,2943,4953,6774,9107,
127417000212,11094,11774,2916,4914,7034,8847,
127417500212,14622,12125,3098,5016,7158,9151,
127418000212,54096,1160,2708,4698,6865,8905,
127418500212,45151,11855,3166,5287,7088,8933,
127420000212,147129,1190,2761,4976,6955,8857,
127421000212,57174,11921,2824,4786,6894,8888,
127421500212,54893,1375,3125,5077,7057,9636,
127422000212,46923,11936,3030,4763,7705,8858,
127422500212,32767,1362,2933,4737,6920,8995,
127424000212,115729,1077,2973,4885,6983,8921,
127424500212,45884,2381,2903,4872,6898,8896,
127425500212,19865,1281,2900,5018,6900,9005,
127427500212,28161,1114,3081,4939,6920,8928,
127428500212,11209,1537,2831,4884,6950,8883,
127429500212,31837,12266,3180,5066,6967,9070,
127430500212,10084,3070,3841,5055,6913,8872,
127431000212,24410,1401,2955,5086,7017,9267,
127432500212,13198,1654,3094,5015,6969,8904,
127435000212,31497,1418,2913,5909,6856,8707,
127436000212,300000,1192,2976,6343,6832,8820,
127438500212,32967,15057,3029,4906,6767,9442,
127439000212,157103,1476,2882,4990,6991,8908,
127439500212,58395,1508,2914,4989,6773,8924,
127440000212,15721,1572,2833,4915,6752,8748,
127441500212,25700,1463,2973,4822,6944,8694,
127442000212,27995,11898,3010,4984,6905,9058,
127442500212,10560,1322,2849,10239,10142,10685,
127444500212,29873,1470,2943,4965,6895,9422,
127446000212,22246,1230,2911,4939,6885,8811,
127446500212,53949,1455,3405,4905,6834,8935,
127447000212,64995,2062,3066,5127,7039,9127,
127447500212,34211,1492,3394,5276,7051,8941,
127448000212,175612,14904,2871,4994,6865,9012,
127448500212,31076,1519,2827,4855,6949,8932,
127449000212,46052,1733,4452,5394,6889,9534,
127450500212,63050,1422,2930,4896,6939,10021,
127451500212,86551,1287,2903,4932,6874,8896,
127452000212,44314,12774,2988,4883,6767,8783,
127452500212,32456,11872,3235,4833,6979,8921,
127453000212,18208,1206,2980,4921,6932,8896,
127454000212,59151,1360,3050,5076,6759,8953,
