,W-0,R-0,R-1,R-2,R-3,R-4,
129104557067,45019,24904,57287,10993,45479,11650,
129106057067,47402,12733,3133,5068,7335,8974,
129107057067,14124,12169,15028,5086,24211,25675,
129108057067,36076,12549,14041,16214,6972,9066,
129109057067,37216,12377,2897,15674,18221,8973,
129109557067,47674,12118,3925,4930,6883,8813,
129110057067,92296,12058,13897,5064,7053,8999,
129110557067,49120,12379,3180,5110,7202,9155,
129111057067,22991,12175,13978,5010,6806,8895,
129111557067,39229,12666,3122,4929,6888,8983,
129113057067,38829,12604,3075,5002,6824,9172,
129114057067,44042,12145,3025,4895,6787,8870,
129114557067,21359,12932,3070,4884,6810,8899,
129115057067,41548,12724,5422,5684,7298,9011,
129115557067,129874,12247,14423,5152,17981,9113,
129116057067,17689,12070,3093,5164,7034,9097,
129116557067,33486,12446,2928,5054,6930,8885,
129117057067,42608,11932,3008,4889,6891,8901,
129118057067,38299,12275,3210,4863,6986,8872,
129118557067,43462,12325,2983,5035,6809,9111,
129119057067,16481,12075,13880,4990,7066,8889,
129119557067,22352,11989,2916,5063,6842,8905,
129120557067,39331,12505,3109,5024,7022,8881,
129121557067,40243,12248,14000,4922,7024,8906,
129122057067,28798,12759,3200,5181,6998,9026,
129124057067,35238,13046,2899,15749,17811,8844,
129124557067,50069,12168,16465,16243,7147,8816,
129125057067,111428,12150,2898,5151,7132,9426,
129125557067,23015,11828,2870,5025,6884,8851,
129126057067,16532,12977,3307,4891,6983,8895,
129128557067,21666,12461,3070,5056,6991,9291,
129129557067,12798,12064,2982,4837,6861,8897,
129130057067,300000,23732,14324,16224,18170,9343,
129130557067,151770,12486,3139,5130,7095,9052,
129131057067,300000,23220,25053,5109,7160,9184,
129131557067,204789,12521,14025,5272,6999,8896,
129132557067,187397,56888,14259,27040,7175,9160,
129133057067,214239,34027,14231,5079,106780,9110,
129133557067,193091,12208,3024,5171,6799,8931,
129135557067,24496,11633,3030,4920,6872,8814,
129136057067,49904,12080,2851,5141,6973,8982,
129137557067,142888,55987,58095,59507,64302,64467,
129138057067,155468,35471,57886,5856,39789,8858,
129138557067,39995,11974,2864,4849,6771,8868,
129139057067,46674,11760,2810,4891,6806,8853,
129140057067,31130,12134,13897,4883,28769,19890,
129141557067,15472,13046,24738,16077,18064,20170,
129142057067,46912,11985,3023,4902,6976,9323,
129142557067,20226,12212,3082,16278,18288,20487,
129143557067,92888,12414,3042,16086,18105,8840,
129145057067,152223,12211,3143,5116,6847,9146,
129146057067,27530,11875,2911,4886,6735,8877,
129147557067,23540,11912,2903,4886,6810,8837,
129148057067,52247,12621,3129,16328,7244,20166,
129149057067,28296,13306,3213,5098,7120,8886,
129149557067,22667,11847,13670,4820,6804,8839,
129151057067,93296,12105,2806,4809,6971,8893,
129151557067,39187,11923,13788,15732,17636,9009,
129152057067,33303,12170,3018,5148,6784,8924,
129152557067,52842,11597,13663,15857,17533,9196,
129154557067,43706,12150,14073,5091,6906,8906,
129156557067,22419,12216,3078,4914,6886,8910,
129157057067,37779,12135,3114,4975,6820,8912,
129158557067,31830,11641,2857,5072,6869,8728,
129160057067,8284,12299,2894,5617,7378,9213,
129162557067,30812,12472,3010,5522,6817,8689,
129163057067,32211,11982,14638,5016,6868,9010,
129164057067,41312,12135,13814,4721,7076,8875,
129164557067,55600,14667,14592,4932,6778,8827,
129165057067,32274,12270,3147,4871,6756,8852,
129166057067,27693,11693,2824,4837,6862,9330,
129168557067,70746,11693,2894,4795,17814,8852,
129169057067,101470,12641,2787,5093,6974,8891,
129170057067,66924,11852,2819,4878,6819,8791,
129170557067,24586,13187,3137,4777,6860,9011,
129171057067,22422,12058,2879,4863,6879,8805,
129171557067,26058,11859,13761,4904,6799,8991,
129173557067,34559,12247,2973,4825,6755,8791,
129174557067,42665,12295,2896,4916,6793,8777,
129177057067,8170,11786,3049,5017,6884,8910,
129178057067,37680,12203,3013,16344,6876,8740,
129178557067,24409,12484,3064,5201,6903,8830,
129181057067,48069,12001,2916,4905,7397,8974,
129181557067,30745,12197,13838,4836,6978,9077,
129182557067,38345,12003,2859,5083,6907,8871,
129185057067,42036,12325,2922,4837,6757,8816,
129186557067,35446,12066,2981,4914,6980,9117,
129187057067,16426,12072,13579,15806,6757,8873,
129187557067,31221,11752,2881,4863,6786,8773,
129188057067,35153,11864,3021,5068,6908,8696,
129188557067,44409,11856,13903,4833,6710,8779,
129189057067,35444,12027,2992,4842,6693,8894,
129189557067,35127,11839,2841,4795,6729,8765,
129191057067,16062,12079,14011,5124,6777,8811,
129191557067,48468,12032,13620,4810,6845,8922,
129192057067,29329,12090,3027,4884,6876,9019,
129194557067,177325,110731,100891,103445,107264,107762,
129195057067,171808,12245,3020,5038,6986,9125,
129196057067,48243,11612,3045,5011,6860,9387,
129197057067,38767,11870,2839,5019,6891,8856,
129197557067,45206,12408,14082,15841,17644,21296,
129198057067,20920,11904,2813,4823,6782,8864,
129198557067,35367,12016,3308,5234,6841,8841,
129201057067,46128,11806,24277,15514,6764,9134,
129203057067,52717,12135,2778,5006,7053,8884,
129203557067,52573,11639,2795,15698,6798,8789,
129204057067,62179,11838,2822,4746,6708,9114,
129204557067,30812,11785,2978,15482,17614,19487,
129205057067,132441,12533,13973,15662,17780,9155,
129205557067,15612,12535,13728,15775,17699,19614,
129207057067,14531,13033,2764,4888,6859,9129,
129208057067,37503,11985,2855,4843,7018,8902,
129208557067,25850,11918,3008,4840,6803,8793,
129209057067,47062,12659,3108,5013,6921,8992,
129209557067,38983,11605,2744,5181,6968,8811,
129211057067,15255,12062,3058,4824,6715,8857,
129211557067,19203,11787,13759,4730,6726,8832,
129212557067,31486,11967,2925,4871,6889,9031,
129214557067,23417,12004,2919,4967,7159,8916,
129215557067,37537,12129,13619,4819,6742,10245,
129216557067,35252,12033,2912,4870,6724,8830,
129217557067,21653,12080,2921,4927,6744,8759,
129218057067,42362,11779,13501,4836,6834,8928,
129219557067,96563,12076,3090,4812,6837,8879,
129222057067,41294,12147,2792,4980,7067,9009,
129223057067,38230,11838,7865,7093,6904,9188,
129225557067,28702,11730,2822,5170,6730,8750,
129226057067,26586,11619,2925,4971,6708,8834,
129226557067,43300,23560,13681,15535,7005,19634,
129227057067,58709,11775,2720,4721,6901,8902,
129228557067,27134,12068,3063,4820,7001,8918,
129229057067,42226,11997,2926,4810,6842,9000,
129229557067,22471,11826,2984,4739,6708,8781,
129231557067,22228,12183,2827,4846,6758,8819,
129233057067,12342,11743,2845,4860,6795,8886,
129233557067,35330,11864,13793,15634,6733,20454,
129234057067,41375,12044,3012,5032,6853,8817,
129234557067,20903,12207,3009,4805,6731,8725,
129235057067,47134,11808,13647,4902,6833,8718,
129235557067,50377,12170,13830,15851,7390,9096,
129236057067,15858,11920,2793,4813,6874,8752,
129237557067,95308,12309,3115,4869,6821,9052,
129238557067,50094,11923,13582,4731,6916,9123,
129239057067,36747,12036,2855,4983,6784,8757,
129239557067,34659,12393,3084,5401,6750,9054,
129240057067,21345,12112,2801,5049,6804,8734,
129241057067,34747,12047,3267,4988,7049,9035,
129242057067,13144,12136,2992,4747,6817,8895,
129243057067,37190,11716,2799,4818,6824,8790,
129243557067,18188,12186,3156,5194,7018,8886,
129244057067,55580,12010,2774,4758,6853,8796,
129246557067,16857,11927,2997,4867,6809,8875,
129248557067,36794,12108,2888,4758,6920,9045,
129250057067,42922,12093,3302,4892,6852,8711,
129252057067,45640,12250,2813,5092,7024,8923,
129252557067,27294,12066,2994,4825,6974,8769,
129253557067,17308,11908,2762,4814,6877,8847,
129254557067,19612,12093,2801,4986,6909,8756,
129255057067,110422,12420,2884,4909,6819,8863,
129255557067,38815,11661,2806,4810,6827,9039,
129258057067,37515,12149,3200,5224,6825,9049,
129259057067,27339,13168,3166,5039,7190,9075,
129260557067,136575,12505,14135,15656,7081,8867,
129263057067,82307,12229,2912,5149,7085,9653,
129264557067,17090,11981,13678,15707,6783,8904,
129266057067,47603,11899,2856,4857,6848,8772,
129267557067,9614,11981,13626,4904,6752,9700,
129269057067,152555,12706,13989,37426,61916,9482,
129269557067,25701,23195,46379,27092,28970,20136,
129270057067,17183,12437,14099,16220,18094,19928,
129270557067,32020,11775,2827,16016,28180,8827,
129271057067,31107,12027,3126,5092,6888,8990,
129272057067,116634,12169,13771,15840,17842,8804,
129272557067,53990,12115,3268,5214,7060,9109,
129273057067,31405,12005,2971,5261,6862,8868,
129274057067,129684,12244,2909,5019,6899,8915,
129276057067,NULL,NULL,NULL,NULL,NULL,NULL,
129277057067,300000,33649,3312,37158,6767,8753,
129280057067,37244,33640,35095,37359,28610,31307,
129280557067,27466,12082,2776,4818,6777,9106,
129281557067,283477,12526,35259,16090,28689,42008,
129283057067,49408,12128,3064,4850,6674,8734,
129283557067,7437,11804,3007,4830,6816,8765,
129284057067,57442,12246,13837,4831,6899,8930,
129284557067,19648,11919,2997,4863,6717,8834,
129285557067,37555,11894,2990,4774,6748,8834,
129286557067,40264,12118,3334,5326,6870,9245,
129287057067,30730,11797,13688,5157,6987,9024,
129288057067,23846,12130,13573,4846,6804,8820,
129289557067,52414,11996,3449,4866,6828,9078,
129290057067,105350,12126,2886,5103,7021,9130,
129291057067,50987,11806,13847,4866,6853,8836,
129291557067,18545,12041,2927,5101,6919,8856,
129292057067,48613,12063,2976,4750,6778,8754,
129292557067,29053,12039,3039,16091,6803,8823,
129294557067,23646,11897,13920,5045,6891,8912,
129295057067,210237,12209,3098,4988,7058,9072,
129296557067,26893,12264,3001,4993,6791,8838,
129297057067,51927,12016,14048,4805,6867,8895,
129297557067,56510,11744,13794,5016,18078,19620,
129299557067,41603,11677,2773,4748,6845,8871,
129300557067,31475,11986,2784,4781,6801,8877,
129304557067,38745,11773,2892,4862,6758,8986,
129305057067,128393,12188,3099,26526,17663,8913,
129306057067,43361,11552,2831,5051,6868,9041,
129306557067,18237,11758,2908,5053,6812,8858,
129307557067,56738,11909,2808,4796,6709,8910,
129308057067,40719,11856,2747,15572,6753,8792,
129308557067,15929,12635,3052,5128,6866,8734,
129309557067,17619,11836,2795,5357,6873,8893,
129310057067,38609,12185,3030,4833,6834,9894,
129311557067,277912,12110,25016,5158,28709,8902,
129312057067,188906,12293,13881,16054,6984,19918,
129313557067,252131,101729,104414,108083,107480,114858,
129314057067,161710,22733,21155,17657,20516,20859,
129314557067,205113,12115,2875,4906,6760,8857,
129315557067,45800,35017,18648,51799,9707,9554,
129316557067,19043,12622,13709,4725,6753,8859,
129318057067,41712,12141,2852,4988,6830,8833,
129319057067,17025,12247,2750,4840,6784,8830,
129321057067,50204,12231,2967,5001,6811,8756,
129321557067,43164,12252,2979,4868,6932,9845,
129322057067,24437,11855,2898,5142,6721,8716,
129322557067,30453,60476,60258,60321,7292,9008,
129323557067,27665,22771,2845,4817,6723,8770,
129324057067,42861,11647,2813,4780,7004,8754,
129324557067,25688,11719,13575,4838,6885,8806,
129325057067,20766,12233,2925,4874,6898,8920,
129325557067,27068,11731,2839,4782,6752,8822,
129326057067,31429,11700,2783,4878,6820,8713,
129328057067,88621,12794,2848,4786,6740,9150,
129329057067,38069,11848,3000,4965,6926,8900,
129330557067,82237,22629,34849,4792,6861,8799,
129333057067,41644,11745,2895,4735,6655,8715,
129333557067,82730,12276,2850,5096,7142,9003,
129334057067,8804,11625,14768,4827,6832,8718,
129335557067,49668,12137,3289,5075,6703,8730,
129336057067,26905,11889,3003,4861,6772,8822,
129337057067,32129,22822,13559,4782,17800,9126,
129338057067,74458,11990,2898,4905,6830,8849,
129338557067,22345,11987,13478,4742,6701,8699,
129339057067,13996,11971,2826,4758,6712,9846,
129339557067,28574,11613,2930,4781,6967,8756,
129340057067,15775,11822,2776,4797,6871,8734,
129340557067,18573,12076,13443,9036,33790,22049,
129341057067,46919,11849,2791,4770,6810,9457,
129341557067,27574,11793,2688,4742,6710,8716,
129342057067,14778,11903,2917,4686,6724,8753,
129342557067,79251,11809,2932,4842,6848,8864,
129343557067,51711,11844,2843,5049,6849,8764,
129344057067,31739,12054,13492,4747,6789,8809,
129344557067,89779,23009,2905,19634,7209,9182,
129345557067,56260,12549,3073,4866,7232,8915,
129346057067,66721,22614,24649,26584,17624,19518,
129347057067,12775,11691,13672,15604,7041,8723,
129347557067,45145,11908,3075,5115,6991,8783,
129348057067,37175,11972,13722,15539,7019,8841,
129348557067,18078,11835,2903,4798,6721,8749,
129349557067,32499,12032,2878,5038,6732,8740,
129350057067,12818,11885,13689,15594,17392,19544,
129350557067,43504,15842,15427,15518,6794,9291,
129351057067,15603,11873,13439,4868,6846,8748,
129353557067,167626,131292,123046,124647,125716,128179,
129354057067,75053,12202,2990,4975,6826,8913,
129356057067,39858,11968,2823,4884,6869,8717,
129358557067,13292,11885,2862,4902,6991,8871,
129362057067,36259,11907,13611,4788,7005,8730,
129362557067,34519,12215,2961,4803,6865,8814,
129364057067,35665,11855,2907,4853,6675,8748,
129364557067,26332,11987,13602,16027,6892,8686,
129365057067,161805,12014,3023,5132,6697,8768,
129366557067,20670,11880,3024,4740,6646,8719,
129367057067,55487,12106,2861,5120,6738,8788,
129368057067,28347,11843,2901,15818,6754,8696,
129369057067,41261,12279,2766,4907,6792,8768,
129369557067,16051,11680,2738,4740,6794,8747,
129370057067,140342,12006,2924,4829,6807,8765,
129370557067,24173,16465,16620,16703,17987,8839,
129372057067,22365,11896,2758,4746,6732,8929,
129373057067,32827,11706,2753,4735,6785,8746,
129373557067,50111,12111,3079,4915,6790,8775,
129374557067,33102,11989,3061,5122,6708,9014,
129375557067,141696,44261,2713,26368,17853,8931,
129376057067,38710,11705,13577,4881,6919,8728,
129376557067,20405,12232,2910,5249,6871,8891,
129379557067,8228,12193,3092,4988,7114,8836,
129380557067,55867,12283,13670,15684,17627,19705,
129382057067,43878,12094,2931,4996,6791,8928,
129383057067,21621,12147,3125,5016,6970,8853,
129384057067,27165,11981,3028,4719,6861,8618,
129385557067,43329,12056,24684,15753,17744,8848,
129386057067,247803,22888,2877,4869,6797,8798,
129386557067,22336,11841,3048,4837,6748,8915,
129389057067,52181,12148,2808,4773,6752,8792,
129389557067,32448,11752,2915,4859,6689,8896,
129391057067,183729,12164,3367,5036,6877,8823,
129391557067,103420,12043,2858,4788,7115,8884,
129392057067,42311,11877,2852,4792,6870,8815,
129393557067,20719,11586,13635,4840,6975,8833,
129394057067,35813,11909,3120,4761,6974,8870,
129394557067,45059,12005,13495,4814,6717,8658,
129395557067,15683,11789,2818,4848,6769,8884,
129398557067,53248,23340,13772,15737,6731,8713,
129399057067,10853,11862,2805,4852,6786,8834,
129400057067,35214,12483,2726,4702,6687,8839,
129400557067,38565,22756,13656,15675,6804,8789,
129402057067,9794,11620,3073,4836,6752,8802,
129403057067,34394,12079,2850,4766,6853,9049,
129404557067,28797,11872,13508,4772,6741,8717,
129405057067,112499,119135,120010,113026,115068,116033,
129405557067,35642,11925,2872,4728,6814,8783,
129408057067,47430,12414,2906,5321,6823,9014,
129409057067,9232,11784,2931,4801,6671,8857,
129409557067,17354,11790,13472,4879,6751,8779,
129410557067,46901,12038,13819,15929,6675,8863,
129413557067,41141,11980,3018,4906,6744,8810,
129414057067,24346,14230,14052,15597,6769,9048,
129415057067,162695,120498,111032,124057,115195,117426,
129416557067,32502,12057,2910,4898,6718,9126,
129418557067,33151,12194,2769,5220,7026,9086,
129419057067,25243,11811,3080,4876,6904,8810,
129420557067,42240,11883,2807,4818,6751,8796,
129421557067,113313,12523,2990,5071,7068,9147,
129422057067,24077,12038,2918,15576,17483,8855,
129423057067,20567,11599,2863,4810,6752,8745,
129425057067,150695,121783,122708,124227,126200,118091,
129425557067,38191,11750,2883,4811,6813,9250,
129427057067,33765,11981,2860,5031,6873,8875,
129427557067,37131,11487,2887,4836,6741,8852,
129428557067,10845,12052,2868,4710,6759,8845,
129430057067,10734,12045,2819,4774,6720,8740,
129431057067,61213,11736,2742,4909,6980,8656,
129433057067,46830,11661,2798,4806,6764,8809,
129433557067,46090,12078,3042,4881,6807,8865,
129434057067,26877,12054,2716,4842,6783,8891,
129435057067,91696,12311,3064,5154,7037,9055,
129437557067,41202,11722,2796,5424,6990,8879,
129443557067,34103,11799,14052,15546,6789,8793,
129444057067,15533,11904,2821,5215,6906,8868,
129445057067,112831,22515,13436,4710,17575,19528,
129445557067,18860,12275,13583,4863,6832,8790,
129448557067,91142,12075,3239,4892,6789,8727,
129450057067,54813,12242,13765,4967,17866,20054,
129450557067,35302,11746,2926,4794,6784,8835,
129451057067,10201,12121,13599,4775,6843,8703,
129451557067,217363,15409,14929,16188,7180,9066,
129452057067,33700,11656,3114,4726,6851,8755,
129452557067,134326,23146,2757,16065,6995,8742,
129455057067,112137,12106,2771,5169,6830,8892,
129457057067,46276,11883,3003,4749,6924,8868,
129457557067,15375,11644,2732,5344,6680,8766,
129458557067,49551,130626,132725,134279,136768,138663,
129459057067,144749,12270,3044,4761,6915,8821,
129459557067,167262,11751,13996,15702,60446,8856,
129460057067,16287,12140,2848,5206,7184,8890,
129460557067,238116,11980,3067,5057,7151,9061,
129461557067,43069,12001,2748,4838,6742,8841,
129462057067,35233,11807,2999,5041,6675,8990,
129462557067,50296,11831,13349,15428,28303,19501,
129463557067,52089,11794,2807,4763,6708,8823,
129464057067,26503,22443,2810,15475,39239,8860,
129464557067,104180,12097,2987,4887,6811,8799,
129466557067,59319,62142,2901,4870,60580,62681,
129468057067,76876,12075,13631,4998,6883,8766,
129468557067,11492,11806,2927,4849,6825,8837,
129469557067,41771,11685,13503,4744,6692,20568,
129470057067,23509,13172,3045,5007,17888,19923,
129471557067,13908,11772,2833,4826,7086,8732,
129472557067,41395,12295,3103,4889,7584,9053,
129474057067,12193,12212,2880,5073,6860,8894,
129475057067,17082,12136,3003,4738,6852,8885,
129475557067,32286,11637,2893,5147,6663,8801,
129476057067,32241,12040,2875,4864,6724,8900,
129478557067,15298,12084,13829,4876,7060,8767,
129479057067,82238,12314,13547,4769,6828,8888,
129480057067,16418,33238,13839,4792,6838,8841,
129480557067,52604,22766,13892,15722,6928,19783,
129482057067,17174,11971,2849,4772,6769,8772,
129483057067,43867,11997,3608,4977,6875,8701,
129485057067,48230,12133,13770,4762,6699,8924,
129488557067,38533,11713,13513,4752,6713,8766,
129491057067,12844,22897,2882,5015,50605,8801,
129491557067,295686,11466,2814,5019,6830,8804,
129492057067,51850,11845,13680,4994,7758,9388,
129493057067,158044,23130,3071,15798,7012,8817,
129494057067,47834,12087,3112,5485,9071,8896,
129495057067,49244,11974,13867,15605,17543,8892,
129495557067,184441,12549,3118,5029,7155,8913,
129496057067,252074,12266,3218,4905,6862,8806,
129497057067,181120,12252,2972,5034,7059,9023,
129497557067,106643,22847,2885,26413,29098,8890,
129498057067,104750,12047,2929,5121,6811,8831,
129498557067,89781,12107,14931,4887,6924,8974,
129499557067,46693,11647,2759,5298,7032,8643,
129501557067,38096,11740,13673,4779,6778,8826,
129502557067,26236,15781,5694,5247,6821,9206,
129505557067,300000,56385,2860,4839,50987,8826,
129507057067,19175,12872,2855,4791,6823,8854,
129507557067,34149,22350,2757,4851,17767,19381,
129508557067,230729,11910,2845,4812,6853,8874,
129509557067,275179,11696,2778,4808,6920,8845,
129510057067,144268,11878,2748,15572,28518,8882,
129510557067,61799,12036,3126,4913,6983,8999,
129511057067,25586,12343,13665,15617,6987,9063,
129511557067,149565,46373,57709,58858,40102,42334,
129512057067,157177,11930,2775,4779,7056,8789,
129512557067,29220,12030,2789,4865,7022,8765,
129513057067,10200,11687,13442,4915,7011,8861,
