,W-0,R-0,R-1,R-2,R-3,R-4,
129698699198,47503,11579,6045,10540,10548,11884,
129700199198,NULL,NULL,NULL,NULL,NULL,NULL,
129701199198,300000,35672,4040,18005,6988,19970,
129702199198,236774,66637,14280,41579,18652,8962,
129703199198,14180,12277,3078,16301,7071,20759,
129703699198,41691,12654,3899,7283,7839,8959,
129704199198,16069,22750,3916,16296,17685,19722,
129704699198,7956,12451,3011,4958,6994,8990,
129705199198,32441,12241,36212,26970,18042,30948,
129705699198,25303,12054,3056,4905,6998,8934,
129707199198,191685,11996,3038,4980,6966,8953,
129708199198,50427,11988,3035,4913,7090,8925,
129708699198,29151,12343,3062,4945,7003,9098,
129709199198,44416,12212,3088,4866,6839,9055,
129709699198,50288,12577,3019,4956,6963,8954,
129710199198,47924,12344,3138,5008,7015,9076,
129710699198,44189,12032,3117,4949,6953,9069,
129711199198,24403,11787,13659,4989,6875,8780,
129712199198,19700,11930,2900,4997,6853,8842,
129712699198,47776,12143,3490,5346,7921,9009,
129713199198,27079,12002,2899,4771,6953,8844,
129713699198,15261,12910,3034,4913,6924,9225,
129714699198,15734,12546,2939,4913,6994,9122,
129715699198,29595,12284,13983,5098,7147,9002,
129716199198,44133,12098,4061,4944,6923,8971,
129718199198,52411,12769,3022,4929,7263,8966,
129718699198,16622,11761,13929,4956,7200,8923,
129719199198,36433,13592,14077,4882,6865,8881,
129719699198,51848,10791,23074,11159,23650,23706,
129720199198,125415,3307,2985,5178,6764,8794,
129722699198,125933,87424,89595,81487,83418,84925,
129723699198,12279,12431,2800,4747,6880,8891,
129724199198,21528,12108,13994,4939,7017,8777,
129724699198,20339,12590,13798,15704,7043,8935,
129725199198,46168,12040,3130,5048,7034,9030,
129725699198,54663,12518,3841,5134,7015,8882,
129726699198,41505,12032,13764,4952,7004,8842,
129727199198,32837,15178,4977,4772,7028,8872,
129727699198,19432,11865,3018,15599,17839,8988,
129729699198,33649,12647,13951,4948,7455,8995,
129730199198,31664,11933,3257,5025,6884,8755,
129731699198,17763,121241,110938,102482,149242,117634,
129732199198,23178,946180,950456,946405,960526,951234,
129732699198,300000,458122,484347,457971,446042,446582,
129733199198,159705,100249,100424,99053,122638,112007,
129734199198,21797,11961,13684,4990,6924,9032,
129735699198,147597,78443,90611,81404,72298,73932,
129736199198,77021,11930,2773,4688,6783,9390,
129736699198,22598,11955,2949,4877,6945,8893,
129737699198,29707,11871,13618,4915,6716,8739,
129739199198,30142,12005,3191,4847,6917,8913,
129740199198,14654,11887,2990,4864,6856,9448,
129741699198,30748,11886,2881,4675,6874,8780,
129742199198,45792,11971,4606,4996,6973,8859,
129743199198,19079,12128,2970,4877,6936,8877,
129743699198,10993,12570,3011,5104,7155,8795,
129745199198,22417,12037,13670,15739,18559,8950,
129745699198,13950,11964,3025,4789,6887,8765,
129746199198,54150,12092,2778,4860,6942,8927,
129746699198,45350,22505,13900,15682,6915,19589,
129748699198,45052,12004,14082,5189,6951,8879,
129750699198,44661,11786,2977,4902,6784,8766,
129751199198,44628,12032,3232,5013,6893,8757,
129752699198,26250,11967,3103,4840,6856,8754,
129754199198,49472,11933,2934,4873,6979,8916,
129756699198,48122,12096,2982,4959,7017,8745,
129757199198,24136,12018,2907,4951,6887,8686,
129758199198,43178,11969,2948,15457,6714,8707,
129758699198,40697,22640,24543,16010,17762,19855,
129759199198,35607,12075,14078,16116,6966,9023,
129760199198,15044,11949,3144,4966,6933,8849,
129762699198,43527,11609,13532,4684,6728,8748,
129763199198,14204,11765,2883,4767,17650,19534,
129764199198,31098,11726,2950,4759,6668,8731,
129764699198,34572,12574,13640,4666,6770,8724,
129765199198,27007,11956,13953,4958,7088,9060,
129765699198,86146,12221,3199,4900,6956,8778,
129767699198,33844,11932,2748,4650,6736,8760,
129768699198,300000,11961,2931,4920,6914,8759,
129771199198,36668,12098,3148,4930,6910,8767,
129772199198,31934,12235,2981,4950,7032,8955,
129772699198,24458,11742,2768,4651,6801,8746,
129775199198,76416,11907,2839,4962,6786,8849,
129775699198,51226,12258,2922,4941,6952,8840,
129776699198,46529,11930,2848,4983,6757,8727,
129779199198,67192,12004,3054,5019,6889,9053,
129780699198,46151,11956,3063,4742,6947,9535,
129781199198,38628,12058,2909,4906,6921,8719,
129781699198,44193,12187,2988,4862,6625,8699,
129782199198,11459,12281,2941,4854,6925,8787,
129782699198,44336,11759,3419,4730,6914,8707,
129783199198,36215,12243,13550,4926,6854,8714,
129783699198,33422,12025,2992,5152,6879,8897,
129785199198,34097,12101,2975,5015,6967,8734,
129785699198,51103,33644,57321,26576,7038,51936,
129786199198,25538,11735,13526,4755,6743,8686,
129788699198,32417,11893,3008,4650,6932,8901,
129789199198,41564,11962,3002,4730,6773,8746,
129790199198,21795,11939,13754,15658,6910,8725,
129791199198,29415,12001,2955,4784,6932,8745,
129791699198,33224,11910,3581,4719,6699,8617,
129792199198,13667,12305,2884,4894,6885,8759,
129792699198,23840,11624,2723,4705,6923,9089,
129795199198,16566,11604,13510,4679,6801,8911,
129797199198,69125,11896,35742,15744,17649,8983,
129797699198,30321,23013,2844,15533,17557,30635,
129798199198,19548,12082,2878,5049,6711,8873,
129798699198,28524,22614,2760,4854,17659,8618,
129799199198,15462,11972,13746,15646,6924,8929,
129799699198,47621,12100,14905,4758,6876,8901,
129801199198,35935,11904,2911,4695,6959,8706,
129802199198,23087,11797,2930,4723,6884,8754,
129802699198,50433,11883,2915,4754,6747,8775,
129803199198,51962,22678,13877,15586,7067,8745,
129803699198,45098,11997,13972,4889,6948,8733,
129805199198,43967,11620,13657,4910,6916,8725,
129805699198,41470,11958,2906,4855,6932,8995,
129806699198,72318,11880,2973,4945,6872,8843,
129808699198,46647,11725,2925,4654,6893,8867,
129809699198,9008,11848,2968,4729,6938,9069,
129810699198,55035,11946,2966,4900,6876,8738,
129811699198,22884,11870,13894,15688,6996,8908,
129812199198,44583,12254,2976,4918,6897,9251,
129813699198,26065,11927,2994,4859,6771,9015,
129816199198,39721,11753,13403,4729,6725,8731,
129817199198,19706,11659,2864,4792,6910,8909,
129819699198,51679,11740,2994,4970,6790,8893,
129820199198,15361,12151,2853,4654,17314,8792,
129820699198,12747,12255,14319,4985,6977,8873,
129821199198,56208,11986,3108,4900,7071,8765,
129822699198,27570,11895,3255,4750,6864,8733,
129823199198,39969,11947,13528,4961,6742,8714,
129823699198,49330,11891,14039,4845,6914,8787,
129825699198,34942,11845,3045,4919,6798,9192,
129827199198,40300,11519,2748,4758,6698,8777,
129827699198,12058,12161,13862,4790,7002,8870,
129828199198,27711,11675,2797,4756,6738,8720,
129828699198,25485,11872,13619,4680,6674,8940,
129829199198,22693,11702,3124,4977,6901,8772,
129829699198,21025,12084,2911,4964,6892,8663,
129830199198,19300,11785,13529,4696,6868,9020,
129831699198,98884,11911,2948,4985,6846,8767,
129832699198,8398,12282,2933,4769,6716,8768,
129833199198,23624,11667,2988,4953,7572,9206,
129833699198,18447,11961,13665,15659,17850,19798,
129834199198,34303,12208,2987,4781,6777,8852,
129835199198,16110,11913,2965,4937,6897,8873,
129836199198,51846,11918,2861,4665,6779,19905,
129837199198,108650,12030,14005,4918,6965,8969,
129837699198,62447,12306,13574,4979,7158,8893,
129838199198,25927,12926,14209,4964,6747,8709,
129840699198,47180,11797,2743,4728,6724,8652,
