,W-0,R-0,R-1,R-2,R-3,R-4,
136853594986,7745,16739,8885,10361,10075,10731,
136855094986,9243,15286,16099,7738,8682,9077,
136856094986,4507,12464,15402,5422,6973,11297,
136857094986,3701,12295,3260,5266,6980,8940,
136858094986,2732,12289,2986,5089,6906,9012,
136858594986,6701,12915,14313,5945,7013,9004,
136859094986,3804,23442,3211,16219,7164,9080,
136859594986,4003,12274,3792,5227,7047,8893,
136860094986,4060,12450,3013,4845,7080,8904,
136860594986,4746,12302,3008,4902,18090,19966,
136862094986,4535,12233,2987,4896,7202,9106,
136863094986,10346,12187,24705,15778,17842,9104,
136863594986,9740,12462,7514,16303,18265,8968,
136864094986,2788,12093,3164,4890,6958,8979,
136864594986,3070,14406,2842,5059,7100,8878,
136865094986,3629,12248,2972,4867,7969,8874,
136865594986,3880,11992,3041,5124,7000,9058,
136866094986,3905,12219,3121,4977,7299,8964,
136867094986,3784,1641,14013,5103,6952,19933,
136867594986,5568,12366,3226,5287,7307,9069,
136868094986,3549,12610,3207,4999,6991,9289,
136868594986,3516,12348,3282,4898,7553,8993,
136869594986,3714,11749,13791,4819,28604,9156,
136870594986,3494,1309,14053,4918,6915,8856,
136871094986,3208,11875,2963,4890,6770,8808,
136873094986,5279,12314,14139,4916,18897,10513,
136873594986,2568,12232,25485,26780,7075,20138,
136874094986,4111,1729,3233,5187,6958,8970,
136874594986,4939,1580,13818,5220,6888,8923,
136875094986,3734,11905,3154,4861,6817,9829,
136877594986,13754,1478,3049,16085,6933,9198,
136878594986,5086,1393,2980,4862,28432,8912,
136879094986,3529,1344,2835,4797,6782,8902,
136879594986,3877,12380,3155,5103,7093,9434,
136880094986,3933,11842,2969,4764,6923,8877,
136880594986,3672,11864,3006,4792,6853,8839,
136881594986,3518,1310,2879,4949,6802,8885,
136882094986,3522,1438,2963,5183,6861,8977,
136882594986,3636,1429,13856,4918,18297,8918,
136884594986,5324,12224,2838,4854,6989,9261,
136885094986,3570,12635,14098,4993,7107,8983,
136886594986,4057,2755,14162,4999,7230,8844,
136887094986,2515,12288,2924,4980,6970,9049,
136887594986,3487,1386,3068,4822,6888,8803,
136888094986,3201,12062,3201,4893,6916,8845,
136889094986,3445,12354,2906,4796,7058,8988,
136890594986,3814,12218,2955,4946,6928,9097,
136891094986,3638,12495,3355,4901,6982,8932,
136891594986,3589,12151,2919,4934,6772,8909,
136892594986,2459,12154,2812,4884,6859,8961,
136894094986,2614,11827,2917,4835,6887,8920,
136895094986,3977,12335,3203,5178,7003,8861,
136896594986,3573,12469,2914,4904,6870,8803,
136897094986,4588,1342,13819,4913,6992,19783,
136898094986,3237,1362,2891,4849,6946,8942,
136898594986,3810,1654,3182,4967,7062,9235,
136900094986,4818,12116,13820,4974,6916,8910,
136900594986,3798,12443,3180,4913,18097,8940,
136901094986,2981,12008,2904,4843,6845,8966,
136901594986,5393,11926,2956,5059,6817,8789,
136903594986,3330,11872,3066,4792,6872,9156,
136905594986,33634,11928,2955,4994,6823,8854,
136906094986,5358,12910,14280,5091,7358,9549,
136907594986,4520,12362,3075,4961,7000,8836,
136909094986,4906,1550,14086,5151,6858,8896,
136911594986,4001,12186,14066,4954,17809,8983,
136912094986,6750,12135,13690,4971,6988,8787,
136913094986,8539,11886,3012,5307,18101,9293,
136913594986,4550,12185,2928,4837,6855,9013,
136914094986,3293,12145,3108,4807,7645,8899,
136915094986,3631,12250,2883,4957,6998,8892,
136917594986,3482,12140,2805,4812,6893,9051,
136918094986,2604,12185,2825,4887,6967,8747,
136919094986,5150,1492,3552,4930,6956,9104,
136919594986,8428,1397,13746,26479,28413,30360,
136920094986,3431,12157,2845,4810,6803,8831,
136920594986,3482,12098,2865,15737,6997,8866,
136922594986,11853,12223,14338,5070,6910,8822,
136923594986,3548,1314,3224,4947,6990,8700,
136926094986,3369,12094,3073,4791,6832,8762,
136927094986,4723,1742,3287,4958,6914,8832,
136927594986,10758,11759,2901,4854,6774,8872,
136930094986,3718,12099,3012,4883,6817,8761,
136930594986,5008,11800,14210,4916,6958,9003,
136931594986,3927,11941,13915,5099,7118,9004,
136934094986,4428,1282,14223,4895,7073,8962,
136935594986,2492,12287,2821,4780,6717,8755,
136936094986,3608,12121,3121,4744,6894,8848,
136936594986,3318,12138,2959,4891,7598,8858,
136937094986,11916,12372,13628,4852,6880,8849,
136937594986,3554,11953,2960,4898,6838,8801,
136938094986,2990,11917,2749,4813,6899,9490,
136938594986,15432,11687,2906,4777,6880,8732,
136940094986,3607,12007,2936,4791,6902,8974,
136940594986,20460,1347,2877,4742,6792,8837,
136941094986,3609,12294,3328,4956,6949,9130,
136943594986,3602,1306,2941,4801,6841,8861,
136944094986,4814,1203,13671,4674,6788,8934,
136945094986,4465,11986,2991,15775,6839,8819,
136946094986,3528,12484,3057,4948,6842,8764,
136946594986,3412,12051,2875,4731,6862,8810,
136947094986,3780,12233,13886,4877,6858,20155,
136947594986,3681,11824,13834,4768,6836,8831,
136950094986,4786,12557,2775,4965,6955,8767,
136952094986,4636,14561,14827,5055,17851,8966,
136952594986,79958,12174,3135,5171,6922,8874,
136953094986,9464,11973,3200,5007,6954,9229,
136953594986,3645,12168,3057,5145,7295,9122,
136954094986,3484,1379,2848,5497,6859,8784,
136954594986,3308,1211,2931,4839,6788,8843,
136956094986,4062,11969,3818,4938,6909,8826,
136957094986,2639,1373,3213,4852,7131,8801,
136957594986,3874,12732,2842,4902,7079,8776,
136958094986,5742,1420,13925,4838,6914,8852,
136958594986,3671,11734,2895,5803,7145,9066,
136960094986,2539,11796,3117,4850,6751,8755,
136960594986,3112,11910,3233,4939,6857,8768,
136961594986,3567,11699,2870,4778,6745,8767,
136963594986,5013,12089,14195,5231,6864,8929,
136964594986,3815,12110,2834,4763,6779,8841,
136965594986,3527,1351,13791,4764,6740,9060,
136966594986,3679,12080,13511,4794,6791,8888,
136967094986,3550,12257,2799,5157,6917,8771,
136968594986,3406,12133,2937,4961,6962,8939,
136971094986,3689,12071,2817,4888,6932,9055,
136972094986,3764,12148,3140,4848,6759,8721,
136974594986,3453,12119,2853,4816,6931,9236,
136975094986,3464,11859,13697,4801,17649,8906,
136975594986,2585,11890,2871,4794,7202,8982,
136976094986,2515,12056,3012,4802,6786,8818,
136977594986,3524,11927,14779,5075,6932,8782,
136978094986,31939,11743,2934,4777,6908,8824,
136978594986,29205,1480,13725,4823,6863,8940,
136980594986,3516,12161,2888,4893,7190,9088,
136982094986,3468,1263,3001,4763,6857,8878,
136982594986,3426,11844,3202,4856,6852,8730,
136983094986,2643,12562,13632,26304,6961,8902,
136983594986,13769,13938,2788,15632,7003,9430,
136984094986,4810,12179,3137,16526,7006,20095,
136984594986,3448,11866,2935,4729,6754,8833,
136985094986,27954,12052,3054,4876,6926,9001,
136986594986,9560,11853,3001,4696,6845,19769,
136987594986,2538,11827,2982,4785,6767,8754,
136988094986,2642,1207,2832,4803,6835,8897,
136988594986,18267,12381,15272,16206,18084,20789,
136989094986,5150,12114,13954,5265,6872,8913,
136990094986,5874,11666,13856,4775,6787,8831,
136991094986,3315,1588,3003,5133,6852,8865,
136992094986,2950,1434,3145,4898,6712,8850,
136992594986,3467,11846,2896,4903,6788,8838,
136993094986,3654,11703,3124,4901,6807,8845,
136995594986,11519,12253,3504,4753,7440,8757,
136997594986,3701,11919,3270,4804,6832,8843,
136999094986,5379,11977,3673,5200,6923,8795,
137001094986,3504,11966,3068,4762,6826,8777,
137001594986,3586,11938,2847,4898,6863,9573,
137002594986,3486,12158,2914,4799,6829,8880,
137003594986,115662,12758,14322,5125,6815,19707,
137004094986,3653,11720,2967,4764,6724,8827,
137004594986,3625,12218,13756,4774,18185,8759,
137007094986,3563,11975,3166,4832,6846,8832,
137008094986,3779,11975,13717,4841,6975,8915,
137009594986,38501,11960,2998,4761,6768,8884,
137012094986,2765,11704,2928,4777,6834,8766,
137013594986,4456,12195,13742,4950,6863,8783,
137015094986,3114,11919,2878,4953,6762,8802,
137016594986,3563,12134,2914,4892,6757,8786,
137018094986,2645,12143,14306,15871,7137,8783,
137018594986,3115,11913,2890,4877,6866,8756,
137019094986,5253,23182,3498,5230,6832,8761,
137019594986,2609,12228,2801,4910,6897,9120,
137020094986,3737,12326,3410,4703,6902,8809,
137021094986,3592,1485,2987,4957,6898,9403,
137021594986,3463,1431,3159,5062,6802,8775,
137022094986,5000,1291,13683,4814,6812,8811,
137023094986,3533,11851,3263,5256,6866,8867,
137025094986,161907,44281,24432,4779,6866,30651,
137026094986,3963,12772,13784,4955,7114,8828,
137029094986,2986,1350,2895,4878,6787,8859,
137029594986,3811,15454,3174,4989,7393,9659,
137030594986,5204,11950,3603,4953,6799,8817,
137032094986,3648,11966,3161,4919,6967,8862,
137032594986,2908,14965,2776,4879,6811,8806,
137033094986,5767,11883,13484,4836,6865,8807,
137033594986,3462,12174,3129,4835,6828,8890,
137034594986,3574,1428,2979,4990,6779,8775,
137035594986,48201,12823,14092,4823,6804,8701,
137036094986,3533,11876,3092,4791,6808,8922,
137037094986,3694,1568,3165,15874,6832,19524,
137038594986,5758,1473,3267,5465,7153,8973,
137039094986,3348,12367,3157,4792,6816,8857,
137040094986,3508,11735,2973,4809,6814,8814,
137040594986,3499,12560,13903,4737,6928,8930,
137041094986,3508,11890,13647,4743,6810,8989,
137041594986,4054,12142,3149,4789,6810,9112,
137043594986,3402,1361,2996,4830,6837,8823,
137044094986,3803,12244,2932,15841,6917,8799,
137045594986,3722,1486,2719,4816,28685,30533,
137046094986,3672,12063,2884,4900,6840,8875,
137046594986,2619,11945,2818,4908,6782,8767,
137048594986,4717,1914,2767,5111,6883,8944,
137049594986,5255,1616,13887,4933,6890,19747,
137053594986,3535,12011,2858,4805,6814,8796,
137054094986,82114,12527,2888,4803,6815,9494,
137055094986,3072,11816,13694,4799,9312,11100,
137055594986,5006,12318,13723,4886,6850,8671,
137056594986,5119,12590,3207,15777,17638,9217,
137057094986,4432,1384,13707,5330,6886,8803,
137057594986,223314,12052,2963,4744,7264,8709,
137058594986,18134,22847,24959,4912,17784,19817,
137059094986,3588,11950,2768,4744,6780,8814,
137060594986,7303,1398,2819,4790,7102,8807,
137061094986,3973,11811,13641,4849,18094,8740,
137062594986,3786,1668,13679,4872,6894,8753,
137063094986,3487,11822,2936,4823,6768,8732,
137063594986,3523,12153,3044,4756,6818,8717,
137064594986,4660,12214,3012,5172,6832,8862,
137065594986,3635,1483,2958,15598,6736,19632,
137067094986,5001,1649,13697,5285,6898,10464,
137068094986,3620,12190,2872,4839,6856,8765,
137070094986,19756,12314,3397,4884,6931,8935,
137070594986,5292,11762,13650,4788,6807,9079,
137071094986,3691,11694,3115,4754,7143,8749,
137071594986,4558,12214,13763,4907,6889,19547,
137072594986,54594,1731,3227,4793,7236,9099,
137073094986,29646,45241,25842,25602,26235,26080,
137073594986,3558,1327,2910,4926,6817,8854,
137074094986,3506,1558,3149,4774,6856,9269,
137074594986,5088,11901,13758,4899,6763,8853,
137075094986,150519,11917,2994,15722,6855,8832,
137077094986,3620,11894,24921,4655,6725,8681,
137078094986,3455,1256,13698,15554,6782,8732,
137079594986,3922,1654,2985,4969,6845,8974,
137082094986,4738,1874,13802,4884,6750,8853,
137082594986,3950,1360,3348,15551,17562,41180,
137083094986,300000,11884,2944,4794,6785,8948,
137084594986,3634,12156,3144,5115,6999,8821,
137085094986,3564,1139,2943,4764,6888,8873,
137086094986,46141,12182,35725,16448,6793,8770,
137087094986,300000,1356,2983,4895,6962,8894,
137087594986,22599,23071,26266,27440,29281,20238,
137088094986,125387,11804,3335,4968,7053,8943,
137088594986,3510,12061,2907,4806,6755,8816,
137089094986,3769,1427,2906,4790,6751,8809,
137089594986,31308,33497,35522,29420,30394,29644,
137090094986,3592,1178,2834,4808,6996,8744,
137090594986,2684,11747,2941,4742,6795,8836,
137091094986,3536,11901,2925,4858,6972,8941,
137091594986,3805,12359,13807,15911,6922,8893,
137092594986,4938,11633,13686,4757,6807,8990,
137093094986,3559,11896,3004,4845,6828,8771,
137093594986,3693,1300,13806,4859,6873,8838,
137094594986,5067,1451,13918,4932,6966,8955,
137095094986,3400,11632,3514,4884,6651,8819,
137096094986,3269,1206,14248,4776,6923,8868,
137096594986,16862,11943,3156,4718,6934,9062,
137097094986,5061,11868,2915,4825,7061,9091,
137097594986,3601,1198,3134,4871,7010,8771,
137098594986,3444,12208,13816,4728,6811,8723,
137099094986,3394,11986,3192,4961,6795,8919,
137099594986,3709,12269,3327,5160,6966,9165,
137100094986,3834,1616,3232,4807,6778,8894,
137102594986,4549,11940,13738,4912,6965,8789,
137103094986,3432,1321,24864,4778,6713,19769,
137105094986,3648,11954,3164,4808,6851,8852,
137107594986,3627,11638,3139,4725,6836,8761,
137111094986,3594,12210,3247,4901,7007,9074,
137111594986,4833,11632,13796,4987,6887,8804,
137113094986,3582,11628,3177,4754,6770,8703,
137113594986,3426,12383,3070,4752,17639,8848,
137114094986,3453,11891,2751,26347,6792,19709,
137115594986,3694,1411,3128,4806,6827,8795,
137116094986,3642,11869,2871,4999,6869,8892,
137117094986,3533,11917,2778,15430,7310,8877,
137118094986,3691,12354,3161,4796,6992,8744,
137118594986,3542,22779,2881,4932,17917,8840,
137119094986,2745,11994,3450,4891,7442,8823,
137119594986,9764,11943,2980,4854,6737,8740,
137121094986,5648,12575,3011,5158,6980,9141,
137122094986,4903,12177,13639,4821,6848,8781,
137122594986,3732,11969,2945,4796,6795,8805,
137123594986,3541,12133,3066,4848,6813,8718,
137124594986,3668,12186,24690,5126,7175,9143,
137125094986,3687,12111,2898,4848,6702,8818,
137125594986,3203,12178,2965,4781,6779,8865,
137128594986,4076,11902,13623,5178,6982,8776,
137129594986,4510,12053,3303,5097,6933,8966,
137131094986,8756,11767,2738,6911,6777,8953,
137132094986,3076,12051,2903,4878,6819,8770,
137133094986,3884,1389,3170,4739,6694,8844,
137134594986,3550,1388,3075,5158,6924,8924,
137135094986,9390,11913,14011,37487,17608,19626,
137135594986,5545,12227,3297,5205,7155,8784,
137138094986,3649,11742,2803,4719,6810,8731,
137138594986,4589,12364,13666,5120,6791,8786,
137140094986,2416,11909,2888,4705,6722,8749,
137140594986,3520,12305,3144,4904,7224,9223,
137141094986,205823,209563,210541,211091,212187,210170,
137142594986,3615,12057,2849,5008,6800,8892,
137143094986,5948,12180,2917,15847,17515,9484,
137143594986,3151,12470,2967,4921,17781,8796,
137144594986,2794,12250,3347,5360,6807,9089,
137147594986,3530,1303,3109,4849,6724,8713,
137148094986,2619,12321,2908,5013,6811,8989,
137149094986,3369,1305,2912,4909,6805,8736,
137149594986,3160,12309,2885,5003,6848,19601,
137151094986,7603,12299,3006,4948,6765,8781,
137152094986,3744,11846,13803,15893,6983,8845,
137153594986,3256,11974,2988,15742,6737,19490,
137154094986,3297,1313,13744,4866,6884,8705,
137154594986,3560,11919,3158,5134,6962,8851,
137157094986,3438,12275,2870,4937,7055,8932,
137158094986,10576,1258,13925,15828,6884,8729,
137158594986,4429,12309,3086,5086,6987,8800,
137159594986,3158,12109,2855,4949,6867,8843,
137162594986,3713,11919,3000,4725,6894,8892,
137163094986,4438,11646,13645,4779,6872,8879,
137164094986,3558,12107,14078,5102,6906,20307,
137165594986,6566,16348,5507,5373,6940,8915,
137167594986,3804,1522,2938,4924,6737,8711,
137168094986,9643,11899,2872,4756,17753,9054,
137169594986,7774,12111,2973,16777,6882,19576,
137170594986,2593,12266,2761,16318,17650,8944,
137171094986,3419,1622,13561,4748,17630,8852,
137172094986,4456,12284,13742,4795,6816,8988,
137174094986,3735,12172,2823,4798,7080,8886,
137174594986,3955,12141,2979,7200,8380,8882,
137176094986,3518,1341,2914,4786,7090,8788,
137176594986,10424,12564,3213,4930,7053,9125,
137177594986,4213,12201,3182,4851,7168,8948,
137179094986,3727,1685,3107,4838,6877,8976,
137180094986,3142,11962,2988,4814,6790,8835,
137182094986,3691,12357,3253,4776,6872,8931,
137182594986,3431,1376,3099,4785,6913,8773,
137183094986,3412,1291,3004,4895,6780,8652,
137184094986,3701,11804,2931,4748,6955,8944,
137186594986,3588,12165,2907,4848,6851,8830,
137192594986,4178,12297,2869,4896,6969,8743,
137193094986,3623,11988,2853,15392,6863,8838,
137194094986,3237,1467,2971,4937,7129,8866,
137194594986,3448,12066,2822,4890,7058,8870,
137197594986,2711,11969,2876,4749,7102,8718,
137199094986,3618,12262,3078,4999,6914,9321,
137199594986,3669,1493,2872,5183,7170,8848,
137200094986,3643,23365,14171,15839,7212,8753,
137200594986,4721,1344,14149,4855,7081,8919,
