,W-0,R-0,R-1,R-2,R-3,R-4,
138045327441,7879,6874,17660,7391,11912,10234,
138046827441,3841,1540,3050,4923,6908,9412,
138047827441,6741,1449,3941,5306,8703,8987,
138048827441,3661,1456,3042,4862,6936,8830,
138049827441,3814,1471,2806,4883,6931,8812,
138050327441,10386,1926,2995,5092,7046,9070,
138050827441,3937,1649,3070,4924,6952,8910,
138051327441,12484,1405,2890,4987,7042,8846,
138051827441,4610,12267,3056,5016,6940,9052,
138052327441,4153,1556,3005,5065,6859,8812,
138053827441,4794,2558,3256,5177,7906,8848,
138054827441,3742,1535,3054,5126,7003,9062,
138055327441,15255,1413,3043,4859,6869,8740,
138055827441,5083,1957,2961,4880,7017,9119,
138056327441,3734,1375,3031,4975,6882,8883,
138056827441,4082,1899,2890,4856,6786,8798,
138057327441,3734,1433,3084,4800,6787,8859,
138057827441,3345,1294,2944,4912,7005,8823,
138058827441,3920,1353,3136,4923,6871,8990,
138059327441,3870,1508,3008,4993,6872,8826,
138059827441,3835,1241,2954,5084,7122,9100,
138060327441,4457,1414,3155,4838,6859,8800,
138061327441,3806,1295,3057,5050,6969,9034,
138062327441,5685,2131,3288,5253,7000,8889,
138062827441,3383,1386,3106,5074,7360,8892,
138064827441,3325,11948,2978,4872,6817,8857,
138065327441,3137,1198,2937,4874,6881,8951,
138065827441,6382,14451,3974,4856,6930,8808,
138066327441,3880,1681,3357,4886,6994,9040,
138066827441,4071,1541,2860,4893,6885,8977,
138069327441,4398,11998,2835,4789,6839,8898,
138070327441,3722,1405,3085,4789,6947,8774,
138070827441,15878,1593,3145,5154,6986,8855,
138071327441,5324,12382,2898,5045,6884,9087,
138071827441,3276,1170,2873,4874,6865,8862,
138072327441,3631,1523,3079,5056,6968,8946,
138073327441,3700,1703,3121,5181,7138,9190,
138073827441,3844,2126,3005,4972,6768,9190,
138074327441,3266,12182,3028,4941,6888,8786,
138076327441,3640,1457,3042,6481,7470,8912,
138076827441,3548,1459,2829,4786,7121,8934,
138078327441,9774,1354,2918,5011,6914,9140,
138078827441,3299,1192,2777,4750,6848,8863,
138079327441,11745,1254,3302,4833,6788,8906,
138079827441,3657,1365,2922,4900,6845,8883,
138080827441,4450,12656,3250,5537,7043,9085,
138082327441,3684,1555,3010,4944,7014,8958,
138082827441,3443,1157,2743,4796,6784,8900,
138083327441,3609,1446,2944,4956,6879,8882,
138084327441,9280,1380,2851,5025,6951,8936,
138085827441,3501,1313,2973,5078,6952,8957,
138086827441,3621,1189,3089,5829,7048,9078,
138088327441,3740,1786,3348,4865,7191,8809,
138088827441,3471,1389,3168,4915,6874,8739,
138089827441,3501,1434,3061,4862,6766,8872,
138090327441,3835,12091,3545,6533,7075,9018,
138091827441,3662,1385,3054,4806,6865,8853,
138092327441,3603,1256,2841,4735,6764,8824,
138092827441,3649,11872,3029,4879,6890,8886,
138093327441,3702,1261,2996,5034,6823,8755,
138095327441,3661,1467,3020,5720,7143,9234,
138097327441,3749,1553,3162,4796,6798,8754,
138097827441,5338,2023,3325,5072,6922,8880,
138099327441,3928,1341,2896,5104,6825,8880,
138100827441,3740,1346,2943,4772,6832,9010,
138103327441,3538,1160,2949,4859,6826,8831,
138103827441,5729,1392,3076,5102,6987,8944,
138104827441,3742,1607,3063,4815,7083,9087,
138105327441,7169,1623,2787,4966,6925,8862,
138105827441,16350,1107,2949,4769,6801,8890,
138106827441,3509,1429,2891,4891,6878,8784,
138109327441,66417,1260,2794,4953,6998,8818,
138109827441,3858,11872,2904,4912,6855,8978,
138110827441,3910,1503,3183,4827,6878,8805,
138111327441,8959,1228,2736,4783,6897,8780,
138111827441,5347,2692,3136,5223,7037,9697,
138112327441,4875,1170,2905,4744,6782,8748,
138114327441,2456,1143,2884,4731,6855,8840,
138115327441,3761,1468,2905,5000,7001,9366,
138117827441,3869,1476,3006,4832,6741,8752,
138118827441,3647,1477,2903,4909,6899,8877,
138119327441,3149,1177,2966,4986,6911,8946,
138121827441,3708,11727,2823,4883,6754,8733,
138122327441,3533,1459,3050,5302,6885,8869,
138123327441,3780,1498,2972,4940,6863,8782,
138125827441,9973,11693,2893,4904,7048,9021,
138127327441,3621,1476,2990,4991,6983,8989,
138127827441,2962,1398,2861,4813,6737,8841,
138128327441,3686,11532,2787,4727,6735,8742,
138128827441,8526,1382,3072,4977,6817,9839,
138129327441,3669,1476,2868,4822,6928,8937,
138129827441,3407,1231,2759,4824,7023,9089,
138130327441,3758,1070,2870,4708,6834,8802,
138131827441,3127,1646,2881,4816,6870,8883,
138132327441,4448,3270,3008,4810,6802,8903,
138132827441,43494,11839,2817,4880,6828,8821,
138135327441,3692,1283,3217,4899,6947,8785,
138135827441,4416,1447,2959,4879,6852,8803,
138136827441,5268,12001,3003,4992,7044,8984,
138137827441,4896,1649,2924,5055,6757,8845,
138138327441,3626,1185,2846,5286,7027,8861,
138138827441,3727,1395,3001,4780,6717,8912,
138139327441,4073,11837,2854,4828,6842,8727,
