,W-0,R-0,R-1,R-2,R-3,R-4,
139830711533,6367,13135,4791,13680,15706,14372,
139832211533,2744,12697,3099,5099,7027,9089,
139833211533,11043,12192,2948,5329,7027,9107,
139834211533,3639,1614,2973,4921,6904,8925,
139835211533,18245,1440,3002,5729,6961,8959,
139835711533,3817,1918,3167,4942,7098,8883,
139836211533,40619,34440,33967,34261,35026,34792,
139836711533,20926,1464,2891,5304,7122,8910,
139837211533,3367,11975,3051,5067,6931,8878,
139837711533,5073,1466,2864,5300,6910,8897,
139839211533,15738,1589,2904,4801,7102,8983,
139840211533,3750,1462,3024,4822,7031,9011,
139840711533,4168,1412,2919,5203,7043,9128,
139841211533,3730,1316,2961,5017,6932,8988,
139841711533,5023,1381,3345,4844,7030,9039,
139842211533,9705,12337,2985,4949,6987,9035,
139842711533,3770,1318,2882,4942,6805,8842,
139843211533,4238,1849,2971,5117,6886,8867,
139844211533,77170,75723,76576,76808,76095,76321,
139844711533,4012,12114,3239,5019,7148,9060,
139845211533,4731,1382,3055,5169,7246,8832,
139845711533,3160,1226,2884,4861,6848,8829,
139846711533,3760,1395,3065,4975,6870,8761,
139847711533,5177,2056,2934,4881,6786,8814,
139848211533,4022,2056,3036,4941,6871,8811,
139850211533,3661,1242,2932,4821,6938,8917,
139850711533,10399,1451,3336,4962,7158,8860,
139851211533,3656,1730,2926,4772,6768,8829,
139851711533,3737,1351,3047,4849,6968,9254,
139852211533,4437,2008,2993,4909,6913,8993,
139854711533,3886,11811,2905,4816,6944,8827,
139855711533,4434,12060,3328,4810,6746,9186,
139856211533,3754,1310,2933,4887,6900,8875,
139856711533,3343,1257,2923,4884,6952,9095,
139857211533,7746,11759,3284,5216,6883,8848,
139857711533,3286,1279,3012,4885,7310,8810,
139858711533,4980,1216,2916,4804,6855,8902,
139859211533,19179,1227,3079,4993,6809,9016,
139859711533,3635,1565,3026,4836,6834,8799,
139861711533,4217,12781,2904,5087,6987,9223,
139862211533,3633,1578,2966,4965,7177,8857,
139863711533,4598,1230,2942,5080,6895,8906,
139864211533,10364,1211,2959,6110,6864,8713,
139864711533,4658,11830,2866,4990,6837,8783,
139865211533,3711,1711,2900,4858,6757,9010,
139866211533,4193,1421,2876,5014,6916,8822,
139867711533,3748,1462,3070,5155,7230,8877,
139868211533,19807,1303,2914,4814,6854,8799,
139868711533,3669,12108,2888,5200,6922,8939,
139869711533,3163,1453,3324,4993,7162,8897,
139871211533,2686,11913,2871,4888,6801,8923,
139872211533,3936,1347,4124,5022,7749,9379,
139873711533,3292,11931,3001,4916,6873,8834,
139874211533,3826,1349,3353,5104,6983,8986,
139875211533,4108,1557,3095,5063,7013,9050,
139875711533,2665,1560,2913,5146,7298,8902,
139877211533,3851,1362,2792,4852,6907,8920,
139877711533,3883,1292,3610,4990,11169,10794,
139878211533,3678,1275,3135,4876,6908,9259,
139878711533,3606,1382,3386,4850,6755,8778,
139880711533,8196,12095,3134,5238,6930,9443,
139882711533,4159,11999,2936,4929,6832,8776,
139883211533,3625,1353,3068,4976,7076,8964,
139884711533,3669,1328,2972,4939,6931,9012,
139886211533,3718,1626,2968,4832,6872,8847,
139888711533,52332,12262,2852,5273,6819,8879,
139889211533,10180,1344,2955,4867,7694,9061,
139890211533,4459,1375,2723,4764,6959,8876,
139890711533,127806,1336,3217,5025,6960,8962,
139891211533,3347,12371,3035,4988,8847,9742,
139892211533,3621,1386,2972,4863,7254,9077,
139894711533,5166,12110,2912,4907,6928,8802,
139895211533,5088,1773,2856,4833,6775,8884,
139896211533,4172,12171,3055,4962,6875,8753,
139896711533,5125,1558,2847,4901,6785,8983,
139897211533,3509,1339,2832,4902,6885,8677,
139897711533,4017,1783,2788,4746,6916,8797,
139899711533,3615,1324,2843,4762,6779,8805,
139900711533,4716,12390,3043,4983,7319,9000,
139903211533,4413,1974,2970,4855,6889,8960,
139904211533,8920,1239,2857,4868,6763,8750,
139904711533,4739,1638,2957,5222,6872,8716,
139907211533,3414,1300,2770,4980,7058,8855,
139907711533,6660,1251,3065,4795,6884,8920,
139908711533,3701,1254,2876,4907,6790,8652,
139911211533,3613,1666,2813,4726,6923,8901,
139912711533,4971,1247,2903,4818,6800,8830,
139913211533,9743,1115,2849,4749,6782,8960,
139913711533,3279,1751,3051,5037,6961,8770,
139914211533,5024,1314,2771,4799,6877,8800,
139914711533,4461,11685,3026,5039,6919,8916,
139915211533,3508,1466,3053,4775,6740,8896,
139915711533,3815,1619,2907,5028,6828,8741,
139917211533,3339,1238,2818,4843,6883,8806,
139917711533,3401,1184,2839,4762,6779,8749,
139918211533,3291,1410,3052,4781,6835,8864,
139920711533,4422,12411,3220,4995,6862,8893,
139921211533,3568,1396,2803,4730,7224,8757,
139922211533,3617,1582,2919,4904,6692,8792,
139923211533,3997,12187,2811,4767,6855,8878,
139923711533,3793,1657,3176,4954,6948,8946,
139924211533,3745,1665,3159,6019,6857,9132,
139924711533,3838,12267,2982,4833,6964,8824,
139927211533,5314,12355,3386,5049,7094,8780,
139929211533,10415,2707,3222,4754,6857,8866,
139929711533,3699,1654,3107,4776,6828,8951,
