,W-0,R-0,R-1,R-2,R-3,R-4,
140425411376,9176,17558,11198,8459,9027,11292,
140426911376,9498,3890,3600,5157,7596,9191,
140427911376,11546,12097,3016,5016,7190,9085,
140428911376,28237,12079,25008,5027,7098,8988,
140429911376,4209,12854,3203,5089,7074,9000,
140430411376,4303,13384,3127,6305,7722,9016,
140430911376,150203,34909,36458,38555,28868,19814,
140431411376,3003,12388,14344,15854,17861,20011,
140431911376,4365,13087,2969,5086,7015,8937,
140432411376,40167,66531,25361,27341,40998,42141,
140433911376,3940,12599,14190,5112,7025,8971,
140434911376,5241,11888,14020,5102,6970,8993,
140435411376,34209,12019,3061,5397,6836,8833,
140435911376,3504,12577,3071,5093,7052,9260,
140436411376,3729,12337,3242,4897,6868,9090,
140436911376,4601,12756,3184,5247,6964,9058,
140437411376,25871,34347,26954,27394,29300,31055,
140437911376,2513,23863,14021,27546,6954,19993,
140438911376,5328,12176,13948,5544,7022,8910,
140439411376,4059,12456,3096,5051,9589,9352,
140439911376,2725,12010,2946,4924,7278,8919,
140440411376,2580,12332,3061,4967,7389,9222,
140441411376,2619,12244,2821,4958,6969,8859,
140442411376,3216,12104,2958,4809,6886,8813,
140442911376,3779,12170,3048,4906,6919,19859,
140444911376,3474,12416,2907,4990,6934,8925,
140445411376,3138,12018,2866,4903,6933,8832,
140445911376,3500,12267,3124,5138,7195,9140,
140446411376,3804,12434,13796,15946,7208,8919,
140446911376,3413,12305,2929,4886,6960,8819,
140449411376,3574,12405,2986,4858,6884,9150,
140450411376,3933,12572,3214,5225,7241,9101,
140450911376,3958,12683,14148,16018,7014,8948,
140451411376,3107,11955,2950,4868,6805,8752,
140451911376,4611,12565,13808,4917,7001,8912,
140452411376,7219,12028,3238,4903,6830,8844,
140453411376,3566,12027,2954,4958,7016,8982,
140453911376,3747,12131,3029,5034,7374,9231,
140454411376,2607,12138,2989,4888,6838,8728,
140456411376,3912,12434,2882,4940,6862,8872,
140456911376,5050,12748,13759,4854,6959,8848,
140458411376,3870,12378,2918,5209,6922,8930,
140458911376,3952,12312,3174,5002,7136,8925,
140459411376,2609,11992,2994,4817,7058,8932,
140459911376,300000,12836,3269,5204,7189,9193,
140460911376,5713,12393,4086,5140,6866,8868,
140462411376,3576,12104,3072,5003,6871,9008,
140462911376,2510,12779,2950,4873,6842,9183,
140463411376,3903,12371,2983,5023,6940,8914,
140464411376,3067,34366,2789,27151,17758,8838,
140465911376,3400,11982,2949,4809,6863,8947,
140466911376,3725,11975,2902,4895,6850,9229,
140468411376,3609,12362,2917,4940,6867,8946,
140468911376,2522,12025,2850,15809,6937,8982,
140469911376,3469,11962,3017,4938,6857,9029,
140470411376,5235,12440,13851,5090,6915,8952,
140471911376,3570,11963,3072,4920,6977,8824,
140472411376,3925,12597,3126,5153,7220,8869,
140472911376,5694,11800,2989,6480,6967,8879,
140473411376,2502,11721,2929,4864,6801,8808,
140475411376,3858,12329,14124,4981,7789,8851,
140477411376,3694,12170,3163,4928,6993,9111,
140477911376,3609,12065,3154,4936,7006,8974,
140479411376,5141,12353,13973,4910,6931,8889,
140480911376,13430,23096,14423,16092,18034,19941,
140483411376,2983,12097,2807,4787,6804,8770,
140483911376,5030,11965,13745,4803,6826,8767,
140484911376,3089,11815,2903,5114,6975,8763,
140485411376,2768,15601,2984,4991,6875,9069,
140485911376,3601,12795,2840,4896,6867,8823,
140486911376,3530,12003,2798,4754,6814,8855,
140489411376,6691,11823,2870,4797,6938,8864,
140489911376,3914,12332,3024,5081,6853,8929,
140490911376,45390,11941,3002,4926,6940,8893,
140491411376,48017,11911,2808,4839,6911,8833,
140491911376,4473,12499,3106,4902,6804,8851,
140492411376,3490,12018,3066,4789,6770,8850,
140494411376,2949,11764,2778,4824,6812,9183,
140495411376,300000,23228,2861,26549,6856,52093,
140497911376,5957,12249,13730,15707,6898,8949,
140498911376,3455,12227,2944,5035,6782,8829,
140499411376,3472,11859,13838,5288,7028,8880,
140501911376,16198,11941,2937,4776,6883,8860,
140502411376,93967,12076,3218,4792,6788,8898,
140503411376,3315,11723,2889,4879,6746,8969,
140505911376,5171,11943,13716,4993,6746,8720,
140507411376,27585,12135,13740,15904,17843,19697,
140507911376,11421,12399,2911,5035,7113,8858,
140508411376,3515,12016,2976,4852,6778,8795,
140508911376,2500,12100,2720,4787,6745,8816,
140509411376,3621,11882,2849,5155,6797,8831,
140509911376,3448,12019,13532,4775,6831,8806,
140510411376,4724,11963,13983,4862,6915,8763,
140511911376,4165,11881,2844,4839,6813,8863,
140512411376,3420,11978,2980,15885,17761,9201,
140512911376,3486,12049,2983,4870,6858,8869,
140515411376,3418,11747,2852,4750,6787,8789,
140515911376,3971,12236,2948,4917,6959,8808,
140516911376,3690,33854,2790,4960,7070,9376,
140517911376,3813,11923,2856,4846,7257,8788,
140518411376,2485,11970,2844,5204,6747,9242,
140518911376,2522,11937,3029,4823,6931,8896,
140519411376,3852,12150,3299,4799,6835,9357,
140521911376,5197,13546,14236,5011,7121,8992,
140523911376,3265,12036,2792,4734,6984,8851,
140524411376,4607,44793,24555,26589,61752,8861,
140524911376,5889,23361,25126,4878,17701,8818,
140525411376,3516,22979,2913,26747,7349,8867,
140525911376,2941,11739,2846,4770,6941,9511,
140526411376,3392,11994,2765,4813,6754,8867,
140527911376,42294,11491,14305,4799,39569,30567,
140528911376,5063,12227,13520,4876,6832,8801,
140529411376,3440,11707,3212,5244,6861,8821,
140529911376,12369,11693,2919,4803,6885,8808,
140530411376,3579,12442,3065,4827,6949,8770,
140531911376,4202,12384,3119,5253,7201,8847,
140532411376,3018,11676,13547,15538,6866,8780,
140533411376,9123,11696,13537,4893,6849,8920,
140535411376,3228,12843,3006,4813,6825,9056,
140536411376,3549,12173,3045,4876,7023,9082,
140537411376,5198,12129,14100,15786,6922,9434,
140538411376,6518,12298,13971,5018,7790,8812,
140538911376,6131,22443,13560,15672,6953,8792,
140540411376,2560,12232,2804,4790,17821,8978,
140542911376,3909,12079,14098,4783,6769,8816,
140543911376,13991,12072,3097,5001,7077,8961,
140546411376,7171,11842,3503,4974,6987,9418,
140546911376,4813,11794,13883,5020,6789,8748,
140547411376,4404,11862,13567,15510,17539,8806,
140547911376,3435,22816,2796,4819,17719,8856,
140549411376,3476,12050,2774,15741,17789,19582,
140549911376,2493,11750,2993,4829,6955,8858,
140550411376,3494,12045,2969,4853,6821,8899,
140552411376,4381,33368,24515,4810,6775,19554,
140553911376,300000,326537,327075,332845,333080,336910,
140554411376,33850,12614,2888,5082,6775,8798,
140554911376,7302,12154,47392,15862,7046,19935,
140555411376,3965,11857,13515,4849,6789,8747,
140555911376,5144,11873,5469,4965,6961,8831,
140556411376,4614,12392,2971,4983,6948,9254,
140556911376,10263,12137,2991,4934,7304,8961,
140558411376,22252,23024,13774,4817,6817,19695,
140559411376,17783,33113,24194,26261,17934,19548,
140559911376,3305,12012,3063,4848,6849,8973,
140560411376,3394,11808,3097,4797,6811,8886,
140560911376,3513,12139,3059,4924,6896,8766,
140561911376,3426,12024,2915,15552,7250,19620,
