,W-0,R-0,R-1,R-2,R-3,R-4,
142211423147,12931,14433,6512,6976,14599,15241,
142212923147,4076,4256,3795,5241,7182,9090,
142213923147,2785,12690,14181,4992,19017,9012,
142214923147,8184,12009,2902,4927,6902,9030,
142215923147,3702,12377,3126,4952,6981,9033,
142216423147,3636,12529,3106,4973,6994,8953,
142216923147,300000,386631,386245,389346,387002,381998,
142217423147,4089,12597,14575,4993,18093,9036,
142217923147,3198,11851,3052,4800,7169,9032,
142218423147,2674,12066,3595,5055,7059,8962,
142219923147,52968,12121,3032,5059,7150,9041,
142220923147,3644,12281,3162,4848,6967,8946,
142221423147,3687,12450,3035,5187,7107,8925,
142221923147,3889,12780,3515,5148,6999,8827,
142222423147,9155,11885,13908,15805,18010,9281,
142222923147,2767,12209,3281,5139,7073,9127,
142223423147,3240,12367,3026,4946,6932,9068,
142223923147,3570,12134,3120,5049,7030,9011,
142224923147,3934,11993,3032,4841,6936,8963,
142225423147,4577,12192,13943,4997,7388,8999,
142225923147,3914,12440,2905,5670,6962,9088,
142226423147,2760,12366,3028,5030,6900,9019,
142227423147,2631,12092,3073,4935,6954,9083,
142228423147,4994,23406,24908,4804,17941,20033,
142228923147,4629,12028,3204,4892,7027,9011,
142230923147,3700,12048,3025,4947,6924,9005,
142231423147,3477,11999,3102,4956,6956,9050,
142231923147,3454,12201,2851,48571,6814,52711,
142232423147,4714,12193,13671,5089,6889,8976,
142232923147,2926,12219,3176,4914,18269,20040,
142235423147,4471,12083,3351,5708,7016,8942,
142236423147,3811,12402,3064,4888,6980,8846,
142236923147,3663,12255,3107,5056,7463,8880,
142237423147,3025,12030,2803,4894,7006,8963,
142237923147,15364,12071,3308,16177,17939,8895,
142238423147,3026,12036,3079,4958,6787,8778,
142239423147,3609,11797,13915,4980,17738,9064,
142239923147,3912,12813,14637,5211,7116,8820,
142240423147,2493,12077,2998,4966,6832,8830,
142242423147,3661,12085,13691,4901,6805,9006,
142242923147,4678,12187,13986,5042,7071,8945,
142244423147,7151,33649,16099,16500,18181,19794,
