,W-0,R-0,R-1,R-2,R-3,R-4,
119580568487,5921,10695,23897,26062,10067,12977,
119582068487,3340,14953,14660,5098,7090,10774,
119583068487,1459,12836,3064,5050,7500,9225,
119584068487,1578,12218,2936,5037,6932,8893,
119585068487,1861,11759,2967,4827,6949,8853,
119585568487,1716,12428,13859,4930,17940,9073,
119586068487,1598,23223,3006,26815,6962,8964,
119586568487,219021,12923,14190,49922,18131,9198,
119587068487,1577,12248,2999,4925,6890,8878,
119587568487,1564,12260,2830,4931,7111,9019,
119589068487,1841,12484,25817,4997,7036,20044,
119590068487,1796,12411,2954,5347,7021,9050,
119590568487,6504,11978,13718,5022,6910,9102,
119591068487,1838,13249,2875,4886,6867,9077,
119591568487,1983,12578,3303,5067,7008,9179,
119592068487,1729,11939,2907,4798,7002,9175,
119592568487,2874,13860,3153,4905,7138,9044,
119593068487,1611,12308,3051,5262,6971,8923,
119594068487,1371,12406,2831,4980,6904,8843,
119594568487,1836,12395,3226,5014,6978,8819,
119595068487,1362,1666,13805,5223,6814,9020,
119595568487,1739,12165,3333,4921,6822,9044,
119596568487,6689,12844,13957,15984,17961,8971,
119597568487,1656,12051,2849,4787,6950,9095,
119598068487,1306,1659,3769,5088,6883,8770,
119600068487,2047,12168,2928,4863,6918,8821,
119600568487,1626,12247,2831,4864,6824,9378,
119601068487,1780,12455,3159,4874,6972,8973,
119601568487,1849,13058,2996,5022,7028,9432,
119602068487,1733,12368,13828,4924,6916,8868,
119604568487,1858,12035,3214,4920,6828,8761,
119605568487,1373,12001,3171,4868,6987,8824,
119606068487,1082,12505,2890,4863,6899,9023,
119606568487,1268,34152,13992,15960,6930,19684,
119607068487,1502,12636,13923,4922,6957,8918,
119607568487,2387,12139,2975,4900,6892,9014,
119608568487,1557,12192,2914,15745,6988,8990,
119609068487,3378,12286,14011,15903,6920,8770,
119609568487,1411,1728,3077,5294,6816,9885,
119611568487,1397,11854,13805,4904,7662,8858,
119612068487,1564,12342,2820,4892,6849,8835,
