,W-0,R-0,R-1,R-2,R-3,R-4,
120769784084,102115,110357,103686,105802,106321,110998,
120771284084,1397,2105,3247,5168,7237,9019,
120772284084,1576,1773,3159,4994,6987,10797,
120773284084,1489,1737,3002,4994,6894,9105,
120774284084,1390,1666,3166,5003,7110,9163,
120774784084,1803,1558,2994,5010,7051,9070,
120775284084,1461,12869,3061,5060,7306,9219,
120775784084,1681,1392,3132,4898,7652,9089,
120776284084,1198,1423,2800,4881,6909,8860,
120776784084,51233,2427,3375,5147,7226,9139,
120778284084,1543,12214,3180,5242,7254,9071,
120779284084,9402,1719,2979,5259,7043,8833,
120779784084,1622,1820,3142,4861,6887,8872,
120780284084,2054,1697,4057,5147,7117,8791,
120780784084,1609,1318,2952,4823,6871,9093,
120781284084,8196,1699,3075,5023,7139,9110,
120781784084,2608,12279,3069,4954,7681,9047,
120782284084,20491,2600,2910,4817,6873,8872,
120783284084,2066,1814,3281,5194,7180,9243,
120783784084,68646,1333,2805,4846,6883,9452,
120784284084,1563,12089,3017,4978,7207,9013,
120784784084,1609,1305,3479,5070,7131,8885,
120785784084,1670,12476,3177,5091,7030,9046,
120786784084,2071,13142,3125,4980,7078,9138,
120787284084,103338,102843,104217,103811,104432,104594,
120789284084,81602,1536,3140,4840,6897,9024,
120789784084,1509,12118,3100,5079,7102,9118,
120790284084,2187,1763,3240,5047,6884,9580,
120790784084,1516,1206,2975,5064,6900,9063,
120791284084,1281,1505,2959,4994,6904,9003,
120793784084,1516,12049,4022,4872,6796,8816,
120794784084,1424,12963,3314,4876,7731,9098,
120795284084,1585,11977,2799,4780,6838,8797,
120795784084,1222,1451,3092,5076,7212,9108,
120796284084,1367,1597,3213,5181,6810,8818,
120796784084,6521,1461,3102,5080,7086,9100,
120797784084,1905,12400,3044,4896,6963,9066,
120798284084,10490,20027,20279,20800,19704,21163,
120798784084,1278,11749,3027,4842,6855,8760,
120800784084,1613,1240,3117,5046,7013,9127,
120801284084,1227,1453,3143,4999,7109,9050,
120802784084,1733,12146,3514,5190,7259,8872,
120803284084,2178,12806,2766,4883,7484,8839,
120803784084,2658,13180,3096,5225,7480,9227,
120804284084,125564,11853,2865,4768,7199,8871,
120805284084,1261,1433,2968,5271,6868,8885,
120806784084,1704,1532,3156,4971,7061,9023,
120807284084,1819,12388,3630,4774,6756,8723,
120807784084,23131,1221,3010,5067,6973,8848,
120808784084,1880,1469,2966,5070,6846,8903,
120810284084,1315,1512,3080,4863,7177,9126,
120811284084,1399,11891,2905,4755,6977,8908,
120812784084,1257,1439,3085,5116,7065,9140,
120813284084,1255,1565,2775,4768,6824,8734,
120814284084,1459,1300,2989,4735,6808,8846,
120814784084,1742,1585,3058,5012,6947,9040,
120816284084,10617,11722,3091,4887,7084,8976,
120816784084,1587,1273,2820,5059,7135,9107,
120817284084,1782,1582,3049,5027,7241,8957,
120817784084,4070,14372,14229,4912,6827,8824,
120819784084,1230,1516,2841,4836,6739,8758,
120821784084,1578,12365,3090,5210,6844,8900,
120822284084,1729,12181,2799,4812,6968,8860,
120823784084,1544,1273,3303,5121,7079,9060,
120825284084,1614,1289,3362,4892,6756,8775,
120827784084,1238,1387,3010,5004,6790,9214,
120828284084,7851,12008,3126,4783,7485,8853,
120829284084,1500,1219,2835,4894,7642,8861,
120829784084,6580,12740,3375,4974,6977,9020,
120830284084,1562,1406,3092,4782,6861,8801,
120831284084,2705,13210,5329,5508,6829,8735,
120833784084,1277,1512,2834,4908,7025,8949,
120834284084,1274,1505,3191,5412,6898,8879,
120835284084,1316,1572,3042,4793,7025,8812,
120835784084,6414,1267,2896,4825,6806,8812,
120836284084,1727,1464,2811,4741,6843,8824,
120836784084,1562,11760,2981,5053,6831,8832,
120838784084,2047,2386,3223,5158,6819,9066,
120839784084,1498,1357,3156,5002,7126,11223,
120842284084,1480,12379,2968,5100,6950,8864,
120843284084,1183,1409,2977,4914,7203,8747,
120843784084,6131,1334,2912,4975,6857,8796,
120846284084,5478,1518,3149,4900,6856,8848,
120846784084,1550,1283,2828,4781,7030,8984,
120847784084,1756,12226,3062,4827,7051,8871,
120850284084,1151,1433,3163,4858,6898,9204,
120851784084,1459,1268,3023,4846,6833,8857,
120852284084,1484,1697,3166,5230,6820,8788,
120852784084,1115,1307,2975,4836,6833,8743,
120853284084,1600,12177,3097,5184,7559,9043,
120853784084,2017,12624,3003,4717,6872,8892,
120854284084,1438,1195,2887,4808,7026,9235,
120854784084,11631,12442,3076,5272,7014,8971,
120856284084,1317,1548,3001,4804,6794,8841,
120856784084,1505,11993,3186,4757,6816,8843,
120857284084,1271,1547,3285,4863,6873,8872,
120859784084,1635,1461,3109,4809,6773,8729,
120860284084,1601,11997,3226,4764,6879,9395,
120861284084,1664,12095,2863,4959,7234,8723,
120862284084,1496,1363,2975,5049,6888,8902,
120862784084,1308,1564,2760,4782,6883,8781,
120863284084,1298,1511,2986,5024,7192,9151,
120863784084,1868,1530,2765,4785,6997,8988,
120866284084,1840,12234,2847,7775,7899,12702,
120868284084,167965,1445,3068,4915,6890,8781,
120868784084,188906,195560,195759,195982,199600,195847,
120869284084,1096,1278,2873,5001,6867,8834,
120869784084,1447,1206,2753,4740,6733,9017,
120870284084,1718,1501,2802,4974,7032,8823,
120870784084,1503,1307,2872,4806,6861,8874,
120872284084,1412,1173,3024,4871,6793,9029,
120873284084,1262,12265,3084,4891,7153,8906,
120873784084,1584,12090,2833,4739,7338,8988,
120874284084,1478,11961,3089,5046,6888,8831,
120874784084,1223,1605,3296,4719,7160,8901,
120876284084,1525,12365,2901,4786,6972,8829,
120876784084,79353,80057,79184,79327,78858,79150,
120877784084,1568,12125,3016,4786,7097,8907,
120879784084,1451,1653,3193,4985,6839,9213,
120880784084,1293,1486,2966,4897,6853,8985,
120881784084,1227,1536,2847,4986,6783,8884,
120882784084,1381,1606,2737,4885,6832,8777,
120883284084,1461,11970,3137,4876,6983,8816,
120884784084,70470,1496,3011,5061,6986,9061,
120887284084,1260,1492,2812,4891,9969,10416,
120888284084,1463,11658,2874,5131,6847,8790,
120890784084,59269,1463,3150,5182,6902,9015,
120891284084,4481,1481,3221,4821,6858,8837,
120891784084,1778,1447,2865,5016,7190,9113,
120892284084,1206,1469,3211,5029,7088,8863,
120893784084,201495,1700,3104,4891,6908,8996,
120894284084,1277,1685,3638,4873,6732,8853,
120894784084,1282,1492,2882,4789,6883,9127,
120896784084,1785,1657,2905,4849,7006,8974,
120898284084,1371,1588,2906,5060,6747,8696,
120898784084,1504,1750,2823,4711,6727,8744,
120899284084,1103,1307,3008,4759,7039,8774,
120899784084,1318,12213,3128,5208,6779,8804,
120900284084,1419,1300,3019,5002,6788,8737,
120900784084,11072,13442,12857,13328,13250,13136,
120901284084,1258,11997,3010,4812,6841,8872,
120902784084,1648,12478,2881,4867,7128,10462,
120903784084,1579,1470,3056,4886,6785,9057,
120904284084,1596,1372,2801,5263,7287,8755,
120904784084,1532,1379,2989,5075,7061,8913,
120905284084,1461,1229,6714,7367,7178,8976,
120906284084,1601,1415,3076,4715,6819,8818,
120907284084,5731,1511,2817,5011,6994,8784,
120908284084,1513,1713,2894,4697,6857,9018,
120908784084,7542,1313,3027,4857,7096,8738,
120909284084,1418,1289,2848,4850,7078,9113,
120911784084,1309,1709,3352,4984,6979,9047,
120913784084,1401,1230,2835,4883,6785,8735,
120915284084,1627,12042,2973,4783,6897,8752,
120917284084,1434,1639,3159,4855,7200,8810,
120917784084,1785,1549,2872,4890,7036,8878,
120918784084,1276,1160,3139,4821,6888,8889,
120919784084,19065,1743,3255,4656,7075,8793,
120920284084,1518,12096,3016,4957,6841,9044,
120920784084,1534,1249,2814,4874,6909,8805,
120923284084,1138,1381,3052,4866,6968,9029,
120924284084,2494,3039,3176,6465,7200,9383,
120925784084,1492,11972,2815,4716,6840,8800,
120928284084,4852,1711,3071,5215,6964,8891,
120929784084,40003,39355,39095,39248,39559,39892,
120931284084,9298,1272,3456,4746,6763,9440,
120932784084,8654,1370,3147,4759,6748,8809,
120934284084,1515,11790,3556,5070,6906,8802,
120934784084,1624,1577,3022,4758,6814,8984,
120935284084,1361,11820,2813,4874,6902,9477,
120935784084,1352,1153,2751,4845,6862,8832,
120936284084,1132,1379,2860,4882,6752,8736,
120937284084,1410,1280,2982,4872,6908,9048,
120937784084,1449,12175,3116,4839,6993,8826,
120938284084,1467,1278,2966,5017,6840,8820,
120939284084,6459,1177,2994,5239,6910,8876,
120941284084,1464,11915,3206,4905,7047,8811,
120942284084,1460,1237,3160,5210,6788,9046,
120945284084,1292,1547,2984,4713,6982,9198,
120945784084,1464,1745,3173,4826,6984,8988,
120946784084,1736,12123,3324,4835,6772,8878,
120948284084,1693,1481,2892,4885,6812,8792,
120948784084,1273,12201,2871,4683,6859,8904,
120949284084,1258,1420,2867,4853,6825,8855,
120949784084,1437,1212,2790,4825,6857,8828,
120950784084,16836,1417,2746,4782,7091,8792,
120951784084,1304,1160,2730,4732,6822,8872,
120952284084,1243,1543,2717,5458,6884,8888,
120953284084,1394,1546,3277,5001,7053,8816,
120954784084,9378,1415,3292,4888,6757,8875,
120955284084,1466,1234,2754,4767,7046,8816,
120956284084,2149,1458,3192,4885,6774,8980,
120956784084,1202,1475,3395,4658,6794,8805,
120957284084,1474,1442,2869,4795,7062,9272,
120957784084,1330,12005,3121,4767,6786,8970,
120959784084,3316,1366,3104,4789,6768,8812,
120960284084,1683,1515,2880,4862,6822,8833,
120961784084,1206,1752,3021,4791,6892,9008,
120962284084,1513,12262,2902,4804,7037,8984,
120962784084,1138,1387,2960,5194,6826,8911,
120964784084,1423,1561,3373,4832,7233,8861,
120965784084,1998,11845,2912,4690,7083,9007,
120969784084,1424,11958,2967,4834,6967,8962,
120970284084,1426,1620,2951,4890,6741,9104,
120971284084,1492,11906,2995,4838,6879,9185,
120971784084,4409,14855,4821,4858,6824,8748,
120972784084,9644,1148,2818,4691,7294,8976,
120973284084,1354,1131,2870,4824,6768,8989,
120973784084,1324,1641,3111,4629,6720,9078,
120974784084,1563,1355,2978,4762,6869,9405,
