,W-0,R-0,R-1,R-2,R-3,R-4,
121364767910,4694,22264,7248,9465,9962,13923,
121366267910,1504,1748,3164,5043,7162,9055,
121367267910,2780,1643,3250,5004,7206,9785,
121368267910,2544,2550,3182,5076,7062,9018,
121369267910,1764,1632,3032,4935,7030,9081,
121369767910,1558,1702,2876,4922,7059,8865,
121370267910,2180,1845,3192,5066,6905,8893,
121370767910,1276,1576,2917,4850,7014,8864,
121371267910,2929,2020,3302,4933,6890,11310,
121371767910,1810,1538,2857,4821,7274,8867,
121373267910,1702,1559,2937,4972,6973,8985,
121374267910,1389,1688,2976,5047,6919,8919,
121374767910,2538,1572,3033,4874,7025,9620,
121375267910,1838,1625,3048,5139,7051,9033,
121375767910,37858,38078,39298,38847,38599,39176,
121376267910,1878,1555,3270,5495,6916,8946,
121376767910,2199,1707,3285,4961,6928,8990,
121377267910,1548,1908,2901,5085,7055,9273,
121378267910,1787,1555,3166,5088,7375,9179,
121378767910,1458,12361,2902,4950,7042,9182,
121379267910,1749,1392,3033,4854,6908,8849,
121379767910,1645,12367,2916,4980,6960,9022,
121380767910,1269,1808,3289,4829,6941,9130,
121381767910,1474,11883,2959,4951,6919,9066,
121382267910,1469,12053,2969,4934,7511,8851,
121384267910,2363,1887,2884,4923,6991,9452,
121384767910,1480,1346,2721,4825,6885,8846,
121385267910,1477,12135,3009,4981,6941,9076,
121385767910,1851,1569,2978,5084,6930,8833,
121386267910,1834,1973,3137,4965,7072,9011,
121388767910,1254,1630,2825,5034,6958,9332,
121389767910,1468,11978,3533,5072,6889,9157,
121390267910,1355,11867,2875,4850,6761,8766,
121390767910,1689,1461,3078,4998,7421,9265,
121391267910,1647,1342,2886,4822,6879,9046,
121391767910,1375,1609,3007,4818,6845,9158,
121392767910,13617,1456,3076,4956,6869,8878,
121393267910,1832,1324,2907,4870,7281,8921,
121393767910,1539,1357,2808,4761,6912,8832,
121395767910,5422,1424,2844,4977,6963,8828,
121396267910,1380,11865,2916,4783,6842,8935,
121397767910,2025,12031,2964,4887,6871,8890,
121398267910,1621,1431,3024,4869,6810,8990,
121398767910,5933,2089,3457,4870,7278,9434,
121399267910,1449,12080,2801,4914,6878,8813,
121400267910,1584,12034,2894,5019,7008,8820,
121401767910,1569,11825,2970,4911,6858,8886,
121402267910,1574,12030,2810,4775,7443,8863,
121402767910,1089,1387,2994,4825,6751,8794,
121403767910,21873,1376,2998,4825,6837,8806,
121405267910,1653,13024,3388,4803,6882,8836,
121406267910,1315,12177,2781,4798,6800,8901,
121407767910,1854,1485,2879,5005,6853,8875,
121408267910,3468,12292,3809,4747,6836,8857,
121409267910,1625,1338,2892,4836,11021,12142,
121409767910,1736,1563,2902,4891,6842,9051,
121411267910,3413,1610,2943,4820,6834,8999,
121411767910,1496,1319,2838,4781,6771,8901,
121412267910,1539,1314,3062,5015,6839,8915,
121412767910,12391,1367,3146,5007,7021,9045,
121414767910,1598,11919,3015,4822,7018,9265,
121416767910,9469,1627,3486,5081,6885,9083,
121417267910,1437,11995,3207,4777,6771,8856,
121418767910,1719,1368,3078,4774,6744,8867,
121420267910,1636,1368,3015,4809,6838,8850,
121422767910,1374,11645,2758,4961,6839,8747,
121423267910,10943,1425,2774,4730,6863,8718,
121424267910,1346,1578,2782,5064,6823,8806,
121424767910,3324,1486,3407,4737,6945,8798,
121425267910,1169,1358,2911,4830,6770,8891,
121426267910,6682,1267,2762,4739,7055,8782,
121428767910,1293,1471,2849,4951,6909,8737,
121429267910,1626,1348,3146,4775,6852,9668,
121430267910,1349,1555,2758,4746,6869,8808,
121430767910,1654,1316,2876,4800,6857,8932,
121431267910,43010,1236,3000,4937,6970,8779,
