,W-0,R-0,R-1,R-2,R-3,R-4,
122555423933,27656,28185,22612,24329,13468,23024,
122556923933,4910,12402,5244,5509,6959,8987,
122557923933,1651,13327,14277,15999,62968,8901,
122558923933,1258,12233,3142,4848,6920,9025,
122559923933,1713,12399,3053,4908,7129,8915,
122560423933,1818,12227,2958,5013,6961,8990,
122560923933,1471,12298,2989,5016,6902,9162,
122561423933,1536,12374,13853,5175,6968,9022,
122561923933,23536,12714,2907,5003,6856,8877,
122562423933,1569,12239,3160,4898,6987,8946,
122563923933,1651,11977,3301,4953,6914,9366,
122564923933,111347,121212,123269,125156,127379,119551,
122565423933,2000,12311,3888,5194,7165,8913,
122565923933,1667,11707,13738,4867,6799,8901,
122566423933,1468,12169,13943,4930,6989,8955,
122566923933,1756,12393,14173,5355,6767,8905,
122567423933,42897,12361,14336,4991,6905,8944,
122567923933,1793,12525,2894,5008,6994,9246,
122568923933,2031,12808,2998,4791,6796,9107,
122569423933,1581,12280,2993,4860,6892,8903,
122569923933,3390,12780,3058,4865,6975,8945,
122570423933,1706,12689,3008,5025,7049,8851,
122571423933,1483,12206,3011,5064,6794,8854,
122572423933,1651,11929,2956,15884,6941,8814,
122572923933,1592,12193,3015,4921,6888,9225,
122574923933,2192,12743,13884,4985,18202,8793,
122575423933,2661,12393,14782,5055,17901,19611,
122575923933,1634,12231,3207,4886,6882,8802,
122576423933,1562,12746,2839,4847,6911,8920,
122576923933,1465,12020,2814,4778,6792,8914,
122579423933,1306,12325,2996,5116,6897,9005,
122580423933,1863,11918,14708,5040,6935,8927,
122580923933,1430,12483,3013,4940,6983,9165,
122581423933,1784,12165,3648,4925,9934,10307,
122581923933,1464,12244,2882,4933,7041,9117,
122582423933,1760,12457,13834,4902,17923,8878,
122583423933,196474,33608,35649,4914,6826,42567,
122583923933,15495,12304,14015,27269,18510,9002,
122584423933,300000,45705,35962,4959,6908,75179,
122586423933,1620,12180,2955,5236,6961,8955,
122586923933,1480,12136,13853,4885,6899,8931,
122588423933,1772,12392,14038,26710,18007,19843,
122588923933,1124,12211,2933,4899,7344,8904,
122589423933,1741,12027,14108,4945,6967,8950,
122589923933,1650,12387,2980,4803,6816,8866,
122590923933,1854,12329,14266,5229,6973,19816,
122592423933,1224,11843,2888,4856,6881,8864,
122592923933,1237,11968,3010,5197,6999,8905,
122593423933,1517,12122,3050,5046,7024,8996,
122594423933,1202,11763,2959,4974,6873,8735,
122595923933,7598,12186,13856,15767,17833,9050,
122596923933,1248,12272,3019,5029,7230,8979,
122598423933,2547,12062,13721,4923,6894,19701,
122598923933,1313,12366,2943,26879,17835,19805,
122599923933,14995,12973,2946,4909,6896,8901,
122600423933,1432,12137,14016,16047,6898,8905,
122601923933,1343,12006,2885,4837,7019,8844,
122602423933,1510,12188,14161,4930,6903,8900,
122602923933,6630,12293,2959,15671,6937,8990,
122603423933,1591,12188,13590,4789,6823,8861,
122605423933,1560,12290,3139,4944,6885,8772,
122607423933,1542,12188,2904,5307,6910,8901,
122607923933,1248,12030,24920,38887,17939,8852,
122609423933,1368,12028,2930,4802,6731,8757,
122610923933,1436,12033,13579,4897,6888,8866,
122613423933,1119,11851,2916,4982,6950,8944,
122613923933,1204,11841,2929,4831,6707,8820,
122614923933,1841,12852,3141,4908,7038,8895,
122615423933,1139,11977,13806,4859,6926,8834,
122615923933,1367,11928,2814,4832,6940,8759,
122616923933,1447,12879,3556,4807,6925,8855,
122619423933,1468,11948,13725,4829,18329,8857,
122619923933,1321,12321,2852,4808,6811,8790,
122620923933,3415,12593,2855,4735,7056,9106,
122621423933,1447,12114,13629,4922,6804,8882,
122621923933,1358,12397,3042,4984,7218,8841,
122622423933,1438,22865,13825,15869,7045,8933,
122624423933,1099,12136,13836,4988,7057,8919,
122625423933,2064,12243,3309,4814,6966,8849,
122627923933,1675,12137,2825,4729,6799,9164,
122628923933,1422,11844,13697,5016,6982,8847,
122629423933,9132,11681,13761,15851,17752,8936,
122631923933,1419,11988,14035,4796,6933,8905,
122632423933,10710,12256,13988,4891,6807,8844,
122633423933,1446,12027,13694,5036,6884,8755,
122635923933,27553,12031,2906,15894,6856,8768,
122637423933,1420,12117,2807,4827,6975,8912,
122637923933,6049,12884,3277,5180,6892,9228,
122638423933,1216,11919,3625,15799,17701,19575,
122638923933,1398,11933,13810,15744,17787,30508,
122639423933,1997,12827,14052,4870,6893,8988,
122639923933,1466,12238,2874,4806,6783,8960,
122640423933,6490,22685,13762,15805,6990,19614,
122641923933,1430,12018,13819,4837,6922,8760,
122642423933,1311,11782,13914,4936,6856,8892,
122642923933,1312,12109,13765,4881,6771,8941,
122645423933,1547,12287,3236,4977,7219,9061,
122645923933,1225,11700,14027,4731,17746,8840,
122646923933,1284,11883,13890,15847,18333,30661,
122647923933,1654,12507,3397,5000,6877,8777,
122648423933,1356,12356,13809,4858,6875,8878,
122648923933,1626,34131,24951,4838,28757,30990,
122649423933,10945,11945,2779,4941,6826,8724,
122651923933,1355,12298,2794,4796,6842,8794,
122653923933,4563,15665,15282,15962,6886,9149,
122654423933,5784,11914,13818,4918,6966,8909,
122654923933,1665,12234,13790,5164,6912,8918,
122655423933,1462,12320,2939,5000,6796,8952,
122655923933,1579,12415,3061,5031,6905,8938,
122656423933,4658,14966,15516,16024,7018,8971,
122657923933,1372,13210,2824,4962,6854,11052,
122658923933,4532,12486,2954,5165,7148,9132,
122659423933,1536,12137,2994,4867,6767,8815,
122659923933,1684,12027,13801,4907,6732,8733,
122660423933,1395,12302,3368,5232,6974,8910,
122661923933,1334,11983,14432,4864,6793,8907,
122662423933,1469,12005,2878,4763,6775,8787,
122663423933,1574,12302,3004,4789,6780,8768,
122665423933,1379,12639,2791,4834,6808,8950,
122666423933,1291,11988,13947,4895,6950,8843,
122667423933,1456,12173,2874,4808,6763,8885,
122668423933,1785,12305,2815,4806,7003,8904,
122668923933,51716,13141,3290,5234,7149,9025,
122670423933,1356,11862,3116,4894,6739,8730,
122672923933,1568,12254,2823,4694,7172,9036,
122673923933,1662,12246,13900,4880,28805,8915,
122676423933,1429,11904,2851,4803,6848,8907,
122676923933,1807,12767,14031,4826,7233,8772,
122677423933,1884,12797,13826,5108,17836,8886,
122677923933,1512,12204,13509,4793,6779,8773,
122679423933,1473,12141,2970,4783,6931,9027,
122679923933,1376,12128,2998,4864,7053,9007,
122680423933,2589,12142,2860,4812,6777,9222,
122682423933,1669,12356,13672,4886,6821,8868,
122683923933,1535,12113,35611,15891,6801,19867,
122684423933,214943,34284,3031,37716,29005,9239,
122684923933,1420,12047,2857,4751,6814,9258,
122685423933,1358,11979,2914,4871,6842,9139,
122685923933,1407,11939,2852,4886,7190,8927,
122686423933,59761,12000,13807,4916,6816,8725,
122686923933,1288,11726,2916,4804,6919,8869,
122688423933,1573,12331,3043,4916,6760,9015,
122689423933,7701,11665,2820,4864,6795,8846,
122689923933,1868,12577,2749,5235,7370,8693,
122690423933,1326,11923,2878,4745,6814,8794,
122690923933,1319,11776,2929,5002,7043,8999,
122691923933,1297,11766,2914,4860,7319,8725,
122692923933,1579,12042,13916,15632,8438,8925,
122693923933,65847,11993,2818,4826,6876,8840,
122694423933,1595,12323,2966,4971,6960,9044,
122694923933,1184,11605,35285,26487,28633,8727,
122697423933,1391,12049,3416,4946,6786,8832,
122699423933,1352,11951,13659,4879,6766,8820,
122700923933,8614,11970,2855,4833,6985,9267,
122702923933,1631,12032,2947,4948,6892,8845,
122703423933,1366,11902,2994,4893,6806,9138,
122704423933,1331,12196,2823,4849,6779,8831,
122705423933,1304,11887,2870,4928,6906,8848,
122705923933,1542,12278,2812,4761,6823,9229,
122706423933,46821,54893,56653,58870,49955,52498,
122708923933,1171,11849,2841,4782,6765,8830,
122709923933,1322,11823,2966,4788,6716,8828,
