,W-0,R-0,R-1,R-2,R-3,R-4,
124340361808,4091,19506,8054,7147,8675,26919,
124341861808,1857,12623,3004,5067,9636,10137,
124342861808,3749,14282,4099,5050,6993,9253,
124343861808,1608,12587,3144,4970,7003,8957,
124344861808,1881,12533,3125,5145,7008,8971,
124345361808,1818,46615,36122,49700,108274,41669,
124345861808,202762,210580,212472,192032,222410,198237,
124346361808,1071,12364,3077,5021,7569,8882,
124346861808,1645,12371,2973,4926,6910,8983,
124347361808,1546,12156,3279,5301,6807,8993,
124348861808,1824,12084,3557,5037,7003,9189,
124349861808,1623,12933,14014,5016,7004,9017,
124350361808,1614,12482,2912,4991,6945,8895,
124350861808,1620,12376,3118,5281,6940,9041,
124351361808,1741,12376,3245,4919,6940,9038,
124351861808,9554,12165,14070,16067,18064,20037,
124352361808,1390,22969,3142,27081,7035,8994,
124352861808,4116,12598,2989,5001,6938,8942,
124353861808,2649,13059,3122,4919,7913,9479,
124354361808,1470,12026,3094,4968,6914,9003,
124354861808,1273,11841,3144,4981,6998,8975,
124355361808,1150,11711,2876,4845,6741,8833,
124356361808,1434,12278,3320,4886,6906,9130,
124357361808,1543,12285,2959,4957,6985,8976,
124357861808,7127,17179,17942,16894,8142,9636,
124359861808,1694,12080,2921,5083,7003,9067,
124360361808,1367,11928,2998,4927,6922,8907,
124360861808,1443,12126,3030,4972,7115,9006,
124361361808,10944,13165,15391,18038,17869,19644,
124361861808,1377,12003,2999,5058,6903,9031,
124364361808,1363,12046,2876,5035,6853,9051,
124365361808,1541,12422,3078,5079,7020,8965,
124365861808,1432,12054,2854,5064,6851,8864,
124366361808,24762,12546,3061,5020,30322,20287,
124366861808,1591,12495,3037,5369,7027,8962,
124367361808,1511,12387,3028,5249,6911,9043,
124368361808,1519,12226,3008,5064,7091,9029,
124368861808,4881,11892,14249,6084,7020,8911,
124369361808,2066,12706,2939,4841,6920,8910,
124371361808,1587,12642,3138,5416,6860,9095,
124371861808,1463,12611,3111,4962,6991,8932,
124373361808,1592,12343,3046,5110,7273,9011,
124373861808,1578,12378,13913,4943,6851,8929,
124374361808,1162,12490,14768,4931,17987,8941,
124374861808,1359,11984,13896,4972,6905,8861,
