,W-0,R-0,R-1,R-2,R-3,R-4,
130889725805,11613,27995,25436,28790,13170,10886,
130891225805,5273,1746,14527,4998,9747,9464,
130892225805,5996,12104,3273,5369,6835,9083,
130893225805,3338,1581,3139,5080,7147,20499,
130894225805,3945,12042,3514,5043,7173,9187,
130894725805,4020,12344,3057,4928,6920,8883,
130895225805,3373,11983,2997,5158,7035,8996,
130895725805,41141,23315,14132,15965,6966,20441,
130896225805,2604,12160,3046,5001,6983,8994,
130896725805,3173,1373,3240,5011,6992,8886,
130898225805,3820,12608,3044,5141,7002,9022,
130899225805,4145,12318,2866,5027,6936,9061,
130899725805,3564,12290,3053,5124,6868,9040,
130900225805,5713,12765,14180,5189,7026,9146,
130900725805,5827,12416,5545,6127,7174,9004,
130901225805,3771,12241,3266,5049,6953,8971,
130901725805,3694,1509,14143,5155,7062,9108,
130902225805,3748,12423,3152,4972,7005,9060,
130903225805,3838,1784,3056,4935,7078,8960,
130903725805,4152,1551,3099,5121,7011,8970,
130904225805,4495,12387,3071,5022,6961,8903,
130904725805,19815,12111,3938,5071,7039,8896,
130905725805,3093,11999,3037,5108,6956,8893,
130906725805,3557,12361,3118,4949,6918,9074,
130907225805,3658,1399,3133,5250,6957,8957,
130909225805,3575,12265,3018,4982,7051,8893,
130909725805,2583,12169,2890,4817,6830,8968,
130910225805,3613,12494,3308,4957,6980,9021,
130910725805,3159,12323,3022,4907,7008,8835,
130911225805,3735,1994,2977,5155,6942,9164,
130913725805,3731,12024,3139,5573,6924,8897,
130914725805,3745,12162,3186,5487,6788,9079,
130915225805,2444,12116,3342,4863,6956,8879,
130915725805,4567,13010,3097,5024,7111,9335,
130916225805,2664,11943,2870,4990,6853,8912,
130916725805,3352,12031,2973,5332,6866,8869,
130917725805,3428,11891,2895,4960,17733,8845,
130918225805,3772,12045,3129,4792,6976,8987,
130918725805,28924,12261,14153,5048,17898,9290,
130920725805,3565,1525,2915,4930,7045,9031,
130921225805,3799,12406,3139,5065,6906,8804,
130922725805,4257,12184,2959,5121,6902,20834,
130923225805,28653,12507,3246,4919,6838,8952,
130923725805,3899,12317,14031,5178,7024,8970,
130924225805,3655,12360,2884,15821,6888,19997,
130925225805,2542,11994,3011,4892,6816,8869,
130926725805,14881,12320,4685,5173,6854,8924,
130927225805,3395,12234,2964,5087,6814,8815,
130927725805,3373,12452,13936,15846,6905,8960,
130928725805,3835,12318,3146,5122,7874,9716,
130930225805,3423,12172,3040,6468,6915,8867,
130931225805,3600,11939,3252,5288,6856,8761,
130932725805,3602,1604,3001,5188,6805,8980,
130933225805,7468,12356,3021,4877,6974,8922,
130934225805,3597,1428,3055,4897,6920,8910,
130934725805,3479,1330,2937,4977,7005,9268,
130936225805,3503,1347,2902,4953,6938,8930,
130936725805,3590,12191,3174,4976,7162,9030,
130937225805,3727,12401,3037,5099,7013,8828,
130937725805,3608,12864,2972,4993,7032,8961,
130939725805,3881,12272,13816,4969,6932,8864,
130941725805,3717,1934,3151,5003,6842,19984,
130942225805,3819,12403,3193,4899,6822,9308,
130943725805,3926,12051,2971,4860,6934,8895,
130945225805,3589,11668,2933,4962,6915,8982,
130947725805,4411,12088,3037,5166,17700,8918,
130948225805,4041,12397,13750,4987,6940,8905,
130949225805,72490,69747,67881,69881,69523,69755,
130949725805,3752,12009,2873,4900,6878,8794,
130950225805,3270,1590,2954,4815,6939,8886,
130951225805,3420,12096,2974,16641,17465,19464,
130953725805,4152,12011,3006,4978,6840,8914,
130954225805,3955,11781,3089,4872,6787,8859,
130955225805,3301,11957,3090,4952,6868,9111,
130955725805,130191,1346,3019,4916,6898,8858,
130956225805,3903,12262,3287,4923,6920,8823,
130956725805,3363,1305,2931,4905,6883,9033,
130958725805,3429,12019,2862,5049,6903,8851,
130959725805,3677,1665,14557,5046,7098,31040,
130962225805,3491,1518,3152,4853,6892,8835,
130963225805,4674,11931,13793,4861,6770,8848,
130963725805,5069,11981,2928,5160,6867,8886,
130966225805,2544,11808,2878,4842,6780,8891,
130966725805,3766,12318,3002,5000,6921,8905,
130967725805,15186,23338,12311,11970,12133,12499,
130970225805,3488,11997,2926,5023,6951,8992,
130971725805,3735,1347,3488,5087,6851,8817,
130972225805,3823,11888,2966,4908,6896,8944,
130972725805,3510,12675,3019,4861,6751,8851,
130973225805,3995,11732,3805,4985,6878,9181,
