,W-0,R-0,R-1,R-2,R-3,R-4,
132083232513,10813,20452,5944,13871,12197,13189,
132084732513,12444,12935,3144,5994,7031,8971,
132085732513,15060,1469,3708,5004,7152,8931,
132086732513,29747,25948,26244,26802,27598,27070,
132087732513,3236,1357,3117,4796,7163,9176,
132088232513,3270,1576,2984,4963,6883,8941,
132088732513,3366,1641,3474,4861,6876,8937,
132089232513,3267,1308,2916,4952,6938,8941,
132089732513,4680,1701,3164,5244,7201,9029,
132090232513,5372,1484,3063,5100,6887,8948,
132091732513,3715,1284,3111,5064,7020,9022,
132092732513,4228,12315,3226,5183,6848,8873,
132093232513,3847,1398,3119,9597,10368,10210,
132093732513,30035,1432,3090,5098,7231,9114,
132094232513,4634,1578,3128,5222,7099,9088,
132094732513,3805,1928,3044,4881,6863,8783,
132095232513,20550,1421,3177,5094,7126,9114,
132095732513,10609,1373,2977,4874,6852,9182,
132096732513,4824,2576,2994,5168,6924,8875,
132097232513,3741,12153,3029,4802,6919,8797,
132097732513,16606,1361,3169,4892,6991,8940,
132098232513,10114,1266,2771,4786,6936,9980,
132099232513,3649,1560,2918,4983,6798,8759,
132100232513,4961,1668,2942,5299,6764,8897,
132100732513,3737,1646,3069,4886,6935,8874,
132102732513,3358,11921,3047,4959,6845,8745,
132103232513,4730,11793,2895,5155,6875,8812,
132103732513,3657,1380,2864,5053,7054,8880,
132104232513,3707,1728,3142,4869,7635,8966,
132104732513,3823,1589,3051,4865,7062,8776,
132107232513,3666,1409,3018,5021,6961,8832,
132108232513,9752,1523,2946,4854,7304,8870,
132108732513,3535,1316,3120,4944,6903,8984,
132109232513,3231,12303,2927,4865,6817,8962,
132109732513,3646,1307,2875,4833,6765,8852,
132110232513,5316,13632,3471,4795,6892,8858,
132111232513,3599,1446,2884,4831,6761,9090,
132111732513,3731,1299,2851,4819,7072,8965,
132112232513,5085,13619,3279,4833,6989,8954,
132114232513,3650,1430,3211,4876,6973,8801,
132114732513,6070,1735,3668,4937,6859,8865,
132116232513,4527,12166,2987,5007,7091,9061,
132116732513,24336,12216,3034,5005,6796,8788,
132117232513,3783,1650,3096,4835,7428,8854,
132117732513,3642,1597,2961,4783,6965,8846,
132118732513,3730,1555,2887,4835,6942,8929,
132120232513,32988,1389,3320,4822,6948,8866,
132120732513,2721,1296,3139,4895,6800,9036,
132121232513,157944,156099,155140,155889,155652,155804,
132122232513,4475,1357,3061,4808,7533,9729,
132123732513,13144,20112,20420,10317,10041,20319,
132124732513,3564,1345,2918,5022,6968,9088,
132126232513,3659,1486,2886,4842,6810,9003,
132126732513,2965,1240,2807,4843,6858,8703,
132127732513,3620,1386,2929,4949,6912,8976,
132128232513,4002,1711,2815,5019,7297,8963,
132129732513,17383,14287,14750,15281,15095,15116,
132130232513,4037,11880,3745,5025,6874,8930,
132130732513,3765,1376,3102,4839,6790,8881,
132131232513,5028,1453,3404,4862,6832,8901,
132133232513,4471,1292,2852,4840,6849,8828,
132135232513,2595,1434,2972,4982,6767,8905,
132135732513,3771,1778,3027,4895,6712,9108,
132137232513,3763,1319,3065,5037,6978,8944,
132138732513,3764,12184,3285,5190,6803,8867,
132141232513,3356,1588,2911,4755,6769,8898,
132141732513,4661,1275,3142,4967,6896,8879,
132142732513,3740,2045,3082,4778,6764,8723,
132143232513,4317,11952,3761,5122,6879,8752,
132143732513,3717,11767,3183,4927,6846,9274,
132144732513,6694,1538,3104,5145,6991,8869,
132147232513,3604,1469,3018,4825,6754,8869,
132147732513,4664,13804,3291,5127,6879,8992,
132148732513,3524,1303,2761,4981,6935,9025,
132149232513,4599,5126,5730,5294,6798,8773,
132149732513,4007,1723,2878,4740,6934,9044,
132150232513,3349,1248,2822,4723,6704,8866,
132152232513,3740,1256,3467,4815,6818,8894,
132153232513,4742,1443,2758,4951,6940,8843,
132155732513,3664,1741,2868,4840,6781,8837,
132156732513,5260,1313,2849,4962,6865,8680,
132157232513,4003,1421,2789,4708,6841,10341,
132159732513,4027,1847,2826,4792,6818,8844,
132160232513,3703,1456,2923,4756,7282,8727,
132161232513,11733,1562,2876,4833,6765,8734,
132163732513,2972,1306,2749,4781,6679,8853,
132165232513,45338,1345,3176,4885,6883,8724,
132165732513,3465,1371,2958,4984,6765,8859,
132166232513,3326,1013,2675,4954,6642,8634,
132166732513,5065,1608,2827,4813,6778,8865,
132167232513,3634,1736,2966,4786,6924,8861,
132167732513,8698,12042,2739,4823,6720,9211,
132168232513,3648,11779,3032,5029,6853,8850,
132169732513,3753,1484,2843,4925,7033,8848,
132170232513,3411,11979,3209,4872,6737,8744,
132170732513,61896,11918,3167,5006,6791,8843,
132173232513,3833,1771,2821,4903,6891,8791,
132173732513,3543,1229,2979,4874,6789,8961,
132174732513,2877,12006,2757,4755,6768,8792,
132175732513,29771,1349,3123,4825,6816,8751,
132176232513,6316,1282,2880,4976,6975,8672,
132176732513,4451,1289,2855,4692,6756,8730,
132177232513,2954,11903,2827,4846,6802,9061,
132179732513,3978,12098,2851,4795,6800,8801,
132181732513,3676,1573,2737,4779,6902,8838,
132182232513,217533,1720,2921,4825,7006,8876,
132182732513,180775,1373,2942,4837,6773,8885,
132183232513,3292,12049,3060,4866,6882,8829,
