,W-0,R-0,R-1,R-2,R-3,R-4,
133871809984,8657,8260,5795,7819,9203,10110,
133873309984,5405,1890,3164,5137,7205,9632,
133874309984,4692,1860,3952,6095,7177,9058,
133875309984,300000,1314,2915,4976,6958,8819,
133876309984,164934,181416,186338,180882,578776,180724,
133876809984,82963,83252,84757,85474,83665,83087,
133877309984,300000,12390,3286,5070,6897,8916,
133877809984,NULL,NULL,NULL,NULL,NULL,NULL,
133878309984,NULL,NULL,NULL,NULL,NULL,NULL,
133878809984,237675,220397,217954,227148,218428,223249,
133880309984,3561,1703,4393,5919,6761,8760,
133881309984,3650,1837,3267,4719,7176,8895,
133881809984,3552,1584,4108,6416,6704,9457,
133882309984,3518,1271,3265,4783,6843,8927,
133882809984,3588,1399,2881,4796,6891,8854,
133883309984,3831,1369,3100,4968,6896,9080,
133883809984,4496,1212,2743,4803,7295,8811,
133884309984,3588,1404,2831,4788,6699,8798,
133885309984,5543,11763,3294,4648,6768,8816,
133885809984,3395,11721,3395,4902,6849,9143,
133886309984,3546,1341,2969,4763,6879,8918,
133886809984,3401,1236,2800,4915,7001,8880,
133887809984,3245,1308,2956,4802,6758,8745,
133888809984,13703,11555,12405,12893,11798,12095,
133889309984,3470,1454,2974,4854,6839,8824,
133891309984,3610,1366,2881,4672,6729,9544,
133891809984,3560,1467,3659,4859,7308,8860,
133892309984,3591,1479,4141,5234,6826,8663,
133892809984,10163,1502,2840,4691,6812,9101,
133893309984,3219,1340,2673,4677,6693,9335,
133895809984,3788,1276,2693,5229,7111,8804,
133896809984,3611,1476,3168,4933,6811,8685,
133897309984,8926,1158,3104,4860,6879,9101,
133897809984,2902,1278,2729,4722,6794,9492,
133898309984,2429,1757,2694,4791,6667,8711,
133898809984,3720,1339,2904,4864,6794,8724,
133899809984,7239,1330,2721,4932,6585,8653,
133900309984,5325,3077,3288,4822,6742,8580,
133900809984,3258,964,2598,4523,6619,8574,
133902809984,5163,1374,2781,4893,6845,8780,
133903309984,4997,1415,2877,4800,6926,8859,
133904809984,4758,1256,2915,5136,7888,8945,
133905309984,4076,11799,2972,4702,6651,8822,
133905809984,16152,12718,12945,13156,13264,13318,
133906309984,5078,1444,2741,4830,6727,8962,
133907309984,116989,1218,2653,4710,6610,8785,
133908809984,3708,11737,2754,4814,6873,8824,
133909309984,35474,1129,2776,4643,7320,8933,
133909809984,5268,11884,3092,4955,6923,8768,
133910809984,3431,1317,2684,4679,6799,8779,
133912309984,4098,1621,2775,4996,6805,8922,
133913309984,3247,1290,2716,4672,6770,8676,
133914809984,3501,1461,3179,4728,6837,8865,
133915309984,5113,1390,2737,4837,7096,8871,
133916309984,4335,1412,2729,4815,6750,8708,
133916809984,3336,1464,2751,4648,6788,8804,
133918309984,3652,1316,2870,4892,7211,8758,
133918809984,3962,1676,2863,4733,6825,9411,
133919309984,2934,11708,2819,4936,6772,8763,
133919809984,3556,1399,2879,4770,6812,8784,
133921809984,3710,1288,2774,5655,6561,8596,
133923809984,3385,1621,3765,4885,7356,8533,
133924309984,4444,1271,2738,4690,7180,8855,
133925809984,6809,13170,4336,4737,6742,8676,
133927309984,3557,1243,2768,4820,6878,8722,
133929809984,4756,1281,2709,4671,6750,8703,
133930309984,5249,11623,2899,4825,6831,8698,
133931309984,4968,1822,3054,4792,7128,8821,
133931809984,3505,1307,2827,4737,6771,8647,
133932309984,4756,1303,3375,4682,6725,8636,
133933309984,5430,1380,2805,5214,7317,8701,
133935809984,3392,1290,2681,4690,6623,8681,
133936309984,3332,1226,2629,4586,7006,9221,
133937309984,4775,11552,2885,4697,6718,8961,
133937809984,3465,1403,2924,4661,6769,8643,
133938309984,5653,2646,3237,5315,6684,8739,
133938809984,3527,1428,3064,4745,6936,8780,
133940809984,3408,1249,2854,4666,6836,8853,
133941809984,3250,1392,3209,4777,6659,8812,
133944309984,3629,1358,2951,4711,6810,8795,
133945309984,3890,1382,2813,4713,6916,8853,
133945809984,3302,1255,2754,4693,6652,8703,
133948309984,2510,11393,2757,4670,6625,8663,
133948809984,3100,1346,2908,4822,6786,8689,
133949809984,3431,1307,2714,4878,6710,8608,
133952309984,3359,1296,2643,4783,6679,8697,
133953809984,3931,12011,2717,4589,7159,8794,
133954309984,3424,1239,2688,4999,6895,8874,
133954809984,3430,1228,2739,4731,6738,8699,
133955309984,3758,12247,2864,4700,6732,8749,
133955809984,3661,11634,2805,4678,6959,8632,
133956309984,3571,1235,2700,4678,6663,8728,
133956809984,2521,1415,2872,4825,6726,8653,
133958309984,3689,11614,2807,4709,6634,8694,
133958809984,3398,1322,2739,4733,6672,8589,
133959309984,2907,1251,2671,4707,6611,8647,
133961809984,3541,1434,2969,4833,6736,8745,
133962309984,4907,1724,2770,4697,6673,8815,
133963309984,3527,1366,2856,4804,6768,8793,
133964309984,3635,1376,3116,4854,6908,8842,
133964809984,3691,1622,2732,4675,6669,8903,
133965309984,3557,1393,3084,4806,6784,8778,
133965809984,3519,1397,2892,4798,6743,8759,
133968309984,4678,1458,2931,4859,6816,8647,
133970309984,3645,1289,2756,4550,6721,8690,
133970809984,26796,11729,2827,4720,6798,8770,
133971309984,3909,11924,3272,4811,6801,8689,
133971809984,3208,1145,2826,4710,6827,8724,
133972309984,3398,1284,2715,4654,6764,8878,
133972809984,3882,1261,2943,4679,6827,8749,
133974309984,3558,1397,2899,4705,6709,8749,
133975309984,2922,1298,2746,4709,6665,8731,
133975809984,3382,1204,2801,4866,6945,9120,
133976309984,4418,1206,2852,4828,6911,8760,
133976809984,3763,1423,2955,4878,6966,8719,
133978309984,3475,1247,2728,4729,6684,8694,
133978809984,3484,11710,2580,4782,6732,8798,
133979809984,5961,4054,3895,4749,6694,8682,
133981809984,3481,1483,3157,4660,7005,8755,
133982809984,3205,1146,2691,4605,6878,8822,
133983809984,3737,1382,2826,4827,6791,8769,
133984809984,6282,1360,2768,4864,6704,8755,
133985309984,5315,1633,2827,5079,6744,8810,
133986809984,3637,11702,2846,4840,6665,8704,
133989309984,4461,12094,2690,4828,6844,8752,
133990309984,3742,11694,2844,4632,6831,8649,
133992809984,3916,1801,2668,4819,6999,8828,
133993309984,2858,1238,2682,4733,6684,8664,
133993809984,3780,1209,2848,4620,6701,8840,
133994309984,3425,1347,2772,4675,6790,8732,
133995809984,13360,1309,3142,5745,9295,9472,
133996309984,4502,1269,2693,4707,7187,8895,
