,W-0,R-0,R-1,R-2,R-3,R-4,
134467828070,9000,9202,21150,14921,9912,11099,
134469328070,4679,12891,4140,5267,7173,9025,
134470328070,4163,12606,3881,5370,7144,12092,
134471328070,3124,12167,2875,4995,7106,9032,
134472328070,3777,12347,2929,5055,7011,9121,
134472828070,3892,12449,2984,5007,7003,9058,
134473328070,23245,12134,3236,5190,7293,9204,
134473828070,6520,12341,14266,5254,6896,8894,
134474328070,4069,47889,3100,4927,7118,9219,
134474828070,5688,12478,35740,5120,62009,19799,
134476328070,10230,13139,3013,5113,7068,9205,
134477328070,33673,12473,25054,16276,18162,30829,
134477828070,3652,12419,3136,5054,7219,9385,
134478328070,300000,12635,13877,15974,7247,9122,
134478828070,292044,294047,299873,294453,292185,299589,
134479328070,50187,23874,19369,16087,18195,20184,
134479828070,300000,12328,2972,4876,6981,8995,
134480328070,8544,12180,35569,37602,18046,19999,
134481328070,3439,12238,3022,4922,6914,8854,
134481828070,3227,12724,3070,5195,6867,8913,
134482328070,3120,11834,3346,4919,7140,9086,
134482828070,4781,12360,13795,16104,17812,19813,
134483828070,4535,12147,13757,4987,17664,8871,
134484828070,3661,12320,3176,4845,6916,8821,
134485328070,14241,12020,2862,15841,17739,8852,
134487328070,3491,11979,3055,4900,6859,8845,
134487828070,2504,12183,2835,4906,6822,9282,
134488328070,3044,12354,26629,26854,18038,19874,
134488828070,3222,23038,2921,4901,6827,19842,
134489328070,3655,12195,3037,4980,7107,8845,
134491828070,3549,12235,3265,5086,7097,9042,
134492828070,3059,12694,3197,5138,7017,8810,
134493328070,5226,12268,14015,4858,6888,8922,
134493828070,15013,12617,3025,4869,6781,8777,
134494328070,2509,11881,24675,4856,17723,8819,
134494828070,3575,12582,3214,4973,6852,8872,
134495828070,4123,12027,3078,5073,6889,8905,
134496328070,8559,23473,14070,4881,6915,20430,
134496828070,3785,12303,3059,5015,17825,9036,
134498828070,3544,12262,13900,4877,18082,8822,
134499328070,4670,12137,13771,5022,6888,9031,
134500828070,3562,12593,3103,4916,7018,9380,
134501328070,3683,12106,3110,5152,7070,9108,
134501828070,3976,12335,4463,5082,7993,8836,
134502328070,2601,23719,2819,4798,18113,8868,
134503328070,4574,12042,13629,4923,6895,8796,
134504828070,248035,12170,3165,4853,6828,8834,
134505328070,4835,12768,3216,16170,6903,9198,
134505828070,3521,12161,3037,4898,6853,8759,
134506828070,3611,12213,3040,5106,7037,8994,
134508328070,3622,12411,13784,16169,7023,9007,
134509328070,27813,12101,2851,5115,7066,8912,
134510828070,5120,12100,13710,4903,7722,9645,
134511328070,34757,12247,13888,5085,7035,9128,
134512328070,3580,11844,3111,5515,6843,9019,
134512828070,2733,12107,3048,4898,6843,8809,
134514328070,3705,23074,14130,4873,6776,8911,
134514828070,7169,12236,2853,4880,7097,8903,
134515328070,2544,12074,2842,4820,6980,9118,
134515828070,5073,11903,14040,17501,7022,8832,
134517828070,3874,12173,2987,4787,6781,8824,
134519828070,3729,12200,13910,5092,7011,19715,
134520328070,8474,12375,2987,5104,7202,9003,
134521828070,3514,11999,2891,4859,6785,8852,
134523328070,7708,12567,2992,8417,9232,9091,
134525828070,3311,11669,2821,4684,6758,8742,
134526328070,2652,12031,2803,5033,6744,8857,
134527328070,3658,12494,3112,4991,6912,8904,
134527828070,4604,12316,13606,4785,6797,9386,
134528328070,3613,11794,13835,4981,6988,9012,
134529328070,4576,12286,13688,4791,7053,8981,
134531828070,10872,11994,13853,15665,17573,19798,
134532328070,3667,12130,3037,5388,18086,8910,
134533328070,43094,12096,2872,15608,17634,8846,
