,W-0,R-0,R-1,R-2,R-3,R-4,
136258478304,16849,27202,27494,28421,27350,18304,
136259978304,25924,25224,25378,27512,29275,31342,
136260978304,2869,12405,3276,5013,7004,9175,
136261978304,3892,23584,3195,4994,18347,9151,
136262978304,4590,12668,14621,15918,7100,8947,
136263478304,3477,12106,3013,5051,7033,9045,
136263978304,3627,12238,3106,15883,17903,8964,
136264478304,3897,12598,14096,4882,17944,8980,
136264978304,3554,12198,2917,5086,6991,9051,
136265478304,3337,12462,14028,4946,6991,9247,
136266978304,3212,12465,3807,5196,7039,8891,
136267978304,70583,66847,69192,70923,83879,74240,
136268478304,10925,11949,3289,5011,6970,8886,
136268978304,3268,11938,2899,5077,7145,8954,
136269478304,2649,12468,3078,4984,6923,9045,
136269978304,3381,12484,3230,4923,6955,9087,
136270478304,2593,12207,3141,5025,7138,8960,
136270978304,3262,12379,3847,5120,7008,9013,
136271978304,5228,12553,3324,4987,6998,9020,
136272478304,5903,12438,14083,5282,6907,9037,
136272978304,2526,12336,2890,4903,6864,8864,
136273478304,2668,11913,2937,4993,6964,9011,
136274478304,3669,12164,2958,4877,6921,8953,
136275478304,3751,11882,2927,5075,7008,8960,
136275978304,3403,11981,3108,4978,6957,8918,
136277978304,3931,12408,13919,4944,7009,9015,
136278478304,2619,12151,2876,4867,6916,8983,
136278978304,2608,12364,13876,4939,6982,30804,
136279478304,3503,12508,3176,8519,9103,9257,
136279978304,2908,14946,3596,5142,6938,9005,
136282478304,3603,11996,3009,4905,6886,8934,
136283478304,2549,12055,2884,4976,6964,8868,
136283978304,2588,12015,2888,4852,6881,8857,
136284478304,3664,12125,3016,5001,6936,8961,
136284978304,3882,12282,3000,4936,6942,19820,
136285478304,2892,12166,13567,5008,6834,8934,
136286478304,3780,12629,3166,5255,7237,9116,
136286978304,2633,12297,2906,5201,6951,9025,
136287478304,5886,22888,24404,4846,6883,8830,
136289478304,2585,22920,13835,15831,17771,19965,
136289978304,4009,12154,2986,4894,6976,8814,
136291478304,3501,12187,3084,4937,6981,8878,
136291978304,3780,11942,3135,4907,6980,8890,
136292478304,4656,34632,13749,48194,28397,8889,
136292978304,9293,22965,13566,15767,17750,8807,
136293978304,3627,33948,14187,15959,17906,30667,
136295478304,143853,11842,3838,4966,6840,9560,
136295978304,26977,34021,25584,27210,28558,30576,
136296478304,3482,12286,3163,4949,7008,8988,
136297478304,3820,12238,13789,16003,18170,8987,
136298978304,3894,12052,3093,4956,6830,8860,
136299978304,2492,12143,3204,4863,6837,8893,
136301478304,2601,11987,2882,6637,6851,10032,
136301978304,13146,12408,14010,15871,17739,19656,
136302978304,3571,12096,2981,4980,6891,9546,
136303478304,5437,14358,3616,5058,6947,8834,
136304978304,5897,22802,13774,16068,7422,19741,
136305478304,5201,12012,14380,4970,6856,8992,
136305978304,2483,11857,2894,5320,17839,8811,
136306478304,5923,14408,14056,15772,6906,8957,
136308478304,3466,12041,3026,4921,6908,8909,
136310478304,3496,12147,3084,4891,6798,8816,
136310978304,6682,12100,3047,4991,6928,8884,
136312478304,5079,23693,14007,4932,28593,8962,
136313978304,3630,12421,2986,4906,7042,9041,
136316478304,3637,11981,2994,4984,6941,8950,
136316978304,3921,12206,3074,4843,7032,8829,
136317978304,3480,11825,13855,15797,7296,8830,
136318478304,13340,23410,13939,15825,17870,19922,
136318978304,3526,12039,2962,5138,6930,9020,
136319978304,4580,12039,13900,4922,6776,8845,
136322478304,3564,12162,2933,4867,6920,11946,
136322978304,3046,11861,3304,4900,7036,8974,
136323978304,3261,11973,2947,4876,6992,8964,
136324478304,9331,12647,3197,8605,8488,9015,
136324978304,4027,12339,3210,5025,7264,8977,
136325478304,2534,12012,2975,4839,6926,8791,
136327478304,10278,12665,3195,4926,7018,9009,
136328478304,2619,12078,2902,4931,6809,8942,
136330978304,4410,11862,3202,4817,6775,8780,
136331978304,4952,12248,14272,4835,7462,9570,
136332478304,3592,12538,2980,4968,6904,9262,
136334978304,3820,12176,3024,5210,6908,8997,
136335478304,3566,11962,2895,4814,6879,8954,
136336478304,3577,12107,2942,4881,6933,8828,
136338978304,3300,12052,3045,7847,7354,9202,
136340478304,2690,11998,2971,4852,6996,8862,
136340978304,3527,12068,2888,4953,6877,8858,
136341478304,27001,11870,2967,5241,6938,9004,
136341978304,2476,12178,2950,16361,6945,8836,
136342478304,5330,12103,2991,5024,6942,8858,
136342978304,3525,11831,13970,5348,6818,8837,
136343478304,3365,11875,2907,5154,6850,8761,
136344978304,98651,12139,3044,4860,6923,8906,
136345478304,3760,12001,2962,4890,6884,8852,
136345978304,3663,11994,13818,4938,6909,8899,
136348478304,10538,12288,3001,4959,7145,8951,
136348978304,3497,12383,2912,4843,6818,8817,
136349978304,3860,11907,2974,4880,6835,8862,
136350978304,3585,12261,3006,4884,6746,8936,
136351478304,4578,12030,13961,4919,6793,8872,
136351978304,7370,13554,14826,15608,7056,8891,
136352478304,77121,11863,2959,15573,17582,8939,
136354978304,3663,11883,2976,4913,6892,9476,
136356978304,3803,12141,2980,5272,6924,8996,
136357478304,4501,12377,14446,4896,6965,8829,
136357978304,3574,12139,13902,4853,17612,8886,
136358478304,2486,11973,3433,4823,6838,9096,
136358978304,5908,11917,13991,5018,6880,8779,
136359478304,2436,12406,2800,4818,6851,8877,
136360978304,21196,33390,24445,37091,39536,41092,
136361978304,3609,11956,2966,4961,8112,8904,
136362478304,3165,22846,13953,4862,6887,8925,
136362978304,3447,11842,2874,4795,8072,9039,
136363478304,2868,11859,2747,4880,6844,9135,
136364978304,3497,11913,2848,4867,6858,8816,
136365478304,18061,11831,2921,4835,6804,9133,
136366478304,3474,11959,2976,4872,6832,8902,
136368478304,3527,12076,2997,4931,6941,8835,
136369478304,4870,12040,13987,5433,6930,8862,
136370478304,10997,11860,2896,5808,6851,9220,
136371478304,4404,11795,4009,4868,6857,8850,
136371978304,2540,11925,2920,4851,6695,8843,
136373478304,3064,11833,2953,4816,6684,8782,
136375978304,3743,12155,3509,5046,7188,9220,
136376978304,3639,11978,3024,5003,7168,8913,
136379478304,3596,22775,13751,26753,28327,8866,
136379978304,5063,12143,13854,4864,6950,8874,
136380478304,13333,11877,3171,4991,7038,9087,
136380978304,3618,12051,2973,5137,6820,8820,
136382478304,3177,12121,3012,4916,7005,9097,
136382978304,5171,11859,13650,4965,6808,9315,
136383478304,3275,12089,2888,4893,6826,8934,
136385478304,2588,11823,2956,4962,6834,8873,
