,W-0,R-0,R-1,R-2,R-3,R-4,
113033212228,7527,36109,25575,34935,22055,35747,
113034712228,2083,15431,15949,5138,7007,11050,
113035712228,1313,1570,3269,7727,8570,9040,
113036712228,3551,12285,3250,5102,7112,9237,
113037712228,2018,33866,3252,37448,6940,9037,
113038212228,1969,12252,2922,5181,18298,9187,
113038712228,25281,1453,13976,5245,18124,30950,
113039212228,1668,12708,3041,4949,7098,9016,
113039712228,2125,1357,14092,15750,6939,9000,
113040212228,1233,11835,2955,4927,28844,30570,
113041712228,1563,12302,3013,4953,6958,8908,
113042712228,1620,12329,3052,5132,6996,8998,
113043212228,1606,1320,2995,5101,17983,8968,
113043712228,1429,23379,2819,37401,17971,8910,
113044212228,1825,12026,3421,5030,7000,8985,
113044712228,1516,12010,13912,5016,6918,8942,
113045212228,1713,2572,3083,5001,7012,8896,
113045712228,2479,1400,2888,4980,6956,8965,
113046712228,1670,12195,3177,4872,6878,8961,
113047212228,1487,12168,24863,5030,18202,9071,
113047712228,1488,12011,2864,4874,7360,9041,
113048212228,1357,12623,3078,4971,6805,9019,
113049212228,1283,1409,14087,4994,6933,8925,
113050212228,1922,11982,3395,15678,17935,19888,
113050712228,1506,12104,3081,5452,6979,8861,
113052712228,7888,12423,13765,15857,17926,19969,
113053212228,1511,12058,2950,4996,7110,9076,
113053712228,1505,12036,2925,4933,6980,8960,
113054212228,1509,12119,3283,5065,17902,9105,
113054712228,1066,1333,2755,4882,6905,8911,
113057212228,1516,12218,2934,4899,7002,8987,
113058212228,1604,12323,2968,4966,6986,9019,
113058712228,10993,12220,13947,5076,6900,9095,
113059212228,1218,1485,2815,5071,7016,8936,
113059712228,62966,12232,2952,4861,6872,8916,
113060212228,1526,12655,14072,5033,6879,8985,
113061212228,1998,1606,2997,4973,7025,19730,
113061712228,2605,33952,3188,4916,18067,8897,
113062212228,1586,12099,2937,4946,6837,8978,
113064212228,1447,12105,3388,5138,6943,8956,
113064712228,1434,11995,3180,4905,6862,8760,
113066212228,1467,1676,3203,4897,6903,9003,
113066712228,41113,1271,2835,4891,7063,9022,
113067212228,1473,34255,13729,4836,6993,8954,
113067712228,1267,23300,3102,5087,6972,20012,
113068712228,1187,1398,3028,4906,6951,8918,
113070212228,217720,227743,230283,228250,228178,228570,
113070712228,300000,13318,3410,4967,7151,9069,
113071212228,2200,13002,3488,4938,7208,9014,
113072212228,5961,1677,13959,5072,7000,8841,
113073712228,1227,1412,13951,16021,6986,9014,
113074712228,1515,1374,13697,4740,32204,22389,
113076212228,1744,12377,13757,4985,7067,8988,
113076712228,1679,12342,3063,16337,17949,9058,
113077712228,1521,12220,3055,4943,6823,8993,
113078212228,6222,12091,2978,5358,8208,9044,
113079712228,1512,12205,2915,5026,6928,8860,
113080212228,300000,1397,2969,4932,6837,8869,
113080712228,1632,12026,13605,5126,7102,8927,
113081212228,1367,12165,13924,5079,7475,9313,
113083212228,1427,12276,3138,5152,7012,8990,
113085212228,1328,11986,2939,4977,6906,8831,
113085712228,1522,1409,13819,16040,6929,19920,
113087212228,1161,11920,2976,5181,6710,8924,
113088712228,1502,12407,13744,4929,6949,9051,
113091212228,1610,12037,3041,4992,7023,9008,
113091712228,1621,12175,3190,5053,7076,9646,
113092712228,1296,16655,2897,4958,6858,8957,
113093212228,3166,12262,2916,4967,6890,8918,
113093712228,1491,33702,3063,15705,17556,8839,
113094712228,1379,12248,2849,4983,6821,8847,
113097212228,1190,1344,13670,15575,6762,19724,
113097712228,1386,11976,2896,4939,6847,8765,
113098712228,1474,22868,3040,4911,6883,8895,
113099212228,2852,13578,13986,4991,6852,8906,
113099712228,1186,12444,2838,4926,6756,8766,
113100212228,1567,12394,3001,5008,7128,8928,
113102212228,1341,12017,2943,5066,7060,19868,
113103212228,9190,11724,3352,4851,6837,8832,
113105712228,1481,12213,2952,4938,6944,9050,
113106712228,1526,12192,3010,4906,6885,9048,
113107212228,7945,12196,3053,5071,7168,8982,
113109712228,1565,12305,3174,16000,18020,19764,
113110212228,1461,12469,3037,4928,6934,8724,
113111212228,1377,12115,2914,4926,6870,8954,
113113712228,1210,1440,3036,5071,6882,8814,
113115212228,1338,11964,3003,5037,6971,8860,
113115712228,7086,12345,3035,4908,6898,8961,
113116212228,1725,2562,13691,4916,6881,8933,
113116712228,1496,12205,2977,4898,7004,8903,
113117212228,1134,1375,13820,4933,7180,9288,
113117712228,1283,12041,13617,4723,6875,19844,
113118212228,1548,1659,2845,5002,6812,8822,
113119712228,1568,23054,2853,4888,17971,9037,
113120212228,6394,12236,24627,4997,6929,8931,
113120712228,1369,11971,13639,5033,6960,8817,
113123212228,1150,1341,3075,5014,6882,9001,
113123712228,1273,1418,2938,4885,6906,9228,
113124712228,1558,12065,2931,4909,7034,8936,
113125712228,1902,12604,2883,5561,6860,8926,
113126212228,1282,11893,2950,5111,6934,8958,
113126712228,1407,12019,2855,4888,6857,8884,
113127212228,1418,12390,3036,4939,7002,8962,
113129712228,5072,5104,5542,5372,6814,8722,
113131712228,1490,12388,3205,4975,7021,8979,
113132212228,1364,12010,13733,4812,6932,8749,
113132712228,1370,11977,2925,4760,6813,8994,
113133212228,1290,1523,2890,4733,6938,8837,
113133712228,1238,1392,2970,5080,6942,9070,
113134212228,1494,12745,13955,4886,6900,8767,
113135712228,1481,12019,3350,4876,6950,8816,
113136712228,6952,16422,13931,16206,17980,9129,
113137212228,1471,1362,2947,4958,6918,8968,
113137712228,1350,11626,2877,4840,6720,8926,
113138212228,1267,1458,3008,5059,6993,9028,
113139712228,1616,1353,13841,4906,6962,8950,
113140212228,1513,11771,3070,5000,6920,8752,
113141212228,9224,11719,2894,4981,7018,8971,
113143212228,1537,12129,2822,4920,6999,8821,
113144212228,1271,22432,13562,4914,17566,9011,
113145212228,1462,12060,3348,4935,6903,8883,
113146212228,53303,55033,55420,52753,53152,53038,
113146712228,1513,11921,13598,4857,6950,8974,
113148212228,1310,11966,13629,4972,6766,8842,
