,W-0,R-0,R-1,R-2,R-3,R-4,
114818059309,4846,22575,5498,10524,10603,30199,
114819559309,3661,1889,3123,5003,7114,9095,
114820559309,1471,1740,3310,4943,6937,10393,
114821559309,1897,1577,2917,4959,7139,9002,
114822559309,1370,1918,2953,4990,7436,8900,
114823059309,1242,1534,3102,5146,6975,8927,
114823559309,1813,1631,3211,5044,6952,9118,
114824059309,1616,1821,3262,5801,6955,8965,
114824559309,1511,12358,3105,5060,7152,8983,
114825059309,1897,1654,3139,4861,6892,9022,
114826559309,1651,1374,3013,5015,7067,9367,
114827559309,1318,1524,3368,5032,6994,8886,
114828059309,1648,11921,3073,5177,7190,9015,
114828559309,1408,1593,3345,5043,6967,8920,
114829059309,1578,1407,3017,4987,6883,8958,
114829559309,1350,1581,3029,5022,6963,9118,
114830059309,1758,1444,3032,5976,7027,8952,
114830559309,1675,1391,3183,4922,6911,8949,
114831559309,1484,12063,3097,4895,6893,9003,
114832059309,1531,1369,2936,4870,6922,9225,
114832559309,1594,1332,2950,5144,6945,8821,
114833059309,1547,1268,3099,4900,7286,9002,
114834059309,1790,1445,2976,4993,6881,8977,
114835059309,1433,1654,3261,5109,6937,9233,
114835559309,1567,1287,2982,4904,6907,8872,
114837559309,10164,1478,3104,5104,6971,8890,
114838059309,1297,1497,3049,4836,6927,9005,
114838559309,1885,12260,3043,4927,7113,8866,
114839059309,1469,12412,3220,4952,6945,8968,
114839559309,1216,1376,3162,4951,6888,9550,
114842059309,1161,1316,3644,5097,6991,8895,
114843059309,1413,12373,3099,4950,6940,9141,
114843559309,1499,12143,3050,4998,7019,8985,
114844059309,1275,11784,2981,4891,6868,8874,
114844559309,1188,1427,2903,4947,6878,8944,
114845059309,1594,12057,2950,5021,6912,8891,
114846059309,1240,1414,3061,4857,6855,8908,
114846559309,1644,1347,4621,5337,7590,9037,
114847059309,1284,11826,2898,5002,7067,9152,
114849059309,1638,1375,2912,5019,6944,9012,
114849559309,1874,1293,2972,4833,6819,8856,
114851059309,1851,1540,3120,4961,6961,8934,
114851559309,1616,11837,3115,4824,6903,8866,
114852059309,10670,1334,3046,4979,6961,9073,
114852559309,1232,1376,2875,4914,6943,9074,
114853559309,1435,1166,3016,4897,7025,8983,
114855059309,1564,11771,2905,4841,6998,8858,
114855559309,1398,1220,2979,4974,6816,8836,
114856059309,1185,1406,3016,4961,7024,8847,
114857059309,1685,1443,3056,4860,6978,8894,
114858559309,1208,1487,2922,4932,6902,8901,
114859559309,1493,1305,3026,5294,7019,8831,
114861059309,7593,1421,2924,4878,7013,8855,
114861559309,4585,11916,3124,4952,6913,8865,
114862559309,1536,12013,3206,4966,7074,8973,
114863059309,1219,1457,2950,4885,7333,8881,
114864559309,7274,1510,3240,4914,7377,8871,
114865059309,1148,1364,3005,4970,6928,8953,
114865559309,1165,1344,3098,4950,6918,8829,
114866059309,1561,1364,3001,4911,6901,8870,
114868059309,64131,12017,2910,5164,6926,8840,
114870059309,NULL,NULL,NULL,NULL,NULL,NULL,
114870559309,NULL,NULL,NULL,NULL,NULL,NULL,
114872059309,300000,1219,2973,4814,7109,8791,
114873559309,300000,12215,3612,4642,6689,8598,
114876059309,1076,1547,2762,4803,6810,9288,
114876559309,4393,14602,14467,5158,6896,8781,
114877559309,1808,1569,2999,4991,7047,9057,
114878059309,1121,1318,3205,4908,6952,8796,
114878559309,4494,1753,3212,4997,6957,8928,
114879559309,1332,11634,2917,4766,6821,8782,
114882059309,2096,1970,2900,5046,6782,8770,
114882559309,1092,1217,2934,5288,6964,8801,
114883559309,1356,1209,2981,4772,6726,8796,
114884059309,1138,1349,2856,4911,6831,8894,
114884559309,1145,1353,2963,4892,6798,8815,
114885059309,1219,1104,2820,4639,6782,8774,
114887059309,1203,1474,2829,5312,6780,8736,
114888059309,1102,1241,2966,4817,6855,8804,
114890559309,1842,12210,2888,4817,6942,8953,
114891559309,1106,1251,3017,4870,6847,8765,
114892059309,1009,1232,2812,4769,6759,8761,
114894559309,298869,2412,3095,4840,6909,8863,
114895059309,256977,11756,2955,4873,6798,8765,
114896059309,1132,1272,2977,4925,7010,8769,
114898559309,1129,1330,2991,4883,6973,8893,
114900059309,1594,1452,3005,4932,6822,8912,
114900559309,1416,11996,3145,5754,6986,8799,
114901059309,1114,1279,2967,4841,6864,8940,
114901559309,1108,1351,3080,4869,6813,8816,
114902059309,1327,1495,3020,4800,7047,8830,
114902559309,975,1189,2940,4847,6808,8833,
114903059309,1194,1362,3126,4837,6819,8864,
114904559309,1177,1330,2980,5590,6822,8739,
114905059309,1082,1284,2841,4828,6824,8768,
114905559309,1259,11771,2971,4817,6775,8939,
114908059309,1761,11943,2813,4853,6800,8789,
114908559309,1022,1268,2901,4999,6942,8825,
114909559309,4445,1338,2958,5124,6958,8932,
114910559309,1544,1393,2957,4852,6795,8928,
114911059309,1267,1429,3112,4895,7051,8902,
114911559309,1146,1280,2899,4787,6740,9019,
114912059309,1160,1425,2909,4781,6872,8845,
114914559309,1106,1405,2877,4637,6801,8768,
114916559309,1153,1296,2998,5672,6946,8958,
114917059309,1079,1325,2859,4782,6836,8821,
114917559309,1238,1049,2839,4783,6769,8678,
114918059309,1022,1197,2966,4903,6759,8803,
114918559309,1127,1300,3013,4869,6839,8844,
114919059309,764,877,2512,4536,6475,8595,
114920559309,1179,1086,2855,4884,6823,8853,
114921559309,9190,1251,2820,4832,6921,8990,
114922059309,1058,1326,2821,4852,6807,8767,
114922559309,1505,1406,3013,5064,6860,8820,
114923059309,1110,1285,3021,5247,6780,8798,
114924559309,1227,1428,2910,4777,6877,8839,
114925059309,1254,1495,3024,4849,6836,8800,
114926059309,1107,1393,2846,4807,7032,8872,
114928059309,1140,1444,2930,4747,6863,8740,
114929059309,1225,1375,2910,4891,6752,8831,
114930059309,1137,1294,2979,4910,6848,8814,
114931059309,1441,1313,2935,4934,6933,8914,
114931559309,1306,11554,2724,4835,6828,8662,
114933059309,1188,1444,2992,4810,6863,9014,
114935559309,2210,12416,3000,5109,6886,8960,
114936559309,1063,1407,2935,5166,6828,8741,
114939059309,1163,1337,2882,4775,6877,8809,
114939559309,2067,1982,3214,4872,6873,8954,
114940059309,1264,11877,3021,4948,6930,8868,
114940559309,33551,1454,3001,4928,6851,8786,
114942059309,1799,1540,2947,4746,6831,8764,
114942559309,3267,1144,3104,4993,6985,8787,
114943059309,20891,11994,2965,4861,6890,9116,
114945059309,1262,1482,3032,5526,8010,8795,
114946559309,1088,1511,2923,4846,7141,9182,
114947059309,1122,1399,2757,4777,6807,8760,
114947559309,14655,15371,16410,16146,16015,16285,
114948059309,1333,1237,2989,4850,7114,8729,
114948559309,1985,2339,2874,4674,6847,8821,
114949059309,5531,1229,2832,4898,6886,8918,
114949559309,9089,1331,2904,4777,6862,9387,
114951059309,1423,1619,3110,4826,6934,9271,
114952059309,995,1191,2807,5289,6875,8962,
114952559309,1074,1230,2860,4791,6785,8770,
114953059309,14472,11683,2968,5038,6962,8835,
114953559309,1250,11789,2848,4845,6841,8759,
114954559309,1006,1294,2907,4796,6859,8798,
114955559309,1351,1239,3802,4836,7235,8889,
114956559309,14144,1377,3089,4869,6919,8876,
114957059309,1027,1205,3000,4864,6890,8690,
114957559309,1416,1336,2871,4932,6838,8819,
114960059309,1330,1526,3171,4768,6839,8956,
114962059309,1846,1564,2754,4819,6863,8809,
114963559309,1499,11683,2902,4892,6810,8732,
114965559309,1282,1184,2999,4897,6672,8880,
114966059309,1086,1268,2956,4800,6630,8753,
114967059309,9270,1128,2959,4784,6809,8847,
114968059309,3150,1861,2951,5805,6814,8795,
114968559309,3309,12249,3856,4910,6848,8883,
114969059309,1333,1537,3278,4830,6932,8889,
114971559309,1395,1204,2808,4790,6846,8781,
114972559309,1163,1359,3080,4888,6790,8869,
114974059309,1474,1355,2945,4993,6937,8847,
114976559309,1267,1407,2976,4885,8453,8902,
114978059309,1179,1410,3024,5228,6767,9310,
114979559309,7658,1213,2844,4759,6874,8760,
114981059309,1736,1504,3017,4984,6875,8812,
114982559309,1039,1188,2983,4805,6840,8626,
114983059309,6813,1191,2979,5191,6961,8827,
114983559309,1099,1284,2801,4756,6774,8805,
114984059309,1429,11766,3033,4943,6928,9024,
114984559309,1036,1182,2917,4756,6764,8644,
114985559309,1337,11830,2932,4833,6851,8857,
114986059309,1376,1191,2954,4870,6953,8830,
114986559309,12100,1127,2942,4958,6889,8677,
114987559309,10807,1165,2828,4775,6793,8870,
114989559309,1322,11562,2837,4813,6805,8751,
114990559309,1012,1200,2883,4787,6823,8808,
114993559309,1411,11880,2977,4968,6925,8938,
114994059309,1214,1440,3062,5019,6972,8907,
114995059309,1005,1168,2906,4796,6802,8782,
