,W-0,R-0,R-1,R-2,R-3,R-4,
115412333907,15511,29184,28435,27999,28057,28494,
115413833907,1534,12290,3024,5342,7357,9200,
115414833907,10137,1386,3147,5004,7274,9310,
115415833907,129340,1843,3256,5080,7492,9215,
115416833907,1991,11827,2928,4958,6910,8790,
115417333907,43242,1708,3179,4947,6906,9010,
115417833907,1484,1577,3279,5074,7054,8973,
115418333907,1762,12364,3296,4791,6955,8875,
115418833907,1407,1594,3066,4873,6900,8979,
115419333907,1759,1416,3046,4876,6835,8817,
115420833907,1583,12206,2996,4924,6966,9037,
115421833907,1616,1337,3057,4842,6835,8866,
115422333907,1643,1321,3398,5645,7020,8944,
115422833907,1577,12296,3064,5144,6914,8988,
115423333907,1550,1354,2843,4825,6844,8922,
115423833907,1633,12194,3025,5244,7010,8970,
115424333907,1841,12334,2920,4895,6823,8919,
115424833907,2684,11797,3060,4899,6912,9217,
115425833907,1741,12203,3250,4873,6865,9070,
115426333907,10357,22643,22291,22504,21701,22028,
115426833907,1448,12362,3180,4896,7021,8921,
115427333907,1263,1416,2992,4895,7042,8819,
115428333907,1654,11889,3349,4953,6967,8964,
115429333907,1308,1547,3035,4928,6871,8933,
115429833907,1563,1350,2898,4930,6797,8974,
115431833907,6686,12048,3449,5079,6956,8877,
115432333907,1847,1537,2849,4931,6783,8870,
115432833907,1362,11889,2922,5246,6834,8916,
115433333907,1547,1328,2953,4941,6995,9193,
115433833907,3047,13499,2893,4966,6919,9146,
115436333907,1806,1493,3179,4783,7050,8992,
115437333907,1683,12042,3634,4850,6825,8853,
115437833907,1385,11909,3000,4917,6967,8864,
115438333907,1597,1441,2929,4908,6973,8847,
115438833907,1534,1266,3040,5053,7321,9066,
115439333907,1333,1586,2939,5148,6911,8878,
115440333907,1243,1393,3162,5183,7177,8954,
115440833907,1307,1468,2900,4963,6913,8804,
115441333907,1555,12037,3426,4984,7031,8921,
115443333907,54805,12219,3179,5075,6995,9054,
115443833907,1709,1433,2847,5174,6870,9165,
115445333907,2550,1922,3285,5091,7151,9076,
115445833907,1510,1519,3237,5005,7031,8929,
115446333907,1249,1688,2790,4812,6742,8948,
115446833907,1745,1388,3278,4988,6935,8818,
115447833907,1530,1708,2952,4932,7338,8910,
115449333907,1951,1622,3027,4867,7018,8861,
115449833907,10216,12029,3646,4821,6774,8926,
115450333907,1245,1457,3018,5180,7162,8894,
115451333907,1453,11929,3191,4805,6920,8844,
115452833907,1362,1456,2832,5010,7004,8846,
115453833907,1365,12050,2986,4930,7291,8983,
115455333907,1518,11902,2944,4895,6769,9867,
115455833907,8470,1446,3009,5040,6988,8925,
115456833907,1521,12147,3068,4933,6879,9019,
115457333907,186478,1688,3187,5074,7031,9038,
115458833907,133083,11960,3257,5036,6882,8906,
115459333907,1481,1329,2859,4810,6791,8839,
115459833907,1761,12273,3143,5058,6878,8949,
115460333907,1391,11948,3161,5018,6825,8760,
115462333907,1442,11761,3044,4934,6872,8773,
115464333907,1313,1585,3467,4746,6816,8935,
115464833907,1746,1888,2851,4804,6744,8827,
115466333907,55275,1507,2877,4807,6935,8833,
115467833907,1577,1338,2929,5056,6843,8838,
115470333907,1419,12053,2961,4975,7269,8834,
115470833907,5275,1233,2790,4808,6727,8760,
115471833907,1269,1441,2896,5030,6761,8853,
115472333907,1180,1430,2973,4955,6745,8827,
115472833907,1214,1459,3397,4766,6846,8954,
115473833907,1251,1451,2907,4928,6948,8882,
115476333907,202897,211325,207937,213265,211694,218862,
115476833907,300000,306250,306928,306744,306773,307166,
115477833907,1203,1471,2811,4828,6815,9283,
115478333907,1535,1785,2781,5030,6783,9090,
115478833907,121917,1232,2982,4968,7054,9083,
115479333907,300000,12356,3138,5139,7154,9267,
115481333907,1582,31564,4869,11213,11429,14131,
115482333907,1506,11789,3549,4767,6939,9208,
115484833907,1374,11891,2986,5055,6939,8915,
115485833907,1411,1212,2814,4789,6878,8812,
115486333907,1492,1357,2915,4897,6766,8909,
115488833907,1462,12350,2901,4703,7378,8934,
115489333907,1378,1692,3195,4778,6992,8873,
115490333907,1347,11727,2869,5324,6707,8718,
115492833907,1226,1329,2891,4829,6786,13724,
115494333907,1323,1465,2919,4824,6823,8815,
115494833907,1455,1304,2893,4958,6982,8828,
115495333907,1244,1448,2916,4780,6674,8975,
115495833907,1425,12012,2919,4741,6685,8814,
115496333907,1496,1344,2928,5226,7002,8889,
115496833907,1153,1316,2652,4743,6726,8753,
115497333907,1162,1315,2706,4756,6819,8875,
115498833907,1633,1427,2967,4914,6780,9229,
115499333907,1263,1455,2914,4761,6720,8818,
115499833907,1502,1307,2889,5216,6867,8861,
115502333907,1383,11707,2820,4787,7000,8950,
115502833907,1026,1282,2874,4722,6721,8748,
115503833907,17539,1431,2933,4888,6891,8918,
115504833907,1269,11814,2767,4882,6873,8907,
115505333907,1388,1272,2856,4835,6859,8939,
115505833907,19468,1190,2845,4736,6816,8815,
115506333907,1440,1296,2984,5078,6975,8917,
115508833907,1839,1532,2977,4951,6925,8942,
115510833907,1503,11863,3092,5630,6774,8856,
115511333907,149005,1616,3043,5317,6850,8741,
115511833907,1207,11726,2697,4834,6761,8709,
115512333907,1570,1671,3045,4830,6821,8675,
115512833907,300000,1320,2920,4823,6691,8672,
115513333907,1264,12054,2836,4750,6764,8792,
115514833907,1610,12259,2865,4957,7294,9330,
115515833907,1207,11740,2754,4747,6740,8824,
115516333907,1302,11727,2788,4897,6878,8893,
115516833907,9830,1260,2980,4809,6830,8959,
115517333907,936,1435,2910,4724,6857,8833,
115518833907,11947,12053,3281,4817,6819,8819,
115519333907,1474,1278,2732,4688,6821,8678,
115520333907,1312,1532,9873,10262,9806,9554,
115522333907,1446,1342,2835,4744,6677,9373,
115523333907,1394,1565,3066,5088,7011,8832,
115524333907,1542,1341,2933,4931,6908,8783,
115525333907,1484,1343,2916,4813,6788,8824,
115525833907,1616,1403,2936,4886,6857,8755,
115527333907,1357,11843,2797,4818,6876,8812,
115529833907,1144,1308,2670,4775,6817,8866,
115530833907,1412,11874,3294,4836,6831,8987,
115533333907,1585,11976,2971,5352,6860,8792,
115533833907,1216,1471,2997,4892,7032,8803,
115534333907,1045,1359,2944,4804,6870,8950,
115534833907,1304,1500,2827,4756,6790,8855,
115536333907,1505,1389,3164,4805,6705,8998,
115536833907,1308,1528,3136,4918,6880,8914,
115537333907,1074,1341,2914,4968,7144,9139,
115539333907,1291,12222,2873,4869,6766,8879,
115540833907,1513,1407,2929,4864,6787,8817,
115541333907,1536,12033,3263,4879,6962,8827,
115541833907,2386,11847,2916,4764,6753,8727,
115542333907,2513,1235,2893,4964,6732,8765,
115542833907,1488,11995,2802,4990,6802,8729,
115543333907,1267,1444,2813,4784,6859,9018,
115543833907,1354,11813,2845,4891,6866,8999,
115545333907,1365,11812,2915,4837,6871,8824,
115546333907,1382,11710,3044,4854,7814,9185,
115546833907,1157,1394,2922,4771,6810,8764,
115547333907,1252,1443,2985,4855,6836,8744,
115547833907,990,1320,3092,4960,6907,8826,
115548833907,1154,1422,2752,4770,6749,9078,
115549833907,1012,1271,2726,4692,6984,8837,
115550833907,1308,1618,2762,4806,6971,8754,
115551333907,1225,1383,2843,5046,6947,8870,
115551833907,1131,1286,2895,4885,7315,8741,
115554333907,5427,11716,3025,4954,6795,8792,
115556333907,1575,11726,2786,4914,6680,8770,
115557833907,1234,1379,2881,4927,6808,8877,
115559833907,1493,1304,3003,4877,6933,9256,
115560333907,1248,1420,2881,4963,6862,8821,
115561333907,1204,1398,3050,5039,6915,8790,
115562333907,1051,1323,3731,4885,6909,8752,
115562833907,1513,1270,2961,4880,6802,8783,
115563333907,984,1319,2857,4821,6831,8824,
115565833907,1431,11891,2840,4952,6848,8901,
115566833907,9449,1380,3464,4760,6723,9380,
115568333907,1445,1744,3020,4892,6863,8984,
115570833907,75388,1398,2851,5153,6887,8709,
115572333907,1766,12133,2717,4740,6908,9023,
115573833907,17298,18028,18979,18372,18884,18696,
115575333907,2620,2422,2999,5228,6662,8816,
115576833907,1553,11976,2720,4726,7309,8940,
115577333907,46371,1355,2947,4812,7631,9044,
115577833907,1209,1365,2898,4725,6718,8814,
115578333907,1500,1640,2763,4788,6990,8913,
115578833907,2769,13318,2975,5180,6761,8949,
115579833907,1209,1341,2891,4809,7161,8817,
115580333907,65484,1256,2868,4864,6837,9254,
115580833907,1301,1458,2894,4808,7004,8964,
115581833907,1247,1670,2811,4959,6862,8877,
115583833907,1207,1368,2691,4802,6764,8680,
115584833907,1170,1347,2818,4776,6889,8817,
115587833907,1394,1548,3033,5351,6930,8720,
115588333907,1384,1200,2814,4857,7002,8877,
115589333907,1531,1629,3020,4965,6722,8809,
115590833907,1298,1515,2928,4946,6963,8870,
115591333907,1302,1491,2908,4820,6839,8789,
115591833907,1213,1479,3143,4958,6757,8703,
115592333907,1246,1755,2953,4937,6938,8735,
115593333907,1211,1416,2794,4927,6953,8869,
115594333907,1214,1394,3021,4888,6859,8801,
115594833907,1295,12000,2859,4858,6914,8874,
115595833907,1427,1241,2832,5197,6860,8747,
115597333907,8121,1372,2807,4840,6783,8844,
115597833907,1207,1395,3023,4870,6870,8783,
115598833907,1273,1408,2979,4907,6794,8832,
115599333907,1386,1273,2913,4806,7153,8807,
115599833907,1476,11968,2821,5038,6900,8743,
115600333907,1384,1196,3025,4945,6939,8896,
