,W-0,R-0,R-1,R-2,R-3,R-4,
116602154829,4097,9610,21953,9805,10397,16380,
116603654829,1808,13720,3004,4942,7054,9248,
116604654829,1488,35081,13920,4926,40111,8904,
116605654829,9719,12623,25406,16033,18051,20059,
116606654829,1828,12830,3355,4943,7126,9060,
116607154829,1638,12245,3210,5146,7112,9386,
116607654829,1390,12691,3288,5108,7021,8993,
116608154829,1584,12280,3134,5108,6978,9014,
116608654829,1533,61333,3233,61680,7389,41851,
116609154829,1788,12376,3144,4923,6989,9234,
116610654829,3635,12115,3102,5216,6928,9132,
116611654829,1657,12372,3033,4955,6966,9352,
116612154829,1464,12255,3033,4887,6998,13360,
116612654829,1578,12080,3037,15841,7059,8987,
116613154829,1731,23396,14507,16268,17944,9095,
116613654829,1789,12432,3129,5072,7049,8872,
116614154829,1554,12308,3095,4899,7299,9024,
116614654829,1680,12442,13811,4987,6972,9022,
116615654829,1542,12602,13950,5018,6974,8861,
116616154829,1452,12241,3267,5454,6973,9085,
116616654829,1496,12296,3349,5061,6940,9342,
116617154829,1594,12529,2953,5010,6970,8979,
116618154829,1484,12484,3075,5096,7139,9125,
116619154829,1541,12126,13831,5084,7029,8987,
116619654829,1446,11980,3512,4857,6940,8874,
116621654829,1717,12446,13815,15825,6884,8890,
116622154829,1721,12528,3356,5514,7135,9128,
116622654829,1533,12843,3088,5019,7248,9069,
116623154829,1925,13129,3111,4998,6975,9242,
116623654829,2726,12333,13978,4896,7037,8978,
116626154829,1130,12351,3037,4951,6946,8912,
116627154829,1465,11963,3028,4863,6887,8837,
116627654829,1317,22925,13796,5165,6960,9006,
116628154829,1615,12342,3051,4967,7041,8890,
116628654829,1902,12545,13923,16151,7020,8906,
116629154829,1165,12352,13707,4976,7005,8942,
116630154829,2030,12718,3042,15987,17987,9061,
116630654829,1582,12287,3125,4845,6974,8950,
116631154829,1489,12442,3312,5332,8469,8906,
116633154829,7437,12065,13969,16155,17766,9030,
116633654829,1446,12252,3054,4965,6933,9087,
116635154829,3506,12601,3317,5097,7099,9148,
116635654829,1780,12438,13853,15948,17868,9034,
116636154829,1371,12352,3101,4910,6861,8926,
116636654829,1475,12057,13811,4982,7065,8926,
116637654829,1651,12346,3032,5049,6879,9072,
116639154829,1444,11998,3095,5119,7582,8866,
116639654829,1552,23157,14146,26845,6980,8933,
116640154829,1525,12241,2936,5060,6976,9145,
116641154829,1522,12575,13930,4873,6944,8866,
116642654829,4030,11988,3011,4948,7045,8959,
116643654829,5082,12252,3072,5634,6960,8991,
116645154829,1471,12151,2896,4841,6863,8876,
116645654829,1078,12378,13881,5249,7005,9593,
116646654829,7121,12607,14540,5262,7400,9072,
116647154829,1659,12458,3136,5112,6851,9069,
116648654829,1334,11854,3002,4927,6921,8895,
116649154829,1615,12219,3113,5154,7239,8975,
116649654829,1649,12436,14353,5163,6997,8971,
116650154829,1536,12724,13964,16334,6986,9043,
116652154829,1494,12757,13619,15639,17657,9374,
116654154829,1606,12354,3137,5112,7064,9068,
116654654829,1424,12302,3026,4941,7095,9232,
116656154829,1484,11794,3082,4928,6954,8849,
116657654829,128121,12295,3120,4971,7017,9120,
116660154829,1580,12244,3044,4847,6792,8992,
116660654829,1333,11852,13678,4958,6845,8929,
116661654829,2056,12154,14663,5148,7005,9417,
116662154829,1278,11904,3316,4914,6829,8966,
116662654829,1673,12306,3579,4959,7320,8778,
116663654829,11921,12592,14115,5232,6906,9154,
116666154829,1511,12226,3254,15732,29436,19999,
116666654829,1461,12094,2975,4985,6968,9067,
116667654829,1248,12282,4151,5131,6869,8914,
116668154829,1373,13091,14357,26715,17904,8971,
116668654829,1254,33418,2845,38209,6893,30638,
116669154829,1349,194002,225017,222938,191468,215775,
116671154829,1695,12488,3242,5134,7101,9160,
116672154829,1420,12019,13887,4933,6860,8890,
116674654829,1492,12068,3239,5167,7061,8809,
116675654829,1570,12536,2986,15826,17603,19747,
116676154829,3164,12022,2885,4794,7111,9034,
116678654829,1991,12071,13694,15529,6908,9063,
116679154829,1548,12145,3148,38061,7062,9230,
116680154829,1662,12288,2937,4870,6993,8991,
116682654829,1757,12241,13969,5069,6879,8892,
116684154829,300000,324013,317395,324501,318085,330117,
116684654829,1331,196334,175905,178006,170970,181482,
116685154829,2078,199690,198687,211809,203313,196328,
116685654829,1497,371847,382352,371781,379732,366317,
116686154829,1072,157940,164346,157726,168704,159822,
116686654829,1371,12416,3010,5049,6958,8872,
116687154829,1466,12320,3013,5511,7048,9000,
116688654829,183483,44611,14015,4760,7320,41449,
116689154829,1091,11877,2838,4825,6920,8849,
116689654829,292593,12278,3132,5051,7000,9112,
116692154829,1361,11924,3125,4865,7028,8928,
116692654829,1453,12370,3393,4989,7042,8863,
116693654829,2581,12149,14239,4928,6934,9019,
116694654829,1601,12155,3064,16048,72222,30361,
116695154829,1283,11787,2882,4846,39655,8825,
116695654829,57548,11741,2871,4746,6694,8742,
116696154829,241559,12615,47215,5130,17933,8961,
116698654829,1475,12007,2947,4900,6947,8929,
116700654829,1258,11866,14554,4862,6807,8821,
116701154829,1338,11875,13836,5266,6937,9130,
116701654829,19958,22851,24825,26881,29024,30634,
116702154829,1701,11969,3057,4904,7372,8821,
116702654829,1548,12041,2927,5141,6908,8926,
116703154829,1443,12220,13467,15531,18079,9131,
116704654829,7704,12029,2983,4863,7025,8921,
116705654829,1454,11978,2821,4889,6930,9034,
116706154829,1300,13299,2963,4756,6778,8895,
116706654829,1476,12147,2901,4967,6806,8858,
116707154829,6983,11934,2941,4798,7093,8819,
116708654829,11680,12282,13889,5152,7880,8840,
116709154829,38674,12240,2930,5099,7137,9035,
116710154829,1281,12094,2973,4907,6794,8951,
116712154829,9920,12012,4605,16094,7596,9527,
116713154829,1403,13004,13858,4952,6913,8919,
116714154829,1623,12398,3054,4911,7121,9023,
116715154829,1374,12085,3031,4839,6993,9002,
116715654829,1744,11975,14086,5024,6843,8979,
116717154829,1302,11807,2886,4826,6841,8852,
116719654829,1399,11938,3041,4943,6937,9373,
116720654829,1879,12099,3097,4872,6973,8934,
116723154829,1817,12343,3289,4993,6936,8967,
116723654829,1328,11844,3146,4977,6930,8913,
116724154829,1435,11839,3108,4967,6836,9106,
116724654829,1408,12356,3517,4788,7023,8983,
116726154829,1330,11961,2959,4897,6982,8947,
116726654829,1062,12310,13874,4803,6964,9020,
116727154829,1495,11904,13919,4954,17710,19806,
116729154829,1211,11205,2474,4468,6618,8490,
116730654829,1348,12052,2981,4989,6941,8974,
116731154829,1268,11928,13881,15864,9454,9243,
116731654829,2538,11990,2908,4908,7149,8970,
116732154829,1548,12360,2991,4936,6897,9017,
116732654829,1156,12128,2794,4747,6803,8810,
116733154829,10054,11821,2894,4955,6896,8868,
116733654829,1308,11684,2830,4755,7008,8767,
116735154829,1689,12280,2898,4796,6806,8865,
116736154829,1024,11711,2813,4870,6880,8952,
116736654829,1357,12122,3086,5509,6872,8982,
116737154829,1168,11892,14462,4826,6881,8762,
116737654829,1437,12148,2997,4837,7054,8892,
116738654829,1703,12243,3065,4897,6905,8865,
116739654829,15779,11880,13904,4920,6936,9004,
116740654829,1395,76386,110144,79858,103759,106139,
116741154829,1554,12277,3155,5169,6898,8973,
116741654829,1157,11818,2876,4834,6865,8757,
116744154829,1460,22822,3044,15712,17636,51852,
116746154829,1920,11823,13621,4713,6997,8977,
116747654829,1528,11992,2893,4908,7013,8844,
116749654829,1456,12037,2860,15468,17921,19635,
116750154829,1555,12283,3736,5284,6782,8921,
116751154829,1846,12965,3241,4853,6861,19796,
116752154829,1450,11951,2838,4888,6856,8855,
116752654829,1427,12062,3066,5137,6855,8758,
116753154829,1716,12368,3095,16497,7171,19896,
116755654829,1438,11841,2972,4911,6812,8997,
116756654829,3255,12965,13842,16253,6782,8859,
116758154829,198587,11977,3074,4991,6905,8894,
116760654829,1523,12497,3355,4928,7376,8899,
116762154829,1043,44551,36511,26783,28739,41027,
116763654829,1463,34021,24918,16113,30465,31044,
116765154829,2808,22491,24921,4852,6903,20220,
116766654829,1380,12350,3041,5013,6890,8882,
116767154829,1592,12255,2954,4793,6745,8855,
116767654829,1239,11816,2901,4846,7056,8812,
116768154829,1358,12110,3078,4812,6933,9058,
116768654829,1409,11923,13740,4824,6841,8940,
116769654829,3671,12343,3158,4883,6942,9040,
116770154829,1312,11869,13870,5023,17537,8837,
116770654829,1532,22796,3130,15874,17926,9099,
116771654829,1589,12215,13732,4992,7041,8802,
116773654829,1591,12279,3060,5116,7065,8984,
116774654829,1395,11925,2909,4913,6875,8707,
116777654829,1310,12092,2987,4824,6911,8934,
116778154829,1433,12120,3142,5003,6899,9039,
116779154829,1286,12724,2925,4995,6864,8862,
116780654829,1438,12153,13937,4748,6767,8902,
116781154829,1298,12019,13891,4960,6845,8740,
116781654829,1329,11709,13516,5318,17777,8872,
116782154829,1400,12236,3337,4901,6989,8938,
116783154829,1419,11907,3152,4876,6795,8834,
116784154829,1653,12380,13887,4998,7366,9226,
116784654829,28973,33727,35256,36992,38952,30922,
116785654829,1463,12351,3231,4916,7051,9220,
116787154829,1621,12057,3041,4916,6826,8962,
116787654829,1544,12269,2931,4952,6887,8827,
116788654829,1472,11850,2835,15513,17662,8725,
116789154829,1160,11816,2920,4804,6808,8870,
116789654829,1237,22575,13882,15682,17759,19762,
116790154829,1344,11983,2925,5021,7036,8929,
116792154829,1542,12140,3314,15854,6750,8738,
116792654829,1262,33466,35254,26987,39160,30917,
116794154829,1289,11940,14764,5013,6896,9014,
116794654829,1496,55856,46262,37934,50499,52119,
116795154829,1405,23967,2964,5320,19483,19992,
116797154829,7824,11912,3282,5154,7084,9098,
116798154829,1107,11842,2900,4821,6923,19731,
116802154829,1311,12116,2862,4818,6818,9001,
116802654829,1560,12058,13981,5239,6999,8835,
116803654829,1448,12114,3008,4846,7071,8844,
116804154829,1541,12318,3130,4958,7155,8983,
116805154829,1284,11848,2891,4803,6746,9101,
116805654829,1800,12520,13877,4856,6838,8845,
116806154829,1355,11996,13647,4826,6931,8910,
116807154829,1281,11775,13746,4937,6891,8912,
116807654829,1500,11826,3045,4812,7038,8790,
116809154829,1322,12644,14051,4850,7135,9037,
116809654829,1228,11925,2925,4824,6937,19846,
116811154829,1302,11970,2938,4921,6918,8827,
116811654829,1399,12290,13543,4764,6858,8812,
116812154829,1407,22829,2968,5297,18053,19706,
116813154829,1359,12027,3009,4851,6756,9046,
116814154829,1480,12031,2934,4983,7041,9004,
116815654829,1428,12064,13894,4948,6889,9048,
116816654829,1301,11680,2934,4923,6872,8831,
116818654829,1603,12318,2893,4997,6975,9023,
116819154829,21966,12164,3157,15782,28477,19871,
116819654829,14887,12060,3124,4880,6884,8881,
116820154829,1435,12136,13707,4886,6910,8833,
116821154829,1314,12372,13762,4894,6973,8894,
116821654829,1801,33769,35478,37220,40044,8863,
116822154829,1295,11834,2914,5155,6877,8887,
116822654829,4545,12134,3166,5105,7065,9040,
116823154829,1352,11956,2881,4993,6966,9037,
116823654829,1467,12033,3087,5066,7839,9398,
116825654829,1400,12800,14315,4886,18076,19747,
116826654829,1387,11841,2957,4839,6742,8784,
116828154829,1528,12115,3079,5504,7157,8882,
116830654829,1413,12466,2976,5033,7080,19961,
116831154829,1446,12035,2753,5250,6801,41459,
116831654829,1577,12472,2973,4858,6731,8895,
116833154829,1417,12028,2943,4872,6879,8853,
116833654829,1287,11826,3046,4950,6939,8840,
116834654829,1449,12128,3033,5219,6902,8872,
116835654829,1508,12125,3290,4994,6918,8771,
116836154829,1218,12281,3040,4899,6768,8861,
116836654829,1394,11941,13611,4805,6771,9321,
116837154829,1400,11911,13577,4906,6862,8735,
116837654829,1277,12104,13742,4932,7103,8892,
116838154829,15855,12100,3147,4974,7411,9421,
116838654829,1243,11779,13691,5080,7212,8852,
116839154829,1295,12366,2873,4838,6810,8834,
116839654829,1293,11887,13804,5140,6918,8903,
116840154829,1293,11789,2816,4804,6866,8819,
116841154829,1211,11868,2897,4774,6892,8962,
116841654829,1409,11877,3370,5077,6955,8853,
116842154829,1397,11966,3024,4966,6903,8867,
116843154829,1356,12017,6632,6772,7237,8868,
116843654829,10339,12050,13952,4925,7014,8791,
116844654829,1509,12379,3025,4749,6978,8984,
116845154829,4417,11943,3571,4813,6768,8839,
116845654829,1713,12283,2882,4785,6946,9056,
116846154829,1259,11790,13932,15353,7299,8792,
116847154829,1522,12281,3270,5046,6893,9037,
116847654829,1381,12165,2980,4823,6827,8768,
116848154829,1284,11912,13856,37166,6867,8883,
116848654829,1327,11865,13576,4803,6801,8786,
116851154829,NULL,NULL,NULL,NULL,NULL,NULL,
116851654829,300000,11754,2931,16159,7004,8781,
116853654829,1884,11951,15246,5108,6847,8809,
116856154829,1572,12254,3094,5155,7024,9353,
116859654829,1615,12425,3129,4748,6933,8840,
116860154829,10006,12128,3104,5131,7046,9064,
116861654829,1167,12090,13485,4873,6883,19828,
116862154829,1371,11906,2968,4925,7054,8852,
116862654829,1805,12210,13765,5052,6847,8850,
116864154829,1555,12100,3019,4977,6819,8809,
116864654829,1477,12278,3110,5070,7078,9065,
116865654829,1343,12108,2966,4903,7211,8808,
116866654829,1376,11982,13697,15787,7126,19641,
116867154829,1757,12444,3079,5261,6844,8970,
116867654829,1108,11893,2894,4840,6909,8851,
116868154829,93169,11842,13812,4924,17573,9008,
116869654829,1573,12255,3071,4941,7169,8853,
116870654829,1298,11997,3030,4861,6856,8825,
116871154829,4814,11816,5549,5380,6975,8748,
116872154829,1277,12046,3224,4761,6853,8813,
116873154829,1450,12220,3023,4938,7451,8924,
116873654829,1400,12012,2957,4856,7074,8878,
116874154829,1441,12035,3089,4892,6797,8901,
116877154829,1318,11879,3027,4804,6824,9210,
116878154829,1308,11917,2829,4847,6854,8770,
116879654829,1602,12281,13863,4907,6947,8893,
116880654829,1449,12238,3110,4809,6957,9140,
116881654829,1405,11911,2985,4971,7052,9695,
116883154829,1362,12617,2933,4860,7166,8833,
116883654829,1286,11899,2905,4779,6902,8838,
116884154829,1331,11948,3396,4857,6751,8815,
116886654829,1434,23810,14429,5064,17736,19496,
116887154829,1410,12357,3000,5094,6976,9122,
116888654829,1246,12031,13933,15656,17704,9052,
116889154829,1167,11734,2943,4887,6638,8822,
116889654829,1856,12245,14308,4844,6947,9112,
116891154829,1449,12286,3602,5315,6959,8744,
116891654829,1161,11714,2816,4761,6824,8773,
