,W-0,R-0,R-1,R-2,R-3,R-4,
117793167170,6083,9744,9228,7317,14310,10743,
117794667170,29201,35471,36273,38230,40072,34990,
117795667170,1612,12341,25216,4999,39718,9059,
117796667170,1389,12332,3315,5064,7360,9302,
117797667170,2158,12711,3525,5091,7123,9193,
117798167170,1584,12047,3072,27104,18157,20168,
117798667170,1745,12501,2977,4939,6962,9197,
117799167170,1978,12025,14107,5256,7220,9087,
117799667170,1656,12355,3049,5048,7005,9060,
117800167170,1178,12155,3016,5004,6984,8736,
117801667170,1552,12249,2989,5007,7003,9023,
117802667170,1497,12151,3002,5557,7105,9002,
117803167170,13153,23364,24902,16126,18200,19891,
117803667170,1472,12392,3073,4884,7000,9021,
117804167170,1490,12187,2995,5020,6947,8987,
117804667170,1486,12413,3119,5141,7125,9116,
117805167170,1881,12649,2985,4988,6863,8896,
117805667170,1342,12566,13772,5020,6898,8976,
117806667170,1694,12399,14013,5006,7019,8960,
117807167170,1588,12253,3013,7254,7757,9665,
117807667170,1463,12099,13993,4958,6983,8861,
117808167170,1566,12576,3015,4900,6964,9002,
117809167170,1796,12538,3057,4996,7138,9075,
117810167170,1417,11893,2913,4963,6982,9029,
117810667170,1756,12035,13671,15667,7134,8987,
117812667170,1442,12067,3059,4933,17800,8881,
117813167170,1200,12299,2993,5000,6920,9092,
117813667170,1445,12043,3022,4898,6868,8973,
117814167170,1397,12232,7703,7581,7217,9046,
117814667170,1315,12279,24688,4992,18066,20211,
117817167170,1575,12068,3006,4959,6986,9059,
117818167170,1480,12119,2971,5079,7015,8973,
117818667170,1427,12200,3039,4966,7030,8970,
117819167170,1574,12343,13821,4942,6997,8953,
117819667170,1414,11983,13995,4882,6989,9389,
117820167170,1413,12076,3194,5199,7315,8998,
117821167170,1750,12294,3078,5561,7021,9091,
117821667170,1364,12036,3050,5013,6930,8894,
117822167170,1454,11966,13734,4961,6919,8993,
117824167170,1628,12619,13948,6033,7180,10084,
117824667170,3409,12292,14740,4819,6944,9036,
117826167170,1538,12139,3133,5086,6969,9061,
117826667170,52154,12178,2917,4936,6949,9337,
117827167170,4552,15035,4318,4873,6948,8798,
117827667170,1432,12013,2896,4770,6895,8921,
117828667170,1358,12455,13829,15806,18691,9052,
117830167170,9194,11900,3072,4807,6940,8983,
117830667170,1470,12207,3088,4940,7011,9076,
117831167170,1557,12459,3082,5114,6958,9189,
117832167170,5622,11977,13998,5024,6977,9051,
117833667170,10155,12269,13970,4731,6958,8897,
117834667170,1502,12029,2978,5241,6798,8804,
117836167170,1385,11973,2921,4876,6812,8936,
117836667170,1629,12310,13873,5015,7130,9014,
117837667170,1485,12072,13927,5065,6941,21297,
117838167170,1169,12008,3386,4765,6899,8953,
117839667170,1292,12080,13942,15799,17785,19802,
117840167170,1478,12151,3089,15904,6961,8892,
117840667170,1562,12437,3067,5014,6973,8981,
117841167170,1355,11964,2871,4801,6883,8911,
117843167170,1569,12370,3235,5109,6978,9087,
117845167170,1388,12139,13715,4909,17650,8820,
117845667170,1374,12046,2986,5111,6936,8932,
117847167170,1679,12093,13977,5063,6906,8974,
117848667170,2243,13075,13935,4926,6979,9037,
117851167170,1444,12134,14358,5381,7153,8897,
117851667170,1367,12189,13740,15762,6959,8793,
117852667170,1321,12358,2976,5332,6816,8909,
117853167170,1395,12052,2934,4883,6827,8947,
117853667170,1369,14650,2765,4728,6781,8967,
117854667170,3141,12425,14072,16019,6979,8916,
117857167170,1446,12493,3092,5049,7048,8798,
117857667170,126954,132744,136226,136738,138404,141082,
117858667170,2023,12620,3042,5034,6982,8892,
117859167170,14061,22896,24574,26898,17728,30413,
117859667170,1721,12367,13919,4768,6766,21336,
117860167170,40269,12484,3034,4765,6907,8893,
117862167170,1372,12217,2908,4863,6934,8773,
117863167170,1063,12132,2823,4793,6876,8926,
117865667170,1392,12028,3071,5525,6934,8766,
117866667170,1573,12260,3149,5036,6970,9061,
117867167170,1300,11967,13751,4920,7098,8949,
117869667170,1358,11954,14030,5077,6778,8806,
117870167170,1389,11900,2903,4737,6983,8870,
117871167170,1283,11923,3000,4910,6895,8928,
117873667170,10979,12059,13762,4970,6876,8782,
117875167170,1406,11928,3021,4918,6956,9032,
117875667170,300000,452676,446789,425054,446465,425282,
117876167170,1067,23072,24632,27071,6974,19609,
117876667170,1330,11923,2904,4755,6897,8768,
117877167170,19157,12308,24568,4785,6779,8900,
117877667170,1385,12055,13581,15456,18958,8961,
117878167170,1394,12140,24651,4803,6910,30590,
117879667170,1632,12174,3261,5077,6790,9053,
117880167170,106665,24638,24536,5206,6996,9376,
117880667170,1318,11925,2906,4802,7002,8966,
117883167170,1439,11789,3141,4825,7006,8910,
117883667170,1251,12353,13656,4886,6770,8719,
117884667170,1385,22646,24417,26440,49782,51550,
117885667170,1213,11929,3254,4810,6814,8926,
117886167170,1282,12105,13526,16211,11988,11644,
117886667170,54435,12399,2896,5006,6792,8922,
117887167170,1214,11697,2901,4789,6719,8750,
117889667170,1311,12016,2826,4766,17530,19496,
117891667170,1261,11857,13418,4935,7297,9119,
117892167170,99713,12213,2827,4784,6949,8815,
117892667170,50108,22717,3009,15713,6890,30293,
117893167170,1267,11782,2890,4797,6748,8868,
117893667170,1323,11932,13626,16356,6985,8815,
117894167170,2317,12358,13743,5469,6711,9011,
117895667170,1131,12103,3078,4773,6947,8981,
117896667170,1217,11793,13611,4801,6906,8929,
117897167170,1253,11880,2828,4962,6814,8723,
117897667170,1400,11949,2791,4791,6782,8746,
117898167170,1390,12401,3022,15878,17975,9028,
117899667170,1229,11894,2981,4984,6741,8878,
117900167170,4065,12266,3010,5090,7169,8905,
117901167170,1318,11890,2910,4697,7113,8803,
117903167170,1258,12155,2912,4951,6984,8914,
117904167170,1539,11963,13641,4872,6950,19581,
117905167170,3342,12017,13867,4820,6963,8735,
117906167170,1712,12737,3012,4967,6921,8945,
117906667170,1193,11496,3005,4801,6912,8912,
117908167170,4103,11572,13697,15407,17610,19532,
117910667170,1664,11764,3084,4956,7002,8806,
117911667170,1299,11781,2903,4926,6895,8811,
117914167170,1210,12215,13811,4810,6804,8938,
117914667170,1394,22825,24598,15986,17928,19725,
117915167170,3996,12191,2928,4963,6902,8719,
117915667170,1313,11970,3071,4940,6953,8774,
117917167170,1387,12208,2894,4905,6802,8927,
117917667170,1750,12510,13946,4940,6933,8916,
117918167170,1603,11991,3144,4815,6803,8902,
117920167170,1491,12347,2958,5225,7221,8908,
117921667170,1405,12129,3038,4810,6736,8823,
117922167170,1430,12006,13487,4891,6782,8704,
117922667170,1590,12079,3599,5047,8057,9053,
117923167170,1547,12160,3053,15665,7016,9220,
117923667170,1306,11895,2887,4800,7156,8688,
117924167170,62552,12274,3003,4908,6790,8892,
117924667170,1063,12110,2891,4685,6787,8675,
117926167170,1270,11701,2781,4907,6927,9007,
117927167170,1317,11963,4948,5366,10490,10715,
117927667170,1513,12450,13792,5080,7026,9197,
117928167170,1227,12411,3103,4776,6764,8723,
117928667170,1560,12238,3031,4979,6964,8793,
117929667170,1354,12080,2988,4930,6738,8800,
117930667170,1377,12368,2890,4813,6934,8936,
117931667170,1317,11941,13906,4770,6791,8716,
117932167170,1362,11920,13445,5667,7167,9161,
117932667170,2545,11820,13686,15464,7230,8776,
117935167170,1289,12079,2797,4916,6929,8798,
117937167170,1400,12393,13552,4800,7070,8994,
117938667170,1133,11621,2954,4872,6881,8948,
117940667170,4676,12791,14310,15875,17935,8827,
117941167170,1183,11594,13661,4806,7116,8966,
117942167170,1420,12273,2755,4993,7155,8999,
117943167170,1512,12319,3069,5148,6965,9234,
117943667170,1477,12098,3112,5010,6904,9245,
117944167170,1278,11933,3068,4822,6885,8877,
117946667170,1370,12056,2979,4974,6892,8817,
117947667170,1469,12039,2970,15909,6965,8979,
117949167170,1444,12263,13960,4987,7077,9006,
117951667170,1299,22579,24499,16220,17931,19619,
117953167170,6476,11726,3012,4955,6944,8925,
117954667170,3538,11996,13519,4940,6785,8728,
117956167170,1069,55794,13821,15651,28457,8767,
117957667170,1350,12414,2878,4819,6776,8783,
117958167170,1413,12044,2928,5066,6953,8782,
117958667170,1284,12047,13573,4740,6699,8824,
117959167170,5899,12160,13741,15598,18582,8879,
117959667170,1260,11947,2879,5049,7227,8937,
117960667170,1327,11738,3037,5022,6957,8811,
117961167170,1272,12041,2904,4780,6921,8954,
117961667170,1238,12057,2758,4896,6806,8712,
117962667170,1475,11953,2828,4873,6787,8775,
117964667170,1418,12304,3089,4991,6806,8885,
117965667170,1413,11974,2885,4990,6942,8909,
117968667170,37334,55476,49004,49235,50478,52401,
117969167170,7377,12189,2966,15990,7163,8965,
117970167170,1659,12261,14038,5038,6964,19659,
117971667170,1447,12091,14126,4737,6758,8808,
117972167170,1304,11922,13890,15681,17709,8905,
117972667170,1250,12178,13656,5728,6881,8917,
117973167170,1449,12018,13450,4907,6768,8784,
117974167170,2002,11829,13912,4960,7087,8978,
117975167170,1210,12182,25538,4793,6968,19582,
117975667170,1288,11951,2989,4762,6816,8814,
117976667170,1436,11956,13702,4954,7033,9150,
117978167170,1315,11933,2869,5063,7216,8793,
117978667170,1220,11736,2733,4948,6735,8821,
117979667170,1446,11999,2874,4766,6730,8754,
117980167170,1395,12129,3072,4735,7007,8945,
117980667170,7426,22732,52643,19510,30104,8940,
117981167170,8454,12033,3001,4796,6721,9184,
117983167170,1363,12051,2949,4938,6919,8979,
117983667170,11434,22567,2943,5004,18141,20113,
117985167170,1401,12025,3035,15770,6781,8814,
117985667170,66030,12125,13880,4882,7041,8951,
117986167170,1413,12152,13735,4981,6950,8820,
117988167170,1312,11956,3023,4941,6898,8959,
117989167170,1328,11943,2897,4785,6753,8749,
117993167170,5802,11787,2959,4796,6975,9070,
117993667170,1318,11911,2981,4767,6904,8879,
117994667170,10486,12190,2945,4735,6725,8740,
117995167170,42037,12063,3173,4973,6944,8921,
117996167170,1507,12060,3146,4880,7157,8739,
117996667170,1446,12104,2938,5197,6980,8971,
117997167170,1270,11819,3031,15926,7152,8798,
117998167170,1048,12037,2780,4733,6812,8867,
117998667170,1359,11925,2791,4891,6867,8704,
118000167170,1285,11958,3137,4704,17674,19992,
118000667170,1585,12126,3451,5098,7554,9017,
118002167170,1416,12160,3025,4967,7093,9033,
118002667170,1338,12009,3122,4874,6901,8750,
118003167170,1394,12167,3246,4989,6976,8892,
118004167170,1186,11819,3176,4677,6715,8966,
118005167170,1230,11637,2713,4933,6927,8828,
118006667170,1331,11893,13729,15584,17696,8911,
118007667170,17196,12492,14014,4902,7006,9095,
118009667170,1561,12363,3025,4813,6797,8706,
118010167170,1527,12281,3039,4959,6715,9352,
118010667170,1395,12493,2815,4885,6961,8989,
118011167170,1346,12120,13488,4791,6800,9121,
118012167170,1419,11992,2722,4812,6949,8822,
118012667170,1298,12009,13803,15600,17604,8904,
118013167170,1530,12522,13513,4786,6721,8757,
118013667170,1310,11976,3031,4808,6930,8764,
118014167170,1386,11894,2825,5039,6987,8820,
118014667170,1494,12026,13703,15640,17876,19567,
118016667170,1453,12197,13974,4884,6802,9103,
118017667170,1438,12018,13730,4961,6747,8896,
118019167170,1448,12215,2910,4958,6999,8874,
118021667170,1243,11689,2932,4696,6752,8615,
118022167170,1200,11982,2875,4802,6759,8885,
118022667170,1206,11783,13943,4782,7098,8940,
118024167170,1420,12160,3040,16005,6877,8911,
118024667170,1392,12113,2937,4901,6953,8895,
118025667170,1302,12482,14235,4934,6981,9037,
118026667170,1139,12009,3431,4953,6961,9002,
118027167170,1314,11985,2876,4648,6878,8733,
118027667170,3711,11826,2782,4821,6694,8804,
118028167170,1390,12032,2920,5135,6974,8828,
118028667170,15928,23100,13668,4759,6776,8784,
118029167170,1360,11937,2946,4827,6971,9006,
118029667170,1457,22904,3018,4964,39163,19631,
118030167170,1266,11972,2962,4975,6959,9013,
