Time(micros),Thread, Start(micros),Delay (micros),Value
125531813315,W-0,1008,35667,125531813315
125531813315,R-0,376,5740,null
125531813315,R-0,19269,21426,125531813315
125531813315,R-1,2754,5842,null
125531813315,R-1,18745,21807,125531813315
125531813315,R-2,8193,12037,125531813315
125531813315,R-3,10020,13273,125531813315
125531813315,R-4,11136,13791,125531813315
125533313315,W-0,235,300000,125533313315
125533313315,R-0,901,1894,null
125533313315,R-0,12129,14470,125533313315
125533313315,R-1,2168,5852,125533313315
125533313315,R-2,4374,5641,125533313315
125533313315,R-3,6139,6947,125533313315
125533313315,R-4,8238,8993,125533313315
125534313315,W-0,275,178556,125534313315
125534313315,R-0,659,1594,null
125534313315,R-0,11852,13540,125534313315
125534313315,R-1,2191,2928,null
125534313315,R-1,13210,14023,null
125534313315,R-1,24218,24949,null
125534313315,R-1,35170,36151,125534313315
125534313315,R-2,4212,5045,125534313315
125534313315,R-3,6187,9314,null
125534313315,R-3,19634,20523,125534313315
125534313315,R-4,8283,9104,null
125534313315,R-4,19316,20231,125534313315
125535313315,W-0,643,300000,125535313315
125535313315,R-0,256,1432,null
125535313315,R-0,11660,12619,null
125535313315,R-0,22853,23840,125535313315
125535313315,R-1,2209,3218,125535313315
125535313315,R-2,4214,4915,125535313315
125535313315,R-3,6202,7027,null
125535313315,R-3,17264,18152,125535313315
125535313315,R-4,8199,9251,125535313315
125536313315,W-0,546190,null,null
125536313315,R-0,190,898,null
125536313315,R-0,11128,12076,null
125536313315,R-0,22272,22994,null
125536313315,R-0,33213,33844,null
125536313315,R-0,44038,44959,null
125536313315,R-0,55167,55870,null
125536313315,R-0,66064,66855,null
125536313315,R-0,77097,77855,null
125536313315,R-0,88050,88802,null
125536313315,R-0,99027,99601,null
125536313315,R-0,109800,110482,null
125536313315,R-0,120678,121347,null
125536313315,R-0,131560,132300,null
125536313315,R-0,142484,143100,null
125536313315,R-0,153346,153975,null
125536313315,R-0,164188,164925,null
125536313315,R-0,175132,175973,null
125536313315,R-0,186165,186938,null
125536313315,R-0,197127,197891,null
125536313315,R-0,208088,208807,null
125536313315,R-0,218989,219716,null
125536313315,R-0,229934,230796,null
125536313315,R-0,240994,241722,null
125536313315,R-0,251965,252787,null
125536313315,R-0,263041,263729,null
125536313315,R-0,273927,274622,null
125536313315,R-0,284834,285408,null
125536313315,R-0,295597,296318,null
125536313315,R-0,306566,307569,null
125536313315,R-0,317767,318306,null
125536313315,R-0,328477,329068,null
125536313315,R-0,339257,339838,null
125536313315,R-0,350040,350682,null
125536313315,R-0,360894,361518,null
125536313315,R-0,371860,372582,null
125536313315,R-0,383058,383637,null
125536313315,R-0,393902,394836,null
125536313315,R-0,405230,406000,null
125536313315,R-0,416423,417253,null
125536313315,R-0,427579,429999,null
125536313315,R-0,440400,441517,null
125536313315,R-0,451757,452413,null
125536313315,R-0,462743,463535,null
125536313315,R-0,473837,474539,null
125536313315,R-0,484767,485617,null
125536313315,R-0,495855,496633,null
125536313315,R-0,506933,507627,null
125536313315,R-0,517862,518594,null
125536313315,R-0,528775,529517,null
125536313315,R-0,539763,540516,null
125536313315,R-0,554478,555471,null
125536313315,R-0,565656,566309,null
125536313315,R-0,576367,576938,null
125536313315,R-0,587188,587838,null
125536313315,R-0,597988,598557,null
125536313315,R-0,609727,610469,null
125536313315,R-0,620653,621972,null
125536313315,R-0,632178,632935,null
125536313315,R-0,643118,643860,null
125536313315,R-0,654057,654781,null
125536313315,R-0,673601,674246,null
125536313315,R-0,684338,685895,null
125536313315,R-0,696283,697018,null
125536313315,R-0,707279,707869,null
125536313315,R-0,718123,719187,null
125536313315,R-0,729372,729971,null
125536313315,R-0,740413,741535,null
125536313315,R-0,752366,753547,null
125536313315,R-0,764099,765729,null
125536313315,R-0,775992,776660,null
125536313315,R-0,786840,787681,null
125536313315,R-0,797903,798800,null
125536313315,R-0,808981,809596,null
125536313315,R-0,819785,820505,null
125536313315,R-0,830814,831490,null
125536313315,R-0,841742,842598,null
125536313315,R-0,852879,853516,null
125536313315,R-0,863824,864544,null
125536313315,R-0,875441,875995,null
125536313315,R-0,886291,887169,null
125536313315,R-0,897368,898395,null
125536313315,R-0,908614,909494,null
125536313315,R-0,919678,920640,null
125536313315,R-0,930788,931495,null
125536313315,R-0,941756,942338,null
125536313315,R-0,952516,953289,null
125536313315,R-0,963491,964268,null
125536313315,R-0,974459,975215,null
125536313315,R-0,985392,985919,null
125536313315,R-0,996125,996814,null
125536313315,R-0,1007047,1007664,null
125536313315,R-0,1017894,1018506,null
125536313315,R-0,1028710,1029403,null
125536313315,R-0,1039587,1040268,null
125536313315,R-0,1050505,1051498,null
125536313315,R-0,1061719,1062839,null
125536313315,R-0,1073633,1075278,null
125536313315,R-0,1085966,1087079,null
125536313315,R-0,1097277,1098033,null
125536313315,R-0,1108780,1109504,null
125536313315,R-0,1120072,1120903,null
125536313315,R-0,1131362,1132241,null
125536313315,R-0,1143374,1144899,null
125536313315,R-0,1157214,1166440,null
125536313315,R-0,1176647,1177301,null
125536313315,R-0,1187516,1188177,null
125536313315,R-0,1198378,1199448,null
125536313315,R-0,1209629,1210607,null
125536313315,R-0,1220805,1221347,null
125536313315,R-0,1231555,1232071,null
125536313315,R-0,1242337,1242942,null
125536313315,R-0,1253492,1254183,null
125536313315,R-0,1264365,1265115,null
125536313315,R-0,1275329,1275924,null
125536313315,R-0,1286155,1286920,null
125536313315,R-0,1297103,1297734,null
125536313315,R-0,1307915,1308469,null
125536313315,R-0,1318651,1319327,null
125536313315,R-0,1329557,1330089,null
125536313315,R-0,1340590,1341267,null
125536313315,R-0,1351553,1352143,null
125536313315,R-0,1362422,1362955,null
125536313315,R-0,1373352,1374107,null
125536313315,R-0,1384293,1384965,null
125536313315,R-0,1395146,1395995,null
125536313315,R-0,1406325,1406937,null
125536313315,R-0,1417180,1417856,null
125536313315,R-0,1428038,1429141,null
125536313315,R-0,1439313,1439996,null
125536313315,R-0,1450163,1450796,null
125536313315,R-0,1460971,1461613,null
125536313315,R-0,1471806,1472423,null
125536313315,R-0,1482594,1483531,null
125536313315,R-0,1493749,1494522,null
125536313315,R-0,1504899,1505523,null
125536313315,R-0,1515784,1516432,null
125536313315,R-0,1526602,1527211,null
125536313315,R-0,1537425,1538146,null
125536313315,R-0,1548459,1549456,null
125536313315,R-0,1559627,1560269,null
125536313315,R-0,1570481,1570980,null
125536313315,R-0,1581223,1581851,null
125536313315,R-0,1592366,1592974,null
125536313315,R-0,1603545,1604407,null
125536313315,R-0,1614583,1615449,null
125536313315,R-0,1625853,1626432,null
125536313315,R-0,1636656,1637256,null
125536313315,R-0,1647477,1648242,null
125536313315,R-0,1658408,1659107,null
125536313315,R-0,1669300,1670066,null
125536313315,R-0,1680259,1680960,null
125536313315,R-0,1691178,1691819,null
125536313315,R-0,1701979,1702767,null
125536313315,R-0,1713035,1713762,null
125536313315,R-0,1724011,1724743,null
125536313315,R-0,1735460,1736463,null
125536313315,R-0,1746638,1747429,null
125536313315,R-0,1757603,1758264,null
125536313315,R-0,1768501,1769503,null
125536313315,R-0,1779936,1780679,null
125536313315,R-0,1791064,1791998,null
125536313315,R-0,1802228,1802859,null
125536313315,R-0,1813204,1813788,null
125536313315,R-0,1823945,1824606,null
125536313315,R-0,1834791,1835288,null
125536313315,R-0,1845681,1846379,null
125536313315,R-0,1856610,1857225,null
125536313315,R-0,1867405,1868079,null
125536313315,R-0,1878255,1878829,null
125536313315,R-0,1889004,1889643,null
125536313315,R-0,1899810,1900540,null
125536313315,R-0,1910811,1911346,null
125536313315,R-0,1921610,1922334,null
125536313315,R-0,1932542,1933235,null
125536313315,R-0,1943467,1943996,null
125536313315,R-0,1955517,1956651,null
125536313315,R-0,1967119,1967740,null
125536313315,R-0,1978008,1978641,null
125536313315,R-0,1989003,1989536,null
125536313315,R-0,2000062,2009821,null
125536313315,R-0,2020489,2021079,null
125536313315,R-0,2031386,2035975,null
125536313315,R-0,2046152,2047281,null
125536313315,R-0,2057506,2058151,null
125536313315,R-0,2068533,2069323,null
125536313315,R-0,2080338,2082013,null
125536313315,R-0,2092179,2092849,null
125536313315,R-0,2103396,2104040,null
125536313315,R-0,2114322,2114913,null
125536313315,R-0,2125081,2125969,null
125536313315,R-0,2136375,2137073,null
125536313315,R-0,2147229,2148074,null
125536313315,R-0,2159189,2163486,null
125536313315,R-0,2173780,2174274,null
125536313315,R-0,2185169,2189371,null
125536313315,R-0,2199534,2200434,null
125536313315,R-0,2210671,2211599,null
125536313315,R-0,2221766,2222487,null
125536313315,R-0,2232668,2233327,null
125536313315,R-0,2247978,2253969,null
125536313315,R-0,2264152,2264956,null
125536313315,R-0,2275143,2275678,null
125536313315,R-0,2286097,2291134,null
125536313315,R-0,2301751,2302597,null
125536313315,R-0,2312825,2313545,null
125536313315,R-0,2323786,2324798,null
125536313315,R-0,2336626,2340745,null
125536313315,R-0,2351056,2351658,null
125536313315,R-0,2361828,2362799,null
125536313315,R-0,2378469,2380927,null
125536313315,R-0,2391477,2392095,null
125536313315,R-0,2402279,2403023,null
125536313315,R-0,2413198,2414260,null
125536313315,R-0,2426124,2428798,null
125536313315,R-0,2438956,2439644,null
125536313315,R-0,2449932,2450680,null
125536313315,R-0,2461081,null,null
125536313315,R-1,2192,2864,null
125536313315,R-1,13087,13912,null
125536313315,R-1,24101,24783,null
125536313315,R-1,35033,35932,null
125536313315,R-1,46137,46853,null
125536313315,R-1,57043,57854,null
125536313315,R-1,68044,68828,null
125536313315,R-1,79016,79660,null
125536313315,R-1,89793,90416,null
125536313315,R-1,100612,101560,null
125536313315,R-1,111775,112410,null
125536313315,R-1,122648,123287,null
125536313315,R-1,133497,134318,null
125536313315,R-1,144501,145233,null
125536313315,R-1,155435,156196,null
125536313315,R-1,166402,167142,null
